term	overlap	set_size	hits_tested	background_size	expected	odds_ratio	p_value	genes	fdr	significant
Long-term potentiation	3	5	340	2262	0.752	3.992	0.0266116668412622	CACNA1C;GRM1;PRKCB	0.9900721504831216	False
Glioma	3	5	340	2262	0.752	3.992	0.0266116668412622	IGF1R;PIK3CA;PRKCB	0.9900721504831216	False
Circadian entrainment	4	9	340	2262	1.353	2.957	0.0338641100759792	ADCYAP1R1;CACNA1C;PRKCB;RYR2	0.9900721504831216	False
Long-term depression	4	9	340	2262	1.353	2.957	0.0338641100759792	GRM1;IGF1R;PPP1R17;PRKCB	0.9900721504831216	False
Cholinergic synapse	5	13	340	2262	1.954	2.559	0.03400631159420258	CACNA1C;CHRNA4;KCNQ2;PIK3CA;PRKCB	0.9900721504831216	False
Amoebiasis	5	13	340	2262	1.954	2.559	0.03400631159420258	CD1B;CD1C;CD1D;PIK3CA;PRKCB	0.9900721504831216	False
AGE-RAGE signaling pathway in diabetic complications	4	10	340	2262	1.503	2.661	0.04990978890783549	NFATC1;PIK3CA;PRKCB;PRKCE	0.9900721504831216	False
Type II diabetes mellitus	4	11	340	2262	1.653	2.419	0.06941214912214444	CACNA1C;HK1;PIK3CA;PRKCE	0.9900721504831216	False
Inflammatory mediator regulation of TRP channels	3	7	340	2262	1.052	2.851	0.07384656960123122	PIK3CA;PRKCB;PRKCE	0.9900721504831216	False
Maturity onset diabetes of the young	3	8	340	2262	1.202	2.495	0.10537927210994996	FOXA2;NR5A2;PAX6	0.9900721504831216	False
PD-L1 expression and PD-1 checkpoint pathway in cancer	3	8	340	2262	1.202	2.495	0.10537927210994996	BATF;NFATC1;PIK3CA	0.9900721504831216	False
GnRH secretion	3	8	340	2262	1.202	2.495	0.10537927210994996	CACNA1C;PIK3CA;PRKCB	0.9900721504831216	False
Aldosterone-regulated sodium reabsorption	2	4	340	2262	0.601	3.326	0.10976316376132719	PIK3CA;PRKCB	0.9900721504831216	False
Endocrine and other factor-regulated calcium reabsorption	2	4	340	2262	0.601	3.326	0.10976316376132719	DNM3;PRKCB	0.9900721504831216	False
Transcriptional misregulation in cancer	7	28	340	2262	4.209	1.663	0.11484971367600731	CDK14;EYA1;IGF1R;MMP9;RUNX1;SIX1;TLX1	0.9900721504831216	False
Hepatitis B	4	13	340	2262	1.954	2.047	0.11810024528742993	MMP9;NFATC1;PIK3CA;PRKCB	0.9900721504831216	False
Oxytocin signaling pathway	4	13	340	2262	1.954	2.047	0.11810024528742993	CACNA1C;NFATC1;PRKCB;RYR2	0.9900721504831216	False
Insulin secretion	4	13	340	2262	1.954	2.047	0.11810024528742993	ADCYAP1R1;CACNA1C;PRKCB;RYR2	0.9900721504831216	False
Sphingolipid signaling pathway	4	13	340	2262	1.954	2.047	0.11810024528742993	FCER1A;PIK3CA;PRKCB;PRKCE	0.9900721504831216	False
Phosphatidylinositol signaling system	4	13	340	2262	1.954	2.047	0.11810024528742993	DGKI;PIK3CA;PIP4K2A;PRKCB	0.9900721504831216	False
Tight junction	6	24	340	2262	3.607	1.663	0.1393242473835086	CD1B;CD1C;CD1D;PRKCE;RUNX1;SYNPO	0.9900721504831216	False
Growth hormone synthesis, secretion and action	3	9	340	2262	1.353	2.218	0.14113685312693533	CACNA1C;PIK3CA;PRKCB	0.9900721504831216	False
Phospholipase D signaling pathway	5	19	340	2262	2.856	1.751	0.1445059553266706	DGKI;DNM3;FCER1A;GRM1;PIK3CA	0.9900721504831216	False
