term	overlap	set_size	hits_tested	background_size	expected	odds_ratio	p_value	genes	fdr	significant
Inflammatory mediator regulation of TRP channels	3	7	185	2262	0.573	5.24	0.014723144117604685	PIK3CA;PRKCB;PRKCE	0.7722375693666481	False
Fc gamma R-mediated phagocytosis	4	14	185	2262	1.145	3.493	0.02258383902686108	HCK;PIK3CA;PRKCB;PRKCE	0.7722375693666481	False
Endocrine and other factor-regulated calcium reabsorption	2	4	185	2262	0.327	6.114	0.03575319869499618	DNM3;PRKCB	0.7722375693666481	False
Aldosterone-regulated sodium reabsorption	2	4	185	2262	0.327	6.114	0.03575319869499618	PIK3CA;PRKCB	0.7722375693666481	False
AGE-RAGE signaling pathway in diabetic complications	3	10	185	2262	0.818	3.668	0.04203544082608269	PIK3CA;PRKCB;PRKCE	0.7722375693666481	False
Type II diabetes mellitus	3	11	185	2262	0.9	3.335	0.05440746871857646	HK1;PIK3CA;PRKCE	0.7722375693666481	False
Long-term potentiation	2	5	185	2262	0.409	4.891	0.05641602471195826	GRM1;PRKCB	0.7722375693666481	False
Glioma	2	5	185	2262	0.409	4.891	0.05641602471195826	PIK3CA;PRKCB	0.7722375693666481	False
Non-small cell lung cancer	2	5	185	2262	0.409	4.891	0.05641602471195826	PIK3CA;PRKCB	0.7722375693666481	False
Carbohydrate digestion and absorption	3	12	185	2262	0.981	3.057	0.06830622891430506	HK1;PIK3CA;PRKCB	0.7722375693666481	False
African trypanosomiasis	1	1	185	2262	0.082	12.227	0.08178603006189211	PRKCB	0.7722375693666481	False
Hepatitis B	3	13	185	2262	1.063	2.822	0.0836356348261807	MMP9;PIK3CA;PRKCB	0.7722375693666481	False
Sphingolipid signaling pathway	3	13	185	2262	1.063	2.822	0.0836356348261807	PIK3CA;PRKCB;PRKCE	0.7722375693666481	False
NF-kappa B signaling pathway	2	7	185	2262	0.573	3.493	0.10632123500400356	ERC1;PRKCB	0.7722375693666481	False
Gap junction	2	7	185	2262	0.573	3.493	0.10632123500400356	GRM1;PRKCB	0.7722375693666481	False
Calcium signaling pathway	4	23	185	2262	1.881	2.126	0.1127305285187473	GRM1;HTR6;PRKCB;RYR2	0.7722375693666481	False
Leukocyte transendothelial migration	3	15	185	2262	1.227	2.445	0.1181389851292982	MMP9;PIK3CA;PRKCB	0.7722375693666481	False
VEGF signaling pathway	2	8	185	2262	0.654	3.057	0.1343761122126686	PIK3CA;PRKCB	0.7722375693666481	False
Maturity onset diabetes of the young	2	8	185	2262	0.654	3.057	0.1343761122126686	FOXA2;PAX6	0.7722375693666481	False
GnRH secretion	2	8	185	2262	0.654	3.057	0.1343761122126686	PIK3CA;PRKCB	0.7722375693666481	False
Spinocerebellar ataxia	3	16	185	2262	1.309	2.293	0.13706994795892324	GRM1;PIK3CA;PRKCB	0.7722375693666481	False
ABC transporters	1	2	185	2262	0.164	6.114	0.15691631950839804	ABCC9	0.7722375693666481	False
Estrogen signaling pathway	3	17	185	2262	1.39	2.158	0.15695215494548798	GRM1;MMP9;PIK3CA	0.7722375693666481	False
Diabetic cardiomyopathy	4	26	185	2262	2.126	1.881	0.15790859790282114	MMP9;PIK3CA;PRKCB;RYR2	0.7722375693666481	False
Circadian entrainment	2	9	185	2262	0.736	2.717	0.16383568919284106	PRKCB;RYR2	0.7722375693666481	False
Long-term depression	2	9	185	2262	0.736	2.717	0.16383568919284106	GRM1;PRKCB	0.7722375693666481	False
Growth hormone synthesis, secretion and action	2	9	185	2262	0.736	2.717	0.16383568919284106	PIK3CA;PRKCB	0.7722375693666481	False
HIF-1 signaling pathway	3	18	185	2262	1.472	2.038	0.17765858052012215	HK1;PIK3CA;PRKCB	0.7722375693666481	False
Transcriptional misregulation in cancer	4	28	185	2262	2.29	1.747	0.19118330438559936	EYA1;MMP9;SIX1;TLX1	0.7722375693666481	False
Pancreatic secretion	2	10	185	2262	0.818	2.445	0.19428575128453063	PRKCB;RYR2	0.7722375693666481	False
TNF signaling pathway	2	10	185	2262	0.818	2.445	0.19428575128453063	MMP9;PIK3CA	0.7722375693666481	False
Bacterial invasion of epithelial cells	2	10	185	2262	0.818	2.445	0.19428575128453063	DNM3;PIK3CA	0.7722375693666481	False
Vascular smooth muscle contraction	2	10	185	2262	0.818	2.445	0.19428575128453063	PRKCB;PRKCE	0.7722375693666481	False
Chemokine signaling pathway	3	19	185	2262	1.554	1.931	0.19906398636983605	HCK;PIK3CA;PRKCB	0.7722375693666481	False
Insulin signaling pathway	3	19	185	2262	1.554	1.931	0.19906398636983605	HK1;PIK3CA;PRKAR1B	0.7722375693666481	False
Phospholipase D signaling pathway	3	19	185	2262	1.554	1.931	0.19906398636983605	DNM3;GRM1;PIK3CA	0.7722375693666481	False
Insulin resistance	3	20	185	2262	1.636	1.834	0.2210464753596067	PIK3CA;PRKCB;PRKCE	0.7722375693666481	False
Relaxin signaling pathway	2	11	185	2262	0.9	2.223	0.2253698140769649	MMP9;PIK3CA	0.7722375693666481	False
Glutamatergic synapse	2	11	185	2262	0.9	2.223	0.2253698140769649	GRM1;PRKCB	0.7722375693666481	False
Bladder cancer	1	3	185	2262	0.245	4.076	0.22592980662828582	MMP9	0.7722375693666481	False
Neomycin, kanamycin and gentamicin biosynthesis	1	3	185	2262	0.245	4.076	0.22592980662828582	HK1	0.7722375693666481	False
Fructose and mannose metabolism	1	3	185	2262	0.245	4.076	0.22592980662828582	HK1	0.7722375693666481	False
Proteoglycans in cancer	3	21	185	2262	1.718	1.747	0.24348870319136787	MMP9;PIK3CA;PRKCB	0.7722375693666481	False
B cell receptor signaling pathway	2	12	185	2262	0.981	2.038	0.25678253110949695	PIK3CA;PRKCB	0.7722375693666481	False
Aldosterone synthesis and secretion	2	12	185	2262	0.981	2.038	0.25678253110949695	PRKCB;PRKCE	0.7722375693666481	False
