term	overlap	set_size	hits_tested	background_size	expected	odds_ratio	p_value	genes	fdr	significant
Tight junction	5	24	160	2262	1.698	2.945	0.02352691206402236	CD1B;CD1C;CD1D;RUNX1;SYNPO	0.9235910950014302	False
Renin secretion	2	5	160	2262	0.354	5.655	0.043142846636570836	ADCYAP1R1;CACNA1C	0.9235910950014302	False
Amoebiasis	3	13	160	2262	0.92	3.263	0.05872958354337052	CD1B;CD1C;CD1D	0.9235910950014302	False
Cholinergic synapse	3	13	160	2262	0.92	3.263	0.05872958354337052	CACNA1C;CHRNA4;KCNQ2	0.9235910950014302	False
Hematopoietic cell lineage	3	16	160	2262	1.132	2.651	0.0985694432569776	CD1B;CD1C;CD1D	0.9235910950014302	False
PD-L1 expression and PD-1 checkpoint pathway in cancer	2	8	160	2262	0.566	3.534	0.10504644808034881	BATF;NFATC1	0.9235910950014302	False
Long-term depression	2	9	160	2262	0.637	3.142	0.1289895217123035	IGF1R;PPP1R17	0.9235910950014302	False
Circadian entrainment	2	9	160	2262	0.637	3.142	0.1289895217123035	ADCYAP1R1;CACNA1C	0.9235910950014302	False
Cell adhesion molecules	3	18	160	2262	1.273	2.356	0.12974318200048848	CADM3;CDH4;NRXN3	0.9235910950014302	False
Asthma	1	2	160	2262	0.141	7.069	0.136493519647144	FCER1A	0.9235910950014302	False
Th17 cell differentiation	2	10	160	2262	0.707	2.827	0.15403649537689	NFATC1;RUNX1	0.9235910950014302	False
Other types of O-glycan biosynthesis	1	3	160	2262	0.212	4.712	0.1976267217960188	GALNT17	0.9235910950014302	False
Nicotine addiction	1	3	160	2262	0.212	4.712	0.1976267217960188	CHRNA4	0.9235910950014302	False
Mucin type O-glycan biosynthesis	1	3	160	2262	0.212	4.712	0.1976267217960188	GALNT17	0.9235910950014302	False
Inflammatory bowel disease	1	3	160	2262	0.212	4.712	0.1976267217960188	NFATC1	0.9235910950014302	False
cGMP-PKG signaling pathway	2	12	160	2262	0.849	2.356	0.20638108642667996	CACNA1C;NFATC1	0.9235910950014302	False
Insulin secretion	2	13	160	2262	0.92	2.175	0.23322681422364533	ADCYAP1R1;CACNA1C	0.9235910950014302	False
Oxytocin signaling pathway	2	13	160	2262	0.92	2.175	0.23322681422364533	CACNA1C;NFATC1	0.9235910950014302	False
Phosphatidylinositol signaling system	2	13	160	2262	0.92	2.175	0.23322681422364533	DGKI;PIP4K2A	0.9235910950014302	False
Long-term potentiation	1	5	160	2262	0.354	2.827	0.30728560808955335	CACNA1C	0.9235910950014302	False
Chronic myeloid leukemia	1	5	160	2262	0.354	2.827	0.30728560808955335	RUNX1	0.9235910950014302	False
Glioma	1	5	160	2262	0.354	2.827	0.30728560808955335	IGF1R	0.9235910950014302	False
GnRH signaling pathway	1	5	160	2262	0.354	2.827	0.30728560808955335	CACNA1C	0.9235910950014302	False
Lysine degradation	2	16	160	2262	1.132	1.767	0.31430667736288087	PRDM16;SMYD3	0.9235910950014302	False
Transcriptional misregulation in cancer	3	28	160	2262	1.981	1.515	0.31757819675124827	CDK14;IGF1R;RUNX1	0.9235910950014302	False
cAMP signaling pathway	3	29	160	2262	2.051	1.463	0.3375625154122904	ADCYAP1R1;CACNA1C;NFATC1	0.9235910950014302	False
Melanoma	1	6	160	2262	0.424	2.356	0.3563925211182071	IGF1R	0.9235910950014302	False
Vasopressin-regulated water reabsorption	1	6	160	2262	0.424	2.356	0.3563925211182071	DYNC1I1	0.9235910950014302	False
Arachidonic acid metabolism	1	6	160	2262	0.424	2.356	0.3563925211182071	GPX6	0.9235910950014302	False
Phospholipase D signaling pathway	2	19	160	2262	1.344	1.488	0.3934589042782677	DGKI;FCER1A	0.9235910950014302	False
Signaling pathways regulating pluripotency of stem cells	2	19	160	2262	1.344	1.488	0.3934589042782677	IGF1R;ZFHX3	0.9235910950014302	False
Inositol phosphate metabolism	1	7	160	2262	0.495	2.02	0.4020384416062774	PIP4K2A	0.9235910950014302	False
Oocyte meiosis	1	7	160	2262	0.495	2.02	0.4020384416062774	IGF1R	0.9235910950014302	False
Progesterone-mediated oocyte maturation	1	7	160	2262	0.495	2.02	0.4020384416062774	IGF1R	0.9235910950014302	False
MAPK signaling pathway	3	33	160	2262	2.334	1.285	0.4167334181640826	CACNA1C;IGF1R;NFATC1	0.9235910950014302	False
Glycosaminoglycan biosynthesis	1	8	160	2262	0.566	1.767	0.44446586925283876	HS3ST2	0.9235910950014302	False
Arrhythmogenic right ventricular cardiomyopathy	1	8	160	2262	0.566	1.767	0.44446586925283876	CACNA1C	0.9235910950014302	False
Dilated cardiomyopathy	1	8	160	2262	0.566	1.767	0.44446586925283876	CACNA1C	0.9235910950014302	False
C-type lectin receptor signaling pathway	1	8	160	2262	0.566	1.767	0.44446586925283876	NFATC1	0.9235910950014302	False
Amphetamine addiction	1	8	160	2262	0.566	1.767	0.44446586925283876	CACNA1C	0.9235910950014302	False
Fc epsilon RI signaling pathway	1	8	160	2262	0.566	1.767	0.44446586925283876	FCER1A	0.9235910950014302	False
Th1 and Th2 cell differentiation	1	8	160	2262	0.566	1.767	0.44446586925283876	NFATC1	0.9235910950014302	False
Maturity onset diabetes of the young	1	8	160	2262	0.566	1.767	0.44446586925283876	NR5A2	0.9235910950014302	False
Thyroid hormone synthesis	1	8	160	2262	0.566	1.767	0.44446586925283876	GPX6	0.9235910950014302	False
GnRH secretion	1	8	160	2262	0.566	1.767	0.44446586925283876	CACNA1C	0.9235910950014302	False
GABAergic synapse	1	8	160	2262	0.566	1.767	0.44446586925283876	CACNA1C	0.9235910950014302	False
Hypertrophic cardiomyopathy	1	9	160	2262	0.637	1.571	0.4839004126954056	CACNA1C	0.9235910950014302	False
Glycerolipid metabolism	1	9	160	2262	0.637	1.571	0.4839004126954056	DGKI	0.9235910950014302	False
Acute myeloid leukemia	1	9	160	2262	0.637	1.571	0.4839004126954056	RUNX1	0.9235910950014302	False
Growth hormone synthesis, secretion and action	1	9	160	2262	0.637	1.571	0.4839004126954056	CACNA1C	0.9235910950014302	False
Olfactory transduction	4	51	160	2262	3.607	1.109	0.49243389734077075	OR10J3;OR10K2;OR14J1;OR2M3	0.9235910950014302	False
Glutathione metabolism	1	10	160	2262	0.707	1.414	0.5205519590641295	GPX6	0.9235910950014302	False
Cortisol synthesis and secretion	1	10	160	2262	0.707	1.414	0.5205519590641295	CACNA1C	0.9235910950014302	False
Cardiac muscle contraction	1	10	160	2262	0.707	1.414	0.5205519590641295	CACNA1C	0.9235910950014302	False
