sample_barcode	missing_fraction
SIM-T001	0.009655172413793104
SIM-T002	0.01310344827586207
SIM-T003	0.010344827586206896
SIM-T004	0.016551724137931035
SIM-T005	0.011034482758620689
SIM-T006	0.013448275862068966
SIM-T007	0.012758620689655173
SIM-T008	0.009655172413793104
SIM-T009	0.011724137931034483
SIM-T010	0.015517241379310345
SIM-T011	0.011034482758620689
SIM-T012	0.01
SIM-T013	0.015862068965517243
SIM-T014	0.015517241379310345
SIM-T015	0.012413793103448275
SIM-T016	0.01
SIM-T017	0.01206896551724138
SIM-T018	0.011379310344827587
SIM-T019	0.01
SIM-T020	0.01206896551724138
SIM-T021	0.013448275862068966
SIM-T022	0.012758620689655173
SIM-T023	0.014137931034482758
SIM-T024	0.011034482758620689
SIM-T025	0.012413793103448275
SIM-T026	0.016206896551724137
SIM-T027	0.01206896551724138
SIM-T028	0.009310344827586206
SIM-T029	0.009655172413793104
SIM-T030	0.01
SIM-T031	0.011724137931034483
SIM-T032	0.012758620689655173
SIM-T033	0.013793103448275862
SIM-T034	0.010689655172413793
SIM-T035	0.01206896551724138
SIM-T036	0.01206896551724138
SIM-T037	0.01206896551724138
SIM-T038	0.011034482758620689
SIM-T039	0.014827586206896552
SIM-T040	0.38310344827586207
SIM-T041	0.009655172413793104
SIM-T042	0.01206896551724138
SIM-T043	0.011724137931034483
SIM-T044	0.011034482758620689
SIM-T045	0.011034482758620689
SIM-T046	0.010689655172413793
SIM-T047	0.01206896551724138
SIM-T048	0.01310344827586207
SIM-T049	0.015172413793103448
SIM-T050	0.01206896551724138
SIM-T051	0.012413793103448275
SIM-T052	0.009310344827586206
SIM-T053	0.01206896551724138
SIM-T054	0.009655172413793104
SIM-T055	0.011034482758620689
SIM-T056	0.011379310344827587
SIM-T057	0.009310344827586206
SIM-T058	0.01206896551724138
SIM-T059	0.011724137931034483
SIM-T060	0.01206896551724138
SIM-T061	0.015517241379310345
SIM-T062	0.010344827586206896
SIM-T063	0.010689655172413793
SIM-T064	0.40379310344827585
SIM-T065	0.011034482758620689
SIM-T066	0.008620689655172414
SIM-T067	0.014137931034482758
SIM-T068	0.012413793103448275
SIM-T069	0.011379310344827587
SIM-T070	0.012758620689655173
SIM-T071	0.013448275862068966
SIM-T072	0.011034482758620689
SIM-T073	0.011034482758620689
SIM-T074	0.01206896551724138
SIM-T075	0.012413793103448275
SIM-T076	0.012758620689655173
SIM-T077	0.38517241379310346
SIM-T078	0.011034482758620689
SIM-T079	0.013793103448275862
SIM-T080	0.00896551724137931
SIM-T081	0.014827586206896552
SIM-T082	0.011379310344827587
SIM-T083	0.012758620689655173
SIM-T084	0.011034482758620689
SIM-T085	0.012758620689655173
SIM-T086	0.010689655172413793
SIM-T087	0.012413793103448275
SIM-T088	0.014137931034482758
SIM-T089	0.013448275862068966
SIM-T090	0.01
SIM-N001	0.01206896551724138
SIM-N002	0.011379310344827587
SIM-N003	0.01206896551724138
SIM-N004	0.01206896551724138
SIM-N005	0.01
SIM-N006	0.013793103448275862
SIM-N007	0.013793103448275862
SIM-N008	0.009655172413793104
SIM-N009	0.013448275862068966
SIM-N010	0.014482758620689656
SIM-N011	0.013793103448275862
SIM-N012	0.012413793103448275
SIM-N013	0.012758620689655173
SIM-N014	0.37724137931034485
SIM-N015	0.014827586206896552
SIM-N016	0.01206896551724138
SIM-N017	0.011379310344827587
SIM-N018	0.01206896551724138
SIM-N019	0.015517241379310345
SIM-N020	0.015862068965517243
SIM-N021	0.014137931034482758
SIM-N022	0.015517241379310345
SIM-N023	0.011034482758620689
SIM-N024	0.011724137931034483
SIM-N025	0.013448275862068966
SIM-N026	0.006896551724137931
SIM-N027	0.010689655172413793
SIM-N028	0.01206896551724138
SIM-N029	0.012413793103448275
SIM-N030	0.01
SIM-N031	0.012413793103448275
SIM-N032	0.01310344827586207
SIM-N033	0.014827586206896552
SIM-N034	0.01
SIM-N035	0.01310344827586207
SIM-N036	0.01206896551724138
SIM-N037	0.011034482758620689
SIM-N038	0.013793103448275862
SIM-N039	0.01
SIM-N040	0.011379310344827587
