gene	function
7SK	7SK RNA
A1BG	alpha-1-B glycoprotein — The protein encoded by this gene is a plasma glycoprotein of unknown function. The protein shows sequence similarity to the variable regions of some immunoglobulin supergene family member proteins.
A1BG-AS1	A1BG antisense RNA 1 (non-coding RNA; limited characterised function).
A1CF	APOBEC1 complementation factor — Mammalian apolipoprotein B mRNA undergoes site-specific C to U deamination, which is mediated by a multi-component enzyme complex containing a minimal core composed of APOBEC-1 and a complementation factor encoded by this gene. The gene...
A3GALT2	alpha 1,3-galactosyltransferase 2 — Predicted to enable N-acetyllactosaminide 3-alpha-galactosyltransferase activity and alpha-1,3-galactosyltransferase activity. Predicted to be involved in lipid glycosylation.
AAAS	aladin WD repeat nucleoporin — The protein encoded by this gene is a member of the WD-repeat family of regulatory proteins and may be involved in normal development of the peripheral and central nervous system. The encoded protein is part of the nuclear pore complex a...
AACSP1	acetoacetyl-CoA synthetase pseudogene 1 (pseudogene).
AADACL2-AS1	AADACL2 antisense RNA 1 (non-coding RNA; limited characterised function).
AADACL3	arylacetamide deacetylase like 3 — Predicted to enable hydrolase activity. Predicted to be integral component of membrane.
AADACP1	arylacetamide deacetylase pseudogene 1 (pseudogene).
AADAT	aminoadipate aminotransferase — This gene encodes a protein that is highly similar to mouse and rat kynurenine aminotransferase II. The rat protein is a homodimer with two transaminase activities.
AAK1	AP2 associated kinase 1 — This gene encodes a member of the SNF1 subfamily of serine/threonine protein kinases. Adaptor-related protein complex 2 (AP-2 complexes) functions during receptor-mediated endocytosis to trigger clathrin assembly, interact with membrane-...
AARS2	alanyl-tRNA synthetase 2, mitochondrial — The protein encoded by this gene belongs to the class-II aminoacyl-tRNA synthetase family. Aminoacyl-tRNA synthetases play critical roles in mRNA translation by charging tRNAs with their cognate amino acids.
AATK	apoptosis associated tyrosine kinase — The protein encoded by this gene contains a tyrosine kinase domain at the N-terminus and a proline-rich domain at the C-terminus. This gene is induced during apoptosis, and expression of this gene may be a necessary pre-requisite for the...
ABAT	4-aminobutyrate aminotransferase — 4-aminobutyrate aminotransferase (ABAT) is responsible for catabolism of gamma-aminobutyric acid (GABA), an important, mostly inhibitory neurotransmitter in the central nervous system, into succinic semialdehyde. The active enzyme is a h...
ABCA1	ATP binding cassette subfamily A member 1 — The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intracellular membranes.
ABCA13	ATP binding cassette subfamily A member 13 — In human, the ATP-binding cassette (ABC) family of transmembrane transporters has at least 48 genes and 7 gene subfamilies. This gene is a member of ABC gene subfamily A (ABCA).
ABCA8	ATP binding cassette subfamily A member 8 — The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intracellular membranes.
ABCA9	ATP binding cassette subfamily A member 9 — This gene is a member of the superfamily of ATP-binding cassette (ABC) transporters and the encoded protein contains two transmembrane domains and two nucleotide binding folds. ABC proteins transport various molecules across extra- and i...
ABCA9-AS1	ABCA9 antisense RNA 1 (non-coding RNA; limited characterised function).
ABCB1	ATP binding cassette subfamily B member 1 — The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes.
ABCB4	ATP binding cassette subfamily B member 4 — The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters.  ABC proteins transport various molecules across extra- and intra-cellular membranes.
ABCB9	ATP binding cassette subfamily B member 9 — The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes.
ABCC1	ATP binding cassette subfamily C member 1 (ABCC1 blood group) — The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra-and intra-cellular membranes.
ABCC11	ATP binding cassette subfamily C member 11 — The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes.
ABCC13	ATP binding cassette subfamily C member 13 (pseudogene) (pseudogene).
ABCC3	ATP binding cassette subfamily C member 3 — The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes.
ABCC5	ATP binding cassette subfamily C member 5 — The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes.
ABCC9	ATP binding cassette subfamily C member 9 — The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes.
ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4 (pseudogene).
ABCD3	ATP binding cassette subfamily D member 3 — The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes.
ABCF1	ATP binding cassette subfamily F member 1 — The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes.
ABCG1	ATP binding cassette subfamily G member 1 — The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes.
ABCG5	ATP binding cassette subfamily G member 5 — The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes.
ABCG8	ATP binding cassette subfamily G member 8 — The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes.
ABHD10	abhydrolase domain containing 10, depalmitoylase — This gene encodes a mitochondrially-localized enzyme that acts in liver cells as a hydrolase. The encoded protein removes glucuronide from mycophenolic acid acyl-glucuronide.
ABHD12B	abhydrolase domain containing 12B — Predicted to enable acylglycerol lipase activity; lysophospholipase activity; and palmitoyl-(protein) hydrolase activity. Predicted to be involved in monoacylglycerol catabolic process and phosphatidylserine catabolic process.
ABHD14A	abhydrolase domain containing 14A — Predicted to enable hydrolase activity. Predicted to be integral component of membrane.
ABHD14A-ACY1	ABHD14A-ACY1 readthrough — This locus represents naturally occurring read-through transcription between the neighboring abhydrolase domain containing 14A (ABHD14A) and aminoacylase 1 (ACY1) genes on chromosome 3. The read-through transcript encodes a protein that...
ABHD14B	abhydrolase domain containing 14B — Enables hydrolase activity. Involved in positive regulation of transcription by RNA polymerase II.
ABHD15-AS1	ABHD15 antisense RNA 1 (non-coding RNA; limited characterised function).
ABHD17C	abhydrolase domain containing 17C, depalmitoylase — Enables palmitoyl-(protein) hydrolase activity. Involved in protein depalmitoylation.
ABHD2	abhydrolase domain containing 2, acylglycerol lipase — This gene encodes a protein containing an alpha/beta hydrolase fold, which is a catalytic domain found in a wide range of enzymes. The encoded protein is an acylglycerol lipase that catalyzes the hydrolysis of endocannabinoid arachidonoy...
ABHD3	abhydrolase domain containing 3, phospholipase — This gene encodes a protein containing an alpha/beta hydrolase fold, which is a catalytic domain found in a very wide range of enzymes. The function of this protein has not been determined.
ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B — Predicted to enable lysophosphatidic acid acyltransferase activity and lysophospholipase activity. Predicted to be involved in N-acylphosphatidylethanolamine metabolic process; lipid homeostasis; and phosphatidic acid biosynthetic process.
ABI1	abl interactor 1 — This gene encodes a member of the Abelson-interactor family of adaptor proteins. These proteins facilitate signal transduction as components of several multiprotein complexes, and regulate actin polymerization and cytoskeletal remodeling...
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase — This gene is a protooncogene that encodes a protein tyrosine kinase involved in a variety of cellular processes, including cell division, adhesion, differentiation, and response to stress. The activity of the protein is negatively regula...
ABLIM1	actin binding LIM protein 1 — This gene encodes a LIM zinc-binding domain-containing protein that binds to actin filaments and mediates interactions between actin and cytoplasmic targets. Alternatively spliced transcript variants encoding different isoforms have been...
ABLIM2	actin binding LIM protein family member 2 — Predicted to enable actin filament binding activity. Predicted to be involved in lamellipodium assembly.
ABLIM3	actin binding LIM protein family member 3 — This gene encodes a member of the actin-binding LIM (abLIM) family of proteins. These proteins are characterized by an N-terminal LIM domain and a C-terminal dematin-like domain.
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase — This gene encodes proteins related to the first discovered blood group system, ABO. Variation in the ABO gene (chromosome 9q34.2) is the basis of the ABO blood group, thus the presence of an allele determines the blood group in an indivi...
ABR	ABR activator of RhoGEF and GTPase — This gene encodes a protein that is similar to the protein encoded by the breakpoint cluster region gene located on chromosome 22. The protein encoded by this gene contains a GTPase-activating protein domain, a domain found in members of...
