sample_barcode	sample_class	sample_group_label	sample_type	PC1	PC2
TCGA-A1-A0SK-01A	tumor	Basal	Primary Tumor	3.969768108429879	-2.196306471620141
TCGA-A1-A0SO-01A	tumor	Basal	Primary Tumor	3.4081515290304907	1.4022148691124692
TCGA-A1-A0SP-01A	tumor	Basal	Primary Tumor	3.2685644069136743	-0.6694960758271831
TCGA-A2-A0ST-01A	tumor	Basal	Primary Tumor	5.30420971328811	-0.8089890175808804
TCGA-A2-A0SX-01A	tumor	Basal	Primary Tumor	4.953069025403234	-1.417193096144917
TCGA-A2-A0T0-01A	tumor	Basal	Primary Tumor	3.13218204359029	-3.6555982037473966
TCGA-A2-A0T2-01A	tumor	Basal	Primary Tumor	1.9821801404872605	-2.770171953156974
TCGA-A2-A0YE-01A	tumor	Basal	Primary Tumor	1.521349055956367	-4.617831222230078
TCGA-A2-A0YJ-01A	tumor	Basal	Primary Tumor	1.7281259639849862	-6.345303323339249
TCGA-A2-A0YM-01A	tumor	Basal	Primary Tumor	4.840694001954186	1.5276696007567727
TCGA-A2-A1G1-01A	tumor	Basal	Primary Tumor	2.5548167266859014	-1.3207550423513523
TCGA-A2-A25F-01A	tumor	Basal	Primary Tumor	5.718645765386318	0.16928511175969174
TCGA-A2-A3XS-01A	tumor	Basal	Primary Tumor	3.342801912157342	0.33563096077823207
TCGA-A2-A3XT-01A	tumor	Basal	Primary Tumor	3.3504086661178034	-1.8019222645673525
TCGA-A2-A3XU-01A	tumor	Basal	Primary Tumor	3.053906487361787	-3.672781505854003
TCGA-A2-A3XX-01A	tumor	Basal	Primary Tumor	4.230894920630474	-0.47081569470826673
TCGA-A2-A3XY-01A	tumor	Basal	Primary Tumor	4.489239796929719	-1.4430477707544431
TCGA-A2-A3Y0-01A	tumor	Basal	Primary Tumor	3.3651332570765473	-3.930224814506055
TCGA-A2-A4RX-01A	tumor	Basal	Primary Tumor	4.642952579918066	-0.6061077651148191
TCGA-A2-A4S1-01A	tumor	Basal	Primary Tumor	1.9807779781871455	-3.477473498085415
TCGA-A7-A13D-01A	tumor	Basal	Primary Tumor	3.5475608424079836	-0.6637366102841554
TCGA-A7-A13E-01A	tumor	Basal	Primary Tumor	1.7042937471041715	-1.195696492316147
TCGA-A7-A26F-01A	tumor	Basal	Primary Tumor	1.8729876665719771	0.45171687982476516
TCGA-A7-A26F-01B	tumor	Basal	Primary Tumor	2.003318390454372	1.3447212068705952
TCGA-A7-A26G-01A	tumor	Basal	Primary Tumor	3.9717578369733983	-2.788424312077761
TCGA-A7-A26I-01A	tumor	Basal	Primary Tumor	4.336218725400138	-2.474838318341726
TCGA-A7-A4SD-01A	tumor	Basal	Primary Tumor	1.7431853357198352	-7.109888243601972
TCGA-A7-A4SE-01A	tumor	Basal	Primary Tumor	3.4824885669572683	-1.8325987299021351
TCGA-A7-A5ZV-01A	tumor	Basal	Primary Tumor	3.0064856560424125	3.736104496008855
TCGA-A7-A6VV-01A	tumor	Basal	Primary Tumor	3.759876190648132	-2.6410787395983393
TCGA-A7-A6VW-01A	tumor	Basal	Primary Tumor	2.61907409330391	1.4749894846672964
TCGA-A7-A6VY-01A	tumor	Basal	Primary Tumor	2.688223988024605	-1.1218715208658332
TCGA-AC-A2BK-01A	tumor	Basal	Primary Tumor	1.6678244634817554	-2.6894280210047596
TCGA-AC-A2QH-01A	tumor	Basal	Primary Tumor	1.929545237236086	-2.2379504653104165
TCGA-AC-A2QH-01B	tumor	Basal	Primary Tumor	0.9671486557788994	-3.4956643366727738
TCGA-AC-A2QJ-01A	tumor	Basal	Primary Tumor	3.069469740263426	-4.277949909372799
TCGA-AC-A62X-01A	tumor	Basal	Primary Tumor	3.4771824105447964	1.6150971881016147
TCGA-AC-A6IW-01A	tumor	Basal	Primary Tumor	4.4170738531243146	-1.0763439105984176
TCGA-AC-A7VC-01A	tumor	Basal	Primary Tumor	2.5159461760074313	-4.120900894910203
TCGA-AC-A8OQ-01A	tumor	Basal	Primary Tumor	3.2102903597598993	-5.340476735816794
TCGA-AN-A0XU-01A	tumor	Basal	Primary Tumor	4.464643909439257	-0.7996970312505752
TCGA-AO-A0JL-01A	tumor	Basal	Primary Tumor	1.664442209248161	-1.9088211452501276
TCGA-AO-A124-01A	tumor	Basal	Primary Tumor	0.7610833563092824	-9.704824914971455
TCGA-AO-A128-01A	tumor	Basal	Primary Tumor	4.0621604499614055	-0.795510579304002
TCGA-AO-A129-01A	tumor	Basal	Primary Tumor	4.228149596217226	-2.234865267244645
TCGA-AO-A1KR-01A	tumor	Basal	Primary Tumor	2.548176931218325	0.38296734631126
TCGA-AQ-A54N-01A	tumor	Basal	Primary Tumor	4.049754226415625	-1.5136089276612783
TCGA-AR-A0TP-01A	tumor	Basal	Primary Tumor	3.5458648225890044	0.9619858337165045
TCGA-AR-A0TU-01A	tumor	Basal	Primary Tumor	4.501000576254433	1.1869795102216725
TCGA-AR-A0U0-01A	tumor	Basal	Primary Tumor	3.171740446210501	-0.6618574284429232
TCGA-AR-A0U4-01A	tumor	Basal	Primary Tumor	5.444715809341219	0.5382745881182557
TCGA-AR-A1AI-01A	tumor	Basal	Primary Tumor	3.325295626437768	-4.275819071563935
TCGA-AR-A1AJ-01A	tumor	Basal	Primary Tumor	5.4055477489854455	0.15473802386867175
