sample_barcode	sample_class	sample_type	PC1	PC2
TCGA-A1-A0SK-01A	tumor	Primary Tumor	-2.302539602035698	2.7501761390344304
TCGA-A1-A0SO-01A	tumor	Primary Tumor	-2.881368291739312	3.786604839832386
TCGA-A1-A0SP-01A	tumor	Primary Tumor	-2.124358165397455	-0.06381143514445616
TCGA-A2-A0ST-01A	tumor	Primary Tumor	0.7161601925201613	-3.5723237007498883
TCGA-A2-A0SX-01A	tumor	Primary Tumor	-1.0746168900289612	-0.1025788410119753
TCGA-A2-A0T0-01A	tumor	Primary Tumor	-1.934120718133562	-1.410714798020985
TCGA-A2-A0T2-01A	tumor	Primary Tumor	-4.388789781133528	0.7104476421053615
TCGA-A2-A0YE-01A	tumor	Primary Tumor	-4.233662494474047	-1.2196819489385735
TCGA-A2-A0YJ-01A	tumor	Primary Tumor	-5.026205245151712	-2.4221340535973526
TCGA-A2-A0YM-01A	tumor	Primary Tumor	-3.0320729093681535	3.3326685602828436
TCGA-A2-A1G1-01A	tumor	Primary Tumor	-2.8509547639815365	-1.2370724450032746
TCGA-A2-A25F-01A	tumor	Primary Tumor	1.6104186407441412	-3.5457449518822424
TCGA-A2-A3XS-01A	tumor	Primary Tumor	-3.177411129672843	1.9484320380416407
TCGA-A2-A3XT-01A	tumor	Primary Tumor	-1.7402042874320967	-0.8094183222352057
TCGA-A2-A3XU-01A	tumor	Primary Tumor	-4.286438039225574	1.7650557213114255
TCGA-A2-A3XX-01A	tumor	Primary Tumor	-1.745291592975015	1.2874023969286226
TCGA-A2-A3XY-01A	tumor	Primary Tumor	-1.0796194510530515	-0.8515155051562548
TCGA-A2-A3Y0-01A	tumor	Primary Tumor	-2.6718693215748988	-2.820916015811266
TCGA-A2-A4RX-01A	tumor	Primary Tumor	-0.24306803859286524	0.49052809130082875
TCGA-A2-A4S1-01A	tumor	Primary Tumor	-2.227557571468531	-3.8903753158912195
TCGA-A7-A13D-01A	tumor	Primary Tumor	-3.2460832773995407	1.9684580710507438
TCGA-A7-A13E-01A	tumor	Primary Tumor	-6.664335638465564	1.9042367577786141
TCGA-A7-A26F-01A	tumor	Primary Tumor	-1.9948283393908524	-0.6861848447133915
TCGA-A7-A26F-01B	tumor	Primary Tumor	-1.6742946666426406	-0.12367843220179649
TCGA-A7-A26G-01A	tumor	Primary Tumor	-0.7723522067809782	-2.3253376597453848
TCGA-A7-A26I-01A	tumor	Primary Tumor	-1.1505511923973104	0.48709962770453286
TCGA-A7-A4SD-01A	tumor	Primary Tumor	-3.7369141591946122	-5.645046684986415
TCGA-A7-A4SE-01A	tumor	Primary Tumor	-1.8029163367252057	0.4023205587177289
TCGA-A7-A5ZV-01A	tumor	Primary Tumor	-3.788479562818485	3.6345227851303146
TCGA-A7-A6VV-01A	tumor	Primary Tumor	-2.3217154847661834	0.05907310027816483
TCGA-A7-A6VW-01A	tumor	Primary Tumor	-2.707248131772184	1.744426049956673
TCGA-A7-A6VY-01A	tumor	Primary Tumor	-3.202285556234379	-0.49858102090187667
TCGA-AC-A2BK-01A	tumor	Primary Tumor	-6.264928266647399	0.6769417298135947
TCGA-AC-A2QH-01A	tumor	Primary Tumor	-1.9538491482926013	-2.0839307516405534
TCGA-AC-A2QH-01B	tumor	Primary Tumor	-3.1344644736068727	-2.448329047127941
TCGA-AC-A2QJ-01A	tumor	Primary Tumor	-1.1763740316205782	-4.506430677352341
TCGA-AC-A62X-01A	tumor	Primary Tumor	-4.176716383781043	5.149988472215289
TCGA-AC-A6IW-01A	tumor	Primary Tumor	-1.913655180239639	-1.0851461881130118
TCGA-AC-A7VC-01A	tumor	Primary Tumor	-1.0795864435986842	-3.738288514989959
TCGA-AC-A8OQ-01A	tumor	Primary Tumor	-2.3024011653894125	-4.810618452768482
TCGA-AN-A0XU-01A	tumor	Primary Tumor	-2.1963258112096535	2.0637666106227446
TCGA-AO-A0JL-01A	tumor	Primary Tumor	-5.300541966855296	2.1179123499613386
TCGA-AO-A124-01A	tumor	Primary Tumor	-6.3442072087155825	-4.4741733599630615
TCGA-AO-A128-01A	tumor	Primary Tumor	-0.2599442485484879	-2.941298794603853
TCGA-AO-A129-01A	tumor	Primary Tumor	-1.2571328044270853	-1.8753149630437105
TCGA-AO-A1KR-01A	tumor	Primary Tumor	-2.878951684695079	0.7722304040807828
TCGA-AQ-A54N-01A	tumor	Primary Tumor	-4.989104293910972	4.104822486321173
TCGA-AR-A0TP-01A	tumor	Primary Tumor	-3.006968167311288	5.538832425759289
TCGA-AR-A0TU-01A	tumor	Primary Tumor	-1.7496315411414818	1.829003013873056
TCGA-AR-A0U0-01A	tumor	Primary Tumor	-2.251188797904115	-0.8804103088133799
TCGA-AR-A0U4-01A	tumor	Primary Tumor	-0.22897713060921235	-0.35937115571770645
TCGA-AR-A1AI-01A	tumor	Primary Tumor	-3.3632419755484437	-3.7182805473590905
TCGA-AR-A1AJ-01A	tumor	Primary Tumor	0.3810861027070346	-1.50741017230347
TCGA-AR-A1AQ-01A	tumor	Primary Tumor	-0.9265269803457739	-0.5148080049588318
TCGA-AR-A1AR-01A	tumor	Primary Tumor	-1.3173376099126015	0.060229181139370994
TCGA-AR-A1AY-01A	tumor	Primary Tumor	-2.3560530326354265	5.306211104464903
TCGA-AR-A24Q-01A	tumor	Primary Tumor	-2.9265523508676807	0.19709862100367256
TCGA-AR-A251-01A	tumor	Primary Tumor	-3.258925388327899	0.0726093008733756
TCGA-AR-A256-01A	tumor	Primary Tumor	-6.75764728400061	-1.6333910096835873
TCGA-AR-A2LR-01A	tumor	Primary Tumor	-2.288634589313722	3.3136389485749795
TCGA-AR-A5QQ-01A	tumor	Primary Tumor	-0.1721020117769504	-2.9400337234598495
TCGA-B6-A0I1-01A	tumor	Primary Tumor	-4.99961081529729	-0.6042590169970377
TCGA-B6-A0RE-01A	tumor	Primary Tumor	-4.059936397637653	1.6612840465485053
TCGA-B6-A0RT-01A	tumor	Primary Tumor	1.6764253818707586	-2.2543935334298473
TCGA-B6-A0RU-01A	tumor	Primary Tumor	-0.3054428335107781	2.5791084711200694
TCGA-B6-A0WX-01A	tumor	Primary Tumor	-1.071605615598703	1.7558371490773972
TCGA-B6-A0X1-01A	tumor	Primary Tumor	-2.1661855940054315	0.38147599654861686
TCGA-B6-A1KF-01A	tumor	Primary Tumor	-5.08776403002353	3.681611663635801
TCGA-B6-A3ZX-01A	tumor	Primary Tumor	1.0077831115329106	-2.5612710110673658
TCGA-B6-A400-01A	tumor	Primary Tumor	-2.6557902514007967	-0.692805048105479
TCGA-B6-A402-01A	tumor	Primary Tumor	-2.5983497647063314	1.4110878980886072
TCGA-B6-A409-01A	tumor	Primary Tumor	-2.0940300761827673	-0.431900829686457
TCGA-BH-A0B3-01A	tumor	Primary Tumor	-2.0737738105304935	-0.9491895263591262
TCGA-BH-A0B9-01A	tumor	Primary Tumor	-1.3893069391661699	-0.37803187016636486
TCGA-BH-A0E0-01A	tumor	Primary Tumor	-3.4887740066234345	-0.004165970422921114
TCGA-BH-A0RX-01A	tumor	Primary Tumor	0.33636598258601613	-2.744171767781956
TCGA-BH-A0WA-01A	tumor	Primary Tumor	-3.086439909142796	0.44940734368400514
TCGA-BH-A1F0-01A	tumor	Primary Tumor	0.425591793861337	-3.5275321376330444
TCGA-BH-A1F6-01A	tumor	Primary Tumor	-1.853912638077073	1.2928536377750868
TCGA-BH-A1FC-01A	tumor	Primary Tumor	-2.6670795179488755	2.041484625777069
TCGA-BH-A5IZ-01A	tumor	Primary Tumor	-2.8890252105217566	0.23577202712268805
TCGA-C8-A1HJ-01A	tumor	Primary Tumor	-3.339266169825079	0.5278289152918795
TCGA-C8-A27B-01A	tumor	Primary Tumor	-3.0611385357236753	-0.031176827838076886
TCGA-D8-A1JK-01A	tumor	Primary Tumor	-3.7690846671857163	-4.726932855042454
TCGA-D8-A1JL-01A	tumor	Primary Tumor	-0.7326385099100543	-0.5614692607932509
TCGA-D8-A1JM-01A	tumor	Primary Tumor	-2.8623248690894156	5.177795854129966
TCGA-D8-A1XK-01A	tumor	Primary Tumor	-0.13876552181534976	0.8451018078934427
TCGA-D8-A1XQ-01A	tumor	Primary Tumor	-4.143559501765871	-2.512909753129545
TCGA-D8-A27F-01A	tumor	Primary Tumor	-3.4600277607363634	0.9245366813518918
TCGA-D8-A27H-01A	tumor	Primary Tumor	-3.2881734288828617	1.8468390162107158
TCGA-D8-A27M-01A	tumor	Primary Tumor	-1.3622524838271368	-3.0371342958916325
TCGA-E2-A14N-01A	tumor	Primary Tumor	0.4591881062199299	-0.24515704081497783
TCGA-E2-A1AZ-01A	tumor	Primary Tumor	-1.6697794919843423	-0.3682445939435026
TCGA-E2-A1B6-01A	tumor	Primary Tumor	1.3288992050408122	-3.5963330474770556
TCGA-E2-A1II-01A	tumor	Primary Tumor	-1.3863170910727465	-2.4279885886382155
TCGA-E2-A1LG-01A	tumor	Primary Tumor	-3.5534688030453925	-2.5661161506518835
TCGA-E2-A1LH-01A	tumor	Primary Tumor	-0.9233259079361473	-1.0286149949513386
TCGA-E2-A1LI-01A	tumor	Primary Tumor	-2.7472574134901793	-1.9041658384773579
TCGA-E2-A1LK-01A	tumor	Primary Tumor	-5.591245250120984	4.161035891395774
TCGA-E2-A1LL-01A	tumor	Primary Tumor	-3.452852776933978	-3.5611291857184444
TCGA-E2-A1LS-01A	tumor	Primary Tumor	-5.24883595147021	1.9807782755825631
TCGA-E2-A573-01A	tumor	Primary Tumor	-1.088947247829476	-1.2502424620974069
TCGA-E2-A574-01A	tumor	Primary Tumor	-6.2923945303591	-0.9729549823007996
TCGA-E9-A1N8-01A	tumor	Primary Tumor	-3.821167740551954	3.7051729270012204
TCGA-E9-A1N9-01A	tumor	Primary Tumor	-0.9539088902707386	1.712638308827625
TCGA-E9-A1NC-01A	tumor	Primary Tumor	-1.5786245058218815	-2.7784860998252485
TCGA-E9-A1ND-01A	tumor	Primary Tumor	-1.6518366483280449	-1.6488296171226076
TCGA-E9-A22G-01A	tumor	Primary Tumor	-5.757903510218256	0.6399171352769529
TCGA-E9-A243-01A	tumor	Primary Tumor	-0.38438183456006286	-3.5917356998968417
TCGA-E9-A244-01A	tumor	Primary Tumor	-2.6813383759398324	-0.7570467877542751
TCGA-E9-A3QA-01A	tumor	Primary Tumor	0.00840766511695126	-2.892718478723349
TCGA-E9-A5FL-01A	tumor	Primary Tumor	-0.08451921045318288	-1.5921970550779898
TCGA-EW-A1OW-01A	tumor	Primary Tumor	-4.967744677430283	-1.713793401201476
