term	direction	library	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p	missmethyl_p	missmethyl_fdr	missmethyl_n_genes	missmethyl_de_genes	methylgsa_direction_p	methylgsa_direction_padj	methylgsa_direction_nes	methylgsa_size	methylgsa_direction_core	methylgsa_all_p	methylgsa_all_padj	methylgsa_all_nes	methylgsa_all_core	ora_significant	missmethyl_significant	methylgsa_direction_significant	methylgsa_all_significant
kegg_pluripotency_stem_cell_signaling	hypermethylated	Longevity	139	6368	33010	55	ACVR1,ACVR2A,AKT2,AKT3,APC,APC2,BMP4,BMPR1A,DLX5,ESRRB,FGF2,FGFR1,FZD10,FZD5,FZD7,HAND1,HOXA1,HOXD1,ID1,ID4,IGF1,INHBA,ISL1,JAK1,JAK3,JARID2,LEFTY2,LHX5,LIFR,MAPK3,MEIS1,MYF5,NANOG,NODAL,ONECUT1,OTX1,PAX6,PIK3CA,PIK3CD,PIK3R1,RIF1,SMAD3,SMAD4,SOX2,WNT1,WNT10A,WNT11,WNT16,WNT2,WNT3,WNT3A,WNT5B,WNT7B,WNT9B,ZFHX3	2.45863547523397e-08	3.44208966532756e-07	0.0182072929503461	0.101576904923175	141	53	0.00568867929109876	0.0796415100753826	1.22320660133062	140	APC/APC2/BMP4/DLX5/ESX1/FGF2/FGFR1/FZD10/HAND1/HOXA1/ID4/ISL1/JAK3/LHX5/NEUROG1/ONECUT1/OTX1/PAX6/WNT1/WNT10A/WNT16/WNT2/WNT3A/WNT7A/PIK3CD/FZD7/MEIS1/HOXD1/WNT7B/WNT9B/MYF5/NODAL/ZFHX3/ACVR2A/WNT6/PIK3R1/TCF7/JARID2/TCF3/AKT1/FZD9/ZIC3/PCGF3/ACVR1/WNT2B/SMAD3/WNT5B/ESRRB/WNT9A/IGF1/PIK3CA/WNT3/AXIN2/AKT2/FZD8/MAP2K2/SMAD9/DUSP9/AXIN1/LEFTY2/MAPK11/ACVR1C/AKT3/IGF1R/ID1/WNT5A/FZD5/GRB2/FGFR2/BMPR1A/NANOG/DVL3/WNT11/JAK1/DVL2/INHBC/FGFR3/WNT4/NRAS	0.00635792665045164	0.0445054865531615	1.33461635135059	AKT3/APC/APC2/BMP4/DLX5/ESRRB/ESX1/FGF2/FGFR1/FZD10/HAND1/HOXA1/ID4/IGF1R/ISL1/JAK3/LHX5/MEIS1/NEUROG1/ONECUT1/OTX1/PAX6/PIK3CD/SMAD9/WNT1/WNT10A/WNT11/WNT16/WNT2/WNT3A/WNT7A/ZFHX3/JARID2/FZD7/PCGF3/WNT7B/WNT5B/WNT9A/NODAL/HOXD1/PIK3R1/AKT1/POU5F1/BMPR1A/WNT9B/FGFR3/MYF5/FGFR4/IGF1/SMAD3/GRB2/ACVR2A/TCF3/WNT6/TCF7/FZD9/AXIN1/ACVR1/BMPR1B/ZIC3/WNT3/AXIN2	TRUE	FALSE	FALSE	TRUE
reactome_pluripotent_stem_cell_transcription	hypermethylated	Longevity	28	6368	33010	18	CDX2,DKK1,EOMES,EPHA1,FOXD3,GATA6,GSC,HIF3A,LIN28A,NANOG,NR5A1,PBX1,PRDM14,SALL1,SALL4,SMAD4,SOX2,ZSCAN10	2.36858825555256e-07	1.65801177888679e-06	0.000846823073579153	0.0118555230301081	29	17	0.0172726467693573	0.0806056849236676	1.33850347688804	28	CDX2/DKK1/EOMES/HIF3A/PRDM14/SALL1/FOXP1/GSC/PBX1/FOXD3/NR5A1/ZIC3/NR6A1/EPHA1/HHEX/EPAS1/GATA6/NANOG/SALL4/TSC22D1	0.0390781563126252	0.182364729458918	1.44255436067084	CDX2/DKK1/EOMES/FGF13/FOXP1/HIF3A/PBX1/PRDM14/SALL1/EPHA1/GSC/FOXD3/EPAS1/NR5A1/ZIC3/DPPA4/NR6A1/SMAD2/HHEX	TRUE	TRUE	FALSE	FALSE
go_positive_regulation_stem_cell_differentiation	hypermethylated	Longevity	17	6368	33010	10	FOXC1,HOXB4,LTBP2,NKX2-5,SOX5,SOX6,SOX9,TBX5,TCF15,TGFB2	0.000361520076165521	0.00168709368877243	0.0217664796263947	0.101576904923175	17	9	0.01643717153859	0.0806056849236676	1.419302299026	17	HOXB4/TBX5/TCF15/TGFB2/NKX2-5/FOXC1/LTBP2/SOX5/PTN	0.000579590695466707	0.0081142697365339	1.87787243206239	HOXB4/PTN/SOX5/TBX5/TCF15/TGFB2/LTBP2/NKX2-5/FOXC1	TRUE	FALSE	FALSE	TRUE
kegg_ampk_signaling	hypermethylated	Longevity	116	6368	33010	35	AKT2,AKT3,CAMKK2,CCNA1,CFTR,CPT1A,CPT1B,CPT1C,CREB3L1,CREB3L2,CREB5,CRTC2,EEF2K,GYS1,IGF1,LEP,LEPR,PFKFB2,PFKFB4,PFKP,PIK3CA,PIK3CD,PIK3R1,PPP2R2A,PPP2R2B,PPP2R2C,PPP2R3A,PPP2R5C,RAB8A,RPTOR,SCD5,STK11,STRADA,TBC1D1,TSC2	0.00324434778683608	0.0113552172539263	0.78702457834818	0.997027621349001	119	30	0.0719280719280719	0.251748251748252	1.14302564691298	118	CCNA1/CPT1C/CREB3L1/LEP/LEPR/PPP2R2B/RPTOR/TSC2/PIK3CD/CFTR/PFKP/PPP2R2C/PPP2R5C/CPT1B/CREB5/TBC1D1/CPT1A/PFKFB3/ADRA1A/ULK1/PIK3R1/RAB11B/PRKAG2/SCD5/AKT1/LIPE/CAMKK2/IRS2/PPP2R3A/PPARG/IGF1/PIK3CA/EEF2K/CREB3L2/STK11/EEF2/GYS1/AKT2/PPP2R1A/PFKFB2/CRTC2/SLC2A4/AKT3/IGF1R/FOXO3/RAB8A/PDPK1/PRKAG3/FOXO1/SREBF1/PPARGC1A/ACACB/SCD/IRS4/MTOR/PPP2R5D/PPP2R1B/CAB39L/AKT1S1/PPP2R2D/PFKL/ELAVL1	0.121878121878122	0.426573426573427	1.17759126765083	ADRA1A/AKT3/CCNA1/CCND1/CPT1C/CREB3L1/CREB5/IGF1R/LEP/LEPR/PFKP/PIK3CD/PPP2R2B/PPP2R2C/PRKAG2/RPTOR/SCD5/TSC2/TBC1D1/CPT1A/PFKFB3/CFTR/PPP2R5C/PIK3R1/CPT1B/AKT1/HNF4A/CREB3L2/ULK1/INSR/IGF1/PPARG/RAB11B/ACACA/PPP2R3A/ADIPOQ/FBP1/CAMKK2/SREBF1/IRS2/SCD/LIPE/PFKFB2/PPARGC1A/PFKFB1/PCK1/IRS4/PIK3CA/PPP2CB/EEF2K/STK11/EEF2/IRS1/FOXO1/GYS1/RAB2A/AKT2/PPP2R1A/PPP2R2A/ACACB/CRTC2/SLC2A4/FOXO3/PPP2R2D/FASN/CAB39L/ADIPOR1/PDPK1/PPP2R5A/EIF4EBP1/PIK3CB/PRKAG3	TRUE	FALSE	FALSE	FALSE
kegg_mtor_signaling	hypermethylated	Longevity	150	6368	33010	39	AKT2,AKT3,ATP6V1B1,ATP6V1B2,ATP6V1E2,ATP6V1G2,BRAF,CLIP1,EIF4E1B,FNIP2,FZD10,FZD5,FZD7,IGF1,LRP5,MAPK3,PIK3CA,PIK3CD,PIK3R1,PRKCB,PRKCG,PRR5,RPTOR,SESN2,SGK1,SLC3A2,STK11,STRADA,TSC2,WNT1,WNT10A,WNT11,WNT16,WNT2,WNT3,WNT3A,WNT5B,WNT7B,WNT9B	0.0267395260155431	0.0748706728435207	0.949121339821081	0.997027621349001	154	33	0.215784215784216	0.503496503496504	1.06917414193206	143	FZD10/LRP5/PRKCB/PRKCG/RPTOR/SGK1/TSC2/WNT1/WNT10A/WNT16/WNT2/WNT3A/WNT7A/PIK3CD/FZD7/PRR5/WNT7B/RPS6KA2/GRB10/WNT9B/ULK1/FNIP2/WNT6/PIK3R1/TELO2/ATP6V1B2/SESN2/AKT1/ATP6V1B1/FZD9/LRP6/WNT2B/WNT5B/WNT9A/SLC3A2/IGF1/PIK3CA/WDR24/WNT3/STK11/AKT2/FZD8/FLCN/MAP2K2/ULK2/MLST8/TNFRSF1A/AKT3/IGF1R/WNT5A/FZD5/PDPK1/RRAGD/GRB2/SLC7A5/DVL3/WNT11/DVL2/WNT4/ATP6V1C2/NRAS/CLIP1/DEPDC5/MTOR/ATP6V1G2/CAB39L/SLC38A9/FZD4/DVL1/AKT1S1/RPS6KA3/PRKCA/INSR/PTEN/BRAF/DDIT4/MAPK1/ATP6V1C1/PIK3R2/CAB39/MAPK3/SEC13/RPS6KA1/LPIN1/FZD2/WDR59/MAP2K1/HRAS/LPIN3/PRKAA1/EIF4EBP1/IRS1/INS	0.551448551448551	1	0.977410834357302	AKT3/FZD10/GRB10/IGF1R/LRP5/PIK3CD/PRKCA/PRKCB/PRKCG/RPS6KA2/RPTOR/SGK1/TNF/TSC2/WNT1/WNT10A/WNT11/WNT16/WNT2/WNT3A/WNT7A/FZD7/PRR5/WNT7B/WNT5B/ATP6V1C2/WNT9A/PIK3R1/AKT1/ATP6V1B1/ULK1/INSR/WNT9B/IGF1/GRB2/TELO2/FNIP2/RRAGD/SLC3A2/SEC13/WNT6/FZD9/ATP6V1B2/IKBKB/SESN2/WNT3/WNT2B/LRP6/WNT5A/WNT4/SLC7A5/PIK3CA/FZD5/WDR24/STK11/IRS1/LPIN1/AKT2/ATP6V1C1/FZD8/FLCN/TBC1D7/MAP2K2/WNT10B/CLIP1/ATP6V1G3/ULK2/CAB39L/WNT8A/PDPK1/MLST8/EIF4EBP1/TNFRSF1A/RRAGB/EIF4E1B/PIK3CB/DVL1/RPS6KA1/ATP6V1G2/ATP6V1E2/DVL3/DEPDC5/ATP6V1G1/INS/CAB39/WNT8B/DVL2/RPS6KA3/STRADA/NRAS/MAPK1/MTOR/STRADB/SLC38A9/BRAF/HRAS/MAP2K1/MAPKAP1/FZD4/KRAS/PTEN/FZD6	FALSE	FALSE	FALSE	FALSE
kegg_foxo_signaling	hypermethylated	Longevity	126	6368	33010	29	AKT2,AKT3,BNIP3,BRAF,CCND2,CDKN1A,CREBBP,CSNK1E,EGFR,FOXG1,GRM1,HOMER1,IGF1,MAPK10,MAPK3,PIK3CA,PIK3CD,PIK3R1,S1PR1,SGK1,SMAD3,SMAD4,SOD2,STK11,TGFB2,TGFBR1,TGFBR2,TPTEP2-CSNK1E,USP7	0.17069489747597	0.398288094110596	0.921018034628853	0.997027621349001	128	26	0.693306693306693	0.808857808857809	0.951136033868557	127	CCND2/CREBBP/EGFR/FOXG1/GRM1/S1PR1/SGK1/TGFB2/PIK3CD/BCL6/CSNK1E/BNIP3/PIK3R1/PRKAG2/AKT1/USP7/AGAP2/CDKN1A/TGFBR2/SMAD3/MAPK10/IRS2/TGFBR1/IGF1/PIK3CA/STK11/AKT2/MAP2K2/SLC2A4/MAPK11/AKT3/IGF1R/FOXO3/HOMER3/FOXO4/PDPK1/GRB2/TGFB1/CDK2/PRKAG3/FOXO1/IRS4/NRAS/HOMER1/GADD45A/STAT3/INSR/ATM/PTEN/PRMT1/PLK3/NLK/BRAF/PCK2/MAPK1/PIK3R2/MAPK3/EGF/MAPK14/GABARAP/SMAD4/MAP2K1/HRAS/RAG2/SGK3/FBXO32/CDKN1B/PRKAA1/MAPK12/IRS1/INS	0.984015984015984	1	0.690556182020965	AKT3/CCND1/CCND2/CREBBP/EGFR/FOXG1/GRM1/IGF1R/PIK3CD/PRKAG2/S1PR1/SGK1/TGFB2/MAPK10/PIK3R1/AKT1/USP7/INSR/AGAP2/BCL6/IGF1/SMAD3/RAG1/GRB2/CSNK1E/BNIP3/TGFBR1/TGFBR2/IKBKB/IRS2/EGF/HOMER1/NLK/SGK2/CDKN1A/PCK1/FOXO4/IRS4/PIK3CA/MAPK13/STK11/IRS1/FOXO1/AKT2/HOMER3/MAP2K2/SLC2A4/FOXO3/CCNB3/PDPK1/TGFB1/ARAF/IL10/IL6/MAPK11/PIK3CB/PRKAG3	FALSE	FALSE	FALSE	FALSE
reactome_foxo_mediated_transcription	hypermethylated	Longevity	62	6368	33010	14	AKT2,AKT3,CDKN1A,CREBBP,FOXG1,NFYC,NPY,NR3C1,PLXNA4,POMC,SMAD3,SMAD4,STK11,YWHAG	0.301401808012083	0.468847256907685	0.853909763651511	0.997027621349001	64	13	0.612387612387612	0.808857808857809	0.962722401919943	63	CAV1/CREBBP/FOXG1/NPY/POMC/PLXNA4/NR3C1/BCL6/AKT1/NFYC/CDKN1A/SMAD3/STK11/BBC3/AKT2/MAP4K2/PCBP4/AKT3/YWHAG/FOXO3/BTG1/FOXO4/FOXO1/SREBF1/PPARGC1A/SIN3A/KAT2B/NFYB/GADD45A/TXNIP/RETN/TRIM63/HDAC2/YWHAQ/SMAD4/NFYA/FBXO32/CDKN1B	0.876123876123876	1	0.792584328962485	AKT3/CAV1/CREBBP/FOXG1/NPY/PLXNA4/POMC/NR3C1/AKT1/BCL6/SMAD3/NFYC/SREBF1/YWHAG/PPARGC1A/CDKN1A/PCK1/FOXO4/PCBP4/SMAD2/STK11/BBC3/FOXO1/AKT2/PINK1/MAP4K2/FOXO3/HDAC1/BTG1/YWHAZ/IGFBP1/NFYB/INS/FBXO32/RETN/GLYAT	FALSE	FALSE	FALSE	FALSE
reactome_telomere_extension_by_telomerase	hypermethylated	Longevity	22	6368	33010	6	CCNA1,PIF1,RUVBL1,RUVBL2,TERF2,TERT	0.239257741594104	0.468847256907685	0.828433454152364	0.997027621349001	23	4	0.912087912087912	0.982248520710059	0.74643048270822	22	CCNA1/TERT/PIF1/RUVBL2/RTEL1/ANKRD28/CDK2	0.947906026557712	1	0.600687913723917	CCNA1/TERT/DKC1/PIF1/RUVBL2/RTEL1/ANKRD28/NHP2/SHQ1/CDK2	FALSE	FALSE	FALSE	FALSE
reactome_telomere_maintenance	hypermethylated	Longevity	85	6368	33010	19	CCNA1,CTC1,DAXX,DSCC1,H2AC14,H2BC14,H2BC15,H2BC3,PIF1,POLA2,POLD2,POLR2F,POLR2L,RUVBL1,RUVBL2,SLC19A1,TERF2,TERT,WRN	0.275219113299131	0.468847256907685	0.887119542997052	0.997027621349001	89	14	1	1	0.6844954171716	61	CCNA1/TERT/DAXX/PIF1/POLD2/POLR2A/RUVBL2/LRIG1/RTEL1/ANKRD28/CDK2/DSCC1/WRN/SLC19A1/CHTF8/POLR1A/POLR2C/PPP6C/POLR2L/POLD1/TERF2/POLR2E/POLA2/DKC1/CHTF18/POLR2G/POLR2J/POLR2D/POLR2B/POLD3/POLR2F/SHQ1/POT1/RUVBL1/WRAP53/PRIM1/RPA3/RFC3/POLR2H	1	1	0.425702006665279	CCNA1/TERT/LRIG1/DAXX/ATRX/DKC1/PIF1/DSCC1/PRIM1/POLD2/SLC19A1/POLR2A/DNA2/RUVBL2/RTEL1/ANKRD28/RFC4/POLA1/NHP2/POLR2B/RFC2/WRN	FALSE	FALSE	FALSE	FALSE
go_negative_regulation_stem_cell_differentiation	hypermethylated	Longevity	12	6368	33010	3	HES5,NOTCH1,TCF15	0.416445025349595	0.583023035489433	0.703522251628412	0.997027621349001	12	3	0.172273190621814	0.48236493374108	1.21206980686415	11	TCF15/HES5/NOTCH1/ZFP36L2	0.347161572052402	0.972052401746725	1.09891095141909	TCF15/NOTCH1/HES5/ZFP36L2	FALSE	FALSE	FALSE	FALSE
