set_name	n_genes	n_entrez	entrez_ids
01. Telomere Maintenance	14	14	10728,25913,3383,3384,3385,3386,51759,54984,57410,6387,7011,7013,7014,7087
02. Sirtuins	6	6	22933,23408,23409,23410,23411,51548
03. AMPK Pathway	5	5	5562,5563,5564,5565,9891
03. FOXO Pathway	2	2	100132074,2308
03. mTOR Pathway	11	11	2287,23251,2475,253260,28956,389541,57521,64223,64798,79109,8649
04. Autophagy	15	15	10533,115201,22863,23130,23192,493856,55626,64422,81631,83734,84557,8678,9140,9474,9776
04. Heat Shock / Chaperones	49	49	10063,10131,10598,10808,11077,11080,11140,1155,126393,135138,1409,1410,150274,23184,25842,26353,3297,3298,3299,3303,3305,3306,3309,3310,3312,3313,3315,3320,3326,3329,3336,3337,49860,55723,56997,573,617,6902,6903,6905,7184,7917,86614,871,8988,94086,9530,9531,9973
04. Proteasome / Proteostasis	46	46	10197,10213,11047,134510,143471,55559,5682,5683,5684,5685,5686,5687,5688,5689,5690,5691,5692,5693,5694,5695,5696,5698,5699,5701,5702,5704,5705,5706,5707,5708,5709,5710,5711,5713,5714,5715,5717,5718,5719,5720,5721,7979,84262,8624,9491,9861
05. DNA Damage & Repair	147	147	10111,10250,10614,10699,10893,10912,11060,1191,123016,130502,1311,142,143,144715,151613,158248,158326,1642,1643,164656,1647,1649,171017,1758,1805,1822,1893,2068,2071,2073,2189,2202,22918,23038,23266,23284,23515,23524,23548,2547,25788,2628,27076,27339,2801,29086,30008,319089,3371,3433,3434,4146,4147,4148,4256,4311,4312,4313,4314,4316,4317,4318,4319,4320,4321,4322,4323,4324,4325,4326,4327,4616,472,4869,4878,4879,4880,4881,4882,4976,51024,51131,51455,545,54902,54970,55742,55761,55908,56547,56647,56946,56955,56975,57217,5810,58498,5883,5888,64123,64386,64761,64927,6595,6596,6597,6599,6602,6603,6604,6605,6687,672,675,6768,682,708,7507,7508,7515,7516,7517,7520,8100,81572,8289,8310,83666,83737,83990,84126,84530,8455,8467,8607,8785,8846,9313,9577,960,9622,9656,9657,9694,9775,9863,9984
05. Epigenetic Regulators	13	13	10013,10524,2033,23309,25942,3065,3066,55869,79885,8520,8841,8850,9759
06. Cell Cycle Regulators	128	128	10092,10094,1017,1018,1019,10202,1021,10210,1022,1024,1025,1026,10263,1027,1028,1029,10298,1030,10309,1031,1032,1033,10458,10600,10657,10671,10765,10777,10972,10983,112858,11345,121506,1589,1653,1869,2028,2125,23097,23368,2580,26999,27101,2956,3054,311,3265,3490,3692,3963,400709,4067,4193,4194,49855,50484,5058,5062,5063,5111,51191,5127,5129,51341,51499,51517,51550,5218,5469,55197,55509,5621,56924,57103,57144,5740,5879,5880,5881,5906,5908,5921,5925,5926,5927,5928,5933,5934,595,6093,6277,63924,6502,65061,6792,6829,7157,7158,7161,7260,7322,7453,7799,8411,8493,8558,8621,8851,890,8900,894,8941,896,898,89869,899,904,9133,9134,9475,9516,9536,9540,9612,9716,977,983,984
06. Cellular Senescence / SASP	6	6	26156,2720,3987,7295,79572,9076
