gene	entrez	uniprot	category	target_name
C9orf78	51759	Q9NZ63	01. Telomere Maintenance	C9orf78
ICAM1	3383	P05362	01. Telomere Maintenance	ICAM-1
ICAM2	3384	P13598	01. Telomere Maintenance	ICAM-2
ICAM3	3385	P32942	01. Telomere Maintenance	ICAM-3
ICAM5	7087	Q9UMF0	01. Telomere Maintenance	ICAM-5
ICAM4	3386	Q14773	01. Telomere Maintenance	ICAM4
PTGES3	10728	Q15185	01. Telomere Maintenance	p23
PINX1	54984	Q96BK5	01. Telomere Maintenance	PINX1
POT1	25913	Q9NUX5	01. Telomere Maintenance	POT1
SCYL1	57410	Q96KG9	01. Telomere Maintenance	SCYL1
CXCL12	6387	P48061	01. Telomere Maintenance	SDF-1
TEP1	7011	Q99973	01. Telomere Maintenance	TEP1
TERF1	7013	P54274	01. Telomere Maintenance	TERF1
TERF2	7014	Q15554	01. Telomere Maintenance	TRF 2
SIRT1	23411	Q96EB6	02. Sirtuins	SIRT1
SIRT2	22933	Q8IXJ6	02. Sirtuins	SIRT2
SIRT3	23410	Q9NTG7	02. Sirtuins	SIRT3
SIRT4	23409	Q9Y6E7	02. Sirtuins	SIRT4
SIRT5	23408	Q9NXA8	02. Sirtuins	SIRT5
SIRT6	51548	Q8N6T7	02. Sirtuins	SIRT6
PRKAA1	5562	Q13131	03. AMPK Pathway	AMPKa1
NUAK1	9891	O60285	03. AMPK Pathway	NUAK1
PRKAA2	5563	P54646	03. AMPK Pathway	PRKAA2
PRKAB1	5564	Q9Y478	03. AMPK Pathway	PRKAB1
PRKAB2	5565	O43741	03. AMPK Pathway	PRKAB2
FOXO1	2308	Q12778	03. FOXO Pathway	FoxO1
FOXO6	100132074	A8MYZ6	03. FOXO Pathway	FOXO6
DEPTOR	64798	Q8TB45	03. mTOR Pathway	DEPTOR
FKBP3	2287	Q00688	03. mTOR Pathway	FKBP25
MLST8	64223	Q9BVC4	03. mTOR Pathway	GBL
MINAR1	23251	Q9UPX6	03. mTOR Pathway	KIAA1024
KIAA1303	57521	Q8N122	03. mTOR Pathway	KIAA1303
LAMTOR2	28956	Q9Y2Q5	03. mTOR Pathway	LAMTOR2
LAMTOR4	389541	Q0VGL1	03. mTOR Pathway	LAMTOR4
MAPKAP1	79109	Q9BPZ7	03. mTOR Pathway	MAPKAP1
LAMTOR3	8649	Q9UHA4	03. mTOR Pathway	MP1
MTOR	2475	P42345	03. mTOR Pathway	mTOR
RICTOR	253260	Q6R327	03. mTOR Pathway	RICTOR
AMBRA1	55626	Q9C0C7	04. Autophagy	AMBRA1
ATG10	83734	Q9H0Y0	04. Autophagy	ATG10
ATG12	9140	O94817	04. Autophagy	ATG12
ATG13	9776	O75143	04. Autophagy	ATG13
ATG14	22863	Q6ZNE5	04. Autophagy	ATG14
ATG2A	23130	Q2TAZ0	04. Autophagy	ATG2A
ATG3	64422	Q9NT62	04. Autophagy	ATG3
ATG4A	115201	Q8WYN0	04. Autophagy	ATG4A
ATG4B	23192	Q9Y4P1	04. Autophagy	ATG4B
ATG5	9474	Q9H1Y0	04. Autophagy	ATG5
ATG7	10533	O95352	04. Autophagy	ATG7
BECN1	8678	Q14457	04. Autophagy	BECN1
CISD2	493856	Q8N5K1	04. Autophagy	CISD2
MAP1LC3A	84557	Q9H492	04. Autophagy	MAP1LC3A
MAP1LC3B	81631	Q9GZQ8	04. Autophagy	MAP1LC3B
AHSA1	10598	O95433	04. Heat Shock / Chaperones	AHSA1
