category	genes	promoter_cpgs	hypo_unmethylated	intermediate	hyper_methylated
19. Other Longevity-Related	307	4681	3075	726	893
08. Mitochondrial Function	258	3726	2826	432	509
17. Inflammation / Immunosenescence	239	2508	1268	556	721
05. DNA Damage & Repair	146	2426	1640	283	503
06. Cell Cycle Regulators	126	2170	1461	295	414
07. Apoptosis	115	1712	1147	299	266
15. ECM / Skin Aging	90	1352	763	316	315
18. Oncogenes / Tumor Suppressors	71	1288	802	242	244
04. Heat Shock / Chaperones	47	834	662	92	137
04. Proteasome / Proteostasis	46	819	665	90	130
08. Antioxidant / Oxidative Stress	58	809	591	117	115
14. FGF Family	34	593	369	121	104
18. Progeroid / Premature Aging	33	562	363	81	118
17. TNF Superfamily	40	516	267	109	140
14. EGF / EGFR Signaling	30	507	329	92	87
13. TGF-beta Signaling	27	461	325	66	70
09. IGF / Insulin Signaling	20	394	256	73	65
16. Wnt Signaling	22	321	208	54	59
05. Epigenetic Regulators	13	247	168	36	43
04. Autophagy	15	237	169	32	36
14. Neurotrophins	11	235	154	52	29
13. BMP / GDF Signaling	19	226	153	33	40
01. Telomere Maintenance	14	173	127	31	18
16. Notch Signaling	7	158	84	23	51
14. PDGF Signaling	8	145	92	24	29
03. mTOR Pathway	10	128	105	5	18
14. VEGF / Angiogenesis	11	121	65	32	24
14. HGF Signaling	7	105	61	20	24
12. Stem Cell Regulation	11	101	54	23	24
02. Sirtuins	6	89	71	8	10
09. Growth Hormone Axis	8	87	33	22	32
06. Cellular Senescence / SASP	6	65	48	4	13
11. Metabolic Hormones	5	63	45	5	13
03. AMPK Pathway	5	59	43	10	6
11. NAD+ Metabolism	4	49	33	6	10
16. Hedgehog Signaling	3	45	41	3	1
10. FGF21-FGF23-Klotho Axis	6	41	14	11	16
18. Circadian Clock	2	35	27	0	8
03. FOXO Pathway	2	21	15	2	4
10. GDF Aging Biomarkers	2	16	8	4	4
