term	symbol	entrez_id	mapped
reactome_telomere_maintenance	ACD	65057	TRUE
reactome_telomere_maintenance	ANKRD28	23243	TRUE
reactome_telomere_maintenance	ATRX	546	TRUE
reactome_telomere_maintenance	BLM	641	TRUE
reactome_telomere_maintenance	CCNA1	8900	TRUE
reactome_telomere_maintenance	CCNA2	890	TRUE
reactome_telomere_maintenance	CDK2	1017	TRUE
reactome_telomere_maintenance	CHTF18	63922	TRUE
reactome_telomere_maintenance	CHTF8	54921	TRUE
reactome_telomere_maintenance	CTC1	80169	TRUE
reactome_telomere_maintenance	DAXX	1616	TRUE
reactome_telomere_maintenance	DKC1	1736	TRUE
reactome_telomere_maintenance	DNA2	1763	TRUE
reactome_telomere_maintenance	DSCC1	79075	TRUE
reactome_telomere_maintenance	FEN1	2237	TRUE
reactome_telomere_maintenance	GAR1	54433	TRUE
reactome_telomere_maintenance	H2AB1	474382	TRUE
reactome_telomere_maintenance	H2AC14	8331	TRUE
reactome_telomere_maintenance	H2AC19	723790	TRUE
reactome_telomere_maintenance	H2AC20	8338	TRUE
reactome_telomere_maintenance	H2AC4	8335	TRUE
reactome_telomere_maintenance	H2AC6	8334	TRUE
reactome_telomere_maintenance	H2AC7	3013	TRUE
reactome_telomere_maintenance	H2AJ	55766	TRUE
reactome_telomere_maintenance	H2AX	3014	TRUE
reactome_telomere_maintenance	H2AZ1	3015	TRUE
reactome_telomere_maintenance	H2AZ2	94239	TRUE
reactome_telomere_maintenance	H2BC1	255626	TRUE
reactome_telomere_maintenance	H2BC11	8970	TRUE
reactome_telomere_maintenance	H2BC12	85236	TRUE
reactome_telomere_maintenance	H2BC12L	54145	TRUE
reactome_telomere_maintenance	H2BC13	8340	TRUE
reactome_telomere_maintenance	H2BC14	8342	TRUE
reactome_telomere_maintenance	H2BC15	8341	TRUE
reactome_telomere_maintenance	H2BC17	8348	TRUE
reactome_telomere_maintenance	H2BC21	8349	TRUE
reactome_telomere_maintenance	H2BC26	128312	TRUE
reactome_telomere_maintenance	H2BC3	3018	TRUE
reactome_telomere_maintenance	H2BC4	8347	TRUE
reactome_telomere_maintenance	H2BC5	3017	TRUE
reactome_telomere_maintenance	H2BC9	8345	TRUE
reactome_telomere_maintenance	H3-3B	3021	TRUE
reactome_telomere_maintenance	H3-4	8290	TRUE
reactome_telomere_maintenance	H4C15	554313	TRUE
reactome_telomere_maintenance	LRIG1	26018	TRUE
reactome_telomere_maintenance	NHP2	55651	TRUE
reactome_telomere_maintenance	NOP10	55505	TRUE
reactome_telomere_maintenance	PCNA	5111	TRUE
reactome_telomere_maintenance	PIF1	80119	TRUE
reactome_telomere_maintenance	POLA1	5422	TRUE
reactome_telomere_maintenance	POLA2	23649	TRUE
reactome_telomere_maintenance	POLD1	5424	TRUE
reactome_telomere_maintenance	POLD2	5425	TRUE
reactome_telomere_maintenance	POLD3	10714	TRUE
reactome_telomere_maintenance	POLD4	57804	TRUE
reactome_telomere_maintenance	POLR1A	25885	TRUE
reactome_telomere_maintenance	POLR1B	84172	TRUE
reactome_telomere_maintenance	POLR2A	5430	TRUE
reactome_telomere_maintenance	POLR2B	5431	TRUE
reactome_telomere_maintenance	POLR2C	5432	TRUE
reactome_telomere_maintenance	POLR2D	5433	TRUE
reactome_telomere_maintenance	POLR2E	5434	TRUE
reactome_telomere_maintenance	POLR2F	5435	TRUE
reactome_telomere_maintenance	POLR2G	5436	TRUE
reactome_telomere_maintenance	POLR2H	5437	TRUE
reactome_telomere_maintenance	POLR2I	5438	TRUE
reactome_telomere_maintenance	POLR2J	5439	TRUE
reactome_telomere_maintenance	POLR2K	5440	TRUE
reactome_telomere_maintenance	POLR2L	5441	TRUE
reactome_telomere_maintenance	POT1	25913	TRUE
reactome_telomere_maintenance	PPP6C	5537	TRUE
reactome_telomere_maintenance	PPP6R3	55291	TRUE
reactome_telomere_maintenance	PRIM1	5557	TRUE
reactome_telomere_maintenance	PRIM2	5558	TRUE
reactome_telomere_maintenance	RFC2	5982	TRUE
reactome_telomere_maintenance	RFC3	5983	TRUE
reactome_telomere_maintenance	RFC4	5984	TRUE
reactome_telomere_maintenance	RFC5	5985	TRUE
reactome_telomere_maintenance	RPA3	6119	TRUE
reactome_telomere_maintenance	RTEL1	51750	TRUE
reactome_telomere_maintenance	RUVBL1	8607	TRUE
reactome_telomere_maintenance	RUVBL2	10856	TRUE
reactome_telomere_maintenance	SHQ1	55164	TRUE
reactome_telomere_maintenance	SLC19A1	6573	TRUE
reactome_telomere_maintenance	STN1	79991	TRUE
reactome_telomere_maintenance	TERF1	7013	TRUE
reactome_telomere_maintenance	TERF2	7014	TRUE
reactome_telomere_maintenance	TERF2IP	54386	TRUE
