method	collection	direction	term	ID	Description	Size	enrichmentScore	NES	pvalue	padj	leading_edge	core_enrichment
methylGSA_methylRRA_GSEA	GO	all	GO:0001709	GO:0001709	cell fate determination	43	0.673737819929619	2.35544715488457	1e-10	3.55022026431718e-09	tags=65%, list=11%, signal=58%	ASCL1/ATOH1/BARHL2/BMP4/CYP26B1/DSCAML1/EBF2/FEZF2/FOXG1/GATA2/HOXA2/ISL1/LBX1/MEF2C/MYOD1/NKX2-2/NOTCH4/PAX2/PAX6/PROX1/PRRX1/PTCH1/SOX17/TBX2/TNXB/TRIM15/WNT1/WNT7A
methylGSA_methylRRA_GSEA	GO	all	GO:0048663	GO:0048663	neuron fate commitment	74	0.627771344694508	2.32268671107	1e-10	3.55022026431718e-09	tags=77%, list=26%, signal=57%	ASCL1/ATOH1/BCL11B/BHLHE22/BHLHE23/BMP4/DBX1/DLX1/DMRT3/DMRTA2/EHMT2/FEZF2/FOXG1/GATA2/GLI2/GLI3/GSX1/HOXD10/IHH/ISL1/ISL2/LBX1/LHX3/MYT1L/NKX2-1/NKX2-2/NKX6-2/OLIG1/OLIG2/OLIG3/PAX6/POU3F2/POU4F1/PROX1/PRRX1/PTF1A/SHH/SOX1/TBR1/TLX3/WNT1/ZNF521/NOTCH1/MNX1/FEV/GSX2/CDC42/SIX1/NOTCH3/FOXN4/DLL1/LMO4/SUFU/NFIA/DLX2/TGFBR1/JAG2
methylGSA_methylRRA_GSEA	GO	all	GO:0005249	GO:0005249	voltage-gated potassium channel activity	86	0.607358539626274	2.27652722655877	1e-10	3.55022026431718e-09	tags=66%, list=17%, signal=55%	HCN4/KCNA1/KCNA3/KCNA4/KCNA5/KCNA6/KCNAB1/KCNAB2/KCNAB3/KCNB2/KCNC2/KCNE3/KCNH2/KCNH3/KCNH5/KCNH7/KCNH8/KCNJ1/KCNJ10/KCNJ12/KCNJ15/KCNJ16/KCNJ2/KCNJ6/KCNK1/KCNK10/KCNK12/KCNK13/KCNK17/KCNK18/KCNK3/KCNK9/KCNMA1/KCNN2/KCNN3/KCNQ1/KCNQ2/KCNQ3/KCNT1/SNAP25/ABCC8/KCND3/KCNT2/KCNH4/HCN1/KCNC3/LRRC55/KCNQ4/KCNA2/KCNS3/KCNH6/KCNIP2/KCNB1/KCNK16/KCNA7/KCNJ3/KCNN1
methylGSA_methylRRA_GSEA	GO	all	GO:0021515	GO:0021515	cell differentiation in spinal cord	49	0.639936845125664	2.27333336187524	1e-10	3.55022026431718e-09	tags=65%, list=14%, signal=57%	ASCL1/DBX1/DMRT3/GATA2/GDF7/GLI2/GLI3/GSX1/HOXD10/ISL1/ISL2/LBX1/LHX1/LHX3/LHX4/LHX5/MDGA1/MDGA2/NKX2-2/OLIG2/OLIG3/PHOX2A/PTCH1/SHH/SOX1/TBX20/WNT1/WNT3A/NOTCH1/MNX1/GSX2/TAL1
methylGSA_methylRRA_GSEA	GO	all	GO:0030326	GO:0030326	embryonic limb morphogenesis	117	0.58084434928212	2.24658376233606	1e-10	3.55022026431718e-09	tags=56%, list=16%, signal=47%	AFF3/ALDH1A2/ALX3/ALX4/BMP4/BMP7/CACNA1C/CHST11/CREBBP/CYP26B1/DKK1/DLX5/FBN2/FGFR1/FRAS1/GLI3/GNA12/GREM1/HAND2/HOXA10/HOXA13/HOXA9/HOXD10/HOXD12/HOXD13/HOXD9/IFT140/IHH/LRP4/LRP5/OSR1/OSR2/PBX1/PBX2/PITX1/PRRX1/PTCH1/RSPO2/SALL1/SFRP2/SHH/SHOX2/SKI/SP8/SP9/TBX2/TBX4/TBX5/TGFB2/TWIST1/WNT7A/RUNX2/NOTCH1/RECK/GRHL2/EN1/MYH3/ZBTB16/MSX1/FGF4/ECE1/RARB/FGF9/PRICKLE1/FREM2
methylGSA_methylRRA_GSEA	GO	all	GO:0035113	GO:0035113	embryonic appendage morphogenesis	117	0.58084434928212	2.24658376233606	1e-10	3.55022026431718e-09	tags=56%, list=16%, signal=47%	AFF3/ALDH1A2/ALX3/ALX4/BMP4/BMP7/CACNA1C/CHST11/CREBBP/CYP26B1/DKK1/DLX5/FBN2/FGFR1/FRAS1/GLI3/GNA12/GREM1/HAND2/HOXA10/HOXA13/HOXA9/HOXD10/HOXD12/HOXD13/HOXD9/IFT140/IHH/LRP4/LRP5/OSR1/OSR2/PBX1/PBX2/PITX1/PRRX1/PTCH1/RSPO2/SALL1/SFRP2/SHH/SHOX2/SKI/SP8/SP9/TBX2/TBX4/TBX5/TGFB2/TWIST1/WNT7A/RUNX2/NOTCH1/RECK/GRHL2/EN1/MYH3/ZBTB16/MSX1/FGF4/ECE1/RARB/FGF9/PRICKLE1/FREM2
methylGSA_methylRRA_GSEA	GO	all	GO:0022843	GO:0022843	voltage-gated monoatomic cation channel activity	129	0.576313004564727	2.24622944672343	1e-10	3.55022026431718e-09	tags=62%, list=17%, signal=52%	CACHD1/CACNA1A/CACNA1B/CACNA1C/CACNA1E/CACNA1G/CACNA1H/CACNA1I/CACNA2D1/CACNA2D3/CACNB2/CACNG3/CACNG5/CACNG7/CACNG8/HCN4/HTR1B/KCNA1/KCNA3/KCNA4/KCNA5/KCNA6/KCNAB1/KCNAB2/KCNAB3/KCNB2/KCNC2/KCNE3/KCNH2/KCNH3/KCNH5/KCNH7/KCNH8/KCNJ1/KCNJ10/KCNJ12/KCNJ15/KCNJ16/KCNJ2/KCNJ6/KCNK1/KCNK10/KCNK12/KCNK13/KCNK17/KCNK18/KCNK3/KCNK9/KCNMA1/KCNN2/KCNN3/KCNQ1/KCNQ2/KCNQ3/KCNT1/OPRM1/RYR1/SNAP25/TMC2/ABCC8/KCND3/KCNT2/KCNH4/HCN1/KCNC3/CACNA2D4/LRRC55/KCNQ4/KCNA2/HVCN1/KCNS3/KCNH6/CACNG6/KCNIP2/KCNB1/KCNK16/GRIN2D/KCNA7/KCNJ3/KCNN1
methylGSA_methylRRA_GSEA	GO	all	GO:0048706	GO:0048706	embryonic skeletal system development	128	0.560421729459807	2.18364360894767	1e-10	3.55022026431718e-09	tags=66%, list=26%, signal=50%	ALX1/ALX3/ALX4/BMP4/BMP7/CHST11/COL11A1/DLX1/DLX5/DSCAML1/EXT1/FOXC2/GLI3/HAND2/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXB4/HOXC4/HOXD10/HOXD11/HOXD9/IFT140/IHH/KIAA1217/LHX1/MMP14/OSR1/OSR2/PAX5/PBX1/PCSK5/PDGFRA/PRRX1/SATB2/SHH/SHOX2/SOX11/TBX15/TWIST1/WNT11/XYLT1/ZEB1/DLX4/RUNX2/GRHL2/HOXB9/HOXB8/COL1A1/MMP16/SULF1/MDFI/FGF9/WNT9A/MTHFD1L/NDST1/EDNRA/NODAL/HOXD1/HOXB7/COL2A1/HOXB3/SIX1/NKX3-2/FGF8/WNT9B/TBX1/GSC/MYF5/TFAP2A/SMAD3/MEGF8/RBP4/TAPT1/DMRT2/SLC39A1/DLX2/ACVR2A/SLC2A10/TGFBR1
methylGSA_methylRRA_GSEA	GO	all	GO:0005244	GO:0005244	voltage-gated monoatomic ion channel activity	156	0.552833902702536	2.1785792414859	1e-10	3.55022026431718e-09	tags=58%, list=18%, signal=48%	ANO1/CACHD1/CACNA1A/CACNA1B/CACNA1C/CACNA1E/CACNA1G/CACNA1H/CACNA1I/CACNA2D1/CACNA2D3/CACNB2/CACNG3/CACNG5/CACNG7/CACNG8/CLCN5/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A/HCN4/HTR1B/KCNA1/KCNA3/KCNA4/KCNA5/KCNA6/KCNAB1/KCNAB2/KCNAB3/KCNB2/KCNC2/KCNE3/KCNH2/KCNH3/KCNH5/KCNH7/KCNH8/KCNJ1/KCNJ10/KCNJ12/KCNJ15/KCNJ16/KCNJ2/KCNJ6/KCNK1/KCNK10/KCNK12/KCNK13/KCNK17/KCNK18/KCNK3/KCNK9/KCNMA1/KCNN2/KCNN3/KCNQ1/KCNQ2/KCNQ3/KCNT1/OPRM1/RYR1/SNAP25/TMC2/ABCC8/KCND3/KCNT2/KCNH4/SCN10A/HCN1/KCNC3/CACNA2D4/LRRC55/KCNQ4/KCNA2/HVCN1/KCNS3/KCNH6/CACNG6/KCNIP2/KCNB1/KCNK16/GRIN2D/TMC4/KCNA7/CALHM3/KCNJ3/KCNN1/CLCN1
methylGSA_methylRRA_GSEA	GO	all	GO:0022832	GO:0022832	voltage-gated channel activity	157	0.550099535136097	2.16829180086371	1e-10	3.55022026431718e-09	tags=58%, list=18%, signal=48%	ANO1/CACHD1/CACNA1A/CACNA1B/CACNA1C/CACNA1E/CACNA1G/CACNA1H/CACNA1I/CACNA2D1/CACNA2D3/CACNB2/CACNG3/CACNG5/CACNG7/CACNG8/CLCN5/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A/HCN4/HTR1B/KCNA1/KCNA3/KCNA4/KCNA5/KCNA6/KCNAB1/KCNAB2/KCNAB3/KCNB2/KCNC2/KCNE3/KCNH2/KCNH3/KCNH5/KCNH7/KCNH8/KCNJ1/KCNJ10/KCNJ12/KCNJ15/KCNJ16/KCNJ2/KCNJ6/KCNK1/KCNK10/KCNK12/KCNK13/KCNK17/KCNK18/KCNK3/KCNK9/KCNMA1/KCNN2/KCNN3/KCNQ1/KCNQ2/KCNQ3/KCNT1/OPRM1/RYR1/SNAP25/TMC2/ABCC8/KCND3/KCNT2/KCNH4/SCN10A/HCN1/KCNC3/CACNA2D4/LRRC55/KCNQ4/KCNA2/HVCN1/KCNS3/KCNH6/CACNG6/KCNIP2/KCNB1/KCNK16/GRIN2D/TMC4/KCNA7/CALHM3/KCNJ3/KCNN1/CLCN1
