method	collection	direction	term	ID	Description	Size	enrichmentScore	NES	pvalue	padj	leading_edge	core_enrichment
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0021515	GO:0021515	cell differentiation in spinal cord	49	0.742466565545347	1.8016910105009	1e-10	5.23354430379747e-09	tags=69%, list=13%, signal=61%	ASCL1/DBX1/GDF7/GLI2/GLI3/GSX1/HOXD10/ISL1/ISL2/LBX1/LHX1/LHX3/LHX4/LHX5/NKX2-2/OLIG2/OLIG3/PHOX2A/SHH/SOX1/TBX20/WNT1/WNT3A/MDGA2/GATA2/MDGA1/MNX1/GSX2/NOTCH1/TAL1/PTCH1/DMRT3/LMO4/SUFU
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0048663	GO:0048663	neuron fate commitment	74	0.702781388314982	1.74852193523458	1e-10	5.23354430379747e-09	tags=74%, list=18%, signal=61%	ASCL1/ATOH1/BCL11B/BHLHE22/BHLHE23/BMP4/DBX1/DLX1/DMRTA2/FEZF2/FOXG1/GLI2/GLI3/GSX1/HOXD10/IHH/ISL1/ISL2/LBX1/LHX3/NKX2-1/NKX2-2/NKX6-2/OLIG1/OLIG2/OLIG3/PAX6/POU3F2/POU4F1/PROX1/PTF1A/SHH/SOX1/TBR1/TLX3/WNT1/ZNF521/GATA2/EHMT2/MNX1/FEV/GSX2/NOTCH1/CDC42/PRRX1/DMRT3/SIX1/LMO4/NOTCH3/SUFU/JAG2/NFIA/MYT1L/DLX2/DLL4
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0022843	GO:0022843	voltage-gated monoatomic cation channel activity	129	0.66039701353232	1.69286116671881	1e-10	5.23354430379747e-09	tags=72%, list=28%, signal=53%	CACHD1/CACNA1A/CACNA1E/CACNA1G/CACNA1H/CACNG7/CACNG8/HCN4/HTR1B/KCNA1/KCNA3/KCNA4/KCNA5/KCNA6/KCNAB3/KCNC2/KCNE3/KCNH5/KCNH7/KCNH8/KCNJ10/KCNJ12/KCNJ2/KCNJ6/KCNK10/KCNK12/KCNK13/KCNK17/KCNK3/KCNK9/KCNN2/KCNN3/KCNQ1/OPRM1/RYR1/SNAP25/CACNA2D3/KCNAB1/HVCN1/ABCC8/CACNA1I/TMC2/CACNA1C/KCNIP2/CACNB2/KCNC3/CACNG3/HCN1/KCNA7/KCNMA1/GRIN2D/KCNQ4/KCNJ3/KCNH3/CACNA1B/KCNH4/KCNH2/KCNA2/KCNB1/KCNT2/CACNG6/KCNJ8/KCNK1/KCNT1/KCNS3/CACNB4/KCNK4/KCNQ2/CACNA2D4/HCN2/PKD2/KCNB2/CACNG1/CACNA1D/KCNC1/KCNJ4/CACNA2D2/KCNC4/CATSPER4/KCNQ3/KCNJ14/KCNQ5/TPCN2/KCNK2/KCNJ5/KCNN1/TRPV1/CACNG2/CACNB1/KCNK5/KCNH6/CACNA2D1/SCN2B
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0005249	GO:0005249	voltage-gated potassium channel activity	86	0.663573304662525	1.66319757976959	1e-10	5.23354430379747e-09	tags=69%, list=24%, signal=53%	HCN4/KCNA1/KCNA3/KCNA4/KCNA5/KCNA6/KCNAB3/KCNC2/KCNE3/KCNH5/KCNH7/KCNH8/KCNJ10/KCNJ12/KCNJ2/KCNJ6/KCNK10/KCNK12/KCNK13/KCNK17/KCNK3/KCNK9/KCNN2/KCNN3/KCNQ1/SNAP25/KCNAB1/ABCC8/KCNIP2/KCNC3/HCN1/KCNA7/KCNMA1/KCNQ4/KCNJ3/KCNH3/KCNH4/KCNH2/KCNA2/KCNB1/KCNT2/KCNJ8/KCNK1/KCNT1/KCNS3/KCNK4/KCNQ2/HCN2/PKD2/KCNB2/KCNC1/KCNJ4/KCNC4/KCNQ3/KCNJ14/KCNQ5/KCNK2/KCNJ5/KCNN1
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0001708	GO:0001708	cell fate specification	108	0.65042616826606	1.65412847227532	1e-10	5.23354430379747e-09	tags=58%, list=13%, signal=51%	APC/APC2/ASCL1/ATOH1/DBX1/DKK1/DMRTA2/EOMES/FGF2/FGFR1/FOXA2/GLI2/GLI3/HNF1B/HOXA13/HOXD10/IHH/ISL1/ISL2/LHX3/NKX2-2/NKX2-3/OLIG2/OLIG3/PAX2/PAX6/POU3F2/POU4F1/PRDM14/SFRP2/SHH/SOX1/SOX17/TBR1/TBX15/TBX18/TBX2/TBX20/TBX21/TBX5/TLX3/WNT3A/TBX4/EHMT2/FZD7/MNX1/FEV/GSX2/NOTCH1/MGA/DHH/SMO/PTCH1/DMRT3/SIX1/TBX1/GSC/FOXI3/LMO4/MTA1/SOX18/NODAL/SUFU
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0005244	GO:0005244	voltage-gated monoatomic ion channel activity	156	0.634862671271419	1.63746745936129	1e-10	5.23354430379747e-09	tags=67%, list=28%, signal=49%	ANO1/CACHD1/CACNA1A/CACNA1E/CACNA1G/CACNA1H/CACNG7/CACNG8/GRIN1/GRIN2A/GRIN2C/GRIN3A/HCN4/HTR1B/KCNA1/KCNA3/KCNA4/KCNA5/KCNA6/KCNAB3/KCNC2/KCNE3/KCNH5/KCNH7/KCNH8/KCNJ10/KCNJ12/KCNJ2/KCNJ6/KCNK10/KCNK12/KCNK13/KCNK17/KCNK3/KCNK9/KCNN2/KCNN3/KCNQ1/OPRM1/RYR1/SNAP25/CACNA2D3/KCNAB1/HVCN1/ABCC8/CACNA1I/TMC2/CACNA1C/KCNIP2/CACNB2/KCNC3/TMC4/CACNG3/HCN1/KCNA7/KCNMA1/GRIN2D/KCNQ4/KCNJ3/GRIN2B/KCNH3/CACNA1B/KCNH4/KCNH2/CLCN1/KCNA2/KCNB1/KCNT2/CACNG6/KCNJ8/KCNK1/KCNT1/KCNS3/CACNB4/KCNK4/KCNQ2/CACNA2D4/HCN2/PKD2/KCNB2/CALHM3/CACNG1/CACNA1D/KCNC1/KCNJ4/CLCN7/CACNA2D2/KCNC4/CATSPER4/KCNQ3/KCNJ14/KCNQ5/TPCN2/KCNK2/KCNJ5/KCNN1/TRPV1/ANO6/CACNG2/CACNB1/KCNK5/GRIN3B/KCNH6/CACNA2D1/SCN2B
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0022832	GO:0022832	voltage-gated channel activity	157	0.631464787303104	1.6289958097908	1e-10	5.23354430379747e-09	tags=67%, list=28%, signal=49%	ANO1/CACHD1/CACNA1A/CACNA1E/CACNA1G/CACNA1H/CACNG7/CACNG8/GRIN1/GRIN2A/GRIN2C/GRIN3A/HCN4/HTR1B/KCNA1/KCNA3/KCNA4/KCNA5/KCNA6/KCNAB3/KCNC2/KCNE3/KCNH5/KCNH7/KCNH8/KCNJ10/KCNJ12/KCNJ2/KCNJ6/KCNK10/KCNK12/KCNK13/KCNK17/KCNK3/KCNK9/KCNN2/KCNN3/KCNQ1/OPRM1/RYR1/SNAP25/CACNA2D3/KCNAB1/HVCN1/ABCC8/CACNA1I/TMC2/CACNA1C/KCNIP2/CACNB2/KCNC3/TMC4/CACNG3/HCN1/KCNA7/KCNMA1/GRIN2D/KCNQ4/KCNJ3/GRIN2B/KCNH3/CACNA1B/KCNH4/KCNH2/CLCN1/KCNA2/KCNB1/KCNT2/CACNG6/KCNJ8/KCNK1/KCNT1/KCNS3/CACNB4/KCNK4/KCNQ2/CACNA2D4/HCN2/PKD2/KCNB2/CALHM3/CACNG1/CACNA1D/KCNC1/KCNJ4/CLCN7/CACNA2D2/KCNC4/CATSPER4/KCNQ3/KCNJ14/KCNQ5/TPCN2/KCNK2/KCNJ5/KCNN1/TRPV1/ANO6/CACNG2/CACNB1/KCNK5/GRIN3B/KCNH6/CACNA2D1/SCN2B
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0031644	GO:0031644	regulation of nervous system process	108	0.635124323021801	1.61521365129825	1e-10	5.23354430379747e-09	tags=59%, list=21%, signal=47%	AVPR1A/CARTPT/CBLN1/FABP5/FGF12/GHSR/GRIN1/GRIN2A/GRIN2C/GRM1/HTR2C/MTNR1B/NETO1/NLGN1/NRXN1/NTSR1/PRKAR1B/PRKCZ/RELN/RIMS2/SHANK1/SHANK3/SLC8A2/SYNE1/TAC1/TMEM108/WNT7A/SLC8A3/CHRNA7/DLG4/TMEM100/EGR2/SHISA7/STX1B/SSH1/SHISA9/TNR/GRIA1/CUX2/NLGN4X/GRIN2D/JAM2/GRIN2B/GLRA1/BAIAP2/SHISA6/ZMYND8/WASF3/TNFRSF1B/GRIK2/SOX10/TBC1D24/CHRNB4/PARD3/NOS3/ADORA1/MAG/F2R/ABAT/RIMS1/TMEM98/ROCK2/MGLL/IGSF11
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0030326	GO:0030326	embryonic limb morphogenesis	117	0.62523648327254	1.59569054885197	1e-10	5.23354430379747e-09	tags=56%, list=16%, signal=47%	ALDH1A2/ALX3/ALX4/BMP4/BMP7/CREBBP/CYP26B1/DKK1/DLX5/FBN2/FGFR1/GLI3/GREM1/HAND2/HOXA10/HOXA13/HOXA9/HOXD10/HOXD12/HOXD13/HOXD9/IFT140/IHH/LRP4/LRP5/OSR1/OSR2/PBX2/PITX1/RSPO2/SALL1/SFRP2/SHH/SHOX2/SKI/SP8/SP9/TBX2/TBX5/TGFB2/TWIST1/WNT7A/TBX4/EN1/CHST11/NOTCH1/FGF4/CACNA1C/GNA12/FGF9/PRRX1/AFF3/RECK/PTCH1/MSX1/FGF8/ECE1/PBX1/RUNX2/FRAS1/GDF5/PRICKLE1/FREM2/RARB/LEF1
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0035113	GO:0035113	embryonic appendage morphogenesis	117	0.62523648327254	1.59569054885197	1e-10	5.23354430379747e-09	tags=56%, list=16%, signal=47%	ALDH1A2/ALX3/ALX4/BMP4/BMP7/CREBBP/CYP26B1/DKK1/DLX5/FBN2/FGFR1/GLI3/GREM1/HAND2/HOXA10/HOXA13/HOXA9/HOXD10/HOXD12/HOXD13/HOXD9/IFT140/IHH/LRP4/LRP5/OSR1/OSR2/PBX2/PITX1/RSPO2/SALL1/SFRP2/SHH/SHOX2/SKI/SP8/SP9/TBX2/TBX5/TGFB2/TWIST1/WNT7A/TBX4/EN1/CHST11/NOTCH1/FGF4/CACNA1C/GNA12/FGF9/PRRX1/AFF3/RECK/PTCH1/MSX1/FGF8/ECE1/PBX1/RUNX2/FRAS1/GDF5/PRICKLE1/FREM2/RARB/LEF1
