method	collection	direction	term	ID	Description	Size	enrichmentScore	NES	pvalue	padj	leading_edge	core_enrichment
methylGSA_methylRRA_GSEA	GO	hypomethylated	GO:0050911	GO:0050911	detection of chemical stimulus involved in sensory perception of smell	305	0.508225834530373	1.52568171584011	1e-10	2.41823529411765e-08	tags=63%, list=30%, signal=45%	OR10A3/OR10C1/OR10J3/OR10J5/OR10K2/OR10P1/OR11A1/OR12D3/OR14J1/OR1G1/OR1M1/OR2B11/OR2H1/OR2M5/OR2T11/OR2T6/OR4F15/OR51E2/OR52B4/OR5V1/OR6K2/OR6K3/OR8B4/OR8B8/OR8U8/OR9Q1/SLC24A4/OR10J1/OR4D1/OR2AG2/OR2M4/OR6Y1/OR52B2/OR8B12/OR6N1/OR5P3/OR51A7/OR5P2/OR2H2/OR6A2/OR6K6/OR52E8/OR5B12/OR2C3/OR11G2/OR11L1/OR8S1/OR14I1/OR51E1/OR2G6/OR2Y1/OR6T1/OR2L8/OR5A1/OR51B5/OR52R1/OR8D1/OR56A1/OR2G2/OR2V2/OR51I1/OR52E2/OR51D1/OR9G4/OR10Z1/OR10G4/OR6X1/OR2W1/OR10V1/OR2D3/OR51I2/OR51M1/OR5D18/OR5I1/OR2B3/OR4D11/OR6M1/OR51G1/OR51T1/OR10T2/OR2L13/OR4C15/OR12D2/OR51F1/OR4D2/OR51B2/OR4D6/OR2Z1/OR10S1/OR8K3/OR6N2/OR4F6/OR7A17/OR2T1/OR10AG1/OR7A5/OR5A2/OR9A4/OR4D5/OR7C2/OR3A2/OR6C2/OR5AN1/OR2T10/OR10X1/OR5AS1/OR51F2/OR52A1/OR1L3/OR51S1/OR1C1/OR10W1/OR52M1/OR52I2/OR4C6/OR5W2/OR2T33/OR5L1/OR2AG1/OR7G2/OR10A4/OR7C1/OR6C74/OR10A6/OR14C36/OR13A1/OR3A1/OR5H2/OR1A2/OR4B1/OR4A16/OR7G1/OR5H6/OR56A4/OR52B6/OR2M3/OR6C4/OR13D1/OR13F1/OR2AT4/OR51Q1/OR4K5/OR5AU1/OR8A1/OR2C1/OR56B4/OR2J2/OR6F1/OR4K17/OR52L1/OR4K13/OR1B1/OR4C16/OR8H3/OR56B1/OR2S2/OR13C3/OR4K1/OR51L1/OR5M1/OR9Q2/OR4N5/OR7D2/OR5B2/CNGB1/OR52K1/OR5D14/OR5B21/OR5H1/OR5D16/OR13H1/OR11H4/OR10H2/OR5B3/OR5H15/OR52N2/OR10H1/OR2D2/OR4S2/OR52N1/OR9I1/OR8J3/OR14A16/OR2G3/OR5T1/OR6P1/OR1A1/OR6C65/OR5L2/OR52H1/OR6C6/OR5D13/OR5AC2
methylGSA_methylRRA_GSEA	GO	hypomethylated	GO:0004984	GO:0004984	olfactory receptor activity	303	0.506380956818249	1.51994209638723	1e-10	2.41823529411765e-08	tags=63%, list=30%, signal=45%	OR10A3/OR10C1/OR10J3/OR10J5/OR10K2/OR10P1/OR11A1/OR12D3/OR14J1/OR1G1/OR1M1/OR2B11/OR2H1/OR2M5/OR2T11/OR2T6/OR4F15/OR51E2/OR52B4/OR5V1/OR6K2/OR6K3/OR8B4/OR8B8/OR8U8/OR9Q1/OR10J1/OR4D1/OR2AG2/OR2M4/OR6Y1/OR52B2/OR8B12/OR6N1/OR5P3/OR51A7/OR5P2/OR2H2/OR6A2/OR6K6/OR52E8/OR5B12/OR2C3/OR11G2/OR11L1/OR8S1/OR14I1/OR51E1/OR2G6/OR2Y1/OR6T1/OR2L8/OR5A1/OR51B5/OR52R1/OR8D1/OR56A1/OR2G2/OR2V2/OR51I1/OR52E2/OR51D1/OR9G4/OR10Z1/OR10G4/OR6X1/OR2W1/OR10V1/OR2D3/OR51I2/OR51M1/OR5D18/OR5I1/OR2B3/OR4D11/OR6M1/OR51G1/OR51T1/OR10T2/OR2L13/OR4C15/OR12D2/OR51F1/OR4D2/OR51B2/OR4D6/OR2Z1/OR10S1/OR8K3/OR6N2/OR4F6/OR7A17/OR2T1/OR10AG1/OR7A5/OR5A2/OR9A4/OR4D5/OR7C2/OR3A2/OR6C2/OR5AN1/OR2T10/OR10X1/OR5AS1/OR51F2/OR52A1/OR1L3/OR51S1/OR1C1/OR10W1/OR52M1/OR52I2/OR4C6/OR5W2/OR2T33/OR5L1/OR2AG1/OR7G2/OR10A4/OR7C1/OR6C74/OR10A6/OR14C36/OR13A1/OR3A1/OR5H2/OR1A2/OR4B1/OR4A16/OR7G1/OR5H6/OR56A4/OR52B6/OR2M3/OR6C4/OR13D1/OR13F1/OR2AT4/OR51Q1/OR4K5/OR5AU1/OR8A1/OR2C1/OR56B4/OR2J2/OR6F1/OR4K17/OR52L1/OR4K13/OR1B1/OR4C16/OR8H3/OR56B1/OR2S2/OR13C3/OR4K1/OR51L1/OR5M1/OR9Q2/OR4N5/OR7D2/OR5B2/OR52K1/OR5D14/OR5B21/OR5H1/OR5D16/OR13H1/OR11H4/OR10H2/OR5B3/OR5H15/OR52N2/OR10H1/OR2D2/OR4S2/OR52N1/OR9I1/OR8J3/OR14A16/OR2G3/OR5T1/OR6P1/OR1A1/OR6C65/OR5L2/OR52H1/OR6C6/OR5D13/OR5AC2
methylGSA_methylRRA_GSEA	GO	hypomethylated	GO:0034702	GO:0034702	monoatomic ion channel complex	321	0.495092200780246	1.48877888046049	1e-10	2.41823529411765e-08	tags=63%, list=36%, signal=41%	ANO2/CACNA1A/CACNA1B/CACNA1C/CACNA1E/CACNA1G/CACNA1H/CACNA2D3/CACNG3/CACNG5/CHRNA7/CNGA4/DLG2/DPP10/DPP6/GABRA3/GABRA5/GABRB3/GABRE/GRIK5/GRIN2A/GRIN2B/KCNA4/KCNA6/KCNAB2/KCNB2/KCNH8/KCNIP1/KCNIP4/KCNJ1/KCNJ15/KCNJ16/KCNJ2/KCNK10/KCNMA1/KCNQ1/KCNQ2/NALCN/RYR1/RYR2/RYR3/SCN11A/SCN4A/SCN5A/SHISA6/VWC2/TTYH2/SCN10A/PDE4D/CACNA2D1/KCNQ3/TRPC7/LRRC55/CLDN17/KCNH2/GABRA6/DLG3/KCND3/KCNK16/CNGA3/GRIA1/KCNK1/TRPM5/SHISA9/GABRG3/KCNJ6/SCN8A/CHRNA6/KCNMB2/SCN9A/CHRNB2/HTR3A/KCNU1/CACNA1I/GABRB1/KCNH5/KCNG4/CLIC5/CHRNB4/KCNH6/KCNG2/UNC80/CNTNAP2/GABRD/CNGA2/CHRNA2/KCNK17/SNAP25/GRIN3A/GABRB2/KCNA1/CACHD1/CACNA2D4/SCNN1A/KCNA5/CHRNA4/KCNJ10/SCN3A/KCNN1/STX1A/CLDN4/GABRR1/KCNJ9/GRID2/GABRR2/GABRQ/KCNK12/HCN4/EFCAB9/HTR3D/KCNS3/EPS8/SCN7A/KCNV1/GABRP/CACNB2/OLFM2/KCNG1/PDE4B/KCNAB1/CACNG6/TTYH3/GRIK2/CASQ2/KCND2/KCNJ12/GABRR3/TRPC4/HSPA2/KCNMB1/GRIA4/LRRC8B/KCNK13/CLCN1/TRPV6/PTK2B/CACNG7/CHRNB3/KCNH3/SCN4B/KCNE3/CNIH3/KCNV2/CACNA1F/CACNB3/ASPH/LRRC52/TPCN2/SCNN1G/KCNH4/CNGB1/LRRC8D/CHRNA3/KCNJ11/CLIC4/HTR3E/GRIK4/TRPC3/SLC17A6/ABCC9/KCNB1/ANO6/CLCNKA/ABCC8/KCNJ4/VWC2L/CATSPER3/KCNIP3/PKD2L1/KCNQ5/CACNA1D/CATSPERB/KCNS2/KCNA2/SCN2A/ABHD6/GRIN2C/SCN3B/AKAP6/KCND1/CHRNA1/SCNN1B/KCNF1/KCNA10/KCNMB4/KCNC1/CLIC6/GLRA1/CACNG1/CACNG8/GRIK3/CACNB4/CYBB/CACNG2/SCN2B/CATSPER1/HCN1/CACNA1S/KCNH1/TRPC5/ANO1/PKD1L1/KCNC3
methylGSA_methylRRA_GSEA	GO	hypomethylated	GO:0007608	GO:0007608	sensory perception of smell	331	0.493500319842079	1.48614301191922	1e-10	2.41823529411765e-08	tags=60%, list=30%, signal=43%	CNGA4/NAV2/OR10A3/OR10C1/OR10J3/OR10J5/OR10K2/OR10P1/OR11A1/OR12D3/OR14J1/OR1G1/OR1M1/OR2B11/OR2H1/OR2M5/OR2T11/OR2T6/OR4F15/OR51E2/OR52B4/OR5V1/OR6K2/OR6K3/OR8B4/OR8B8/OR8U8/OR9Q1/SLC24A4/SLC6A3/OR10J1/OR4D1/OR2AG2/OR2M4/OR6Y1/OR52B2/OR8B12/OR6N1/OR5P3/OR51A7/OR5P2/OR2H2/OR6A2/OR6K6/OR52E8/OR5B12/OR2C3/OR11G2/OR11L1/OR8S1/OR14I1/OR51E1/OR2G6/OR2Y1/OR6T1/OR2L8/OR5A1/OR51B5/OR52R1/OR8D1/OR56A1/OR2G2/OR2V2/OR51I1/OR52E2/OR51D1/OR9G4/OR10Z1/OR10G4/OR6X1/OR2W1/OR10V1/OR2D3/OR51I2/OR51M1/OR5D18/OR5I1/OR2B3/OR4D11/OR6M1/CNGA2/OR51G1/OR51T1/DRD2/OR10T2/OR2L13/OR4C15/OR12D2/OR51F1/OR4D2/OR51B2/OR4D6/OR2Z1/OR10S1/OR8K3/OR6N2/OR4F6/OR7A17/OR2T1/OR10AG1/OR7A5/OR5A2/OR9A4/OR4D5/OR7C2/OR3A2/OR6C2/OR5AN1/OR2T10/OR10X1/OR5AS1/OR51F2/OR52A1/OR1L3/OR51S1/OR1C1/OR10W1/OR52M1/OR52I2/OR4C6/OR5W2/OR2T33/OR5L1/OR2AG1/OR7G2/OR10A4/OR7C1/OR6C74/OR10A6/OR14C36/OR13A1/OR3A1/OR5H2/OR1A2/OR4B1/OR4A16/OR7G1/OR5H6/OR56A4/OR52B6/OR2M3/OR6C4/OR13D1/OR13F1/OR2AT4/OR51Q1/OR4K5/OR5AU1/OR8A1/OR2C1/OR56B4/OR2J2/OR6F1/OR4K17/GJB4/OR52L1/OR4K13/OR1B1/OR4C16/OR8H3/OR56B1/OR2S2/OR13C3/OR4K1/OR51L1/OR5M1/OR9Q2/OR4N5/OR7D2/OR5B2/CNGB1/OR52K1/OR5D14/OR5B21/OR5H1/OR5D16/OR13H1/OR11H4/OR10H2/OR5B3/OR5H15/OR52N2/OR10H1/OR2D2/OR4S2/B3GNT2/OR52N1/OR9I1/OR8J3/OR14A16/OR2G3/OR5T1/OR6P1/OR1A1/OR6C65/OR5L2/OR52H1/OR6C6/OR5D13/OR5AC2
methylGSA_methylRRA_GSEA	GO	hypomethylated	GO:0045211	GO:0045211	postsynaptic membrane	302	0.494027614940507	1.48256866510155	1e-10	2.41823529411765e-08	tags=61%, list=35%, signal=40%	ACTN2/ANK1/ANK2/ANK3/ATP2B2/CACNA1C/CACNG3/CACNG5/CDH2/CHRM2/CHRM3/CHRNA7/CSMD2/DLG2/ELFN1/FLRT2/GABRA3/GABRA5/GABRB3/GABRE/GRID1/GRIK5/GRIN2A/GRIN2B/GRM7/HTR2A/IGSF11/IQSEC3/KCNJ2/KCNMA1/RPH3A/SHANK1/SHISA6/SLC12A5/SLC6A1/SLC6A3/SORCS2/SORCS3/SYNE1/VWC2/GABBR2/GRM2/DCC/TMEM108/KCTD16/NLGN4X/GABRA6/DLG3/KCND3/GRIA1/SHISA9/GABRG3/COL13A1/SCN8A/CHRNA6/EPHB2/VANGL2/CHRNB2/HTR3A/FARP1/TACR1/NRCAM/GABRB1/GSG1L/SHANK2/HTR5A/DMD/LRRC7/LRRC4B/ITGA8/CHRNB4/CNR2/CNTN2/UTRN/GRID2IP/PTCH1/GABRD/DGKB/CHRNA2/CRHR1/GRIN3A/DRD2/GABRB2/KCNA1/CHRM5/CHRNA4/IGSF9B/GRM3/LHFPL4/SLC6A6/GABRR1/LRFN2/GRID2/GABRR2/GRM1/NETO1/ERBB4/RGS7BP/DNM3/GABRQ/GABBR1/NRP2/IL1RAPL1/ELFN2/SEMA4B/CLSTN2/SYT1/CDH10/ADORA2A/HTR3D/LRRTM4/C1QA/FXYD6/IGSF21/GRIK2/KCND2/NLGN1/CNTN1/NRP1/GABRR3/EFNB3/GRIA4/ADCY1/PTPRO/GRIP2/CLSTN1/CACNG7/PTPRS/CHRNB3/P2RY1/CHRM4/CNIH3/SLC16A7/EFNB2/GNAO1/HIP1/LRRC4C/LIN7A/ZC4H2/EPHA4/KCTD8/PDLIM4/MKLN1/OPRK1/MAGEE1/CHRNA3/ITGB3/RGS9/HTR3E/GRIK4/KCNB1/GRM5/KCNJ4/PCDH17/SUSD4/KCNA2/ATP6AP2/ABHD6/GRIN2C/CHRM1/SHISA7/NEO1/KCND1/CHRNA1/KCNC1/GLRA1/DAGLA/RNF10/SRGAP2/GPR158/CACNG8/SHC4/GRIK3/MUSK/NAPEPLD/CNKSR2/RAPSN/F2R/CACNG2/SEMA4D/RYK/HCN1/SLC6A11/SLITRK3/KCNH1
methylGSA_methylRRA_GSEA	GO	hypomethylated	GO:0050907	GO:0050907	detection of chemical stimulus involved in sensory perception	343	0.487633260219928	1.46975082141554	1e-10	2.41823529411765e-08	tags=63%, list=33%, signal=43%	OR10A3/OR10C1/OR10J3/OR10J5/OR10K2/OR10P1/OR11A1/OR12D3/OR14J1/OR1G1/OR1M1/OR2B11/OR2H1/OR2M5/OR2T11/OR2T6/OR4F15/OR51E2/OR52B4/OR5V1/OR6K2/OR6K3/OR8B4/OR8B8/OR8U8/OR9Q1/SLC24A4/OR10J1/OR4D1/OR2AG2/OR2M4/OR6Y1/OR52B2/OR8B12/OR6N1/OR5P3/OR51A7/OR5P2/OR2H2/OR6A2/OR6K6/OR52E8/OR5B12/OR2C3/OR11G2/OR11L1/OR8S1/OR14I1/OR51E1/OR2G6/OR2Y1/OR6T1/OR2L8/OR5A1/OR51B5/TAS1R2/OR52R1/OR8D1/OR56A1/OR2G2/OR2V2/OR51I1/OR52E2/OR51D1/OR9G4/OR10Z1/OR10G4/OR6X1/OR2W1/OR10V1/OR2D3/OR51I2/OR51M1/OR5D18/OR5I1/OR2B3/OR4D11/OR6M1/OR51G1/OR51T1/OR10T2/OR2L13/OR4C15/OR12D2/OR51F1/OR4D2/OR51B2/OR4D6/OR2Z1/OR10S1/OR8K3/OR6N2/OR4F6/OR7A17/OR2T1/OR10AG1/OR7A5/OR5A2/OR9A4/OR4D5/OR7C2/OR3A2/OR6C2/OR5AN1/OR2T10/OR10X1/OR5AS1/OR51F2/OR52A1/OR1L3/OR51S1/OR1C1/OR10W1/OR52M1/OR52I2/OR4C6/OR5W2/OR2T33/OR5L1/OR2AG1/OR7G2/OR10A4/OR7C1/LPO/OR6C74/OR10A6/OR14C36/OR13A1/OR3A1/OR5H2/OR1A2/OR4B1/OR4A16/OR7G1/OR5H6/OR56A4/GNAT3/OR52B6/OR2M3/OR6C4/OR13D1/OR13F1/OR2AT4/OR51Q1/PIP/OR4K5/OR5AU1/TAS2R13/OR8A1/OR2C1/OR56B4/OR2J2/OR6F1/OR4K17/AZGP1/OR52L1/OR4K13/OR1B1/RTP1/RTP2/OR4C16/OR8H3/OR56B1/OR2S2/OR13C3/OR4K1/OR51L1/OR5M1/OR9Q2/OR4N5/OR7D2/OR5B2/CNGB1/OR52K1/OR5D14/OR5B21/OR5H1/OR5D16/OR13H1/OR11H4/OR10H2/OR5B3/OR5H15/OR52N2/OR10H1/OR2D2/TAS2R1/OR4S2/OR52N1/OR9I1/OR8J3/OR14A16/OR2G3/OR5T1/PKD2L1/OR6P1/OR1A1/OR6C65/OR5L2/OR52H1/OR6C6/OR5D13/OR5AC2/OR7D4/OR8K1/CST2/OR52J3/TRPA1/TAS2R16/TAS1R3/OR2W3/OR6Q1/OR8U1/OR56A3/OR4K2/OR2A2/OR51B6
methylGSA_methylRRA_GSEA	GO	hypomethylated	GO:0050906	GO:0050906	detection of stimulus involved in sensory perception	411	0.4812013036083	1.45739599501905	1e-10	2.41823529411765e-08	tags=62%, list=33%, signal=42%	ATP8A2/EPHB1/FYN/GRM6/HTR2A/KCNQ1/OR10A3/OR10C1/OR10J3/OR10J5/OR10K2/OR10P1/OR11A1/OR12D3/OR14J1/OR1G1/OR1M1/OR2B11/OR2H1/OR2M5/OR2T11/OR2T6/OR4F15/OR51E2/OR52B4/OR5V1/OR6K2/OR6K3/OR8B4/OR8B8/OR8U8/OR9Q1/SCN11A/SEMA5B/SLC24A4/TNF/OR10J1/OR4D1/OR2AG2/PPEF1/OR2M4/OR6Y1/OR52B2/OR8B12/OR6N1/OR5P3/OR51A7/OR5P2/OR2H2/OR6A2/OR6K6/OR52E8/OR5B12/OR2C3/OR11G2/OR11L1/OR8S1/OR14I1/OR51E1/OR2G6/OR2Y1/OR6T1/OR2L8/OR5A1/SCN9A/OR51B5/TAS1R2/OR52R1/OR8D1/OR56A1/OR2G2/OR2V2/OR51I1/OR52E2/OR51D1/OR9G4/OR10Z1/OR10G4/OR6X1/OR2W1/OR10V1/OR2D3/OR51I2/OR51M1/OR5D18/OR5I1/OR2B3/OR4D11/OR6M1/GJA10/OR51G1/OR51T1/OR10T2/OR2L13/KCNA1/OR4C15/CACNA2D4/OR12D2/SERPINE2/EYS/OR51F1/OR4D2/OR51B2/OR4D6/OR2Z1/OR10S1/OR8K3/DISC1/OR6N2/OR4F6/OR7A17/OR2T1/OR10AG1/OR7A5/OR5A2/OR9A4/OR4D5/OR7C2/OR3A2/OR6C2/OR5AN1/OR2T10/OR10X1/OR5AS1/OR51F2/OR52A1/OR1L3/OR51S1/OR1C1/OR10W1/OR52M1/OR52I2/OR4C6/OR5W2/OR2T33/OR5L1/OR2AG1/GUCY2F/OR7G2/OR10A4/GRIK2/OR7C1/LPO/OR6C74/OR10A6/OR14C36/OR13A1/OR3A1/OR5H2/TAC4/OR1A2/OR4B1/OR4A16/OR7G1/OR5H6/REEP6/OR56A4/GNAT3/OR52B6/OR2M3/OR6C4/NTRK1/OR13D1/TULP1/OR13F1/CRB1/OR2AT4/OR51Q1/KIT/PIP/OR4K5/OR5AU1/NR2F6/TAS2R13/OR8A1/OR2C1/OR56B4/OR2J2/OR6F1/OR4K17/AZGP1/OR52L1/OR4K13/OR1B1/RTP1/RTP2/OR4C16/TMC1/OR8H3/OR56B1/OR2S2/OR13C3/OR4K1/OR51L1/CACNA1F/OR5M1/OR9Q2/OR4N5/OR7D2/PRPH2/OR5B2/CNGB1/OR52K1/OR5D14/OR5B21/OR5H1/OR5D16/OR13H1/OR11H4/OR10H2/OR5B3/OR5H15/OR52N2/OR10H1/OR2D2/TAS2R1/OR4S2/OR52N1/OR9I1/OR8J3/CXCL12/TMEM87A/OR14A16/OR2G3/OR5T1/PKD2L1/OR6P1/OR1A1/OR6C65/OR5L2/OR52H1/OR6C6/OR5D13/OR5AC2/OR7D4/OR8K1/CST2/OR52J3/TRPA1/TAS2R16/TAS1R3/OR2W3/RPE65/OR6Q1/RHO/OR8U1/OR56A3/OR4K2/OR2A2/OR51B6/ITGA2/TAS2R5/OR1F2P/NTSR1/OR51V1
methylGSA_methylRRA_GSEA	GO	hypomethylated	GO:0022836	GO:0022836	gated channel activity	287	0.484853290874869	1.45253330285634	1e-10	2.41823529411765e-08	tags=63%, list=36%, signal=41%	ANO2/CACNA1A/CACNA1B/CACNA1C/CACNA1E/CACNA1G/CACNA1H/CACNA2D3/CACNG3/CACNG5/CHRNA7/CLCN5/CNGA4/GABRA3/GABRA5/GABRB3/GABRE/GRID1/GRIK5/GRIN2A/GRIN2B/KCNA4/KCNA6/KCNAB2/KCNB2/KCNH8/KCNJ1/KCNJ15/KCNJ16/KCNJ2/KCNK10/KCNK18/KCNK9/KCNMA1/KCNN3/KCNQ1/KCNQ2/KCNT1/RYR1/RYR2/RYR3/SHROOM2/TRPM8/TTYH2/OPRM1/SCN10A/CACNA2D1/KCNQ3/LRRC55/SLC1A7/KCNH2/GABRA6/KCND3/KCNK16/CNGA3/GRIA1/KCNK1/TRPM5/GABRG3/KCNJ6/CHRNA6/KCNMB2/CHRNB2/HTR3A/CACNA1I/GABRB1/KCNH5/TRPM2/CHRNB4/KCNH6/KCNN2/GABRD/CNGA2/CHRNA2/KCNK17/SNAP25/GRIN3A/ANO7/GABRB2/KCNA1/CACHD1/CACNA2D4/SCNN1A/KCNA5/CHRNA4/KCNJ10/CALHM1/KCNN1/ANO4/GABRR1/KCNJ9/GRID2/GABRR2/KCNT2/GABRQ/CALHM3/TMC8/KCNK12/HCN4/CLCA1/HTR3D/KCNS3/SCN7A/GABRP/CACNB2/KCNAB1/CLCN4/CACNG6/TTYH3/GRIK2/KCND2/ANO5/KCNJ12/GABRR3/KCNMB1/GRIA4/TMEM63C/TMEM150C/KCNK13/CLCN1/CACNG7/CHRNB3/KCNH3/KCNE3/TMC1/KCNK3/CACNA1F/SLC17A3/CACNB3/LRRC52/TPCN2/SCNN1G/KCNH4/CNGB1/CHRNA3/KCNJ11/HTR3E/GRIK4/AQP1/TRPC3/ABCC9/KCNB1/ANO6/CLCNKA/TMC5/ABCC8/KCNJ4/CATSPER3/CLCA2/PKD2L1/KCNQ5/CACNA1D/KCNA2/GRIN2C/TRPA1/ITGAV/KCND1/ITPR2/CHRNA1/SCNN1B/KCNA10/KCNMB4/KCNC1/GLRA1/CACNG1/CACNG8/GRIK3/CACNB4/CACNG2/ITPR1/SCN2B/P2RX5/P2RX7/CATSPER1/HCN1/CACNA1S/KCNH1/TMC2/ANO1/KCNC3/P2RX3
methylGSA_methylRRA_GSEA	GO	hypomethylated	GO:0097060	GO:0097060	synaptic membrane	431	0.478793308608756	1.45228022390642	1e-10	2.41823529411765e-08	tags=59%, list=35%, signal=39%	ACTN2/ANK1/ANK2/ANK3/ATP2B2/BAIAP2/CACNA1C/CACNA2D3/CACNG3/CACNG5/CADM3/CASR/CDH2/CDH8/CHRM2/CHRM3/CHRNA7/CNR1/CSMD2/DGKI/DLG2/EGFR/ELFN1/FLRT2/GABRA3/GABRA5/GABRB3/GABRE/GRID1/GRIK5/GRIN2A/GRIN2B/GRM7/HTR2A/IGSF11/IQSEC3/KCNJ2/KCNMA1/NRXN2/NRXN3/PCDH9/PDE2A/RPH3A/SHANK1/SHISA6/SLC12A5/SLC6A1/SLC6A2/SLC6A3/SORCS2/SORCS3/SYNE1/VWC2/ADCY8/SNCAIP/SCN10A/GABBR2/CACNA2D1/GRM2/UNC13A/CNTNAP4/SYT11/DCC/SLC1A7/TMEM108/ERC2/KCTD16/NLGN4X/GABRA6/DLG3/KCND3/NTNG2/GRIA1/KCNK1/SHISA9/GABRG3/COL13A1/SCN8A/CHRNA6/EPHB2/VANGL2/CHRNB2/HTR3A/FARP1/TACR1/NRCAM/GABRB1/GSG1L/SHANK2/HTR5A/DMD/LRRC7/PTPRD/LRRC4B/ITGA8/CHRNB4/CNR2/ATP2B3/CNTN2/UTRN/NRXN1/GRID2IP/CNTNAP2/SLC1A6/CNTN6/PTCH1/GABRD/DGKB/CHRNA2/CRHR1/SNAP25/GRIN3A/DRD2/GABRB2/KCNA1/CHRM5/CHRNA4/IGSF9B/GRM3/LHFPL4/STX1A/SLC6A6/GABRR1/LRFN2/KCNJ9/GRID2/GABRR2/GRM1/NETO1/ERBB4/RGS7BP/STX2/DNM3/GABRQ/GABBR1/NRP2/IL1RAPL1/ADORA3/SLC6A7/ELFN2/SEMA4B/CLSTN2/APBA1/ERBB2/SYT1/ZNRF2/CDH10/ADAM23/ADORA2A/HTR3D/LRRTM4/SYP/C1QA/CNTN5/FXYD6/IGSF21/GRIK2/NCAM2/SYT7/PNOC/KCND2/NLGN1/CNTN1/NRP1/LINGO2/GABRR3/CASK/UNC13C/EFNB3/EFNB1/GRIA4/ADCY1/PTPRO/GRIP2/DNM1/RIMS2/CLSTN1/CACNG7/PTPRS/CHRNB3/P2RY1/ADAM11/SLC1A2/CHRM4/CNIH3/SLC16A7/EFNB2/SLC5A7/GNAO1/HIP1/LRRC4C/LIN7A/ZC4H2/EPHA4/KCTD8/PDLIM4/NPTN/MKLN1/OPRK1/MAGEE1/CHRNA3/KCNJ11/ITGB3/OTOF/RGS9/SARM1/HTR3E/GRIK4/PRKCG/KCNB1/STXBP1/GRM5/ABCC8/KCNJ4/PCDH17/GPM6A/SUSD4/ATP2B4/RIMS1/KCNA2/ATP6AP2/SCN2A/ABHD6/GRIN2C/SLC4A8/CHRM1/SHISA7/NEO1/ITGB1/KCND1/CHRNA1/NTNG1/KCNC1/GLRA1/DAGLA/RNF10/SRGAP2/GPR158/CACNG8/SHC4/NIPSNAP1/GRIK3/MUSK/NAPEPLD/CNKSR2/RAPSN/F2R/STX11/CACNG2/SEMA4D/RYK/HCN1/SLC6A11/SLITRK3/KCNH1
methylGSA_methylRRA_GSEA	GO	hypomethylated	GO:0009593	GO:0009593	detection of chemical stimulus	380	0.478085414388476	1.44622567736318	1e-10	2.41823529411765e-08	tags=61%, list=33%, signal=42%	CASR/OR10A3/OR10C1/OR10J3/OR10J5/OR10K2/OR10P1/OR11A1/OR12D3/OR14J1/OR1G1/OR1M1/OR2B11/OR2H1/OR2M5/OR2T11/OR2T6/OR4F15/OR51E2/OR52B4/OR5V1/OR6K2/OR6K3/OR8B4/OR8B8/OR8U8/OR9Q1/RYR2/SLC24A4/OR10J1/OR4D1/OR2AG2/OR2M4/OR6Y1/OR52B2/OR8B12/OR6N1/OR5P3/OR51A7/OR5P2/OR2H2/OR6A2/OR6K6/OR52E8/OR5B12/OR2C3/OR11G2/OR11L1/OR8S1/OR14I1/OR51E1/OR2G6/OR2Y1/OR6T1/OR2L8/OR5A1/KCNMB2/SSC5D/OR51B5/TAS1R2/OR52R1/OR8D1/OR56A1/OR2G2/OR2V2/OR51I1/OR52E2/OR51D1/OR9G4/OR10Z1/OR10G4/OR6X1/OR2W1/OR10V1/OR2D3/OR51I2/OR51M1/OR5D18/OR5I1/OR2B3/OR4D11/OR6M1/OR51G1/OR51T1/OR10T2/OR2L13/OR4C15/OR12D2/OR51F1/OR4D2/OR51B2/OR4D6/OR2Z1/OR10S1/OR8K3/REG3A/OR6N2/OR4F6/OR7A17/OR2T1/OR10AG1/OR7A5/OR5A2/OR9A4/OR4D5/OR7C2/OR3A2/OR6C2/OR5AN1/OR2T10/OR10X1/OR5AS1/OR51F2/OR52A1/OR1L3/SYT1/OR51S1/OR1C1/OR10W1/OR52M1/OR52I2/OR4C6/OR5W2/OR2T33/OR5L1/OR2AG1/OR7G2/DRGX/OR10A4/OR7C1/LPO/OR6C74/OR10A6/OR14C36/OR13A1/OR3A1/OR5H2/CASQ2/OR1A2/OR4B1/OR4A16/OR7G1/OR5H6/OR56A4/GNAT3/OR52B6/KCNMB1/OR2M3/OR6C4/OR13D1/OR13F1/OR2AT4/OR51Q1/PIP/OR4K5/TREM2/NOD2/OR5AU1/TAS2R13/OR8A1/OR2C1/OR56B4/OR2J2/OR6F1/OR4K17/AZGP1/OR52L1/OR4K13/OR1B1/RTP1/EXTL3/RTP2/OR4C16/CLEC7A/OR8H3/OR56B1/OR2S2/OR13C3/OR4K1/OR51L1/OR5M1/OR9Q2/ASPH/OR4N5/OR7D2/OR5B2/CNGB1/OR52K1/OR5D14/OR5B21/OR5H1/OR5D16/OR13H1/OR11H4/OR10H2/OR5B3/OR5H15/OR52N2/OR10H1/OR2D2/TAS2R1/OR4S2/OR52N1/OR9I1/OR8J3/STIM1/OR14A16/OR2G3/OR5T1/PKD2L1/OR6P1/OR1A1/OR6C65/OR5L2/OR52H1/OR6C6/OR5D13/OR5AC2/OR7D4/OR8K1/CST2/OR52J3/TRPA1/TAS2R16/TAS1R3/OR2W3/OR6Q1/KCNMB4/OR8U1/OR56A3/OR4K2/OR2A2/OR51B6
