method	collection	direction	term	ID	Description	Size	enrichmentScore	NES	pvalue	padj	leading_edge	core_enrichment
methylGSA_methylRRA_GSEA	KEGG	all	04080	04080	Neuroactive ligand-receptor interaction	264	0.497205347860091	2.02227218723755	1e-10	1e-08	tags=60%, list=25%, signal=45%	ADCYAP1R1/ADORA3/ADRA1A/ADRA1D/ADRB3/AVPR1A/CALCR/CCKBR/CHRM2/CHRM3/CHRNA7/CNR1/CNR2/CRHR2/DRD2/DRD4/EDNRB/FPR1/GABBR1/GABBR2/GABRA1/GABRA3/GABRA4/GABRA5/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG2/GABRG3/GALR1/GALR2/GHRHR/GHSR/GIPR/GPR83/GRIA1/GRIA4/GRID1/GRID2/GRIK5/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A/GRM1/GRM3/GRM6/GRM7/GRM8/HCRTR2/HRH1/HRH2/HRH3/HTR1A/HTR1B/HTR2A/HTR2C/HTR4/HTR5A/LEP/LEPR/MTNR1A/MTNR1B/NMBR/NPBWR1/NPY2R/NTSR1/OPRM1/PARD3/PRLHR/PTGDR/PTH1R/S1PR1/SCTR/SSTR1/TSHR/VIPR2/ADRA1B/P2RY6/P2RX6/SSTR4/GLP1R/CHRNB2/NPBWR2/NR3C1/OPRK1/GRM2/TACR1/THRB/THRA/GRIK2/F2RL3/GRM4/GPR50/CHRNA4/OPRL1/P2RY1/GLRA3/LHCGR/GABRA6/GRIA2/PTH2R/GRIN2D/CRHR1/P2RX5/MCHR2/TACR3/KISS1R/CHRNA6/CHRNB4/GLRA1/HCRTR1/PRLR/EDNRA/GALR3/GABRA2/GRIK1/CHRNB1/LPAR3/AVPR2/GLP2R/DRD1/NMUR1/MC5R/HTR6/GRIK3/TRHR/BDKRB1/AGTR1/P2RX7/AVPR1B/PTGFR/ADRA2C/MLNR/FSHB/GABRR1/GABRG1/P2RX2/CHRND/CHRNA3/CHRNA2/TAAR9/NPY5R/NPFFR2/TAAR6/CHRM5/PTGER2/F2R/FPR2/MAS1/LPAR4/GRM5/GPR156/DRD3/APLNR
methylGSA_methylRRA_GSEA	KEGG	all	04020	04020	Calcium signaling pathway	175	0.488716093988489	1.93896427990294	1e-10	1e-08	tags=69%, list=34%, signal=46%	ADCY2/ADCY4/ADCY8/ADRA1A/ADRA1D/ADRB3/ATP2B2/AVPR1A/CACNA1A/CACNA1B/CACNA1C/CACNA1E/CACNA1G/CACNA1H/CACNA1I/CCKBR/CHRM2/CHRM3/CHRNA7/EDNRB/EGFR/GNAL/GNAS/GRIN1/GRIN2A/GRIN2C/GRM1/HRH1/HRH2/HTR2A/HTR2C/HTR4/HTR5A/ITPKA/MYLK/NOS1/NTSR1/PDE1C/PDGFRA/PLCE1/PRKCA/PRKCB/PRKCG/RYR1/RYR2/RYR3/SLC8A1/SLC8A2/SLC8A3/ADRA1B/P2RX6/CAMK2A/CAMK4/TACR1/CD38/CAMK2B/ADCY9/GNA11/BST1/PDGFRB/LHCGR/GRIN2D/P2RX5/TACR3/EDNRA/CAMK2D/ATP2A3/ITPKB/ERBB2/SPHK2/CHP2/DRD1/ADCY1/NOS3/HTR6/TRHR/BDKRB1/AGTR1/P2RX7/AVPR1B/PTGFR/ATP2B3/PRKX/P2RX2/PDE1A/CACNA1D/PLCZ1/CHRM5/PLCD1/ERBB4/F2R/PRKACA/PHKA1/CALML3/GRM5/MYLK2/ATP2B4/PDE1B/PHKA2/ADCY3/HTR7/DRD5/PLCB1/CALML5/PPP3CA/ERBB3/ADRB1/ADORA2B/TRPC1/NOS2/ADORA2A/PLCG1/LTB4R2/PPP3R2/TBXA2R/CYSLTR2/GNA15/TNNC2/OXTR/PTK2B/ATP2A1
methylGSA_methylRRA_GSEA	KEGG	all	04510	04510	Focal adhesion	196	0.415320368798983	1.66243595453051	5.29585626584527e-08	3.53057084389684e-06	tags=61%, list=37%, signal=39%	ACTN1/ACTN2/ACTN3/AKT3/BCAR1/CAPN2/CAV1/CAV2/CCND1/CCND2/COL11A1/COL11A2/COL1A2/COL4A1/COL4A2/COL5A1/COL6A1/COL6A2/COL6A3/EGFR/FLNC/FLT1/FLT4/FYN/IGF1R/ITGA11/ITGA4/ITGA7/ITGA8/LAMA1/LAMA2/LAMB1/LAMC3/MYLK/PDGFD/PDGFRA/PIK3CD/PIK3R5/PRKCA/PRKCB/PRKCG/PXN/RASGRF1/RELN/SHC2/THBS1/THBS2/THBS4/TNR/TNXB/VAV2/LAMB4/ITGB3/COL5A2/DOCK1/ITGA9/PDGFRB/COL1A1/LAMA4/CDC42/FLNB/MAPK10/COL5A3/COMP/PIK3R1/COL2A1/ITGA1/AKT1/ERBB2/VEGFA/PARVA/ITGB5/PGF/CHAD/TLN2/TNN/IGF1/LAMC2/PIP5K1C/VWF/GRB2/PDGFA/SHC1/SHC4/COL6A6/HGF/MYLK2/LAMB3/BCL2/FN1/SHC3/MET/SRC/PDGFC/EGF/FLNA/ITGA5/KDR/ITGB1/LAMC1/PARVG/MYL9/ITGB4/COL4A6/VEGFC/PAK6/CCND3/PAK2/ITGA2B/ROCK2/PPP1CC/PAK3/RAPGEF1/PDGFB/PAK1/COL3A1/PAK4/ITGA3/VCL
methylGSA_methylRRA_GSEA	KEGG	all	04514	04514	Cell adhesion molecule (CAM) interaction	126	0.452746622866915	1.74816303563875	1.01196844987194e-07	5.0598422493597e-06	tags=58%, list=30%, signal=41%	CADM1/CADM3/CD40/CD8A/CDH2/CDH4/CDH5/CLDN10/CLDN11/CLDN14/CLDN16/CLDN5/CLDN6/CNTN1/CNTN2/CNTNAP2/HLA-DOA/HLA-DOB/HLA-DPB1/HLA-DRA/HLA-G/ITGA4/ITGA8/JAM3/MADCAM1/NCAM1/NFASC/NLGN1/NLGN4X/NRXN1/NRXN2/NRXN3/PDCD1/PTPRM/VCAN/ITGAM/NRCAM/HLA-DMB/CD86/CLDN18/ITGA9/PTPRF/HLA-DQA2/CLDN17/CD34/JAM2/CD40LG/NCAM2/MAG/CLDN9/CDH3/CLDN19/HLA-F/MPZ/HLA-DMA/PTPRC/ICAM2/CD80/CD6/NEGR1/F11R/SDC2/CLDN4/CLDN15/HLA-DPA1/ITGB2/HLA-E/L1CAM/CLDN1/CNTNAP1/ITGB1/CDH15/MPZL1
methylGSA_methylRRA_GSEA	KEGG	all	04360	04360	Axon guidance	127	0.446785267943849	1.72600062704975	2.4358451976331e-07	9.7433807905324e-06	tags=67%, list=36%, signal=43%	ABLIM1/ABLIM2/DCC/DPYSL5/EPHA5/EPHB1/EPHB2/EPHB6/FES/FYN/NFATC1/NGEF/NTN1/NTNG1/PLXNA2/PLXNC1/ROBO1/ROBO3/SEMA5A/SEMA5B/SEMA7A/SLIT1/SLIT2/SLIT3/SRGAP1/UNC5A/UNC5D/ROBO2/SEMA6D/EPHA1/LIMK1/PLXNA1/UNC5C/CXCL12/UNC5B/CDC42/SEMA4B/DPYSL2/NFATC3/NFATC2/PLXNB2/CHP2/EPHA7/EPHA2/SEMA6C/EPHA4/EPHA8/EFNA5/CFL2/EFNB1/SEMA6A/SEMA4C/EPHB3/SRGAP3/EFNB3/ABL1/EPHA6/PLXNA3/LRRC4C/GNAI1/NRP1/PLXNB3/NCK2/MET/L1CAM/SEMA3B/PPP3CA/RGS3/EFNB2/ITGB1/SEMA6B/NFATC4/SEMA3A/PPP3R2/EPHA3/ARHGEF12/PAK6/GNAI2/PAK2/EFNA2/ROCK2/ABLIM3/PAK3/PAK1/PAK4
methylGSA_methylRRA_GSEA	KEGG	all	05414	05414	Dilated cardiomyopathy	90	0.466602775376416	1.7633214437116	9.155353587064e-07	3.05178452902133e-05	tags=67%, list=35%, signal=44%	ACTC1/ADCY2/ADCY4/ADCY8/CACNA1C/CACNA2D1/CACNA2D3/CACNB2/CACNG3/CACNG5/CACNG7/CACNG8/DES/GNAS/ITGA11/ITGA4/ITGA7/ITGA8/LAMA2/LMNA/RYR2/SGCD/SLC8A1/TGFB2/TNF/TTN/TNNI3/ITGB3/CACNA2D4/ITGA9/ADCY9/DMD/CACNG6/ADCY5/ITGA1/ADCY1/CACNB4/ITGB5/MYH6/IGF1/PRKX/TPM3/CACNA1D/CACNG1/PRKACA/MYH7/ADCY3/ITGA5/TNNT2/ADRB1/ITGB1/SGCB/CACNG2/ITGB4/CACNA2D2/TPM1/TPM4/MYL3/ITGA2B/TNNC1
methylGSA_methylRRA_GSEA	KEGG	all	05200	05200	Pathways in cancer	321	0.353602106134853	1.45067458983915	2.21844367905398e-06	6.33841051158281e-05	tags=46%, list=30%, signal=33%	AKT3/APC/APC2/AR/ARNT2/BMP2/BMP4/CCNA1/CCND1/CDK6/COL4A1/COL4A2/CREBBP/CTBP1/CTBP2/CTNNA2/DCC/EGFR/ETS1/FGF10/FGF12/FGF13/FGF14/FGF2/FGF23/FGF3/FGF5/FGF6/FGFR1/FZD10/GLI2/GLI3/GSTP1/IGF1R/LAMA1/LAMA2/LAMB1/LAMC3/MECOM/MITF/MMP9/NTRK1/PDGFRA/PIK3CD/PIK3R5/PRKCA/PRKCB/PRKCG/PTCH1/PTGS2/RARA/RASSF1/RUNX1T1/RXRB/SHH/STAT5A/TCF7L1/TCF7L2/TGFB2/WNT1/WNT10A/WNT11/WNT16/WNT2/WNT3A/WNT7A/FGF18/KIT/FGF1/FZD7/CTNNA3/LAMB4/HHIP/DAPK1/ZBTB16/WNT7B/WNT5B/PDGFRB/LAMA4/MMP2/FGF11/FGF4/CDC42/RARB/MAPK10/RUNX1/TRAF5/FGF9/RALB/FGF20/WNT9A/RXRA/SMO/RASSF5/KLK3/PIK3R1/RALGDS/AKT1/ERBB2/VEGFA/FGF19/PML/SLC2A1/FGF8/IKBKG/PGF/WNT9B/FGFR3/PAX8/IGF1/SMAD3/LAMC2/TPM3/PPARG/LEF1/SUFU/PLD1/GRB2/PDGFA/CTNNA1/STAT5B/HGF/LAMB3/TGFBR1/BCL2/ABL1/WNT6/TCF7/CDKN2A/EPAS1/BIRC5/FZD9/FN1/RELA/AXIN1/TGFBR2/MET/IKBKB/JUP/MLH1/RXRG/EGF/FGF16/WNT3/AXIN2/ITGB1/LAMC1/NOS2
methylGSA_methylRRA_GSEA	KEGG	all	04974	04974	Protein digestion and absorption	76	0.464667775791577	1.73653667962572	1.09067557495137e-05	0.000272668893737843	tags=45%, list=17%, signal=37%	COL11A1/COL11A2/COL14A1/COL15A1/COL18A1/COL1A2/COL4A1/COL4A2/COL5A1/COL6A1/COL6A2/COL6A3/COL9A1/COL9A2/COL9A3/CPA1/CPA2/DPP4/ELN/KCNE3/KCNQ1/MME/SLC6A19/SLC8A1/SLC8A2/SLC8A3/SLC9A3/ATP1B2/COL5A2/MEP1A/COL1A1/SLC15A1/COL5A3/COL2A1
methylGSA_methylRRA_GSEA	KEGG	all	05412	05412	Arrhythmogenic right ventricular cardiomyopathy	74	0.465876070387388	1.73850699438469	2.0524992558771e-05	0.00041049985117542	tags=59%, list=30%, signal=42%	ACTN1/ACTN2/ACTN3/CACNA1C/CACNA2D1/CACNA2D3/CACNB2/CACNG3/CACNG5/CACNG7/CACNG8/CDH2/CTNNA2/DES/ITGA11/ITGA4/ITGA7/ITGA8/LAMA2/LMNA/RYR2/SGCD/SLC8A1/TCF7L1/TCF7L2/CTNNA3/ITGB3/CACNA2D4/ITGA9/DMD/CACNG6/ITGA1/CACNB4/ITGB5/LEF1/CACNA1D/CACNG1/CTNNA1/TCF7/JUP/ITGA5/ITGB1/SGCB/CACNG2
methylGSA_methylRRA_GSEA	KEGG	all	04512	04512	ECM-receptor interaction	85	0.453797053145551	1.70870406290045	1.88495099548103e-05	0.00041049985117542	tags=62%, list=32%, signal=42%	COL11A1/COL11A2/COL1A2/COL4A1/COL4A2/COL5A1/COL6A1/COL6A2/COL6A3/HSPG2/ITGA11/ITGA4/ITGA7/ITGA8/LAMA1/LAMA2/LAMB1/LAMC3/RELN/SV2A/SV2B/SV2C/THBS1/THBS2/THBS4/TNR/TNXB/LAMB4/ITGB3/COL5A2/ITGA9/COL1A1/LAMA4/COL5A3/COMP/COL2A1/ITGA1/AGRN/ITGB5/CHAD/TNN/LAMC2/VWF/COL6A6/SDC2/LAMB3/FN1/ITGA5/ITGB1/LAMC1/ITGB4/COL4A6/SDC3
