method	collection	direction	term	ID	Description	Size	enrichmentScore	NES	pvalue	padj	leading_edge	core_enrichment
methylGSA_methylRRA_GSEA	KEGG	hypomethylated	04740	04740	Olfactory transduction	323	0.498112757808369	1.50085196655147	1e-10	2.08e-08	tags=62%, list=30%, signal=44%	CNGA4/OR10A3/OR10C1/OR10J3/OR10J5/OR10K2/OR10P1/OR11A1/OR12D3/OR14J1/OR1G1/OR1M1/OR2B11/OR2H1/OR2M5/OR2T11/OR2T6/OR4F15/OR51E2/OR52B4/OR5V1/OR6K2/OR6K3/OR8B4/OR8B8/OR8U8/OR9Q1/PDE1C/PRKG1/PRKG2/OR10J1/CAMK2A/OR4D1/OR2AG2/OR2M4/OR6Y1/OR52B2/OR8B12/OR6N1/OR5P3/OR51A7/OR5P2/OR2H2/OR6A2/OR6K6/CNGA3/OR52E8/OR5B12/OR2C3/OR11G2/OR11L1/OR8S1/OR14I1/OR51E1/OR2G6/OR2Y1/OR6T1/OR2L8/OR5A1/OR51B5/OR52R1/OR8D1/OR56A1/OR2G2/OR2V2/OR51I1/OR52E2/OR51D1/OR9G4/OR10Z1/GNAL/OR10G4/OR6X1/OR2W1/OR10V1/OR2D3/OR51I2/OR51M1/OR5D18/OR5I1/OR2B3/OR4D11/OR6M1/OR51G1/OR51T1/OR10T2/OR2L13/OR4C15/OR12D2/OR51F1/OR4D2/OR51B2/OR4D6/OR2Z1/OR10S1/OR8K3/OR6N2/OR4F6/OR7A17/OR2T1/OR10AG1/OR7A5/OR5A2/OR9A4/OR4D5/OR7C2/OR3A2/OR6C2/OR5AN1/OR2T10/OR10X1/OR5AS1/OR51F2/OR52A1/CALML5/CLCA1/OR1L3/OR51S1/OR1C1/OR52M1/OR52I2/OR4C6/OR2T33/OR5L1/OR2AG1/OR7G2/OR10A4/OR7C1/OR6C74/OR10A6/OR14C36/OR13A1/OR3A1/OR5H2/OR1A2/OR4B1/OR4A16/OR7G1/OR5H6/OR56A4/OR52B6/OR2M3/OR6C4/OR13D1/OR13F1/OR2AT4/OR51Q1/OR4K5/OR5AU1/OR8A1/OR2C1/OR56B4/OR2J2/OR6F1/OR4K17/OR52L1/OR4K13/OR1B1/OR4C16/OR8H3/OR56B1/CAMK2B/OR2S2/OR13C3/OR4K1/OR51L1/OR5M1/OR9Q2/OR4N5/OR7D2/CNGB1/OR52K1/OR5D14/OR5B21/OR5D16/OR13H1/OR11H4/CALML3/OR10H2/OR5B3/OR52N2/OR10H1/OR2D2/GUCA1A/OR4S2/OR52N1/OR9I1/OR8J3/OR14A16/OR2G3/CLCA2/OR5T1/OR1A1/OR6C65/OR5L2/OR52H1/OR6C6/OR5D13/OR5AC2
methylGSA_methylRRA_GSEA	KEGG	hypomethylated	04080	04080	Neuroactive ligand-receptor interaction	264	0.475986191738429	1.42583027573503	8.847573266983e-09	9.20147619766232e-07	tags=62%, list=38%, signal=39%	ADCYAP1R1/CHRM2/CHRM3/CHRNA7/CNR1/EDNRB/FPR1/GABRA3/GABRA5/GABRB3/GABRE/GHRHR/GRID1/GRIK5/GRIN2A/GRIN2B/GRM6/GRM7/GRM8/HRH1/HRH2/HTR2A/MTNR1A/PARD3/VIPR2/TSHR/OPRM1/GABBR2/NPBWR2/GRM2/ADRA1A/GPR50/NPY2R/GRM4/GABRA6/GRIA1/GABRG3/CHRNA6/PRLR/CHRNB2/HTR2C/TACR1/GABRB1/AVPR2/GLP2R/HTR5A/MC5R/ADRA1B/THRB/CRHR2/TRHR/BDKRB1/SCTR/CHRNB4/CNR2/MTNR1B/FSHB/GABRD/CHRNA2/CRHR1/GRIN3A/TAAR9/TAAR6/DRD2/GABRB2/CHRM5/FPR2/CHRNA4/OPRL1/MAS1/GRM3/CCKBR/GPR156/DRD3/APLNR/BRS3/GABRR1/GRID2/GABRR2/GRM1/GALR1/ADRA1D/GABRQ/GABBR1/MC3R/LEPR/ADORA3/AVPR1A/TAAR2/HCRTR1/ADORA2A/GABRP/CALCR/CYSLTR2/GRIK2/F2/PTH1R/MC2R/MCHR2/PTGDR/P2RY6/FPR3/NR3C1/GPR35/LPAR4/HTR4/GRIA4/AGTR1/CTSG/NPY1R/PTGER2/CHRNB3/P2RY1/CHRM4/TAAR8/LHCGR/P2RY2/OPRK1/CHRNA3/PRL/P2RY10/RXFP1/GRIK4/CYSLTR1/GRM5/SSTR5/GRIN2C/PRSS1/CHRM1/F2RL1/GZMA/CHRNA1/GLP1R/GHR/GLRA1/NPFFR2/GIPR/PTGER3/GRIK3/NTSR1/F2R/PRLHR/LPAR3/P2RX5/HTR6/P2RX7/HTR1D/TSHB/PTAFR/P2RX3/TBXA2R/GABRA4/HTR1E/BDKRB2/P2RY4/CALCRL/LPAR1/HTR7/CCKAR/UTS2R/HRH3/OPRD1/MC1R
methylGSA_methylRRA_GSEA	KEGG	hypomethylated	04020	04020	Calcium signaling pathway	175	0.483529209309833	1.42327156021928	1.56580715540387e-06	0.000108562629441335	tags=62%, list=37%, signal=39%	ADCY2/ATP2B2/CACNA1A/CACNA1B/CACNA1C/CACNA1E/CACNA1G/CACNA1H/CHRM2/CHRM3/CHRNA7/EDNRB/EGFR/GRIN2A/HRH1/HRH2/HTR2A/PDE1C/PLCE1/PRKCA/PRKCB/RYR1/RYR2/RYR3/SLC8A1/ADCY8/CAMK2A/NOS1/ADRA1A/MYLK/PDGFRA/SLC8A3/HTR2C/TACR1/CACNA1I/HTR5A/ADRA1B/TRHR/BDKRB1/GNAL/ATP2B3/ADCY9/PLCZ1/CHRM5/PHKA1/CCKBR/CAMK4/GRM1/PHKA2/ERBB4/ADRA1D/CALML5/ERBB3/ERBB2/AVPR1A/PDE1A/ADORA2A/ITPKB/PPP3R2/CYSLTR2/HTR4/ADCY1/AGTR1/NOS3/PTK2B/PPP3CA/CAMK2B/CACNA1F/SLC25A31/GNA15/LHCGR/TNNC1/SLC8A2/NOS2/PLCD3/CALML3/PRKCG/CHP2/CYSLTR1/GRM5/PDE1B/CD38/CACNA1D/PLCB4/ATP2B4/GRIN2C/CHRM1/TNNC2/ITPR2/CALML6/PTGER3/NTSR1/F2R/ITPR1/P2RX5/HTR6/P2RX7/CACNA1S/PTAFR/P2RX3/ATP2B1/TBXA2R/BDKRB2/CAMK2D/PRKACA/HTR7/CCKAR/GNAQ/ADCY3
methylGSA_methylRRA_GSEA	KEGG	hypomethylated	05416	05416	Viral myocarditis	68	0.542625800395744	1.52102392241148	3.28339247566132e-05	0.00170736408734388	tags=41%, list=15%, signal=35%	CCND1/FYN/HLA-DOA/HLA-DOB/HLA-DRA/LAMA2/MYH13/MYH4/SGCD/PRF1/MYH3/HLA-DMB/CD86/HLA-DQA2/HLA-DPB1/CD40LG/DMD/MYH8/HLA-DMA/CD80/MYH7B/MYH6/MYH7/HLA-DPA1/ITGB2/MYH1/MYH11/MYH15
methylGSA_methylRRA_GSEA	KEGG	hypomethylated	05322	05322	Systemic lupus erythematosus	51	0.568831021926912	1.55874382565281	7.61445307943227e-05	0.00263967706753652	tags=53%, list=23%, signal=41%	ACTN2/GRIN2A/GRIN2B/HLA-DOA/HLA-DOB/HLA-DRA/TNF/C6/HLA-DMB/CD86/HLA-DQA2/HLA-DPB1/CD40LG/IFNG/HLA-DMA/CD80/C3/HLA-DPA1/C1QA/C1S/CD28/C7/C9/C1QB/CTSG/CD40/FCGR2B
methylGSA_methylRRA_GSEA	KEGG	hypomethylated	04514	04514	Cell adhesion molecule (CAM) interaction	126	0.480317241979985	1.38732467300306	7.38884384397093e-05	0.00263967706753652	tags=45%, list=23%, signal=35%	CADM1/CADM3/CDH2/CDH4/CLDN16/HLA-DOA/HLA-DOB/HLA-DRA/NFASC/NRXN2/NRXN3/JAM3/HLA-DMB/CD86/CLDN18/HLA-DQA2/NCAM1/CLDN17/NLGN4X/HLA-DPB1/CLDN14/CD40LG/NRCAM/ITGA8/CNTN2/NRXN1/CNTNAP2/HLA-DMA/VCAN/PTPRC/PDCD1/CD80/NEGR1/F11R/CLDN4/HLA-DPA1/ITGB2/L1CAM/CD8A/CDH5/NCAM2/CTLA4/CLDN1/NLGN1/CNTN1/CD28/CLDN10/MPZL1/CD58/CLDN2/SDC2/SPN/CD40/PTPRM/SELPLG/MAG/ITGA9
methylGSA_methylRRA_GSEA	KEGG	hypomethylated	05310	05310	Asthma	28	0.638068077404112	1.6574797181629	0.000134903237690998	0.00350748417996596	tags=57%, list=14%, signal=49%	CCL11/FCER1A/HLA-DOA/HLA-DOB/HLA-DRA/PRG2/TNF/HLA-DMB/HLA-DQA2/HLA-DPB1/CD40LG/IL13/HLA-DMA/RNASE3/HLA-DPA1/IL3
methylGSA_methylRRA_GSEA	KEGG	hypomethylated	04940	04940	Type I diabetes mellitus	41	0.583192469795337	1.57490480617702	0.000121299887990532	0.00350748417996596	tags=51%, list=19%, signal=41%	HLA-DOA/HLA-DOB/HLA-DRA/LTA/PTPRN2/TNF/PRF1/HLA-DMB/CD86/HLA-DQA2/HLA-DPB1/IFNG/HLA-DMA/CD80/HLA-DPA1/ICA1/PTPRN/IL1A/CD28/IL12B/IL12A
methylGSA_methylRRA_GSEA	KEGG	hypomethylated	05410	05410	Hypertrophic cardiomyopathy	83	0.497314938954398	1.40799135517369	0.000243797767997561	0.00563443730483253	tags=60%, list=35%, signal=39%	CACNA1C/CACNA2D3/CACNG3/CACNG5/LAMA2/PRKAG2/RYR2/SGCD/SLC8A1/TNF/TTN/CACNA2D1/ITGA1/DMD/ITGA8/ITGB5/TGFB2/TPM3/ITGA11/CACNA2D4/MYH6/MYH7/ACE/CACNB2/CACNG6/MYL3/CACNG7/ITGB6/ACTC1/IGF1/CACNA1F/CACNB3/ITGA9/TNNC1/ITGB3/SGCG/TNNT2/CACNA1D/IL6/MYBPC3/ITGAV/ITGB1/CACNG1/CACNG8/ITGA2/ITGA7/CACNB4/CACNG2/MYL2/CACNA1S
methylGSA_methylRRA_GSEA	KEGG	hypomethylated	04530	04530	Tight junction	126	0.465932561582106	1.34577667038093	0.000357719170213556	0.00744055874044196	tags=40%, list=24%, signal=30%	ACTN2/AMOTL1/CLDN16/CTNNA2/MAGI2/MYH13/MYH4/PARD3/PPP2R2B/PRKCA/PRKCB/PRKCQ/PRKCH/JAM3/MYH3/CLDN18/EXOC4/CLDN17/AKT3/PRKCZ/CLDN14/PPP2R2C/MAGI1/CTNNA3/MYH8/MYH7B/MYH6/F11R/MYH7/CLDN4/TJP2/MYH1/MRAS/MYH11/MYH15/CLDN1/EPB41L1/RAB3B/CLDN10/CASK/PARD6B/CLDN2/SYMPK/EPB41/PRKCE/PPP2CB/MAGI3/EPB41L2/AKT1/PPP2R2A
