method	collection	direction	term	ID	Size	enrichmentScore	NES	pvalue	padj	leading_edge	core_enrichment
methylGSA_methylRRA_GSEA	longevity	all	go_positive_regulation_stem_cell_differentiation	go_positive_regulation_stem_cell_differentiation	17	0.614206412998861	1.87787243206239	0.000579590695466707	0.0081142697365339	tags=53%, list=12%, signal=46%	HOXB4/PTN/SOX5/TBX5/TCF15/TGFB2/LTBP2/NKX2-5/FOXC1
methylGSA_methylRRA_GSEA	longevity	all	kegg_pluripotency_stem_cell_signaling	kegg_pluripotency_stem_cell_signaling	140	0.343224849345018	1.33461635135059	0.00635792665045164	0.0445054865531615	tags=44%, list=29%, signal=32%	AKT3/APC/APC2/BMP4/DLX5/ESRRB/ESX1/FGF2/FGFR1/FZD10/HAND1/HOXA1/ID4/IGF1R/ISL1/JAK3/LHX5/MEIS1/NEUROG1/ONECUT1/OTX1/PAX6/PIK3CD/SMAD9/WNT1/WNT10A/WNT11/WNT16/WNT2/WNT3A/WNT7A/ZFHX3/JARID2/FZD7/PCGF3/WNT7B/WNT5B/WNT9A/NODAL/HOXD1/PIK3R1/AKT1/POU5F1/BMPR1A/WNT9B/FGFR3/MYF5/FGFR4/IGF1/SMAD3/GRB2/ACVR2A/TCF3/WNT6/TCF7/FZD9/AXIN1/ACVR1/BMPR1B/ZIC3/WNT3/AXIN2
methylGSA_methylRRA_GSEA	longevity	all	reactome_pluripotent_stem_cell_transcription	reactome_pluripotent_stem_cell_transcription	28	0.430820358426049	1.44255436067084	0.0390781563126252	0.182364729458918	tags=68%, list=40%, signal=41%	CDX2/DKK1/EOMES/FGF13/FOXP1/HIF3A/PBX1/PRDM14/SALL1/EPHA1/GSC/FOXD3/EPAS1/NR5A1/ZIC3/DPPA4/NR6A1/SMAD2/HHEX
methylGSA_methylRRA_GSEA	longevity	all	kegg_ampk_signaling	kegg_ampk_signaling	118	0.306001624275312	1.17759126765083	0.121878121878122	0.426573426573427	tags=61%, list=49%, signal=31%	ADRA1A/AKT3/CCNA1/CCND1/CPT1C/CREB3L1/CREB5/IGF1R/LEP/LEPR/PFKP/PIK3CD/PPP2R2B/PPP2R2C/PRKAG2/RPTOR/SCD5/TSC2/TBC1D1/CPT1A/PFKFB3/CFTR/PPP2R5C/PIK3R1/CPT1B/AKT1/HNF4A/CREB3L2/ULK1/INSR/IGF1/PPARG/RAB11B/ACACA/PPP2R3A/ADIPOQ/FBP1/CAMKK2/SREBF1/IRS2/SCD/LIPE/PFKFB2/PPARGC1A/PFKFB1/PCK1/IRS4/PIK3CA/PPP2CB/EEF2K/STK11/EEF2/IRS1/FOXO1/GYS1/RAB2A/AKT2/PPP2R1A/PPP2R2A/ACACB/CRTC2/SLC2A4/FOXO3/PPP2R2D/FASN/CAB39L/ADIPOR1/PDPK1/PPP2R5A/EIF4EBP1/PIK3CB/PRKAG3
methylGSA_methylRRA_GSEA	longevity	all	go_negative_regulation_stem_cell_differentiation	go_negative_regulation_stem_cell_differentiation	11	0.393785980558361	1.09891095141909	0.347161572052402	0.972052401746725	tags=36%, list=22%, signal=28%	TCF15/NOTCH1/HES5/ZFP36L2
methylGSA_methylRRA_GSEA	longevity	all	kegg_mtor_signaling	kegg_mtor_signaling	143	0.25087187772405	0.977410834357302	0.551448551448551	1	tags=71%, list=62%, signal=27%	AKT3/FZD10/GRB10/IGF1R/LRP5/PIK3CD/PRKCA/PRKCB/PRKCG/RPS6KA2/RPTOR/SGK1/TNF/TSC2/WNT1/WNT10A/WNT11/WNT16/WNT2/WNT3A/WNT7A/FZD7/PRR5/WNT7B/WNT5B/ATP6V1C2/WNT9A/PIK3R1/AKT1/ATP6V1B1/ULK1/INSR/WNT9B/IGF1/GRB2/TELO2/FNIP2/RRAGD/SLC3A2/SEC13/WNT6/FZD9/ATP6V1B2/IKBKB/SESN2/WNT3/WNT2B/LRP6/WNT5A/WNT4/SLC7A5/PIK3CA/FZD5/WDR24/STK11/IRS1/LPIN1/AKT2/ATP6V1C1/FZD8/FLCN/TBC1D7/MAP2K2/WNT10B/CLIP1/ATP6V1G3/ULK2/CAB39L/WNT8A/PDPK1/MLST8/EIF4EBP1/TNFRSF1A/RRAGB/EIF4E1B/PIK3CB/DVL1/RPS6KA1/ATP6V1G2/ATP6V1E2/DVL3/DEPDC5/ATP6V1G1/INS/CAB39/WNT8B/DVL2/RPS6KA3/STRADA/NRAS/MAPK1/MTOR/STRADB/SLC38A9/BRAF/HRAS/MAP2K1/MAPKAP1/FZD4/KRAS/PTEN/FZD6
methylGSA_methylRRA_GSEA	longevity	all	reactome_transcriptional_activation_mitochondrial_biogenesis	reactome_transcriptional_activation_mitochondrial_biogenesis	46	0.255229398118382	0.905281058693776	0.678321678321678	1	tags=50%, list=48%, signal=26%	CREBBP/GDNF/MEF2C/CAMK4/MEF2D/CRTC1/RXRA/CHD9/NCOA1/SMARCD3/NCOR1/NCOA2/ESRRA/PPARGC1A/TBL1XR1/NRF1/LIN9/PPARGC1B/CRTC2/ACSS2/ALAS1/CRTC3/CARM1
methylGSA_methylRRA_GSEA	longevity	all	reactome_foxo_mediated_transcription	reactome_foxo_mediated_transcription	63	0.217632626021542	0.792584328962485	0.876123876123876	1	tags=57%, list=55%, signal=26%	AKT3/CAV1/CREBBP/FOXG1/NPY/PLXNA4/POMC/NR3C1/AKT1/BCL6/SMAD3/NFYC/SREBF1/YWHAG/PPARGC1A/CDKN1A/PCK1/FOXO4/PCBP4/SMAD2/STK11/BBC3/FOXO1/AKT2/PINK1/MAP4K2/FOXO3/HDAC1/BTG1/YWHAZ/IGFBP1/NFYB/INS/FBXO32/RETN/GLYAT
methylGSA_methylRRA_GSEA	longevity	all	reactome_mitochondrial_biogenesis	reactome_mitochondrial_biogenesis	66	0.19208367446119	0.702297841616434	0.95004995004995	1	tags=52%, list=54%, signal=24%	CREBBP/GDNF/MEF2C/PRKAG2/CAMK4/MEF2D/CRTC1/CHCHD6/RXRA/CHD9/NCOA1/SMARCD3/NCOR1/NCOA2/ESRRA/PPARGC1A/TBL1XR1/NRF1/DNAJC11/IMMT/LIN9/PPARGC1B/CRTC2/ACSS2/CHCHD3/ALAS1/CRTC3/CARM1/MAPK11/PRKAG3/HCFC1/SAMM50/TBL1X/APOOL
methylGSA_methylRRA_GSEA	longevity	all	kegg_foxo_signaling	kegg_foxo_signaling	127	0.178489488363783	0.690556182020965	0.984015984015984	1	tags=45%, list=49%, signal=23%	AKT3/CCND1/CCND2/CREBBP/EGFR/FOXG1/GRM1/IGF1R/PIK3CD/PRKAG2/S1PR1/SGK1/TGFB2/MAPK10/PIK3R1/AKT1/USP7/INSR/AGAP2/BCL6/IGF1/SMAD3/RAG1/GRB2/CSNK1E/BNIP3/TGFBR1/TGFBR2/IKBKB/IRS2/EGF/HOMER1/NLK/SGK2/CDKN1A/PCK1/FOXO4/IRS4/PIK3CA/MAPK13/STK11/IRS1/FOXO1/AKT2/HOMER3/MAP2K2/SLC2A4/FOXO3/CCNB3/PDPK1/TGFB1/ARAF/IL10/IL6/MAPK11/PIK3CB/PRKAG3
methylGSA_methylRRA_GSEA	longevity	all	reactome_telomere_extension_by_telomerase	reactome_telomere_extension_by_telomerase	22	0.187106291842564	0.600687913723917	0.947906026557712	1	tags=45%, list=53%, signal=22%	CCNA1/TERT/DKC1/PIF1/RUVBL2/RTEL1/ANKRD28/NHP2/SHQ1/CDK2
methylGSA_methylRRA_GSEA	longevity	all	reactome_lkb1_ampk_mtor_energy_regulation	reactome_lkb1_ampk_mtor_energy_regulation	24	0.167227378865091	0.545362298902638	0.975733063700708	1	tags=12%, list=10%, signal=11%	PRKAG2/RPTOR/TSC2
methylGSA_methylRRA_GSEA	longevity	all	reactome_mtor_signaling	reactome_mtor_signaling	36	0.154728534991753	0.533804132430231	0.99000999000999	1	tags=56%, list=60%, signal=22%	PRKAG2/RPTOR/TSC2/AKT1/EIF4G1/RRAGD/FKBP1A/EEF2K/STK11/AKT2/CAB39L/MLST8/EIF4EBP1/RRAGB/PRKAG3/CAB39/STRADA/MTOR/STRADB/SLC38A9
methylGSA_methylRRA_GSEA	longevity	all	reactome_telomere_maintenance	reactome_telomere_maintenance	61	0.117156870999794	0.425702006665279	1	1	tags=36%, list=47%, signal=19%	CCNA1/TERT/LRIG1/DAXX/ATRX/DKC1/PIF1/DSCC1/PRIM1/POLD2/SLC19A1/POLR2A/DNA2/RUVBL2/RTEL1/ANKRD28/RFC4/POLA1/NHP2/POLR2B/RFC2/WRN
