method	collection	direction	term	ID	Size	enrichmentScore	NES	pvalue	padj	leading_edge	core_enrichment
methylGSA_methylRRA_GSEA	longevity	hypermethylated	kegg_pluripotency_stem_cell_signaling	kegg_pluripotency_stem_cell_signaling	140	0.476963379313362	1.22320660133062	0.00568867929109876	0.0796415100753826	tags=56%, list=32%, signal=39%	APC/APC2/BMP4/DLX5/ESX1/FGF2/FGFR1/FZD10/HAND1/HOXA1/ID4/ISL1/JAK3/LHX5/NEUROG1/ONECUT1/OTX1/PAX6/WNT1/WNT10A/WNT16/WNT2/WNT3A/WNT7A/PIK3CD/FZD7/MEIS1/HOXD1/WNT7B/WNT9B/MYF5/NODAL/ZFHX3/ACVR2A/WNT6/PIK3R1/TCF7/JARID2/TCF3/AKT1/FZD9/ZIC3/PCGF3/ACVR1/WNT2B/SMAD3/WNT5B/ESRRB/WNT9A/IGF1/PIK3CA/WNT3/AXIN2/AKT2/FZD8/MAP2K2/SMAD9/DUSP9/AXIN1/LEFTY2/MAPK11/ACVR1C/AKT3/IGF1R/ID1/WNT5A/FZD5/GRB2/FGFR2/BMPR1A/NANOG/DVL3/WNT11/JAK1/DVL2/INHBC/FGFR3/WNT4/NRAS
methylGSA_methylRRA_GSEA	longevity	hypermethylated	go_positive_regulation_stem_cell_differentiation	go_positive_regulation_stem_cell_differentiation	17	0.634289415861013	1.419302299026	0.01643717153859	0.0806056849236676	tags=53%, list=17%, signal=44%	HOXB4/TBX5/TCF15/TGFB2/NKX2-5/FOXC1/LTBP2/SOX5/PTN
methylGSA_methylRRA_GSEA	longevity	hypermethylated	reactome_pluripotent_stem_cell_transcription	reactome_pluripotent_stem_cell_transcription	28	0.57128291530863	1.33850347688804	0.0172726467693573	0.0806056849236676	tags=71%, list=34%, signal=47%	CDX2/DKK1/EOMES/HIF3A/PRDM14/SALL1/FOXP1/GSC/PBX1/FOXD3/NR5A1/ZIC3/NR6A1/EPHA1/HHEX/EPAS1/GATA6/NANOG/SALL4/TSC22D1
methylGSA_methylRRA_GSEA	longevity	hypermethylated	kegg_ampk_signaling	kegg_ampk_signaling	118	0.448255889104478	1.14302564691298	0.0719280719280719	0.251748251748252	tags=53%, list=37%, signal=33%	CCNA1/CPT1C/CREB3L1/LEP/LEPR/PPP2R2B/RPTOR/TSC2/PIK3CD/CFTR/PFKP/PPP2R2C/PPP2R5C/CPT1B/CREB5/TBC1D1/CPT1A/PFKFB3/ADRA1A/ULK1/PIK3R1/RAB11B/PRKAG2/SCD5/AKT1/LIPE/CAMKK2/IRS2/PPP2R3A/PPARG/IGF1/PIK3CA/EEF2K/CREB3L2/STK11/EEF2/GYS1/AKT2/PPP2R1A/PFKFB2/CRTC2/SLC2A4/AKT3/IGF1R/FOXO3/RAB8A/PDPK1/PRKAG3/FOXO1/SREBF1/PPARGC1A/ACACB/SCD/IRS4/MTOR/PPP2R5D/PPP2R1B/CAB39L/AKT1S1/PPP2R2D/PFKL/ELAVL1
methylGSA_methylRRA_GSEA	longevity	hypermethylated	go_negative_regulation_stem_cell_differentiation	go_negative_regulation_stem_cell_differentiation	11	0.569774946982173	1.21206980686415	0.172273190621814	0.48236493374108	tags=36%, list=13%, signal=32%	TCF15/HES5/NOTCH1/ZFP36L2
methylGSA_methylRRA_GSEA	longevity	hypermethylated	kegg_mtor_signaling	kegg_mtor_signaling	143	0.416467536350028	1.06917414193206	0.215784215784216	0.503496503496504	tags=65%, list=46%, signal=35%	FZD10/LRP5/PRKCB/PRKCG/RPTOR/SGK1/TSC2/WNT1/WNT10A/WNT16/WNT2/WNT3A/WNT7A/PIK3CD/FZD7/PRR5/WNT7B/RPS6KA2/GRB10/WNT9B/ULK1/FNIP2/WNT6/PIK3R1/TELO2/ATP6V1B2/SESN2/AKT1/ATP6V1B1/FZD9/LRP6/WNT2B/WNT5B/WNT9A/SLC3A2/IGF1/PIK3CA/WDR24/WNT3/STK11/AKT2/FZD8/FLCN/MAP2K2/ULK2/MLST8/TNFRSF1A/AKT3/IGF1R/WNT5A/FZD5/PDPK1/RRAGD/GRB2/SLC7A5/DVL3/WNT11/DVL2/WNT4/ATP6V1C2/NRAS/CLIP1/DEPDC5/MTOR/ATP6V1G2/CAB39L/SLC38A9/FZD4/DVL1/AKT1S1/RPS6KA3/PRKCA/INSR/PTEN/BRAF/DDIT4/MAPK1/ATP6V1C1/PIK3R2/CAB39/MAPK3/SEC13/RPS6KA1/LPIN1/FZD2/WDR59/MAP2K1/HRAS/LPIN3/PRKAA1/EIF4EBP1/IRS1/INS
methylGSA_methylRRA_GSEA	longevity	hypermethylated	reactome_transcriptional_activation_mitochondrial_biogenesis	reactome_transcriptional_activation_mitochondrial_biogenesis	46	0.445026190566369	1.08158845350672	0.275724275724276	0.551448551448551	tags=48%, list=35%, signal=31%	CREBBP/GDNF/MEF2C/CRTC1/MEF2D/CHD9/SMARCD3/CAMK4/NCOR1/RXRA/ESRRA/TBL1XR1/LIN9/PPARGC1B/CRTC2/NCOA2/CARM1/PPARGC1A/ALAS1/TBL1X/NCOA1/NR1D1
methylGSA_methylRRA_GSEA	longevity	hypermethylated	reactome_mitochondrial_biogenesis	reactome_mitochondrial_biogenesis	66	0.392112803368541	0.968780320526738	0.596403596403596	0.808857808857809	tags=42%, list=35%, signal=28%	CREBBP/GDNF/MEF2C/CRTC1/MEF2D/CHD9/SMARCD3/CAMK4/NCOR1/PRKAG2/RXRA/ESRRA/TBL1XR1/CHCHD6/DNAJC11/LIN9/PPARGC1B/CRTC2/NCOA2/CARM1/MAPK11/PRKAG3/PPARGC1A/ALAS1/TMEM11/TBL1X/NCOA1/NR1D1
methylGSA_methylRRA_GSEA	longevity	hypermethylated	reactome_foxo_mediated_transcription	reactome_foxo_mediated_transcription	63	0.390168903948915	0.962722401919943	0.612387612387612	0.808857808857809	tags=60%, list=45%, signal=33%	CAV1/CREBBP/FOXG1/NPY/POMC/PLXNA4/NR3C1/BCL6/AKT1/NFYC/CDKN1A/SMAD3/STK11/BBC3/AKT2/MAP4K2/PCBP4/AKT3/YWHAG/FOXO3/BTG1/FOXO4/FOXO1/SREBF1/PPARGC1A/SIN3A/KAT2B/NFYB/GADD45A/TXNIP/RETN/TRIM63/HDAC2/YWHAQ/SMAD4/NFYA/FBXO32/CDKN1B
methylGSA_methylRRA_GSEA	longevity	hypermethylated	kegg_foxo_signaling	kegg_foxo_signaling	127	0.372047205650559	0.951136033868557	0.693306693306693	0.808857808857809	tags=56%, list=46%, signal=30%	CCND2/CREBBP/EGFR/FOXG1/GRM1/S1PR1/SGK1/TGFB2/PIK3CD/BCL6/CSNK1E/BNIP3/PIK3R1/PRKAG2/AKT1/USP7/AGAP2/CDKN1A/TGFBR2/SMAD3/MAPK10/IRS2/TGFBR1/IGF1/PIK3CA/STK11/AKT2/MAP2K2/SLC2A4/MAPK11/AKT3/IGF1R/FOXO3/HOMER3/FOXO4/PDPK1/GRB2/TGFB1/CDK2/PRKAG3/FOXO1/IRS4/NRAS/HOMER1/GADD45A/STAT3/INSR/ATM/PTEN/PRMT1/PLK3/NLK/BRAF/PCK2/MAPK1/PIK3R2/MAPK3/EGF/MAPK14/GABARAP/SMAD4/MAP2K1/HRAS/RAG2/SGK3/FBXO32/CDKN1B/PRKAA1/MAPK12/IRS1/INS
