method	collection	direction	term	ID	Size	enrichmentScore	NES	pvalue	padj	leading_edge	core_enrichment
methylGSA_methylRRA_GSEA	reactome	all	reactome:Collagen chain trimerization [R-HSA-8948216]	reactome:Collagen chain trimerization [R-HSA-8948216]	42	0.669522550021183	2.3579424250527	1e-10	1.53222222222222e-08	tags=76%, list=18%, signal=62%	COL11A1/COL11A2/COL14A1/COL15A1/COL16A1/COL18A1/COL19A1/COL1A2/COL20A1/COL22A1/COL23A1/COL24A1/COL25A1/COL4A1/COL4A2/COL5A1/COL6A1/COL6A2/COL6A3/COL8A1/COL9A1/COL9A2/COL9A3/COL13A1/COL5A2/COL1A1/COL21A1/COL5A3/COL7A1/COL27A1/COL2A1/COL28A1
methylGSA_methylRRA_GSEA	reactome	all	reactome:Voltage gated Potassium channels [R-HSA-1296072]	reactome:Voltage gated Potassium channels [R-HSA-1296072]	43	0.66640546959626	2.35142066231278	1e-10	1.53222222222222e-08	tags=74%, list=16%, signal=62%	KCNA1/KCNA3/KCNA4/KCNA5/KCNA6/KCNAB1/KCNAB2/KCNAB3/KCNB2/KCNC2/KCNH2/KCNH3/KCNH5/KCNH7/KCNH8/KCNQ1/KCNQ2/KCNQ3/KCNS1/KCNS2/KCNV1/KCND3/KCNH4/KCNC3/KCNQ4/KCNA2/KCNS3/KCNG1/KCNH6/KCNB1/KCNG4/KCNA7
methylGSA_methylRRA_GSEA	reactome	all	reactome:Collagen biosynthesis and modifying enzymes [R-HSA-1650814]	reactome:Collagen biosynthesis and modifying enzymes [R-HSA-1650814]	60	0.626616638922073	2.28467769287116	1e-10	1.53222222222222e-08	tags=68%, list=18%, signal=56%	ADAMTS14/ADAMTS2/COL11A1/COL11A2/COL14A1/COL15A1/COL16A1/COL18A1/COL19A1/COL1A2/COL20A1/COL22A1/COL23A1/COL24A1/COL25A1/COL4A1/COL4A2/COL5A1/COL6A1/COL6A2/COL6A3/COL8A1/COL9A1/COL9A2/COL9A3/TLL1/COL13A1/COL5A2/PCOLCE/COL1A1/TLL2/P4HA3/COL21A1/COL5A3/ADAMTS3/COL7A1/PCOLCE2/COL27A1/COL2A1/BMP1/COL28A1
methylGSA_methylRRA_GSEA	reactome	all	reactome:Potassium Channels [R-HSA-1296071]	reactome:Potassium Channels [R-HSA-1296071]	103	0.570096120457651	2.18856756875676	1e-10	1.53222222222222e-08	tags=71%, list=27%, signal=52%	GABBR1/GABBR2/GNG4/GNG7/HCN4/KCNA1/KCNA3/KCNA4/KCNA5/KCNA6/KCNAB1/KCNAB2/KCNAB3/KCNB2/KCNC2/KCNH2/KCNH3/KCNH5/KCNH7/KCNH8/KCNJ1/KCNJ10/KCNJ12/KCNJ15/KCNJ16/KCNJ2/KCNJ6/KCNK1/KCNK10/KCNK13/KCNK17/KCNK18/KCNK3/KCNK9/KCNMA1/KCNMB2/KCNN2/KCNN3/KCNQ1/KCNQ2/KCNQ3/KCNS1/KCNS2/KCNV1/ABCC8/KCND3/KCNH4/HCN1/KCNC3/KCNQ4/KCNA2/KCNS3/KCNG1/KCNH6/KCNB1/KCNK16/KCNG4/KCNA7/KCNJ3/KCNN1/GNG11/GNG12/KCNJ8/KCNG2/KCNJ4/KCNK4/KCNC1/KCNQ5/HCN2/GNG2/KCNJ9/KCNN4/GNB4
methylGSA_methylRRA_GSEA	reactome	all	reactome:Neuronal System [R-HSA-112316]	reactome:Neuronal System [R-HSA-112316]	405	0.48594764414598	2.0050572316316	1e-10	1.53222222222222e-08	tags=60%, list=29%, signal=44%	ACTN2/ADCY2/ADCY4/ADCY8/AP2A2/APBA2/ARHGEF7/CACNA1A/CACNA1B/CACNA1E/CACNA2D1/CACNA2D3/CACNB2/CACNG3/CACNG8/CHAT/CHRNA7/CPLX1/DLG2/DLGAP3/GABBR1/GABBR2/GABRA1/GABRA3/GABRA4/GABRA5/GABRB1/GABRB2/GABRB3/GABRG2/GABRG3/GAD1/GAD2/GJD2/GNAL/GNG4/GNG7/GRIA1/GRIA4/GRIK5/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A/GRM1/HCN4/KCNA1/KCNA3/KCNA4/KCNA5/KCNA6/KCNAB1/KCNAB2/KCNAB3/KCNB2/KCNC2/KCNH2/KCNH3/KCNH5/KCNH7/KCNH8/KCNJ1/KCNJ10/KCNJ12/KCNJ15/KCNJ16/KCNJ2/KCNJ6/KCNK1/KCNK10/KCNK13/KCNK17/KCNK18/KCNK3/KCNK9/KCNMA1/KCNMB2/KCNN2/KCNN3/KCNQ1/KCNQ2/KCNQ3/KCNS1/KCNS2/KCNV1/LRFN2/LRRC4B/NEFL/NLGN1/NLGN4X/NRG1/NRXN1/NRXN2/NRXN3/NTRK3/PPFIA3/PPFIA4/PRKAG2/PRKAR1B/PRKCA/PRKCB/PRKCG/PTPRS/RASGRF1/RASGRF2/RPS6KA2/SHANK1/SHANK2/SLC18A3/SLC1A3/SLC22A2/SLC32A1/SLC5A7/SLC6A1/SLC6A3/SLITRK1/SLITRK3/SLITRK4/SNAP25/SYN2/SYN3/SYT10/SYT2/SYT7/TUBA3C/ABCC8/PTPRD/CHRNB2/KCND3/KCNH4/SLC1A7/HCN1/KCNC3/SLC6A11/CAMK2A/CAMK4/PPM1E/GRIK2/KCNQ4/DLG4/PTPRF/KCNA2/CAMK2B/CHRNA4/ADCY9/EPB41L3/PPFIBP2/SLC1A2/KCNS3/KCNG1/KCNH6/GLRA3/KCNB1/GABRA6/DLG3/KCNK16/PPFIA2/GRIA2/KCNG4/MAPT/GRIN2D/NBEA/ADCY5/KCNA7/CHRNA6/CHRNB4/GLRA1/SLC18A2/KCNJ3/CAMK2D/KCNN1/GABRA2/GRIK1/HTR3A/SLITRK2/BEGAIN/SLC17A7/GNG11/ADCY1/PANX2/SYN1/DLGAP1/GNG12/CACNB4/GRIK3/FLOT1/SYT1/DLGAP4/SLITRK5/STX1A/GJC1/COMT/RIMS1/KCNJ8/KCNG2/ALDH5A1/GABRR1/SLC1A6/SLC6A12/PRKX/GJA10/CHRND/IL1RAPL1/CHRNA3/CHRNA2/KCNJ4/LIN7A/KCNK4/ABAT/ERBB4/NCALD/KCNC1/SLC38A1/SLC6A13/PRKACA/KCNQ5/ACHE/PPM1F/GRM5/AP2M1/HCN2/GNG2/CAMKK2/GNAI1/SIPA1L1/TUBB6/TUBB2B/KCNJ9/GABRR2/KCNN4/ARHGEF9/NPTN/ADCY3/GNB4/LRFN1/GRIP2/GABRQ/SRC/EPB41/PLCB1/KCND2/HOMER1
methylGSA_methylRRA_GSEA	reactome	all	reactome:Extracellular matrix organization [R-HSA-1474244]	reactome:Extracellular matrix organization [R-HSA-1474244]	283	0.478311089273509	1.94821922608278	1e-10	1.53222222222222e-08	tags=69%, list=36%, signal=45%	ACAN/ACTN1/ADAM12/ADAMTS14/ADAMTS16/ADAMTS2/ADAMTS5/ADAMTS9/BCAN/BMP2/BMP4/BMP7/CAPN2/COL11A1/COL11A2/COL14A1/COL15A1/COL16A1/COL18A1/COL19A1/COL1A2/COL20A1/COL22A1/COL23A1/COL24A1/COL25A1/COL4A1/COL4A2/COL5A1/COL6A1/COL6A2/COL6A3/COL8A1/COL9A1/COL9A2/COL9A3/DDR2/DST/EFEMP1/ELN/EMILIN2/FBLN2/FBN1/FBN2/FGF2/HSPG2/HTRA1/ITGA11/ITGA4/ITGA7/ITGA8/JAM3/KLK2/LAMA1/LAMA2/LAMB1/LAMC3/LOX/LOXL2/LRP4/MADCAM1/MATN4/MMP14/MMP9/NCAM1/NCAN/NID1/NID2/NRXN1/PRKCA/PTPRS/PXDN/SCUBE1/SH3PXD2A/SPARC/SPOCK3/TGFB2/THBS1/TIMP2/TLL1/TNR/TNXB/VCAN/LTBP2/LTBP3/EMILIN1/ITGAM/ITGB3/MFAP4/COL13A1/COL5A2/ITGA9/PCOLCE/DMD/COL1A1/LAMA4/MMP2/MMP16/TMPRSS6/TLL2/P4HA3/LTBP1/CAPN9/CAPN8/BGN/ADAMTS18/JAM2/DDR1/ICAM5/COL21A1/ADAMTS8/ADAM19/LOXL1/COL5A3/LTBP4/ADAMTS3/COL7A1/COMP/CAPN14/PCOLCE2/COL27A1/COL2A1/ITGA1/BMP1/COL28A1/DSPP/FBLN5/AGRN/ITGB5/A2M/COL12A1/MMP25/TNN/BMP10/LAMC2/EFEMP2/VWF/ICAM2/EMILIN3/PDGFA/CAST/CAPN6/FURIN/F11R/COL6A6/MMP13/SDC2/COL4A3/KLK7/LAMB3/GDF5/CAPN5/ADAMTS1/KLKB1/ITGB2/FN1/ITGA5/COL17A1/SCUBE3/KDR/ITGB1/PLOD2/LAMC1/ITGAE/CAPN11/MMP17/MFAP2/FBN3/ICAM4/CEACAM8/ITGB4/COL4A6/ITGAL/P4HB/SDC3/TTR/PLOD1/SERPINE1/SERPINH1/OPTC/LOXL3/FGG/FGA/MUSK/ITGA2B/CAPN1/CTSB/ELANE/CASK/CTSS/MMP12/PDGFB/COL3A1/DCN/CAPN10
methylGSA_methylRRA_GSEA	reactome	all	reactome:Transmission across Chemical Synapses [R-HSA-112315]	reactome:Transmission across Chemical Synapses [R-HSA-112315]	266	0.449150642260777	1.82270824512527	1e-10	1.53222222222222e-08	tags=55%, list=28%, signal=40%	ACTN2/ADCY2/ADCY4/ADCY8/AP2A2/ARHGEF7/CACNA1A/CACNA1B/CACNA1E/CACNA2D1/CACNA2D3/CACNB2/CACNG3/CACNG8/CHAT/CHRNA7/CPLX1/DLG2/GABBR1/GABBR2/GABRA1/GABRA3/GABRA4/GABRA5/GABRB1/GABRB2/GABRB3/GABRG2/GABRG3/GAD1/GAD2/GNAL/GNG4/GNG7/GRIA1/GRIA4/GRIK5/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A/KCNJ10/KCNJ12/KCNJ15/KCNJ16/KCNJ2/KCNJ6/NEFL/NRG1/PPFIA3/PPFIA4/PRKAG2/PRKAR1B/PRKCA/PRKCB/PRKCG/RASGRF1/RASGRF2/RPS6KA2/SLC18A3/SLC1A3/SLC22A2/SLC32A1/SLC5A7/SLC6A1/SLC6A3/SNAP25/SYN2/SYN3/TUBA3C/CHRNB2/SLC1A7/SLC6A11/CAMK2A/CAMK4/PPM1E/GRIK2/DLG4/CAMK2B/CHRNA4/ADCY9/SLC1A2/GLRA3/GABRA6/DLG3/PPFIA2/GRIA2/MAPT/GRIN2D/NBEA/ADCY5/CHRNA6/CHRNB4/GLRA1/SLC18A2/KCNJ3/CAMK2D/GABRA2/GRIK1/HTR3A/SLC17A7/GNG11/ADCY1/SYN1/GNG12/CACNB4/GRIK3/SYT1/STX1A/COMT/RIMS1/ALDH5A1/GABRR1/SLC1A6/SLC6A12/PRKX/CHRND/CHRNA3/CHRNA2/KCNJ4/LIN7A/ABAT/ERBB4/NCALD/SLC38A1/SLC6A13/PRKACA/ACHE/PPM1F/AP2M1/GNG2/CAMKK2/GNAI1/TUBB6/TUBB2B/KCNJ9/GABRR2/ARHGEF9/NPTN/ADCY3/GNB4/GRIP2/GABRQ/SRC
methylGSA_methylRRA_GSEA	reactome	all	reactome:Signaling by GPCR [R-HSA-372790]	reactome:Signaling by GPCR [R-HSA-372790]	655	0.380525724753844	1.59785048332643	1e-10	1.53222222222222e-08	tags=49%, list=30%, signal=35%	ABR/ADCY2/ADCY4/ADCY8/ADCYAP1/ADCYAP1R1/ADORA3/ADRA1A/ADRA1D/ADRB3/AKAP13/AKT3/ARHGEF10/ARHGEF10L/ARHGEF4/ARHGEF7/AVPR1A/CALCA/CALCR/CASR/CCK/CCKBR/CCL11/CHRM2/CHRM3/CMKLR1/CNR1/CNR2/CRHBP/CRHR2/CXCL1/CXCL6/DGKD/DGKG/DGKI/DGKZ/DRD2/DRD4/ECE2/EDN3/EDNRB/EGFR/FPR1/FZD10/GABBR1/GABBR2/GALR1/GALR2/GHRHR/GHSR/GIPR/GNA12/GNAL/GNAS/GNG4/GNG7/GPR150/GPR176/GPR83/GPSM1/GPSM3/GRK5/GRM1/GRM3/GRM6/GRM7/GRM8/GRP/HCRTR2/HRH1/HRH2/HRH3/HTR1A/HTR1B/HTR2A/HTR2C/HTR4/HTR5A/IHH/KALRN/MCF2L/MTNR1A/MTNR1B/NGEF/NMBR/NPBWR1/NPY/NPY2R/NTSR1/OBSCN/OPRM1/PDE10A/PDE1C/PDE2A/PDE3A/PDE4B/PDE4C/PDE4D/PDE7B/PENK/PIK3R5/PLEKHG5/POMC/PRKAR1B/PRKCA/PRKCB/PRKCG/PRKCQ/PRLHR/PROKR2/PTCH1/PTGDR/PTH1R/PTH2/PYY/QRFPR/RASGRF2/RASGRP2/RGS12/RGS17/RGS20/RGS22/RGS6/RGS7/RPS6KA2/RXFP3/S1PR1/SCTR/SHH/SST/SSTR1/TAC1/TAS1R1/TRH/TRIO/TRPC3/TRPC7/TSHR/UCN/VAV2/VIPR2/WNT1/WNT10A/WNT11/WNT16/WNT2/WNT3A/WNT7A/ADRA1B/P2RY6/SSTR4/GLP1R/PDYN/NPBWR2/RAMP1/FZD7/CAMK2A/PRKCH/CAMK4/OPRK1/ARHGEF17/GRM2/CX3CL1/TACR1/CX3CR1/PLA2G4A/WNT7B/TIAM2/CALCB/TRPC6/F2RL3/GRM4/RGS13/CAMK2B/ADCY9/GNA11/OPRL1/CXCL12/P2RY1/ECE1/CDC42/LHCGR/GPR39/PIK3R6/GPR45/RGR/NMS/WNT9A/PTH2R/RGS1/CRHR1/NBEA/DHH/SMO/PRKCE/ADCY5/MCHR2/CCL7/TACR3/KISS1R/HCRTR1/FGD4/RGS2/EDNRA/CXCR5/PIK3R1/C3/GALR3/CAMK2D/AKT1/ARHGEF16/TAS1R2/CRH/LPAR3/AVPR2/GLP2R/DRD1/CCL13/GNG11/ADCY1/NMUR1/MC5R/GPR4/HTR6/GNG12/CCR6/PDE4A/CCL1/TRHR/BDKRB1/RGS14/AGTR1/WNT9B/AVPR1B/PTGFR/ADRA2C/MLNR/CCL16/GPR25/FSHB/PPP1R1B/RXFP4/PRKX/RAMP3/NMU/PDE1A/DGKB/LPAR5/TAAR9/DAGLA/NPY5R/NPFFR2/TAAR6/CHRM5/GRB2/ARHGEF2/SHC1/ARHGEF3/PTGER2/F2R/FPR2/MGLL/PRKACA/RGS4/CCR1/PDE8B/LPAR4/GRM5/DGKK/OPN1LW/PROK2/ARRB1/DRD3/APLNR/PDE1B/WNT6/BRS3/GNG2/CAMKK2/GNAI1/ARHGEF9/GNA13/FZD9/FN1/MCF2/ADCY3/GNB4/HTR7/SRC/AVP/MC3R/APLN/VIP/OPN3/RGS19/AHCYL1/MC2R/DRD5/PLCB1/GPR20/CXCR6/ADM2/PPP3CA/PTHLH/ARHGEF6/CXCL5/ITGA5/RGS3/PREX1/WNT3/PROKR1/TAAR2/ADRB1/ITGB1/KISS1/ADORA2B/GPR132/ARHGEF1/PDE3B/ADORA2A
methylGSA_methylRRA_GSEA	reactome	all	reactome:GPCR downstream signalling [R-HSA-388396]	reactome:GPCR downstream signalling [R-HSA-388396]	596	0.374943292308182	1.56848689262077	1e-10	1.53222222222222e-08	tags=48%, list=30%, signal=35%	ABR/ADCY2/ADCY4/ADCY8/ADCYAP1/ADCYAP1R1/ADORA3/ADRA1A/ADRA1D/ADRB3/AKAP13/AKT3/ARHGEF10/ARHGEF10L/ARHGEF4/ARHGEF7/AVPR1A/CALCA/CALCR/CASR/CCK/CCKBR/CHRM2/CHRM3/CNR1/CNR2/CRHR2/CXCL1/CXCL6/DGKD/DGKG/DGKI/DGKZ/DRD4/EDN3/EDNRB/EGFR/FPR1/GABBR1/GABBR2/GALR1/GALR2/GHRHR/GHSR/GIPR/GNA12/GNAL/GNAS/GNG4/GNG7/GPR150/GPR176/GPR83/GPSM1/GPSM3/GRK5/GRM1/GRM3/GRM6/GRM7/GRM8/GRP/HCRTR2/HRH1/HRH2/HTR1B/HTR2A/HTR2C/HTR4/HTR5A/KALRN/MCF2L/MTNR1A/MTNR1B/NGEF/NMBR/NPBWR1/NPY/NPY2R/NTSR1/OBSCN/OPRM1/PDE10A/PDE1C/PDE2A/PDE3A/PDE4B/PDE4C/PDE4D/PDE7B/PENK/PIK3R5/PLEKHG5/POMC/PRKAR1B/PRKCA/PRKCB/PRKCG/PRKCQ/PROKR2/PTGDR/PTH1R/PTH2/PYY/QRFPR/RASGRF2/RASGRP2/RGS12/RGS17/RGS20/RGS22/RGS6/RGS7/RPS6KA2/RXFP3/SCTR/SST/SSTR1/TAC1/TAS1R1/TRH/TRIO/TRPC3/TRPC7/TSHR/VAV2/VIPR2/ADRA1B/P2RY6/SSTR4/GLP1R/PDYN/NPBWR2/RAMP1/CAMK2A/PRKCH/CAMK4/OPRK1/ARHGEF17/GRM2/CX3CL1/TACR1/CX3CR1/PLA2G4A/TIAM2/CALCB/TRPC6/F2RL3/GRM4/RGS13/CAMK2B/ADCY9/GNA11/OPRL1/CXCL12/P2RY1/CDC42/LHCGR/GPR39/PIK3R6/GPR45/RGR/NMS/PTH2R/RGS1/CRHR1/NBEA/PRKCE/ADCY5/MCHR2/TACR3/KISS1R/HCRTR1/FGD4/RGS2/EDNRA/CXCR5/PIK3R1/C3/GALR3/CAMK2D/AKT1/ARHGEF16/TAS1R2/CRH/LPAR3/AVPR2/GLP2R/DRD1/CCL13/GNG11/ADCY1/NMUR1/MC5R/GPR4/HTR6/GNG12/CCR6/PDE4A/CCL1/TRHR/BDKRB1/RGS14/AGTR1/AVPR1B/PTGFR/ADRA2C/MLNR/CCL16/GPR25/FSHB/PPP1R1B/RXFP4/PRKX/RAMP3/NMU/PDE1A/DGKB/LPAR5/TAAR9/DAGLA/NPY5R/NPFFR2/TAAR6/CHRM5/GRB2/ARHGEF2/SHC1/ARHGEF3/PTGER2/F2R/FPR2/MGLL/PRKACA/RGS4/CCR1/PDE8B/LPAR4/GRM5/DGKK/OPN1LW/PROK2/ARRB1/DRD3/APLNR/PDE1B/BRS3/GNG2/CAMKK2/GNAI1/ARHGEF9/GNA13/FN1/MCF2/ADCY3/GNB4/HTR7/SRC/AVP/MC3R/APLN/VIP/OPN3/RGS19/AHCYL1/MC2R/DRD5/PLCB1/GPR20/CXCR6/ADM2/PPP3CA/PTHLH/ARHGEF6/CXCL5/ITGA5/RGS3/PREX1/PROKR1/TAAR2/ADRB1/ITGB1/KISS1/ADORA2B/GPR132/ARHGEF1/PDE3B/ADORA2A
methylGSA_methylRRA_GSEA	reactome	all	reactome:Collagen formation [R-HSA-1474290]	reactome:Collagen formation [R-HSA-1474290]	80	0.553933301193716	2.07819096572948	3.20954482645159e-10	4.02360210516067e-08	tags=80%, list=36%, signal=51%	ADAMTS14/ADAMTS2/COL11A1/COL11A2/COL14A1/COL15A1/COL16A1/COL18A1/COL19A1/COL1A2/COL20A1/COL22A1/COL23A1/COL24A1/COL25A1/COL4A1/COL4A2/COL5A1/COL6A1/COL6A2/COL6A3/COL8A1/COL9A1/COL9A2/COL9A3/DST/LOX/LOXL2/MMP9/PXDN/TLL1/COL13A1/COL5A2/PCOLCE/COL1A1/TLL2/P4HA3/COL21A1/LOXL1/COL5A3/ADAMTS3/COL7A1/PCOLCE2/COL27A1/COL2A1/BMP1/COL28A1/COL12A1/LAMC2/COL6A6/MMP13/COL4A3/LAMB3/COL17A1/PLOD2/ITGB4/COL4A6/P4HB/PLOD1/SERPINH1/LOXL3/CTSB/CTSS/COL3A1
