method	collection	direction	term	ID	Size	enrichmentScore	NES	pvalue	padj	leading_edge	core_enrichment
methylGSA_methylRRA_GSEA	reactome	hypomethylated	reactome:Olfactory Signaling Pathway [R-HSA-381753]	reactome:Olfactory Signaling Pathway [R-HSA-381753]	308	0.508618401198505	1.5257463687599	1e-10	3.84e-08	tags=63%, list=30%, signal=45%	ANO2/CNGA4/EBF1/OR10A3/OR10C1/OR10J5/OR10K2/OR10P1/OR11A1/OR12D3/OR14J1/OR1G1/OR1M1/OR2B11/OR2H1/OR2M5/OR2T11/OR2T6/OR4F15/OR51E2/OR5V1/OR6K2/OR6K3/OR8B4/OR8B8/OR9Q1/OR10J1/OR4D1/OR2AG2/OR2M4/OR6Y1/OR52B2/OR8B12/OR6N1/OR5P3/OR51A7/OR5P2/OR2H2/OR6A2/OR6K6/OR52E8/OR5B12/OR2C3/OR11G2/OR11L1/OR14I1/OR51E1/OR2G6/OR2Y1/OR6T1/OR2L8/OR5A1/OR51B5/OR52R1/OR8D1/OR56A1/OR2G2/OR2V2/OR51I1/OR52E2/OR51D1/OR9G4/OR10Z1/GNAL/OR10G4/OR6X1/OR2W1/OR10V1/OR2D3/OR51I2/OR51M1/OR5D18/OR5I1/OR2B3/OR4D11/OR6M1/CNGA2/OR51G1/OR51T1/OR10T2/OR2L13/OR4C15/OR12D2/OR4D2/OR51B2/OR4D6/OR2Z1/OR10S1/OR8K3/OR6N2/OR4F6/OR7A17/OR2T1/OR10AG1/OR7A5/OR5A2/OR9A4/OR4D5/OR7C2/OR3A2/OR6C2/OR5AN1/OR2T10/OR10X1/OR5AS1/OR51F2/OR52A1/OR1L3/OR51S1/OR1C1/OR10W1/OR52M1/OR52I2/OR4C6/OR5W2/OR2T33/OR5L1/OR2AG1/OR7G2/OR10A4/OR7C1/OR6C74/OR10A6/OR14C36/OR13A1/OR3A1/OR5H2/REEP1/OR1A2/OR4B1/OR4A16/OR7G1/OR5H6/OR56A4/OR52B6/OR2M3/OR6C4/OR13D1/OR13F1/OR2AT4/OR51Q1/OR4K5/OR5AU1/OR8A1/OR2C1/OR56B4/OR2J2/OR6F1/OR52L1/OR4K13/OR1B1/RTP1/RTP2/OR4C16/OR8H3/OR56B1/OR2S2/OR13C3/OR4K1/OR51L1/OR5M1/OR9Q2/OR4N5/OR7D2/OR5B2/CNGB1/OR52K1/OR5D14/OR5B21/OR5H1/OR5D16/OR13H1/OR11H4/OR10H2/OR5B3/OR5H15/OR52N2/OR10H1/OR2D2/OR4S2/OR52N1/OR9I1/OR8J3/OR14A16/OR2G3/OR5T1/OR6P1/OR1A1/OR6C65/OR5L2/OR52H1/OR6C6/OR5D13/OR5AC2
methylGSA_methylRRA_GSEA	reactome	hypomethylated	reactome:Expression and translocation of olfactory receptors [R-HSA-9752946]	reactome:Expression and translocation of olfactory receptors [R-HSA-9752946]	300	0.507561645302077	1.52155283517753	1e-10	3.84e-08	tags=63%, list=30%, signal=45%	EBF1/OR10A3/OR10C1/OR10J5/OR10K2/OR10P1/OR11A1/OR12D3/OR14J1/OR1G1/OR1M1/OR2B11/OR2H1/OR2M5/OR2T11/OR2T6/OR4F15/OR51E2/OR5V1/OR6K2/OR6K3/OR8B4/OR8B8/OR9Q1/OR10J1/OR4D1/OR2AG2/OR2M4/OR6Y1/OR52B2/OR8B12/OR6N1/OR5P3/OR51A7/OR5P2/OR2H2/OR6A2/OR6K6/OR52E8/OR5B12/OR2C3/OR11G2/OR11L1/OR14I1/OR51E1/OR2G6/OR2Y1/OR6T1/OR2L8/OR5A1/OR51B5/OR52R1/OR8D1/OR56A1/OR2G2/OR2V2/OR51I1/OR52E2/OR51D1/OR9G4/OR10Z1/OR10G4/OR6X1/OR2W1/OR10V1/OR2D3/OR51I2/OR51M1/OR5D18/OR5I1/OR2B3/OR4D11/OR6M1/OR51G1/OR51T1/OR10T2/OR2L13/OR4C15/OR12D2/OR4D2/OR51B2/OR4D6/OR2Z1/OR10S1/OR8K3/OR6N2/OR4F6/OR7A17/OR2T1/OR10AG1/OR7A5/OR5A2/OR9A4/OR4D5/OR7C2/OR3A2/OR6C2/OR5AN1/OR2T10/OR10X1/OR5AS1/OR51F2/OR52A1/OR1L3/OR51S1/OR1C1/OR10W1/OR52M1/OR52I2/OR4C6/OR5W2/OR2T33/OR5L1/OR2AG1/OR7G2/OR10A4/OR7C1/OR6C74/OR10A6/OR14C36/OR13A1/OR3A1/OR5H2/REEP1/OR1A2/OR4B1/OR4A16/OR7G1/OR5H6/OR56A4/OR52B6/OR2M3/OR6C4/OR13D1/OR13F1/OR2AT4/OR51Q1/OR4K5/OR5AU1/OR8A1/OR2C1/OR56B4/OR2J2/OR6F1/OR52L1/OR4K13/OR1B1/RTP1/RTP2/OR4C16/OR8H3/OR56B1/OR2S2/OR13C3/OR4K1/OR51L1/OR5M1/OR9Q2/OR4N5/OR7D2/OR5B2/OR52K1/OR5D14/OR5B21/OR5H1/OR5D16/OR13H1/OR11H4/OR10H2/OR5B3/OR5H15/OR52N2/OR10H1/OR2D2/OR4S2/OR52N1/OR9I1/OR8J3/OR14A16/OR2G3/OR5T1/OR6P1/OR1A1/OR6C65/OR5L2/OR52H1/OR6C6/OR5D13/OR5AC2
methylGSA_methylRRA_GSEA	reactome	hypomethylated	reactome:Neuronal System [R-HSA-112316]	reactome:Neuronal System [R-HSA-112316]	405	0.461408460724656	1.39519194155507	1e-10	3.84e-08	tags=47%, list=27%, signal=35%	ACTN2/ADCY2/APBA2/CACNA1A/CACNA1B/CACNA1E/CACNA2D3/CACNG3/CHRNA7/DLG2/GABRA3/GABRA5/GABRB3/GNG7/GRIK5/GRIN2A/GRIN2B/KCNA4/KCNA6/KCNAB2/KCNB2/KCNH8/KCNJ1/KCNJ15/KCNJ16/KCNJ2/KCNK10/KCNK18/KCNK9/KCNMA1/KCNN3/KCNQ1/KCNQ2/NRG1/NRXN2/NRXN3/NTRK3/PPFIA4/PRKAG2/PRKAR1B/PRKCA/PRKCB/RPS6KA2/SHANK1/SLC22A2/SLC6A1/SLC6A3/SYN2/TUBA3C/ADCY8/GABBR2/CAMK2A/CACNA2D1/KCNQ3/SLC1A7/KCNH2/NLGN4X/GABRA6/DLG3/KCND3/KCNK16/GRIA1/KCNK1/GABRG3/KCNJ6/CHRNA6/KCNMB2/CHRNB2/HTR3A/SLITRK2/RASGRF2/SLITRK4/GABRB1/SHANK2/KCNH5/KCNG4/CPLX1/PTPRD/LRRC4B/GNAL/CHRNB4/DLGAP1/KCNH6/DLGAP4/KCNN2/KCNG2/NRXN1/SLC1A6/DLGAP3/FLOT1/GJA10/CHRNA2/KCNK17/SNAP25/SYN3/GRIN3A/ADCY9/GABRB2/KCNA1/KCNA5/CHRNA4/SLC38A1/KCNJ10/KCNN1/STX1A/CAMK4/GABRR1/GNG2/LRFN2/NEFL/KCNJ9/RASGRF1/GABRR2/GRM1/ERBB4/MAPT/GABRQ/GABBR1/IL1RAPL1/HCN4/HOMER1/APBA1/SYT1/NCALD/SYT2/HTR3D/LRRTM4/KCNS3/SYN1/TSPAN7/KCNV1/CACNB2/KCNG1/ARHGEF9/KCNAB1/GRIK2/GLUL/SYT7/PRKAR2B/SLC6A12/KCND2/CHAT/NLGN1/ARHGEF7/EPB41L1/SLC1A3/KCNJ12/GNAT3/GABRR3/CASK/ADCY5/KCNMB1/PDLIM5/GRIA4/ADCY1/EPB41/EPB41L5/GRIP2/GNG4/KCNK13/BEGAIN/PTPRS/CHRNB3/KCNH3/SLC1A2/GNG12/PPFIBP2/GJC1/ALDH2/KCNV2/CAMK2B/SLC5A7/KCNK3/CACNB3/LIN7A/EPB41L2/IL1RAPL2/IL1RAP/KCNH4/NPTN/CHRNA3/KCNJ11/SIPA1L1/AP2A2/GJD2/HTR3E/PTPRF/GRIK4/PRKCG/ABCC9/KCNB1/STXBP1
methylGSA_methylRRA_GSEA	reactome	hypomethylated	reactome:Sensory Perception [R-HSA-9709957]	reactome:Sensory Perception [R-HSA-9709957]	513	0.458805751735512	1.39454705665118	1e-10	3.84e-08	tags=59%, list=34%, signal=40%	ANO2/APOB/ATP2B2/BSN/CDH23/CNGA4/CTBP2/EBF1/EZR/GPC5/GPC6/KCNJ2/KCNMA1/OR10A3/OR10C1/OR10J5/OR10K2/OR10P1/OR11A1/OR12D3/OR14J1/OR1G1/OR1M1/OR2B11/OR2H1/OR2M5/OR2T11/OR2T6/OR4F15/OR51E2/OR5V1/OR6K2/OR6K3/OR8B4/OR8B8/OR9Q1/PRKCA/PRKCQ/RBP3/RCVRN/OR10J1/OR4D1/OR2AG2/PPEF1/OR2M4/OR6Y1/OR52B2/OR8B12/OR6N1/OR5P3/GRXCR1/MYO3A/OR51A7/XIRP2/GRM4/OR5P2/OR2H2/OR6A2/OR6K6/OR52E8/OR5B12/TRPM5/OR2C3/OR11G2/OR11L1/OR14I1/PDE6B/OR51E1/OR2G6/OR2Y1/OR6T1/OR2L8/OR5A1/SCN9A/OR51B5/TAS1R2/OR52R1/OR8D1/OR56A1/OR2G2/OR2V2/OR51I1/OR52E2/OR51D1/OR9G4/CLIC5/OR10Z1/GNAL/MYO7A/OR10G4/OR6X1/OR2W1/OR10V1/OR2D3/OR51I2/OR51M1/OR5D18/OR5I1/OR2B3/KCNN2/OR4D11/OR6M1/CNGA2/OR51G1/SNAP25/OR51T1/CAPZB/OR10T2/OR2L13/OR4C15/ESPNL/SCNN1A/OR12D2/SCN3A/OR4D2/OR51B2/CALHM1/OR4D6/OR2Z1/OR10S1/OR8K3/OPN1LW/STX1A/OR6N2/OR4F6/OR7A17/GRM1/OR2T1/OR10AG1/MYO1C/OR7A5/OR5A2/OR9A4/OR4D5/OR7C2/OR3A2/OR6C2/OR5AN1/CABP2/OR2T10/CALHM3/OR10X1/OR5AS1/OR51F2/OR52A1/APOA1/OR1L3/OR51S1/OR1C1/OR10W1/OR52M1/OR52I2/OR4C6/ABCA4/SYP/OR5W2/OR2T33/EPS8/OR5L1/SYN1/CACNB2/OR2AG1/GUCY2F/OR7G2/PNLIP/MPP1/LRAT/OR10A4/MYO3B/TTR/OR7C1/OR6C74/OR10A6/OR14C36/OR13A1/OR3A1/OR5H2/PDE6A/REEP1/EPB41L1/OR1A2/OR4B1/OR4A16/OR7G1/OR5H6/OR56A4/GNAT3/OR52B6/CASK/LRP12/KCNMB1/OR2M3/OR6C4/OR13D1/STRA6/OR13F1/SLC26A5/OR2AT4/OR51Q1/SDR9C7/SDC2/OR4K5/OR5AU1/TAS2R13/OR8A1/OR2C1/OR56B4/OR2J2/OR6F1/OR52L1/OR4K13/OR1B1/RTP1/SCN4B/RTP2/OR4C16/TMC1/OR8H3/OR56B1/OR2S2/OR13C3/OR4K1/OR51L1/OR5M1/OR9Q2/LRRC52/OR4N5/OR7D2/SCNN1G/OR5B2/CNGB1/GRK1/OR52K1/RDH8/OR5D14/OR5B21/OR5H1/OTOF/OR5D16/OR13H1/RGS9/APOC2/OR11H4/OR10H2/LPL/OR5B3/OR5H15/SPTBN1/USH1C/OR52N2/OR10H1/OR2D2/TAS2R1/APOC3/OR4S2/OR52N1/GNB3/OR9I1/OR8J3/OR14A16/OR2G3/OR5T1/OR6P1/CACNA1D/GRXCR2/OR1A1/OR6C65/OR5L2/OR52H1/OR6C6/OR5D13/RBP4/GRK4/OR5AC2/SCN2A/OR7D4/PCDH15/OR8K1/OR52J3/TAS2R16/CABP1/TAS1R3/GRK7/OR2W3/SCNN1B/RPE65/OR6Q1/RHO/GUCA1C/OR8U1/OR56A3/OR4K2/OR2A2/OR51B6/TAS2R5/MSN/NAPEPLD/OR51V1/OR56A5/CIB2/LRP2/MYO15A/OR13C8/SCN2B
methylGSA_methylRRA_GSEA	reactome	hypomethylated	reactome:GPCR downstream signalling [R-HSA-388396]	reactome:GPCR downstream signalling [R-HSA-388396]	596	0.419017706846849	1.27855784468852	2.94796624809595e-08	8.08106638233174e-06	tags=56%, list=40%, signal=35%	ABR/ADCY2/ADCYAP1R1/ARHGEF10/CASR/CHRM2/CHRM3/CNR1/DGKG/DGKI/EDNRB/EGFR/FPR1/GHRHR/GNA12/GNG7/GRM6/GRM7/GRM8/HRH1/HRH2/HTR2A/KALRN/MTNR1A/NGEF/OBSCN/PDE10A/PDE1C/PDE2A/PDE7B/PRKAR1B/PRKCA/PRKCB/PRKCQ/PROKR2/RGS7/RPS6KA2/VIPR2/TSHR/OPRM1/MCF2L/ADCY8/PDYN/GABBR2/NPBWR2/PDE4D/CAMK2A/PRKCH/GRM2/CX3CR1/TRPC7/ADRA1A/PLA2G4A/TIAM2/TRIO/PDE3A/RGS13/GPR176/GPR45/NPY2R/GRM4/AKT3/RAMP1/RGS6/RGS1/PIK3R5/CXCR5/RASGRP2/PIK3R6/HTR2C/TAS1R2/TACR1/RASGRF2/AVPR2/GLP2R/GPR39/VAV2/CCL13/HTR5A/MC5R/ADRA1B/PLEKHG5/CCL1/CRHR2/TRHR/BDKRB1/GNAL/SCTR/CNR2/CCL16/MTNR1B/FSHB/CCR6/EDN3/DGKB/CRHR1/ADCY9/TAAR9/TAAR6/CHRM5/GRB2/FPR2/C3/NMS/OPRL1/GRM3/CCKBR/ARHGEF4/OPN1LW/DRD3/APLNR/CAMK4/BRS3/GNG2/RGS4/GRM1/GALR1/FN1/ADRA1D/GRP/CCR1/GABBR1/MC3R/APLN/VIP/OPN3/RGS12/AHCYL1/ADORA3/CXCR6/ADM2/CXCL5/AVPR1A/PREX1/PROKR1/PDE1A/TAAR2/HCRTR1/KISS1/TRH/ARHGEF1/ADORA2A/GRK5/ARHGEF6/ARHGEF9/PDE4B/CALCR/ARHGEF3/RGS17/KNG1/CYSLTR2/RGS20/GPR4/RGSL1/SST/PRKAR2B/PNOC/F2/PTH1R/ARHGEF7/MC2R/MCHR2/RGS22/GIP/PTHLH/PTGDR/NPSR1/P2RY6/GPR20/FFAR2/GNAT3/QRFPR/CXCR3/GPR17/RGS10/AKAP13/FPR3/ADCY5/RAMP3/LPAR4/HTR4/ADCY1/RGS5/RGR/GNA13/AGTR1/TAS2R13/NPY1R/PRKCE/GNG4/PPP2CB/NPY/CCR5/PTGER2/HEBP1/PROK1/DGKH/PPP3CA/OPN5/P2RY1/GPHB5/GNG12/CHRM4/CALCB/ARHGEF10L/CAMK2B/TAAR8/GNA15/IAPP/AKT1/LHCGR/GPR55/PDE4C/PDE8B/P2RY2/OPRK1/CCL23/MCF2/GPR143/P2RY10/MGLL/PDE11A/RGS9/RXFP1/TRPC3/OXGR1/PRKCG/CYSLTR1/GCG/TAS2R1/FGD4/GPR84/GRM5/GNB3/GPR68/CXCL12/CCR7/PDE1B/CCL4/HCRT/RGS14/GNAI1/PLCB4/LPAR5/GAST/PIK3R1/GNRH1/SSTR5/SCT/GPSM3/AVP/ABHD6/PAK1/NET1/PPBP/CHRM1/F2RL1/CXCR1/TAS2R16/TAS2R60/ITGB1/DGKA/TAS1R3/CCR8/ITPR2/GLP1R/RHO/GPR65/DAGLA/GPR132/GNGT2/CCR3/DGKD/NPFFR2/GIPR/PTGER3/TAS2R5/NTSR1/PYY/XCL2/GPR31/HBEGF/F2R/ITPR1/LPAR3/HTR6/CXCL10/ARHGEF12/HTR1D/BTK/TSHB/PTAFR/CAMKK1/GPSM1/TBXA2R/HTR1E/RGS8/MMP3/BDKRB2/CAMK2D/P2RY4/PDPK1/CALCRL/PRKACA/LPAR1/NBEA/HTR7/CCKAR/GNAQ/ADCY3/UTS2R/GHRL/OPRD1/MC1R/PROK2/RASGRP1/CXCR2/NPS/VIPR1/PIK3CG/ADCYAP1/PLCB2/PPY/SAA1/GNAS/TAC1/RPS6KA1/PTGER4/GPR15/ARHGEF11/NMUR2/MLN/KRAS
methylGSA_methylRRA_GSEA	reactome	hypomethylated	reactome:Signaling by GPCR [R-HSA-372790]	reactome:Signaling by GPCR [R-HSA-372790]	655	0.414672076017482	1.26834029308861	3.15666655559834e-08	8.08106638233174e-06	tags=55%, list=40%, signal=34%	ABR/ADCY2/ADCYAP1R1/ARHGEF10/CASR/CCL11/CHRM2/CHRM3/CMKLR1/CNR1/DGKG/DGKI/EDNRB/EGFR/FPR1/GHRHR/GNA12/GNG7/GRM6/GRM7/GRM8/HRH1/HRH2/HTR2A/KALRN/MTNR1A/NGEF/OBSCN/PDE10A/PDE1C/PDE2A/PDE7B/PRKAR1B/PRKCA/PRKCB/PRKCQ/PROKR2/RGS7/RPS6KA2/VIPR2/WNT7A/TSHR/OPRM1/MCF2L/ADCY8/PDYN/GABBR2/NPBWR2/PDE4D/CAMK2A/PRKCH/GRM2/CX3CR1/TRPC7/ADRA1A/PLA2G4A/TIAM2/TRIO/PDE3A/WNT11/RGS13/GPR176/GPR45/NPY2R/GRM4/AKT3/RAMP1/RGS6/RGS1/PIK3R5/CCL7/CXCR5/RASGRP2/PIK3R6/HTR2C/TAS1R2/TACR1/RASGRF2/AVPR2/GLP2R/GPR39/VAV2/CCL13/HTR5A/MC5R/ADRA1B/PLEKHG5/CCL1/CRHR2/TRHR/BDKRB1/GNAL/SCTR/CNR2/WNT16/CCL16/MTNR1B/FSHB/CCR6/PTCH1/EDN3/WNT9A/DGKB/CRHR1/ADCY9/TAAR9/TAAR6/DRD2/CHRM5/GRB2/FPR2/C3/NMS/OPRL1/GRM3/CCKBR/ARHGEF4/OPN1LW/DRD3/APLNR/CRHBP/CAMK4/BRS3/GNG2/RGS4/GRM1/GALR1/FN1/ADRA1D/GRP/CCR1/GABBR1/MC3R/APLN/VIP/OPN3/RGS12/AHCYL1/ADORA3/CXCR6/ADM2/CXCL5/AVPR1A/PREX1/PROKR1/PDE1A/TAAR2/HCRTR1/KISS1/TRH/ARHGEF1/ADORA2A/GRK5/ARHGEF6/ARHGEF9/PDE4B/CALCR/ARHGEF3/RGS17/KNG1/CYSLTR2/RGS20/GPR4/RGSL1/SST/PRKAR2B/PNOC/F2/PTH1R/ARHGEF7/MC2R/MCHR2/RGS22/GIP/PTHLH/PTGDR/NPSR1/P2RY6/GPR20/FFAR2/GNAT3/QRFPR/CXCR3/GPR17/RGS10/AKAP13/FPR3/ADCY5/RAMP3/GPR35/LPAR4/HTR4/ADCY1/RGS5/RGR/GNA13/AGTR1/TAS2R13/NPY1R/PRKCE/GNG4/PPP2CB/NPY/CCR5/PTGER2/HEBP1/PROK1/DGKH/PPP3CA/OPN5/P2RY1/GPHB5/GNG12/CHRM4/CALCB/ARHGEF10L/IHH/CAMK2B/TAAR8/GNA15/IAPP/AKT1/LHCGR/GPR55/PDE4C/PDE8B/P2RY2/OPRK1/CCL23/MCF2/GPR143/P2RY10/MGLL/PDE11A/RGS9/WNT10B/ECE2/RXFP1/ECE1/TRPC3/OXGR1/PRKCG/CYSLTR1/GCG/TAS2R1/FGD4/GPR84/GRM5/WNT8A/GNB3/GPR68/CXCL12/CCR7/PDE1B/CCL4/HCRT/RGS14/GNAI1/PLCB4/LPAR5/GAST/PIK3R1/GNRH1/SSTR5/SCT/GPSM3/AVP/ABHD6/PAK1/NET1/PPBP/CHRM1/F2RL1/CXCR1/TAS2R16/CCL2/TAS2R60/ITGB1/DGKA/TAS1R3/CCR8/ITPR2/WNT4/GLP1R/RHO/GPR65/DAGLA/GPR132/GNGT2/CCR3/DGKD/NPFFR2/GIPR/PTGER3/TAS2R5/NTSR1/PYY/XCL2/WNT7B/GPR31/HBEGF/F2R/ITPR1/PRLHR/LPAR3/HTR6/WNT3/CXCL10/ARHGEF12/HTR1D/WNT3A/BTK/TSHB/PTAFR/KEL/CAMKK1/WNT5A/GPSM1/TBXA2R/HTR1E/RGS8/MMP3/BDKRB2/CAMK2D/P2RY4/PDPK1/CALCRL/PRKACA/LPAR1/NBEA/HTR7/CCKAR/GNAQ/ADCY3/UTS2R/HRH3/GHRL/OPRD1/MC1R/PROK2/RASGRP1/CXCR2/NPS/WNT2B/VIPR1/PIK3CG/ADCYAP1/WNT8B/PLCB2/PPY/SAA1/GNAS/TAC1/RPS6KA1/PTGER4/GPR15/ARHGEF11/NMUR2/MLN/KRAS
methylGSA_methylRRA_GSEA	reactome	hypomethylated	reactome:Muscle contraction [R-HSA-397014]	reactome:Muscle contraction [R-HSA-397014]	201	0.486938651368731	1.44337119623572	6.13477825677507e-08	1.34614562891521e-05	tags=57%, list=32%, signal=39%	ACTN2/ATP2B2/CACNA1C/CACNA1G/CACNA1H/FGF13/FGF14/KCNIP1/KCNIP4/KCNJ2/KCNK10/KCNK18/KCNK9/KCNQ1/RYR1/RYR2/RYR3/SCN11A/SCN4A/SCN5A/SLC8A1/SORBS1/TNNT3/TTN/SCN10A/CAMK2A/NOS1/MYH3/MYLK/KCNH2/KCND3/KCNK16/DYSF/KCNK1/SCN8A/SCN9A/SLC8A3/CACNA1I/ITGA1/CORIN/DMD/MYH8/ATP2B3/TBX5/ITGB5/FGF12/MYBPC2/TPM3/KCNK17/MME/CALD1/KCNA5/MYH6/TNNI1/HIPK2/SCN3A/TRDN/NPR1/SLN/AHCYL1/KCNK12/MYH11/SCN7A/CACNB2/FXYD6/TMOD1/CACNG6/FXYD7/CASQ2/KCND2/MYL3/KCNJ12/VCL/SRI/FXYD1/KCNK13/MYL1/LMOD1/PDE5A/CACNG7/ATP1A2/SCN4B/SORBS3/KCNE3/ACTC1/ALDH2/CAMK2B/KCNK3/ASPH/ATP1A4/TNNC1/KCNJ11/SLC8A2/TMOD2/NEB/ABCC9/ATP1B1/MYL4/TNNT2/STIM1/KCNJ4/KCNIP3/GATA4/TNNI2/ATP2B4/MYBPC3/SCN2A/PAK1/SCN3B/PAK2/TNNC2/KCND1/ITPR2/FXYD4
methylGSA_methylRRA_GSEA	reactome	hypomethylated	reactome:Diseases associated with O-glycosylation of proteins [R-HSA-3906995]	reactome:Diseases associated with O-glycosylation of proteins [R-HSA-3906995]	62	0.58711404041903	1.63315579422188	1.20644568821907e-06	0.00020370934336464	tags=56%, list=20%, signal=45%	ADAMTS10/ADAMTS16/ADAMTS17/ADAMTS2/ADAMTSL2/MUC2/NOTCH4/SEMA5A/SEMA5B/THBS1/THBS2/THSD4/THSD7B/MUC4/MUC21/ADAMTS6/LFNG/MUC16/MUC5B/MUC6/MUC1/THSD7A/CFP/ADAMTS14/ADAMTS9/SPON1/C1GALT1C1/MUC17/MUC20/ADAMTSL1/MUC13/ADAMTS12/ADAMTS20/GALNT3/MUC12
methylGSA_methylRRA_GSEA	reactome	hypomethylated	reactome:Protein-protein interactions at synapses [R-HSA-6794362]	reactome:Protein-protein interactions at synapses [R-HSA-6794362]	85	0.550657535098003	1.56509529786668	1.32623270419688e-06	0.00020370934336464	tags=59%, list=27%, signal=43%	APBA2/DLG2/GRIN2A/GRIN2B/NRXN2/NRXN3/NTRK3/PPFIA4/SHANK1/NLGN4X/DLG3/GRIA1/SLITRK2/SLITRK4/SHANK2/PTPRD/LRRC4B/DLGAP1/DLGAP4/NRXN1/DLGAP3/FLOT1/STX1A/LRFN2/GRM1/IL1RAPL1/HOMER1/APBA1/SYT1/SYT2/LRRTM4/SYT7/NLGN1/EPB41L1/CASK/PDLIM5/GRIA4/EPB41/EPB41L5/BEGAIN/PTPRS/PPFIBP2/LIN7A/EPB41L2/IL1RAPL2/IL1RAP/SIPA1L1/PTPRF/STXBP1/GRM5
methylGSA_methylRRA_GSEA	reactome	hypomethylated	reactome:O-linked glycosylation [R-HSA-5173105]	reactome:O-linked glycosylation [R-HSA-5173105]	96	0.537896893891947	1.54221330926313	1.32623270419688e-06	0.00020370934336464	tags=60%, list=30%, signal=42%	ADAMTS10/ADAMTS16/ADAMTS17/ADAMTS2/ADAMTSL2/B3GNTL1/GALNT2/GALNT9/MUC2/SEMA5A/SEMA5B/THBS1/THBS2/THSD4/THSD7B/ST6GALNAC3/MUC4/MUC21/ADAMTS6/MUC16/MUC5B/MUC6/ST3GAL3/MUC1/THSD7A/GALNT6/CFP/GCNT3/GALNT10/ST6GAL1/ADAMTS14/ADAMTS9/ST3GAL1/SPON1/ST3GAL4/GALNTL5/C1GALT1C1/MUC17/MUC20/ADAMTSL1/MUC13/GALNTL6/ADAMTS12/ADAMTS20/A4GNT/GALNT3/MUC12/MUC15/ST6GALNAC4/ADAMTSL3/B3GALNT2/ADAMTS18/GALNT7/B3GNT2/ADAMTS8/ST3GAL2/POMT1/GALNT13
