method	collection	direction	term	ID	Size	enrichmentScore	NES	pvalue	padj	leading_edge	core_enrichment
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	13. BMP / GDF Signaling	13. BMP / GDF Signaling	19	0.582140239527062	1.44319780509751	0.0200361764367463	0.545454545454545	tags=58%, list=19%, signal=47%	BMPER/BMP6/BMP2/GDF2/BMP10/BMP1/BMP15/BMPR1A/BMPR1B/BMP3/ZMYND11
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	16. Wnt Signaling	16. Wnt Signaling	19	0.516144481799476	1.2795861420804	0.0841683366733467	0.545454545454545	tags=68%, list=39%, signal=42%	WNT7A/WNT11/WNT5B/WNT16/WNT9A/TPBG/WNT10B/WNT4/WNT7B/WNT3A/WNT5A/WNT2B/WNT8B
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	17. TNF Superfamily	17. TNF Superfamily	40	0.469349121151039	1.25641262129938	0.0609390609390609	0.545454545454545	tags=52%, list=33%, signal=36%	EDAR/EDA2R/C1QTNF7/TNFSF4/C1QTNF4/TNFRSF1B/C1QTNF1/TNFAIP6/TNFAIP8/C1QL3/TNFRSF9/TNFSF11/TNFRSF19/C1QTNF6/TNFRSF4/CD40/C1QTNF5/CD70/TRAF2/ADAM17/C1QTNF8
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	14. EGF / EGFR Signaling	14. EGF / EGFR Signaling	29	0.477235802568797	1.24303035790598	0.0949050949050949	0.545454545454545	tags=38%, list=17%, signal=32%	DNER/EGFR/NRG1/NRG3/SLIT3/NRG2/ERBB4/ERBB3/ERBB2/EPS8/EGF
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	14. FGF Family	14. FGF Family	33	0.46696621088423	1.2275976778405	0.0979020979020979	0.545454545454545	tags=48%, list=35%, signal=32%	FGF13/FGF6/FGF1/FGFR3/FGF18/FGFR4/FGF12/FGF16/FGFBP1/FGF20/FGF9/FRS2/NUDT6/FGFR2/FGF2/FGF3
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	15. ECM / Skin Aging	15. ECM / Skin Aging	88	0.421388811090893	1.19744897397718	0.047952047952048	0.545454545454545	tags=49%, list=33%, signal=33%	ADAMTS2/COL11A2/COL18A1/COL23A1/COL4A1/COL4A2/COL5A1/COL6A1/COL6A2/COL6A3/COL8A1/COL9A1/ELFN1/FLRT2/LAMA2/COL15A1/LAMA1/COL13A1/TIMP2/ITGA1/LAMB1/PCOLCE/COL25A1/MARCO/FN1/FCN2/LAMC1/FCN1/STAB2/COL5A3/COL19A1/COL2A1/HAS1/MMRN2/PLOD2/COL12A1/RPL10/LGALS3/ELN/ITGB1/EMILIN2/PLOD1/ITGA2
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	17. Inflammation / Immunosenescence	17. Inflammation / Immunosenescence	222	0.373859342512794	1.11001853380956	0.0749250749250749	0.545454545454545	tags=58%, list=47%, signal=31%	AIM2/CCL11/DOCK2/IRF8/NLRP3/CCL8/IRF4/CX3CR1/IL17F/CISH/IL17A/DOCK1/IL21R/CCL7/IL16/VNN2/CXCR5/IL18RAP/CCL13/CCL1/IL1R2/IL1RL1/IFNG/IL13/CCL16/CCR6/IL7/IL5RA/IL20/TLR5/FAM19A2/ITK/CCR1/IKBKB/IL21/IL1RAPL1/CXCR6/CXCL5/IL20RA/DOCK3/CCL18/IL15/IL27RA/PRDM1/IRAK4/IL22RA2/RSAD2/IL4R/IL12B/CXCR3/IL1RL2/IL12RB2/IL12A/IRF1/IRF6/CCR5/IL22/IL1RN/IFNA8/IL17RE/IL26/MX2/IFITM1/IRAK2/IL1RAPL2/IL1RAP/OSMR/IL18/IL6R/IL1B/VNN1/IL19/IL13RA1/CCR7/IL2RA/IL10/CCL4/FAM3A/IRAK1/IL6/IRGM/IRF2/IL13RA2/IL5/CXCR1/CCL14/CCL2/IFNA14/CCR8/CCR3/NFKBIB/XCL2/CXCL10/NKRF/EBI3/NFKB1/SIGIRR/IL1F10/CYTL1/IL18R1/IL1R1/IL11/IL2RG/GBP2/IRF5/CXCR2/IL29/TLR2/IL23R/IL31RA/IL4/FAM3C/CCRL2/FAM3B/IL27/NDUFA13/CSF2RB/IL24/CCL22/CMTM4/IL2RB/IL17D/IL33/CCL20/CCR9/IL31/IL34/IL10RA
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	14. VEGF / Angiogenesis	14. VEGF / Angiogenesis	10	0.567880925727663	1.27179326893673	0.128125	0.624609375	tags=70%, list=30%, signal=49%	FLT4/CXCL17/PROK1/FLT1/VEGFC/VEGFB/PDGFC
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	18. Progeroid / Premature Aging	18. Progeroid / Premature Aging	30	0.451814583616297	1.18160071793228	0.156843156843157	0.67965367965368	tags=47%, list=34%, signal=31%	CUBN/FLNC/TCN1/NTNG2/FLNB/FILIP1/DDAH1/FLNA/MTRR/ATIC/PEBP4/NTNG1/TCN2/APEH
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	12. Stem Cell Regulation	12. Stem Cell Regulation	11	0.508073383743603	1.16103365734722	0.24612202688728	0.70324846356453	tags=45%, list=27%, signal=33%	DPPA2/IL3/IL1A/CCL23/CCL24
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	14. Neurotrophins	14. Neurotrophins	10	0.517124352104887	1.15812178295572	0.261458333333333	0.70324846356453	tags=40%, list=19%, signal=32%	NGF/NTF3/BDNF/NTRK1
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	09. IGF / Insulin Signaling	09. IGF / Insulin Signaling	17	0.473207469525565	1.15764394589546	0.2321608040201	0.70324846356453	tags=53%, list=32%, signal=36%	IGF1R/IGF2BP3/IGF2BP2/IGFALS/IGF2BP1/PAPPA/IGF1/IGFBP5/IGFBP1
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	16. Hedgehog Signaling	16. Hedgehog Signaling	3	0.67285089938473	1.13043182086294	0.286274509803922	0.70324846356453	tags=67%, list=23%, signal=52%	GLI1/IHH
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	10. FGF21-FGF23-Klotho Axis	10. FGF21-FGF23-Klotho Axis	6	0.566237809246438	1.12992276162876	0.30654420206659	0.70324846356453	tags=83%, list=35%, signal=54%	FGF23/GBA3/KL/LCTL/FGF21
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	03. mTOR Pathway	03. mTOR Pathway	5	-0.484529328764362	-1.12359630011991	0.284810126582278	0.70324846356453	tags=100%, list=52%, signal=48%	RICTOR/MTOR/FKBP3/MLST8
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	13. TGF-beta Signaling	13. TGF-beta Signaling	25	0.42955569854874	1.10175509720183	0.300699300699301	0.70324846356453	tags=52%, list=38%, signal=32%	GFRA2/LTBP1/GFRA1/TGFB2/LRRC32/TGFBI/LTBP2/TGFBR3/TGFB1I1/LTBP4/CD109/TGFBR2/TGFBR1
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	02. Sirtuins	02. Sirtuins	6	-0.435518822758655	-1.08417492171177	0.297709923664122	0.70324846356453	tags=100%, list=56%, signal=44%	SIRT6/SIRT2/SIRT4/SIRT5/SIRT1
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	01. Telomere Maintenance	01. Telomere Maintenance	14	-0.277842198134611	-0.960261621222064	0.34342042281517	0.744077582766202	tags=100%, list=72%, signal=28%	ICAM3/ICAM2/TERF1/ICAM1/POT1/ICAM4/PINX1/PTGES3/ICAM5/TEP1/SCYL1/C9orf78/TERF2
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	16. Notch Signaling	16. Notch Signaling	7	0.495025294728509	1.02522241712002	0.443458980044346	0.831616177149008	tags=14%, list=2%, signal=14%	NOTCH4
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	11. Metabolic Hormones	11. Metabolic Hormones	5	0.538094714188032	1.02419489277103	0.432464454976303	0.831616177149008	tags=60%, list=27%, signal=44%	ADIPOQ/LEPR/ADIPOR1
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	14. PDGF Signaling	14. PDGF Signaling	8	0.475652318455295	1.01979460312248	0.447793326157158	0.831616177149008	tags=25%, list=6%, signal=23%	PDGFD/PDGFRA
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	09. Growth Hormone Axis	09. Growth Hormone Axis	7	0.486074397241484	1.0066846558081	0.472283813747228	0.837230397097359	tags=57%, list=38%, signal=35%	GHRHR/SST/GHR/GHRL
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	07. Apoptosis	07. Apoptosis	112	0.345338379828229	0.992442007593134	0.526473526473527	0.892715979672501	tags=46%, list=45%, signal=26%	CARD11/CD5L/COX7B2/PLEKHF2/AATK/BMF/AIFM1/SFRP1/PDCD1/TNFRSF10A/LMTK2/TNFRSF21/TNFRSF25/UQCRFS1/MALT1/SFRP2/PYCARD/NOD2/DIABLO/CRADD/BCL2/BIRC8/MAP3K5/BNIPL/CARD18/PAWR/CASP8/COX7B/NLRC4/FAIM3/SFRP5/NAIF1/COX4I2/BCL2L1/BIRC7/STK17A/BIRC2/NOD1/CSRNP1/XIAP/NDUFA4/PDCD10/TNFRSF10C/CARD9/CASP7/BOK/BCL2L10/CASP4/NLRP1/CASP14/PCSK9/HIVEP1
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	14. HGF Signaling	14. HGF Signaling	7	0.436798642122836	0.904632075250858	0.610864745011086	0.992655210643016	tags=57%, list=34%, signal=37%	HGF/MET/HGFAC/SPINT2
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	08. Antioxidant / Oxidative Stress	08. Antioxidant / Oxidative Stress	54	0.337140723530231	0.921555874236774	0.711288711288711	0.995495495495495	tags=37%, list=36%, signal=24%	GPX5/PRDX1/TSTD1/GSTP1/TXNRD1/GSTZ1/GSS/SOD1/ABCC1/TYRP1/SOD3/ERP44/ESD/TXNL4A/GGT7/GSR/GSTM5/PRDX5/MGST2/HPGDS
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	18. Oncogenes / Tumor Suppressors	18. Oncogenes / Tumor Suppressors	69	0.328328708662569	0.915448487524404	0.738261738261738	0.995495495495495	tags=45%, list=43%, signal=26%	BCL11B/CADM1/FLI1/FYN/RUNX3/LZTS1/DCC/RUNX1/CCDC80/THPO/RUNX2/LCK/EXTL3/ROS1/AKT1/FER/DIRAS1/ARAF/MYB/NET1/TRIM13/MAEA/MYEOV/MERTK/RRAS2/LCN2/STYK1/RET/MAFF/MPL/SRC
methylGSA_methylRRA_GSEA	supervisor_arrays	hypomethylated	10. GDF Aging Biomarkers	10. GDF Aging Biomarkers	2	0.574950587583405	0.880918958098549	0.666666666666667	0.995495495495495	tags=50%, list=33%, signal=33%	GDF15
