method	collection	direction	term	ONTOLOGY	TERM	N	DE	P.DE	FDR
missMethyl_gometh	GO	hypermethylated	GO:0000002	BP	mitochondrial genome maintenance	30	5	0.810912525366909	1
missMethyl_gometh	GO	hypermethylated	GO:0000009	MF	alpha-1,6-mannosyltransferase activity	3	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000012	BP	single strand break repair	13	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000014	MF	single-stranded DNA endodeoxyribonuclease activity	11	1	0.90276304932704	1
missMethyl_gometh	GO	hypermethylated	GO:0000015	CC	phosphopyruvate hydratase complex	3	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000016	MF	lactase activity	1	0	1.00000000001827	1
missMethyl_gometh	GO	hypermethylated	GO:0000017	BP	alpha-glucoside transport	2	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000018	BP	regulation of DNA recombination	141	13	0.999867276857097	1
missMethyl_gometh	GO	hypermethylated	GO:0000019	BP	regulation of mitotic recombination	7	1	0.82766402253163	1
missMethyl_gometh	GO	hypermethylated	GO:0000022	BP	mitotic spindle elongation	12	2	0.742680074717017	1
missMethyl_gometh	GO	hypermethylated	GO:0000023	BP	maltose metabolic process	2	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000025	BP	maltose catabolic process	1	0	1.00000000003538	1
missMethyl_gometh	GO	hypermethylated	GO:0000026	MF	alpha-1,2-mannosyltransferase activity	4	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000027	BP	ribosomal large subunit assembly	16	1	0.967019206340815	1
missMethyl_gometh	GO	hypermethylated	GO:0000028	BP	ribosomal small subunit assembly	20	1	0.985287558627697	1
missMethyl_gometh	GO	hypermethylated	GO:0000030	MF	mannosyltransferase activity	25	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000033	MF	alpha-1,3-mannosyltransferase activity	2	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000035	MF	acyl binding	2	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000036	MF	acyl carrier activity	1	0	1.00000000000814	1
missMethyl_gometh	GO	hypermethylated	GO:0000038	BP	very long-chain fatty acid metabolic process	35	4	0.921401295720235	1
missMethyl_gometh	GO	hypermethylated	GO:0000041	BP	transition metal ion transport	101	17	0.894220812613695	1
missMethyl_gometh	GO	hypermethylated	GO:0000045	BP	autophagosome assembly	118	12	0.999910172482265	1
missMethyl_gometh	GO	hypermethylated	GO:0000048	MF	peptidyltransferase activity	2	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000049	MF	tRNA binding	80	5	0.999695680986921	1
missMethyl_gometh	GO	hypermethylated	GO:0000050	BP	urea cycle	12	3	0.286058500847388	1
missMethyl_gometh	GO	hypermethylated	GO:0000052	BP	citrulline metabolic process	6	2	0.498274161828371	1
missMethyl_gometh	GO	hypermethylated	GO:0000053	BP	argininosuccinate metabolic process	1	0	1.00000000003313	1
missMethyl_gometh	GO	hypermethylated	GO:0000054	BP	ribosomal subunit export from nucleus	15	1	0.971451394991109	1
missMethyl_gometh	GO	hypermethylated	GO:0000055	BP	ribosomal large subunit export from nucleus	8	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000056	BP	ribosomal small subunit export from nucleus	8	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000062	MF	fatty-acyl-CoA binding	16	5	0.302078942446775	1
missMethyl_gometh	GO	hypermethylated	GO:0000064	MF	L-ornithine transmembrane transporter activity	5	2	0.312453359168931	1
missMethyl_gometh	GO	hypermethylated	GO:0000070	BP	mitotic sister chromatid segregation	193	27	0.998614587774132	1
missMethyl_gometh	GO	hypermethylated	GO:0000075	BP	cell cycle checkpoint signaling	203	30	0.998768773154398	1
missMethyl_gometh	GO	hypermethylated	GO:0000076	BP	DNA replication checkpoint signaling	20	2	0.914957386249009	1
missMethyl_gometh	GO	hypermethylated	GO:0000077	BP	DNA damage checkpoint signaling	131	18	0.998435538452277	1
missMethyl_gometh	GO	hypermethylated	GO:0000079	BP	regulation of cyclin-dependent protein serine/threonine kinase activity	77	15	0.706973169082548	1
missMethyl_gometh	GO	hypermethylated	GO:0000082	BP	G1/S transition of mitotic cell cycle	255	61	0.437678876755077	1
missMethyl_gometh	GO	hypermethylated	GO:0000086	BP	G2/M transition of mitotic cell cycle	141	27	0.948603812531948	1
missMethyl_gometh	GO	hypermethylated	GO:0000095	MF	S-adenosyl-L-methionine transmembrane transporter activity	1	0	1.00000000000428	1
missMethyl_gometh	GO	hypermethylated	GO:0000096	BP	sulfur amino acid metabolic process	33	4	0.956340520020446	1
missMethyl_gometh	GO	hypermethylated	GO:0000097	BP	sulfur amino acid biosynthetic process	16	3	0.735481533320224	1
missMethyl_gometh	GO	hypermethylated	GO:0000098	BP	sulfur amino acid catabolic process	10	1	0.84290608871423	1
missMethyl_gometh	GO	hypermethylated	GO:0000099	MF	sulfur amino acid transmembrane transporter activity	11	2	0.853415339554616	1
