method	collection	direction	term	ONTOLOGY	TERM	N	DE	P.DE	FDR
missMethyl_gometh	GO	hypomethylated	GO:0000002	BP	mitochondrial genome maintenance	30	5	0.631338940841343	1
missMethyl_gometh	GO	hypomethylated	GO:0000009	MF	alpha-1,6-mannosyltransferase activity	3	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0000012	BP	single strand break repair	13	2	0.658832398632236	1
missMethyl_gometh	GO	hypomethylated	GO:0000014	MF	single-stranded DNA endodeoxyribonuclease activity	11	2	0.552183711623774	1
missMethyl_gometh	GO	hypomethylated	GO:0000015	CC	phosphopyruvate hydratase complex	3	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0000016	MF	lactase activity	1	0	0.999999999967927	1
missMethyl_gometh	GO	hypomethylated	GO:0000017	BP	alpha-glucoside transport	2	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0000018	BP	regulation of DNA recombination	141	17	0.974469861374953	1
missMethyl_gometh	GO	hypomethylated	GO:0000019	BP	regulation of mitotic recombination	7	1	0.76742572460916	1
missMethyl_gometh	GO	hypomethylated	GO:0000022	BP	mitotic spindle elongation	12	4	0.153722802117066	1
missMethyl_gometh	GO	hypomethylated	GO:0000023	BP	maltose metabolic process	2	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0000025	BP	maltose catabolic process	1	0	0.999999999991891	1
missMethyl_gometh	GO	hypomethylated	GO:0000026	MF	alpha-1,2-mannosyltransferase activity	4	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0000027	BP	ribosomal large subunit assembly	16	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0000028	BP	ribosomal small subunit assembly	20	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0000030	MF	mannosyltransferase activity	25	3	0.872656617899137	1
missMethyl_gometh	GO	hypomethylated	GO:0000033	MF	alpha-1,3-mannosyltransferase activity	2	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0000035	MF	acyl binding	2	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0000036	MF	acyl carrier activity	1	0	1.00000000002153	1
missMethyl_gometh	GO	hypomethylated	GO:0000038	BP	very long-chain fatty acid metabolic process	35	9	0.171474429163595	1
missMethyl_gometh	GO	hypomethylated	GO:0000041	BP	transition metal ion transport	101	18	0.670744609846213	1
missMethyl_gometh	GO	hypomethylated	GO:0000045	BP	autophagosome assembly	118	18	0.914170550074839	1
missMethyl_gometh	GO	hypomethylated	GO:0000048	MF	peptidyltransferase activity	2	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0000049	MF	tRNA binding	80	5	0.998556192360782	1
missMethyl_gometh	GO	hypomethylated	GO:0000050	BP	urea cycle	12	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0000052	BP	citrulline metabolic process	6	1	0.78499637787208	1
missMethyl_gometh	GO	hypomethylated	GO:0000053	BP	argininosuccinate metabolic process	1	0	1.00000000000435	1
missMethyl_gometh	GO	hypomethylated	GO:0000054	BP	ribosomal subunit export from nucleus	15	1	0.940492947651284	1
missMethyl_gometh	GO	hypomethylated	GO:0000055	BP	ribosomal large subunit export from nucleus	8	1	0.810000872627944	1
missMethyl_gometh	GO	hypomethylated	GO:0000056	BP	ribosomal small subunit export from nucleus	8	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0000062	MF	fatty-acyl-CoA binding	16	2	0.819626725821183	1
missMethyl_gometh	GO	hypomethylated	GO:0000064	MF	L-ornithine transmembrane transporter activity	5	0	1	1
