method	collection	direction	term	Description	N	DE	P.DE	FDR
missMethyl_gometh	KEGG	hypermethylated	hsa00010	Glycolysis / Gluconeogenesis	66	11	0.779175123637794	1
missMethyl_gometh	KEGG	hypermethylated	hsa00020	Citrate cycle (TCA cycle)	30	0	1	1
missMethyl_gometh	KEGG	hypermethylated	hsa00030	Pentose phosphate pathway	30	4	0.895940421898785	1
missMethyl_gometh	KEGG	hypermethylated	hsa00040	Pentose and glucuronate interconversions	36	3	0.941235143515031	1
missMethyl_gometh	KEGG	hypermethylated	hsa00051	Fructose and mannose metabolism	36	8	0.594431775656571	1
missMethyl_gometh	KEGG	hypermethylated	hsa00052	Galactose metabolism	30	6	0.718272464052973	1
missMethyl_gometh	KEGG	hypermethylated	hsa00053	Ascorbate and aldarate metabolism	31	2	0.896724837370191	1
missMethyl_gometh	KEGG	hypermethylated	hsa00061	Fatty acid biosynthesis	17	1	0.994499968567661	1
missMethyl_gometh	KEGG	hypermethylated	hsa00062	Fatty acid elongation	28	6	0.603099748669253	1
missMethyl_gometh	KEGG	hypermethylated	hsa00071	Fatty acid degradation	43	8	0.572720138370201	1
missMethyl_gometh	KEGG	hypermethylated	hsa00100	Steroid biosynthesis	20	1	0.991143112895369	1
missMethyl_gometh	KEGG	hypermethylated	hsa00120	Primary bile acid biosynthesis	17	3	0.520641142044934	1
missMethyl_gometh	KEGG	hypermethylated	hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	12	1	0.844503872946922	1
missMethyl_gometh	KEGG	hypermethylated	hsa00140	Steroid hormone biosynthesis	64	9	0.537510652738163	1
missMethyl_gometh	KEGG	hypermethylated	hsa00190	Oxidative phosphorylation	121	14	0.980756184852566	1
missMethyl_gometh	KEGG	hypermethylated	hsa00220	Arginine biosynthesis	22	3	0.875756959923756	1
missMethyl_gometh	KEGG	hypermethylated	hsa00230	Purine metabolism	125	24	0.929695695771295	1
missMethyl_gometh	KEGG	hypermethylated	hsa00232	Caffeine metabolism	6	1	0.475133433070813	1
missMethyl_gometh	KEGG	hypermethylated	hsa00240	Pyrimidine metabolism	56	9	0.846884786165572	1
missMethyl_gometh	KEGG	hypermethylated	hsa00250	Alanine, aspartate and glutamate metabolism	37	7	0.805147138852662	1
missMethyl_gometh	KEGG	hypermethylated	hsa00260	Glycine, serine and threonine metabolism	39	7	0.467452402488039	1
missMethyl_gometh	KEGG	hypermethylated	hsa00270	Cysteine and methionine metabolism	52	9	0.82705414093429	1
missMethyl_gometh	KEGG	hypermethylated	hsa00280	Valine, leucine and isoleucine degradation	48	4	0.995692515195354	1
missMethyl_gometh	KEGG	hypermethylated	hsa00290	Valine, leucine and isoleucine biosynthesis	4	1	0.628211172783553	1
missMethyl_gometh	KEGG	hypermethylated	hsa00310	Lysine degradation	62	11	0.971320648645661	1
missMethyl_gometh	KEGG	hypermethylated	hsa00330	Arginine and proline metabolism	50	8	0.827678258669378	1
missMethyl_gometh	KEGG	hypermethylated	hsa00340	Histidine metabolism	22	3	0.847633286321884	1
missMethyl_gometh	KEGG	hypermethylated	hsa00350	Tyrosine metabolism	36	6	0.674531219701169	1
missMethyl_gometh	KEGG	hypermethylated	hsa00360	Phenylalanine metabolism	16	3	0.689186259206682	1
missMethyl_gometh	KEGG	hypermethylated	hsa00380	Tryptophan metabolism	41	7	0.632106024001124	1
missMethyl_gometh	KEGG	hypermethylated	hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis	6	0	1	1
missMethyl_gometh	KEGG	hypermethylated	hsa00410	beta-Alanine metabolism	31	10	0.193537960103778	0.79243326537639
missMethyl_gometh	KEGG	hypermethylated	hsa00430	Taurine and hypotaurine metabolism	16	5	0.186126450227227	0.786807266869643
missMethyl_gometh	KEGG	hypermethylated	hsa00440	Phosphonate and phosphinate metabolism	6	1	0.790815822002702	1
missMethyl_gometh	KEGG	hypermethylated	hsa00450	Selenocompound metabolism	17	1	0.985182799245615	1
missMethyl_gometh	KEGG	hypermethylated	hsa00470	D-Amino acid metabolism	6	0	1	1
missMethyl_gometh	KEGG	hypermethylated	hsa00480	Glutathione metabolism	58	12	0.381366656951255	1
missMethyl_gometh	KEGG	hypermethylated	hsa00500	Starch and sucrose metabolism	34	6	0.652270566333469	1
missMethyl_gometh	KEGG	hypermethylated	hsa00510	N-Glycan biosynthesis	53	8	0.913374558225606	1
missMethyl_gometh	KEGG	hypermethylated	hsa00511	Other glycan degradation	18	2	0.966032948224198	1
missMethyl_gometh	KEGG	hypermethylated	hsa00512	Mucin type O-glycan biosynthesis	34	10	0.368455324150964	1
missMethyl_gometh	KEGG	hypermethylated	hsa00513	Various types of N-glycan biosynthesis	42	5	0.983194656297496	1
missMethyl_gometh	KEGG	hypermethylated	hsa00514	Other types of O-glycan biosynthesis	47	17	0.095848514230343	0.594260788228127
missMethyl_gometh	KEGG	hypermethylated	hsa00515	Mannose type O-glycan biosynthesis	22	4	0.81206778638063	1
missMethyl_gometh	KEGG	hypermethylated	hsa00520	Amino sugar and nucleotide sugar metabolism	38	7	0.766598399094063	1
missMethyl_gometh	KEGG	hypermethylated	hsa00524	Neomycin, kanamycin and gentamicin biosynthesis	5	2	0.547924073267848	1
missMethyl_gometh	KEGG	hypermethylated	hsa00531	Glycosaminoglycan degradation	19	4	0.795700131075985	1
missMethyl_gometh	KEGG	hypermethylated	hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	21	9	0.117724929588558	0.625623911527766
missMethyl_gometh	KEGG	hypermethylated	hsa00533	Glycosaminoglycan biosynthesis - keratan sulfate	14	3	0.811571493148309	1
missMethyl_gometh	KEGG	hypermethylated	hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	24	8	0.299693763354172	1
missMethyl_gometh	KEGG	hypermethylated	hsa00541	Biosynthesis of various nucleotide sugars	19	3	0.774718175746611	1
missMethyl_gometh	KEGG	hypermethylated	hsa00561	Glycerolipid metabolism	64	15	0.545889109076418	1
missMethyl_gometh	KEGG	hypermethylated	hsa00562	Inositol phosphate metabolism	78	10	0.996945731991702	1
missMethyl_gometh	KEGG	hypermethylated	hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	30	4	0.856597826832302	1
missMethyl_gometh	KEGG	hypermethylated	hsa00564	Glycerophospholipid metabolism	101	21	0.809188877313576	1
missMethyl_gometh	KEGG	hypermethylated	hsa00565	Ether lipid metabolism	51	6	0.9306944158957	1
missMethyl_gometh	KEGG	hypermethylated	hsa00590	Arachidonic acid metabolism	62	12	0.300450071352822	1
missMethyl_gometh	KEGG	hypermethylated	hsa00591	Linoleic acid metabolism	30	3	0.782561943392526	1
missMethyl_gometh	KEGG	hypermethylated	hsa00592	alpha-Linolenic acid metabolism	26	2	0.927389996051844	1
missMethyl_gometh	KEGG	hypermethylated	hsa00600	Sphingolipid metabolism	54	10	0.770376118573549	1
missMethyl_gometh	KEGG	hypermethylated	hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series	28	4	0.869955346316518	1
missMethyl_gometh	KEGG	hypermethylated	hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series	15	3	0.640955962684249	1
missMethyl_gometh	KEGG	hypermethylated	hsa00604	Glycosphingolipid biosynthesis - ganglio series	15	4	0.689584809632465	1
missMethyl_gometh	KEGG	hypermethylated	hsa00620	Pyruvate metabolism	49	6	0.912159293588018	1
missMethyl_gometh	KEGG	hypermethylated	hsa00630	Glyoxylate and dicarboxylate metabolism	31	2	0.9775285213032	1
missMethyl_gometh	KEGG	hypermethylated	hsa00640	Propanoate metabolism	32	7	0.626287923504285	1
missMethyl_gometh	KEGG	hypermethylated	hsa00650	Butanoate metabolism	26	6	0.446720392095065	1
missMethyl_gometh	KEGG	hypermethylated	hsa00660	C5-Branched dibasic acid metabolism	1	1	0.424267087808448	1
missMethyl_gometh	KEGG	hypermethylated	hsa00670	One carbon pool by folate	36	6	0.85752069286346	1
missMethyl_gometh	KEGG	hypermethylated	hsa00730	Thiamine metabolism	15	4	0.580620418588728	1
missMethyl_gometh	KEGG	hypermethylated	hsa00740	Riboflavin metabolism	8	0	1	1
missMethyl_gometh	KEGG	hypermethylated	hsa00750	Vitamin B6 metabolism	6	1	0.721238672389104	1
