method	collection	direction	term	Description	N	DE	P.DE	FDR
missMethyl_gometh	KEGG	hypomethylated	hsa00010	Glycolysis / Gluconeogenesis	66	8	0.940311048855366	1
missMethyl_gometh	KEGG	hypomethylated	hsa00020	Citrate cycle (TCA cycle)	30	3	0.908122736224705	1
missMethyl_gometh	KEGG	hypomethylated	hsa00030	Pentose phosphate pathway	30	4	0.820690912307341	1
missMethyl_gometh	KEGG	hypomethylated	hsa00040	Pentose and glucuronate interconversions	36	7	0.513974184184295	1
missMethyl_gometh	KEGG	hypomethylated	hsa00051	Fructose and mannose metabolism	36	6	0.756646922979468	1
missMethyl_gometh	KEGG	hypomethylated	hsa00052	Galactose metabolism	30	4	0.898654966952503	1
missMethyl_gometh	KEGG	hypomethylated	hsa00053	Ascorbate and aldarate metabolism	31	7	0.25044417861221	1
missMethyl_gometh	KEGG	hypomethylated	hsa00061	Fatty acid biosynthesis	17	3	0.798040287486827	1
missMethyl_gometh	KEGG	hypomethylated	hsa00062	Fatty acid elongation	28	6	0.460783348596501	1
missMethyl_gometh	KEGG	hypomethylated	hsa00071	Fatty acid degradation	43	5	0.89670057164786	1
missMethyl_gometh	KEGG	hypomethylated	hsa00100	Steroid biosynthesis	20	1	0.980493855207483	1
missMethyl_gometh	KEGG	hypomethylated	hsa00120	Primary bile acid biosynthesis	17	2	0.810376279826437	1
missMethyl_gometh	KEGG	hypomethylated	hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	12	1	0.84289737796051	1
missMethyl_gometh	KEGG	hypomethylated	hsa00140	Steroid hormone biosynthesis	64	16	0.0934350442438009	0.745731413168127
missMethyl_gometh	KEGG	hypomethylated	hsa00190	Oxidative phosphorylation	121	8	0.999769782661455	1
missMethyl_gometh	KEGG	hypomethylated	hsa00220	Arginine biosynthesis	22	1	0.989880668862915	1
missMethyl_gometh	KEGG	hypomethylated	hsa00230	Purine metabolism	125	28	0.390969731781546	1
missMethyl_gometh	KEGG	hypomethylated	hsa00232	Caffeine metabolism	6	3	0.055433166835755	0.589175373225738
missMethyl_gometh	KEGG	hypomethylated	hsa00240	Pyrimidine metabolism	56	8	0.810651682129749	1
missMethyl_gometh	KEGG	hypomethylated	hsa00250	Alanine, aspartate and glutamate metabolism	37	3	0.985497370404266	1
