method	collection	direction	term	N	DE	P.DE	FDR
missMethyl_gsameth	longevity	hypermethylated	reactome_telomere_maintenance	89	14	0.887119542997052	0.997027621349001
missMethyl_gsameth	longevity	hypermethylated	reactome_telomere_extension_by_telomerase	23	4	0.828433454152364	0.997027621349001
missMethyl_gsameth	longevity	hypermethylated	reactome_mitochondrial_biogenesis	89	11	0.997027621349001	0.997027621349001
missMethyl_gsameth	longevity	hypermethylated	reactome_transcriptional_activation_mitochondrial_biogenesis	52	8	0.968873789368934	0.997027621349001
missMethyl_gsameth	longevity	hypermethylated	kegg_pluripotency_stem_cell_signaling	141	53	0.0182072929503461	0.101576904923175
missMethyl_gsameth	longevity	hypermethylated	reactome_pluripotent_stem_cell_transcription	29	17	0.000846823073579153	0.0118555230301081
missMethyl_gsameth	longevity	hypermethylated	go_positive_regulation_stem_cell_differentiation	17	9	0.0217664796263947	0.101576904923175
missMethyl_gsameth	longevity	hypermethylated	go_negative_regulation_stem_cell_differentiation	12	3	0.703522251628412	0.997027621349001
missMethyl_gsameth	longevity	hypermethylated	kegg_ampk_signaling	119	30	0.78702457834818	0.997027621349001
missMethyl_gsameth	longevity	hypermethylated	kegg_foxo_signaling	128	26	0.921018034628853	0.997027621349001
missMethyl_gsameth	longevity	hypermethylated	kegg_mtor_signaling	154	33	0.949121339821081	0.997027621349001
missMethyl_gsameth	longevity	hypermethylated	reactome_mtor_signaling	41	6	0.944649502845166	0.997027621349001
missMethyl_gsameth	longevity	hypermethylated	reactome_lkb1_ampk_mtor_energy_regulation	29	2	0.995255127017737	0.997027621349001
missMethyl_gsameth	longevity	hypermethylated	reactome_foxo_mediated_transcription	64	13	0.853909763651511	0.997027621349001
