method	collection	direction	term	N	DE	P.DE	FDR
missMethyl_gsameth	longevity	hypomethylated	reactome_telomere_maintenance	89	9	0.987671554474059	0.996015921270153
missMethyl_gsameth	longevity	hypomethylated	reactome_telomere_extension_by_telomerase	23	2	0.955865233353312	0.996015921270153
missMethyl_gsameth	longevity	hypomethylated	reactome_mitochondrial_biogenesis	89	9	0.996015921270153	0.996015921270153
missMethyl_gsameth	longevity	hypomethylated	reactome_transcriptional_activation_mitochondrial_biogenesis	52	7	0.942919568180681	0.996015921270153
missMethyl_gsameth	longevity	hypomethylated	kegg_pluripotency_stem_cell_signaling	141	24	0.982448727568963	0.996015921270153
missMethyl_gsameth	longevity	hypomethylated	reactome_pluripotent_stem_cell_transcription	29	7	0.549227883036853	0.996015921270153
missMethyl_gsameth	longevity	hypomethylated	go_positive_regulation_stem_cell_differentiation	17	6	0.167682459860216	0.996015921270153
missMethyl_gsameth	longevity	hypomethylated	go_negative_regulation_stem_cell_differentiation	12	2	0.788332515025963	0.996015921270153
missMethyl_gsameth	longevity	hypomethylated	kegg_ampk_signaling	119	30	0.385420953356783	0.996015921270153
missMethyl_gsameth	longevity	hypomethylated	kegg_foxo_signaling	128	24	0.826959565728445	0.996015921270153
missMethyl_gsameth	longevity	hypomethylated	kegg_mtor_signaling	154	24	0.987738001233943	0.996015921270153
missMethyl_gsameth	longevity	hypomethylated	reactome_mtor_signaling	41	5	0.947048967181427	0.996015921270153
missMethyl_gsameth	longevity	hypomethylated	reactome_lkb1_ampk_mtor_energy_regulation	29	3	0.954461418524482	0.996015921270153
missMethyl_gsameth	longevity	hypomethylated	reactome_foxo_mediated_transcription	64	12	0.755802331142923	0.996015921270153
