method	collection	direction	term	N	DE	P.DE	FDR
missMethyl_gsameth	reactome	hypermethylated	reactome:Hemostasis [R-HSA-109582]	608	169	0.0187044082735737	0.615398124062642
missMethyl_gsameth	reactome	hypermethylated	reactome:Platelet degranulation [R-HSA-114608]	128	34	0.0599497440662633	1
missMethyl_gsameth	reactome	hypermethylated	reactome:Innate Immune System [R-HSA-168249]	1039	167	0.999937495562958	1
missMethyl_gsameth	reactome	hypermethylated	reactome:Immune System [R-HSA-168256]	2006	346	0.999997177351928	1
missMethyl_gsameth	reactome	hypermethylated	reactome:Neutrophil degranulation [R-HSA-6798695]	474	71	0.999592982988512	1
missMethyl_gsameth	reactome	hypermethylated	reactome:Platelet activation, signaling and aggregation [R-HSA-76002]	262	77	0.0304147937339261	0.817348116491532
missMethyl_gsameth	reactome	hypermethylated	reactome:Response to elevated platelet cytosolic Ca2+ [R-HSA-76005]	133	36	0.0555330921621097	0.989421538686022
missMethyl_gsameth	reactome	hypermethylated	reactome:Metabolism [R-HSA-1430728]	2157	338	1.00000000000287	1
missMethyl_gsameth	reactome	hypermethylated	reactome:Phase II - Conjugation of compounds [R-HSA-156580]	108	16	0.614497382316671	1
missMethyl_gsameth	reactome	hypermethylated	reactome:Acetylation [R-HSA-156582]	2	0	1	1
missMethyl_gsameth	reactome	hypermethylated	reactome:Biological oxidations [R-HSA-211859]	220	41	0.316124668704828	1
missMethyl_gsameth	reactome	hypermethylated	reactome:Drug ADME [R-HSA-9748784]	109	16	0.743873450262445	1
missMethyl_gsameth	reactome	hypermethylated	reactome:Paracetamol ADME [R-HSA-9753281]	29	6	0.481965034866779	1
missMethyl_gsameth	reactome	hypermethylated	reactome:Metabolism of nucleotides [R-HSA-15869]	97	16	0.884413315260205	1
missMethyl_gsameth	reactome	hypermethylated	reactome:Disease [R-HSA-1643685]	1792	339	0.999998958801398	1
missMethyl_gsameth	reactome	hypermethylated	reactome:Diseases of metabolism [R-HSA-5668914]	244	58	0.582079030527561	1
missMethyl_gsameth	reactome	hypermethylated	reactome:Purine salvage [R-HSA-74217]	13	2	0.798468732565126	1
missMethyl_gsameth	reactome	hypermethylated	reactome:Nucleotide salvage [R-HSA-8956321]	23	5	0.517122694350656	1
missMethyl_gsameth	reactome	hypermethylated	reactome:Nucleotide salvage defects [R-HSA-9734207]	3	0	1	1
missMethyl_gsameth	reactome	hypermethylated	reactome:Defective ADA disrupts (deoxy)adenosine deamination [R-HSA-9734735]	1	0	1.00000000003188	1
missMethyl_gsameth	reactome	hypermethylated	reactome:Diseases of nucleotide metabolism [R-HSA-9735804]	4	0	1	1
missMethyl_gsameth	reactome	hypermethylated	reactome:Ribavirin ADME [R-HSA-9755088]	12	1	0.942384629683569	1
missMethyl_gsameth	reactome	hypermethylated	reactome:Developmental Biology [R-HSA-1266738]	1378	370	0.00263092660998722	0.200496598465214
missMethyl_gsameth	reactome	hypermethylated	reactome:Cell-Cell communication [R-HSA-1500931]	153	56	0.00743650812346044	0.388594002922001
missMethyl_gsameth	reactome	hypermethylated	reactome:Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs) [R-HSA-381426]	124	36	0.0280530271857374	0.795333164361597
missMethyl_gsameth	reactome	hypermethylated	reactome:Metabolism of proteins [R-HSA-392499]	2030	345	0.999999960562617	1
missMethyl_gsameth	reactome	hypermethylated	reactome:Adherens junctions interactions [R-HSA-418990]	57	19	0.253615443270401	1
missMethyl_gsameth	reactome	hypermethylated	reactome:Cell-cell junction organization [R-HSA-421270]	88	30	0.0628563799914625	1
missMethyl_gsameth	reactome	hypermethylated	reactome:Cell junction organization [R-HSA-446728]	115	40	0.0424325522741279	0.926907801725827
missMethyl_gsameth	reactome	hypermethylated	reactome:Myogenesis [R-HSA-525793]	30	15	0.0109597616426405	0.463615313930743
missMethyl_gsameth	reactome	hypermethylated	reactome:Post-translational protein modification [R-HSA-597592]	1430	268	0.999911996747075	1
missMethyl_gsameth	reactome	hypermethylated	reactome:Post-translational protein phosphorylation [R-HSA-8957275]	107	30	0.0850511824689169	1
missMethyl_gsameth	reactome	hypermethylated	reactome:Apoptosis [R-HSA-109581]	179	28	0.99644083506562	1
