method	collection	direction	term	N	DE	P.DE	FDR
missMethyl_gsameth	reactome	hypomethylated	reactome:Hemostasis [R-HSA-109582]	608	143	0.111801622478844	1
missMethyl_gsameth	reactome	hypomethylated	reactome:Platelet degranulation [R-HSA-114608]	128	27	0.316104503816255	1
missMethyl_gsameth	reactome	hypomethylated	reactome:Innate Immune System [R-HSA-168249]	1039	212	0.2192045716428	1
missMethyl_gsameth	reactome	hypomethylated	reactome:Immune System [R-HSA-168256]	2006	418	0.076026187996578	1
missMethyl_gsameth	reactome	hypomethylated	reactome:Neutrophil degranulation [R-HSA-6798695]	474	95	0.330979482028472	1
missMethyl_gsameth	reactome	hypomethylated	reactome:Platelet activation, signaling and aggregation [R-HSA-76002]	262	63	0.157714586741755	1
missMethyl_gsameth	reactome	hypomethylated	reactome:Response to elevated platelet cytosolic Ca2+ [R-HSA-76005]	133	29	0.272383101440522	1
missMethyl_gsameth	reactome	hypomethylated	reactome:Metabolism [R-HSA-1430728]	2157	334	0.999997380545914	1
missMethyl_gsameth	reactome	hypomethylated	reactome:Phase II - Conjugation of compounds [R-HSA-156580]	108	19	0.554459221213483	1
missMethyl_gsameth	reactome	hypomethylated	reactome:Acetylation [R-HSA-156582]	2	1	0.284525474207027	1
missMethyl_gsameth	reactome	hypomethylated	reactome:Biological oxidations [R-HSA-211859]	220	45	0.227787223693179	1
missMethyl_gsameth	reactome	hypomethylated	reactome:Drug ADME [R-HSA-9748784]	109	22	0.390219021820107	1
missMethyl_gsameth	reactome	hypomethylated	reactome:Paracetamol ADME [R-HSA-9753281]	29	9	0.0935215362183903	1
missMethyl_gsameth	reactome	hypomethylated	reactome:Metabolism of nucleotides [R-HSA-15869]	97	14	0.863694934335105	1
missMethyl_gsameth	reactome	hypomethylated	reactome:Disease [R-HSA-1643685]	1792	312	0.999147244985366	1
missMethyl_gsameth	reactome	hypomethylated	reactome:Diseases of metabolism [R-HSA-5668914]	244	54	0.367930420081062	1
missMethyl_gsameth	reactome	hypomethylated	reactome:Purine salvage [R-HSA-74217]	13	1	0.9371817783998	1
missMethyl_gsameth	reactome	hypomethylated	reactome:Nucleotide salvage [R-HSA-8956321]	23	1	0.991352264595791	1
missMethyl_gsameth	reactome	hypomethylated	reactome:Nucleotide salvage defects [R-HSA-9734207]	3	0	1	1
missMethyl_gsameth	reactome	hypomethylated	reactome:Defective ADA disrupts (deoxy)adenosine deamination [R-HSA-9734735]	1	0	1.00000000001021	1
missMethyl_gsameth	reactome	hypomethylated	reactome:Diseases of nucleotide metabolism [R-HSA-9735804]	4	0	1	1
missMethyl_gsameth	reactome	hypomethylated	reactome:Ribavirin ADME [R-HSA-9755088]	12	0	1	1
