term	reactome_id	n_original_members	n_entrez
reactome:Hemostasis [R-HSA-109582]	R-HSA-109582	623	622
reactome:Platelet degranulation [R-HSA-114608]	R-HSA-114608	129	129
reactome:Innate Immune System [R-HSA-168249]	R-HSA-168249	1078	1070
reactome:Immune System [R-HSA-168256]	R-HSA-168256	2068	2054
reactome:Neutrophil degranulation [R-HSA-6798695]	R-HSA-6798695	479	479
reactome:Platelet activation, signaling and aggregation [R-HSA-76002]	R-HSA-76002	263	263
reactome:Response to elevated platelet cytosolic Ca2+ [R-HSA-76005]	R-HSA-76005	134	134
reactome:Metabolism [R-HSA-1430728]	R-HSA-1430728	2189	2189
reactome:Phase II - Conjugation of compounds [R-HSA-156580]	R-HSA-156580	109	109
reactome:Acetylation [R-HSA-156582]	R-HSA-156582	2	2
reactome:Biological oxidations [R-HSA-211859]	R-HSA-211859	222	222
reactome:Drug ADME [R-HSA-9748784]	R-HSA-9748784	110	110
reactome:Paracetamol ADME [R-HSA-9753281]	R-HSA-9753281	29	29
reactome:Metabolism of nucleotides [R-HSA-15869]	R-HSA-15869	99	99
reactome:Disease [R-HSA-1643685]	R-HSA-1643685	2080	1824
reactome:Diseases of metabolism [R-HSA-5668914]	R-HSA-5668914	250	250
reactome:Purine salvage [R-HSA-74217]	R-HSA-74217	13	13
reactome:Nucleotide salvage [R-HSA-8956321]	R-HSA-8956321	23	23
reactome:Nucleotide salvage defects [R-HSA-9734207]	R-HSA-9734207	3	3
reactome:Defective ADA disrupts (deoxy)adenosine deamination [R-HSA-9734735]	R-HSA-9734735	1	1
reactome:Diseases of nucleotide metabolism [R-HSA-9735804]	R-HSA-9735804	4	4
reactome:Ribavirin ADME [R-HSA-9755088]	R-HSA-9755088	12	12
reactome:Developmental Biology [R-HSA-1266738]	R-HSA-1266738	1409	1406
reactome:Cell-Cell communication [R-HSA-1500931]	R-HSA-1500931	153	153
reactome:Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs) [R-HSA-381426]	R-HSA-381426	125	125
reactome:Metabolism of proteins [R-HSA-392499]	R-HSA-392499	2087	2087
reactome:Adherens junctions interactions [R-HSA-418990]	R-HSA-418990	57	57
reactome:Cell-cell junction organization [R-HSA-421270]	R-HSA-421270	88	88
reactome:Cell junction organization [R-HSA-446728]	R-HSA-446728	115	115
reactome:Myogenesis [R-HSA-525793]	R-HSA-525793	30	30
reactome:Post-translational protein modification [R-HSA-597592]	R-HSA-597592	1474	1474
reactome:Post-translational protein phosphorylation [R-HSA-8957275]	R-HSA-8957275	108	108
reactome:Apoptosis [R-HSA-109581]	R-HSA-109581	182	180
reactome:Intrinsic Pathway for Apoptosis [R-HSA-109606]	R-HSA-109606	55	55
reactome:Activation of BAD and translocation to mitochondria [R-HSA-111447]	R-HSA-111447	15	15
reactome:Activation of BH3-only proteins [R-HSA-114452]	R-HSA-114452	30	30
reactome:Signaling by ERBB2 [R-HSA-1227986]	R-HSA-1227986	50	50
reactome:PIP3 activates AKT signaling [R-HSA-1257604]	R-HSA-1257604	273	273
reactome:Cytokine Signaling in Immune system [R-HSA-1280215]	R-HSA-1280215	791	786
reactome:Adaptive Immune System [R-HSA-1280218]	R-HSA-1280218	770	768
reactome:Downregulation of ERBB2:ERBB3 signaling [R-HSA-1358803]	R-HSA-1358803	13	13
reactome:Signal Transduction [R-HSA-162582]	R-HSA-162582	2613	2611
reactome:Cell Cycle [R-HSA-1640170]	R-HSA-1640170	693	693
reactome:Regulation of beta-cell development [R-HSA-186712]	R-HSA-186712	41	41
reactome:Signaling by VEGF [R-HSA-194138]	R-HSA-194138	108	108
reactome:AKT phosphorylates targets in the cytosol [R-HSA-198323]	R-HSA-198323	14	14
reactome:AKT phosphorylates targets in the nucleus [R-HSA-198693]	R-HSA-198693	9	9
reactome:Negative regulation of the PI3K/AKT network [R-HSA-199418]	R-HSA-199418	118	118
reactome:Membrane Trafficking [R-HSA-199991]	R-HSA-199991	635	635
reactome:Regulation of gene expression in beta cells [R-HSA-210745]	R-HSA-210745	21	21
reactome:AKT-mediated inactivation of FOXO1A [R-HSA-211163]	R-HSA-211163	4	4
reactome:Generic Transcription Pathway [R-HSA-212436]	R-HSA-212436	1249	1247
reactome:PI3K/AKT Signaling in Cancer [R-HSA-2219528]	R-HSA-2219528	109	109
reactome:Cellular responses to stress [R-HSA-2262752]	R-HSA-2262752	803	801
reactome:Transcriptional Regulation by TP53 [R-HSA-3700989]	R-HSA-3700989	359	359
reactome:Signaling by GPCR [R-HSA-372790]	R-HSA-372790	709	709
reactome:GPCR downstream signalling [R-HSA-388396]	R-HSA-388396	634	634
reactome:Costimulation by the CD28 family [R-HSA-388841]	R-HSA-388841	69	69
reactome:CD28 co-stimulation [R-HSA-389356]	R-HSA-389356	33	33
reactome:CD28 dependent PI3K/Akt signaling [R-HSA-389357]	R-HSA-389357	22	22
reactome:CTLA4 inhibitory signaling [R-HSA-389513]	R-HSA-389513	21	21
reactome:G beta:gamma signalling through PI3Kgamma [R-HSA-392451]	R-HSA-392451	25	25
reactome:G-protein beta:gamma signalling [R-HSA-397795]	R-HSA-397795	32	32
reactome:VEGFA-VEGFR2 Pathway [R-HSA-4420097]	R-HSA-4420097	99	99
reactome:Mitotic G1 phase and G1/S transition [R-HSA-453279]	R-HSA-453279	149	149
reactome:VEGFR2 mediated vascular permeability [R-HSA-5218920]	R-HSA-5218920	29	29
reactome:Programmed Cell Death [R-HSA-5357801]	R-HSA-5357801	217	213
reactome:TP53 Regulates Metabolic Genes [R-HSA-5628897]	R-HSA-5628897	84	84
reactome:Regulation of TP53 Activity [R-HSA-5633007]	R-HSA-5633007	160	160
reactome:Vesicle-mediated transport [R-HSA-5653656]	R-HSA-5653656	674	674
reactome:Diseases of signal transduction by growth factor receptors and second messengers [R-HSA-5663202]	R-HSA-5663202	464	464
reactome:Infectious disease [R-HSA-5663205]	R-HSA-5663205	1273	1022
reactome:Constitutive Signaling by AKT1 E17K in Cancer [R-HSA-5674400]	R-HSA-5674400	25	25
reactome:Regulation of TP53 Degradation [R-HSA-6804757]	R-HSA-6804757	36	36
reactome:Regulation of TP53 Activity through Acetylation [R-HSA-6804758]	R-HSA-6804758	30	30
reactome:Regulation of TP53 Activity through Association with Co-factors [R-HSA-6804759]	R-HSA-6804759	14	14
reactome:Regulation of TP53 Expression and Degradation [R-HSA-6806003]	R-HSA-6806003	37	37
reactome:PTEN Regulation [R-HSA-6807070]	R-HSA-6807070	140	140
reactome:Cyclin E associated events during G1/S transition [R-HSA-69202]	R-HSA-69202	83	83
reactome:G1/S Transition [R-HSA-69206]	R-HSA-69206	131	131
reactome:S Phase [R-HSA-69242]	R-HSA-69242	162	162
reactome:Cell Cycle, Mitotic [R-HSA-69278]	R-HSA-69278	561	561
reactome:Cyclin A:Cdk2-associated events at S phase entry [R-HSA-69656]	R-HSA-69656	85	85
reactome:RNA Polymerase II Transcription [R-HSA-73857]	R-HSA-73857	1373	1371
reactome:Gene expression (Transcription) [R-HSA-74160]	R-HSA-74160	1569	1563
reactome:Downregulation of ERBB2 signaling [R-HSA-8863795]	R-HSA-8863795	29	29
reactome:RAB GEFs exchange GTP for GDP on RABs [R-HSA-8876198]	R-HSA-8876198	90	90
reactome:Transcriptional regulation by RUNX2 [R-HSA-8878166]	R-HSA-8878166	120	120
reactome:ESR-mediated signaling [R-HSA-8939211]	R-HSA-8939211	222	222
reactome:RUNX2 regulates genes involved in cell migration [R-HSA-8941332]	R-HSA-8941332	8	8
reactome:Regulation of PTEN stability and activity [R-HSA-8948751]	R-HSA-8948751	69	69
reactome:Cellular responses to stimuli [R-HSA-8953897]	R-HSA-8953897	817	815
reactome:Intracellular signaling by second messengers [R-HSA-9006925]	R-HSA-9006925	315	315
reactome:Signaling by Nuclear Receptors [R-HSA-9006931]	R-HSA-9006931	298	298
reactome:Signaling by Receptor Tyrosine Kinases [R-HSA-9006934]	R-HSA-9006934	534	534
reactome:Rab regulation of trafficking [R-HSA-9007101]	R-HSA-9007101	124	124
reactome:Extra-nuclear estrogen signaling [R-HSA-9009391]	R-HSA-9009391	77	77
reactome:FLT3 Signaling [R-HSA-9607240]	R-HSA-9607240	38	38
reactome:FOXO-mediated transcription [R-HSA-9614085]	R-HSA-9614085	65	65
reactome:Regulation of localization of FOXO transcription factors [R-HSA-9614399]	R-HSA-9614399	11	11
reactome:Estrogen-dependent nuclear events downstream of ESR-membrane signaling [R-HSA-9634638]	R-HSA-9634638	24	24
reactome:SARS-CoV Infections [R-HSA-9679506]	R-HSA-9679506	417	414
reactome:SARS-CoV-2 Infection [R-HSA-9694516]	R-HSA-9694516	300	299
reactome:SARS-CoV-2-host interactions [R-HSA-9705683]	R-HSA-9705683	204	203
reactome:Cellular response to chemical stress [R-HSA-9711123]	R-HSA-9711123	211	211
reactome:MITF-M-regulated melanocyte development [R-HSA-9730414]	R-HSA-9730414	130	130
reactome:KEAP1-NFE2L2 pathway [R-HSA-9755511]	R-HSA-9755511	126	126
reactome:SARS-CoV-2 targets host intracellular signalling and regulatory pathways [R-HSA-9755779]	R-HSA-9755779	12	12
reactome:Viral Infection Pathways [R-HSA-9824446]	R-HSA-9824446	985	830
reactome:Transcriptional and post-translational regulation of MITF-M expression and activity [R-HSA-9856649]	R-HSA-9856649	51	51
reactome:PPARA activates gene expression [R-HSA-1989781]	R-HSA-1989781	117	117
reactome:Transcriptional regulation of white adipocyte differentiation [R-HSA-381340]	R-HSA-381340	84	84
reactome:Regulation of lipid metabolism by PPARalpha [R-HSA-400206]	R-HSA-400206	119	119
reactome:Metabolism of lipids [R-HSA-556833]	R-HSA-556833	757	757
reactome:Respiratory Syncytial Virus Infection Pathway [R-HSA-9820952]	R-HSA-9820952	123	120
reactome:RSV-host interactions [R-HSA-9833110]	R-HSA-9833110	100	98
reactome:Adipogenesis [R-HSA-9843745]	R-HSA-9843745	110	109
reactome:Nuclear Receptor transcription pathway [R-HSA-383280]	R-HSA-383280	52	52
reactome:Metabolism of amino acids and derivatives [R-HSA-71291]	R-HSA-71291	367	367
reactome:Aspartate and asparagine metabolism [R-HSA-8963693]	R-HSA-8963693	11	11
reactome:DAP12 interactions [R-HSA-2172127]	R-HSA-2172127	45	45
reactome:Synthesis of bile acids and bile salts [R-HSA-192105]	R-HSA-192105	33	33
reactome:Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol [R-HSA-193368]	R-HSA-193368	23	23
reactome:Bile acid and bile salt metabolism [R-HSA-194068]	R-HSA-194068	44	44
reactome:alpha-linolenic (omega3) and linoleic (omega6) acid metabolism [R-HSA-2046104]	R-HSA-2046104	13	13
reactome:alpha-linolenic acid (ALA) metabolism [R-HSA-2046106]	R-HSA-2046106	13	13
reactome:Beta-oxidation of pristanoyl-CoA [R-HSA-389887]	R-HSA-389887	9	9
reactome:Beta-oxidation of very long chain fatty acids [R-HSA-390247]	R-HSA-390247	11	11
reactome:Peroxisomal lipid metabolism [R-HSA-390918]	R-HSA-390918	29	29
reactome:Metabolism of steroids [R-HSA-8957322]	R-HSA-8957322	154	154
reactome:Fatty acid metabolism [R-HSA-8978868]	R-HSA-8978868	176	176
reactome:Peroxisomal protein import [R-HSA-9033241]	R-HSA-9033241	63	63
reactome:Protein localization [R-HSA-9609507]	R-HSA-9609507	164	164
reactome:Signaling by Rho GTPases [R-HSA-194315]	R-HSA-194315	706	706
reactome:RHO GTPase Effectors [R-HSA-195258]	R-HSA-195258	326	326
reactome:Fcgamma receptor (FCGR) dependent phagocytosis [R-HSA-2029480]	R-HSA-2029480	86	86
reactome:Regulation of actin dynamics for phagocytic cup formation [R-HSA-2029482]	R-HSA-2029482	61	61
reactome:RHO GTPases Activate WASPs and WAVEs [R-HSA-5663213]	R-HSA-5663213	36	36
reactome:RHO GTPase cycle [R-HSA-9012999]	R-HSA-9012999	449	449
reactome:RAC1 GTPase cycle [R-HSA-9013149]	R-HSA-9013149	185	185
reactome:RAC2 GTPase cycle [R-HSA-9013404]	R-HSA-9013404	88	88
reactome:RAC3 GTPase cycle [R-HSA-9013423]	R-HSA-9013423	94	94
reactome:Leishmania infection [R-HSA-9658195]	R-HSA-9658195	167	164
reactome:Parasite infection [R-HSA-9664407]	R-HSA-9664407	62	59
reactome:Leishmania phagocytosis [R-HSA-9664417]	R-HSA-9664417	62	59
reactome:FCGR3A-mediated phagocytosis [R-HSA-9664422]	R-HSA-9664422	62	59
reactome:Signaling by Rho GTPases, Miro GTPases and RHOBTB3 [R-HSA-9716542]	R-HSA-9716542	722	722
