set_name	n_genes_in_set	n_mapped_cpgs	n_phase3_significant_cpgs	n_cpgs_with_gse	n_cpgs_with_tcga	combined_healthy_mean_beta	tcga_normal_mean_beta	gse_normal_mean_beta	tcga_tumor_mean_beta	gse_tumor_mean_beta	tcga_tumor_vs_combined_healthy_delta	gse_tumor_vs_combined_healthy_delta	tcga_tumor_vs_tcga_normal_delta	gse_tumor_vs_gse_normal_delta
go_negative_regulation_stem_cell_differentiation	12	311	8	311	296	0.31256052190595274	0.3092448173576239	0.29904551400916424	0.33053171689290073	0.307808052389705	0.027678885033099048	-0.004752469516247738	0.021286899535276932	0.008762538380540728
go_positive_regulation_stem_cell_differentiation	17	513	42	513	481	0.35127177073798166	0.3520519479622848	0.3371497592043897	0.3802830338944394	0.3425967240485079	0.03498139641136331	-0.008675046689473793	0.028231085932154686	0.0054469648441181715
kegg_ampk_signaling	120	4075	165	4075	3732	0.5231447167767442	0.5295873855114286	0.4941056088887078	0.5325922823225882	0.4958655378722834	0.01701146533400573	-0.027279178904460927	0.003004896811159528	0.00175992898357554
kegg_foxo_signaling	131	3390	140	3390	3133	0.4005298216692089	0.4009944662879274	0.3787862699956171	0.4077010418952216	0.3845923110580085	0.017425020069422308	-0.01593751061120049	0.0066639728439045354	0.005806041062391402
kegg_mtor_signaling	154	4799	174	4799	4393	0.48375684173495836	0.48989767577069915	0.4573675297612213	0.4944986843205051	0.4584273080643253	0.017588187455797828	-0.02532953367063305	0.004571263943713527	0.0010597783031039926
kegg_pluripotency_stem_cell_signaling	143	4336	285	4336	4031	0.4353653145046628	0.4397392586785553	0.4116219203434343	0.4660395747439298	0.42220326034304756	0.038059891631447546	-0.01316205416161525	0.026132171192422966	0.01058133999961328
reactome_foxo_mediated_transcription	65	1524	76	1524	1432	0.38075670974928943	0.38431053931352843	0.35955397196333144	0.3990004113049444	0.36826346278521455	0.02545049755674746	-0.012493246964074953	0.01437738192764203	0.008709490821883064
reactome_lkb1_ampk_mtor_energy_regulation	29	1159	27	1159	1058	0.6069458369964255	0.6160230823217946	0.5737095909046516	0.6193695751548827	0.5732526115707731	0.019060101437878132	-0.033693225425652354	0.003346492833088058	-0.000456979333878479
reactome_mitochondrial_biogenesis	89	2066	52	2066	1903	0.3751679254084363	0.3725622985430245	0.35556513643570686	0.3801921578816811	0.36096536570601895	0.01745872423986234	-0.01420255970241731	0.00762985933865665	0.005400229270312061
reactome_mtor_signaling	41	1428	34	1428	1311	0.5619953202967377	0.5668285939214524	0.5308308975449271	0.5720151063429947	0.533864120237787	0.01984230490769808	-0.02813120005895074	0.005186512421542284	0.0030332226928598636
reactome_pluripotent_stem_cell_transcription	30	872	109	872	807	0.429414795742969	0.43375901050320725	0.40571798072823806	0.47418889847344586	0.4213262025653674	0.05221668243741443	-0.008088593177601569	0.0399876028896172	0.015608221837129371
reactome_telomere_extension_by_telomerase	23	580	16	580	526	0.3967295237393375	0.39181349901519785	0.3742468470252862	0.3983651292466008	0.37928908973751596	0.017264692837011767	-0.01744043400182149	0.0060564149177890275	0.0050422427122297645
reactome_telomere_maintenance	92	1918	52	1918	1699	0.3267802041048842	0.3268119648875871	0.30942130942582385	0.33286314758242397	0.3184338677785142	0.014670723797550899	-0.008346336326369993	0.005859313809242288	0.009012558352690324
reactome_transcriptional_activation_mitochondrial_biogenesis	52	1259	30	1259	1165	0.38302473456612396	0.3806256466059436	0.3625371838070326	0.39022798267546444	0.36895517929099897	0.01983667449697289	-0.014069555275125026	0.009602336069520807	0.00641799548396636
