sample_barcode	sample_class	sample_type	PC1	PC2
TCGA-3C-AAAU-01A	tumor	Primary Tumor	3.3097342140549655	-2.9838759995076143
TCGA-3C-AALK-01A	tumor	Primary Tumor	1.3384682119015339	2.2926431735094384
TCGA-4H-AAAK-01A	tumor	Primary Tumor	0.7550857961649683	-0.3081829391298465
TCGA-5L-AAT0-01A	tumor	Primary Tumor	0.35753037935105	-1.124009079480213
TCGA-5L-AAT1-01A	tumor	Primary Tumor	0.3487941693080163	0.3179898914141964
TCGA-A1-A0SE-01A	tumor	Primary Tumor	0.8720534880442852	-0.39539072540870307
TCGA-A1-A0SF-01A	tumor	Primary Tumor	1.495483600043875	-1.3102976739605756
TCGA-A1-A0SG-01A	tumor	Primary Tumor	2.526829932913385	-4.158805526991224
TCGA-A1-A0SH-01A	tumor	Primary Tumor	-0.7216795941215168	-0.1372163854144602
TCGA-A1-A0SJ-01A	tumor	Primary Tumor	1.2982186502189932	2.2115432183781834
TCGA-A1-A0SQ-01A	tumor	Primary Tumor	5.221588919096503	-4.944721187986846
TCGA-A2-A0CK-01A	tumor	Primary Tumor	1.4755044648331779	1.0853020087647105
TCGA-A2-A0CO-01A	tumor	Primary Tumor	2.177419903169416	-1.1163681770967295
TCGA-A2-A0CR-01A	tumor	Primary Tumor	-1.5613354201574965	0.8174233739855243
TCGA-A2-A0CT-01A	tumor	Primary Tumor	4.6258177125740465	5.531858906507933
TCGA-A2-A0EN-01A	tumor	Primary Tumor	-0.6807321239206009	0.7249695928080704
TCGA-A2-A0EP-01A	tumor	Primary Tumor	-4.2771848779298	0.6123994362994171
TCGA-A2-A0EU-01A	tumor	Primary Tumor	3.2703658648437446	-2.594810899813526
TCGA-A2-A0SU-01A	tumor	Primary Tumor	-1.8084217699820577	-0.8821672228142302
TCGA-A2-A0SY-01A	tumor	Primary Tumor	1.7554582629304636	3.7193390755134157
TCGA-A2-A0T4-01A	tumor	Primary Tumor	-0.6883778705577956	3.5734713069141644
TCGA-A2-A0T5-01A	tumor	Primary Tumor	0.1498738206575031	1.3719020721064472
TCGA-A2-A0T6-01A	tumor	Primary Tumor	0.6485687231083433	3.5556115604842753
TCGA-A2-A0T7-01A	tumor	Primary Tumor	-0.7536048774318386	0.6348455528915248
TCGA-A2-A0YC-01A	tumor	Primary Tumor	3.601955740906242	0.1861963040110297
TCGA-A2-A0YD-01A	tumor	Primary Tumor	0.042553945680093144	2.0299920793027373
TCGA-A2-A0YF-01A	tumor	Primary Tumor	4.284825551626314	-2.707029570500003
TCGA-A2-A0YI-01A	tumor	Primary Tumor	-0.12846542957887447	1.5712903385941466
TCGA-A2-A0YL-01A	tumor	Primary Tumor	-1.0219385219533539	-0.9391551856986552
TCGA-A2-A1FV-01A	tumor	Primary Tumor	7.435492130055815	-0.8643870066670694
TCGA-A2-A1FZ-01A	tumor	Primary Tumor	-0.5623523802882046	1.9629627191356251
TCGA-A2-A1G0-01A	tumor	Primary Tumor	0.4625393806244516	-2.743374822683673
TCGA-A2-A259-01A	tumor	Primary Tumor	-1.861509477573876	0.3636548872469692
TCGA-A2-A25D-01A	tumor	Primary Tumor	1.313729620431507	-0.6459392620990139
TCGA-A2-A3KC-01A	tumor	Primary Tumor	-0.03467161705983494	2.000164975391401
TCGA-A2-A3KD-01A	tumor	Primary Tumor	-1.0482170327337226	0.3339616327881393
TCGA-A2-A4RW-01A	tumor	Primary Tumor	-1.1391242696524124	2.89488520968819
TCGA-A2-A4S0-01A	tumor	Primary Tumor	-0.49614273965521954	-1.857505792272513
TCGA-A2-A4S2-01A	tumor	Primary Tumor	1.1877593019623327	1.084872037765349
