library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
KEGG	combined	Rap1 signaling pathway	207	8503	33010	104	ACTB,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADORA2A,AKT1,AKT2,AKT3,ANGPT1,ANGPT2,APBB1IP,BCAR1,CALM2,CALML3,CALML5,CDC42,CSF1,DOCK4,DRD2,EFNA5,EGFR,EVL,F2R,FGF10,FGF19,FGF22,FGF23,FGF3,FGF5,FGF6,FGF7,FGFR1,FLT1,FPR1,FYB1,GNAO1,GNAS,GRIN1,GRIN2A,GRIN2B,IGF1,IGF1R,INSR,ITGA2B,ITGAL,ITGB2,KIT,KRAS,LPAR1,LPAR5,MAGI1,MAGI2,MAPK13,MAPK14,MAPK3,MET,NGF,PARD3,PDGFA,PDGFD,PFN1,PFN3,PIK3CA,PIK3CD,PIK3R1,PIK3R3,PLCB2,PLCG1,PRKCA,PRKCB,PRKCG,PRKCZ,PRKD1,PRKD2,RAC1,RAP1GAP,RAPGEF1,RAPGEF2,RAPGEF3,RAPGEF4,RAPGEF5,RAPGEF6,RASGRP2,RASGRP3,RASSF5,RGS14,SIPA1,SIPA1L1,SIPA1L2,SIPA1L3,SKAP1,SRC,TEK,THBS1,TIAM1,TLN2,VAV2,VAV3,VEGFC	3.617068558870926e-14	1.1574619388386964e-11
KEGG	combined	PI3K-Akt signaling pathway	326	8503	33010	145	AKT1,AKT2,AKT3,ANGPT1,ANGPT2,ATF6B,BCL2L11,BDNF,CASP9,CCND1,CCND2,CCND3,CD19,CDC37,CDK6,CDKN1B,CHAD,CHRM1,CHRM2,COL4A1,COL4A2,COL6A3,COL6A5,COL9A1,COL9A2,COL9A3,CREB3L2,CREB3L3,CREB3L4,CSF1,CSF3R,EFNA5,EGFR,EIF4EBP1,ERBB2,ERBB3,F2R,FGF10,FGF19,FGF22,FGF23,FGF3,FGF5,FGF6,FGF7,FGFR1,FLT1,FN1,GHR,GNB1,GNG2,GNG4,GNG7,GNG8,GNGT1,HSP90AA1,HSP90AB1,IGF1,IGF1R,IGF2,IL2RA,IL6,IL7,INSR,IRS1,ITGA11,ITGA2,ITGA2B,ITGA3,ITGA4,ITGA5,ITGA6,ITGA8,ITGA9,ITGB5,ITGB7,ITGB8,JAK1,JAK3,KIT,KRAS,LAMA1,LAMA3,LAMA4,LAMA5,LAMB1,LAMB4,LAMC1,LAMC2,LPAR1,LPAR5,LPAR6,MAGI1,MAGI2,MAPK3,MCL1,MET,MTOR,NGF,NTF3,NTRK1,OSM,PDGFA,PDGFD,PDPK1,PHLPP1,PIK3AP1,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R6,PKN1,PPP2CB,PPP2R1B,PPP2R2B,PPP2R2C,PPP2R3A,PPP2R5A,PPP2R5C,PRKCA,PTK2,RAC1,RELN,RHEB,RPTOR,RXRA,SGK1,STK11,SYK,TCL1A,TEK,THBS1,THBS2,THBS4,TLR4,TNN,TNR,TNXB,TP53,TSC2,VEGFC,VWF,YWHAG	1.5894280023150437e-13	2.54308480370407e-11
KEGG	combined	Neuroactive ligand-receptor interaction	313	8503	33010	139	ADCYAP1,ADCYAP1R1,ADORA2A,ADRA1B,ADRB3,AVPR1A,C3,C5AR1,CALCA,CALCB,CALCR,CCK,CGA,CHRM1,CHRM2,CHRNA4,CHRNA6,CHRNB2,CHRND,CNR2,CRH,CRHR1,CRHR2,CTSG,DRD2,DRD3,DRD4,DRD5,F2R,FPR1,FPR2,FPR3,FSHB,GABBR1,GABRA1,GABRA2,GABRA4,GABRA5,GABRB1,GABRB2,GABRB3,GABRD,GABRG1,GABRG2,GABRP,GABRR1,GAL,GALR1,GALR2,GALR3,GHR,GHRL,GHSR,GLRA1,GRIA1,GRIA4,GRID1,GRID2,GRIK2,GRIK3,GRIK4,GRIK5,GRIN1,GRIN2A,GRIN2B,GRIN2D,GRIN3B,GRM1,GRM3,GRM4,GRM5,GRM7,GRM8,HCRTR1,HRH1,HRH2,HTR1A,HTR1B,HTR1E,HTR2A,HTR4,HTR5A,HTR6,HTR7,LEP,LEPR,LHCGR,LPAR1,LPAR6,LTB4R,MC1R,MC3R,MC4R,MCHR2,MLNR,MTNR1B,NMBR,NMUR2,NPBWR1,NPY,NPY2R,NR3C1,NTSR1,OPRM1,P2RX3,P2RX5,P2RY11,P2RY13,P2RY6,PARD3,PDYN,PENK,POMC,PRLHR,PTGDR,PTGER4,PTH1R,PTH2,PYY,RXFP3,S1PR1,S1PR4,SCT,SCTR,SST,SSTR1,SSTR4,TAC1,TACR1,TACR2,TACR3,THRA,THRB,TRH,TRHR,TSHR,UTS2R,VIP,VIPR2	5.778386475377352e-13	6.163612240402509e-11
KEGG	combined	Pathways in cancer	497	8503	33010	197	ABL1,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,AKT1,AKT2,AKT3,ALK,APC2,ARHGEF1,ARNT,ARNT2,AXIN2,BCL2L11,BCR,BMP4,BRCA2,CALM2,CALML3,CALML5,CASP8,CASP9,CCNA1,CCND1,CCND2,CCND3,CDC42,CDK6,CDKN1B,CDKN2A,COL4A1,COL4A2,CREBBP,CSF3R,CTBP1,CTBP2,CTNNA1,CTNNA2,CTNNA3,CXCR4,DAPK1,DAPK2,DCC,DLL1,DLL3,E2F3,EGFR,EPAS1,ERBB2,ESR1,ESR2,ETS1,F2R,FADD,FGF10,FGF19,FGF22,FGF23,FGF3,FGF5,FGF6,FGF7,FGFR1,FN1,FZD10,FZD5,GLI2,GLI3,GNA11,GNA12,GNAS,GNB1,GNG2,GNG4,GNG7,GNG8,GNGT1,GSTM2,GSTM4,GSTM5,HDAC1,HHIP,HSP90AA1,HSP90AB1,IGF1,IGF1R,IGF2,IL12A,IL12B,IL12RB1,IL12RB2,IL2RA,IL5RA,IL6,IL6ST,IL7,ITGA2,ITGA2B,ITGA3,ITGA6,JAG2,JAK1,JAK3,KIT,KRAS,LAMA1,LAMA3,LAMA4,LAMA5,LAMB1,LAMB4,LAMC1,LAMC2,LEF1,LPAR1,LPAR5,LPAR6,LRP5,MAPK10,MAPK3,MECOM,MET,MGST1,MGST2,MITF,MMP2,MMP9,MTOR,NCOA1,NFE2L2,NOTCH2,NOTCH3,NOTCH4,NTRK1,PAX8,PDGFA,PIK3CA,PIK3CD,PIK3R1,PIK3R3,PLCB2,PLCG1,PLD1,PLEKHG5,PPARD,PRKCA,PRKCB,PRKCG,PTGER4,PTK2,RAC1,RALBP1,RARA,RARB,RASGRP1,RASGRP2,RASGRP3,RASSF5,RB1,RUNX1,RUNX1T1,RXRA,RXRB,SHH,SLC2A1,SMAD2,SMAD3,STAT1,STAT2,STAT3,STAT4,SUFU,TCF7L1,TCF7L2,TERT,TGFB1,TGFB3,TGFBR2,TP53,TRAF1,TRAF2,TRAF3,TXNRD1,VEGFC,VHL,WNT10A,WNT10B,WNT11,WNT16,WNT3A,WNT5B,ZBTB16	6.37419436378217e-12	4.781560343602091e-10
KEGG	combined	Cell adhesion molecules	135	8503	33010	72	CADM3,CD28,CD40,CD58,CD6,CD80,CD8A,CDH2,CDH3,CDH4,CLDN1,CLDN10,CLDN11,CLDN15,CLDN18,CLDN19,CLDN4,CLDN6,CLDN8,CNTNAP2,F11R,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-F,HLA-G,ICAM2,IGSF11,ITGA4,ITGA6,ITGA8,ITGA9,ITGAL,ITGB2,ITGB7,ITGB8,JAM3,LRRC4,LRRC4C,MADCAM1,MAG,MPZ,NCAM1,NCAM2,NECTIN1,NECTIN3,NEGR1,NLGN1,NLGN2,NRCAM,NRXN1,NRXN2,NRXN3,OCLN,PDCD1LG2,PTPRC,PTPRF,PTPRM,SDC2,SDC3,SELE,SELPLG,SPN,TIGIT,VTCN1	7.723172899723017e-12	4.781560343602091e-10
KEGG	combined	Morphine addiction	88	8503	33010	53	ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ARRB1,CACNA1A,CACNA1B,GABBR1,GABRA1,GABRA2,GABRA4,GABRA5,GABRB1,GABRB2,GABRB3,GABRD,GABRG1,GABRG2,GABRP,GABRR1,GNAO1,GNAS,GNB1,GNG2,GNG4,GNG7,GNG8,GNGT1,GRK5,KCNJ3,KCNJ5,KCNJ6,KCNJ9,OPRM1,PDE10A,PDE11A,PDE1A,PDE1B,PDE2A,PDE4A,PDE4B,PDE4C,PDE4D,PDE7A,PDE7B,PRKCA,PRKCB,PRKCG,SLC32A1	8.96542564425392e-12	4.781560343602091e-10
KEGG	combined	Focal adhesion	194	8503	33010	92	ACTB,ACTN1,AKT1,AKT2,AKT3,BCAR1,CAPN2,CCND1,CCND2,CCND3,CDC42,CHAD,COL4A1,COL4A2,COL6A3,COL6A5,COL9A1,COL9A2,COL9A3,EGFR,ERBB2,FLNB,FLNC,FLT1,FN1,FYN,IGF1,IGF1R,ITGA11,ITGA2,ITGA2B,ITGA3,ITGA4,ITGA5,ITGA6,ITGA8,ITGA9,ITGB5,ITGB7,ITGB8,LAMA1,LAMA3,LAMA4,LAMA5,LAMB1,LAMB4,LAMC1,LAMC2,MAPK10,MAPK3,MET,MYLK,PAK1,PAK2,PAK6,PARVB,PARVG,PDGFA,PDGFD,PDPK1,PIK3CA,PIK3CD,PIK3R1,PIK3R3,PIP5K1A,PIP5K1C,PPP1R12C,PRKCA,PRKCB,PRKCG,PTK2,PXN,RAC1,RAPGEF1,RASGRF1,RELN,SHC1,SHC2,SHC3,SRC,THBS1,THBS2,THBS4,TLN2,TNN,TNR,TNXB,VAV2,VAV3,VEGFC,VWF,ZYX	6.320889779521157e-11	2.889549613495386e-09
KEGG	combined	Nicotine addiction	36	8503	33010	27	CACNA1A,CACNA1B,CHRNA4,CHRNA6,CHRNB2,GABRA1,GABRA2,GABRA4,GABRA5,GABRB1,GABRB2,GABRB3,GABRD,GABRG1,GABRG2,GABRP,GABRR1,GRIA1,GRIA4,GRIN1,GRIN2A,GRIN2B,GRIN2D,GRIN3B,SLC17A6,SLC17A7,SLC32A1	8.80227819763605e-10	3.2619334987996604e-08
KEGG	combined	Arrhythmogenic right ventricular cardiomyopathy	74	8503	33010	44	ACTB,ACTN2,ACTN3,ATP2A2,ATP2A3,CACNA1C,CACNA2D1,CACNA2D2,CACNA2D3,CACNA2D4,CACNB2,CACNG2,CACNG3,CACNG6,CACNG7,CACNG8,CDH2,CTNNA1,CTNNA2,CTNNA3,DES,DSG2,DSP,GJA1,ITGA11,ITGA2,ITGA2B,ITGA3,ITGA4,ITGA5,ITGA6,ITGA8,ITGA9,ITGB5,ITGB7,ITGB8,LAMA1,LEF1,RYR2,SGCD,SLC8A1,SLC8A3,TCF7L1,TCF7L2	9.174187965374044e-10	3.2619334987996604e-08
KEGG	combined	cAMP signaling pathway	209	8503	33010	94	ABCC4,ACOX3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCYAP1,ADCYAP1R1,ADORA2A,AKT1,AKT2,AKT3,ATP1A1,ATP2A2,ATP2A3,BDNF,CACNA1C,CALM2,CALML3,CALML5,CFTR,CGA,CHRM1,CHRM2,CNGA3,CNGB1,CNGB3,CREB3L2,CREB3L3,CREB3L4,CREBBP,DRD2,DRD5,F2R,FFAR2,FSHB,FXYD1,GABBR1,GHRL,GHSR,GLI3,GNAS,GRIA1,GRIA4,GRIN1,GRIN2A,GRIN2B,GRIN2D,GRIN3B,HCN2,HHIP,HTR1A,HTR1B,HTR1E,HTR4,HTR6,LHCGR,MAPK10,MAPK3,NFATC1,NPR1,NPY,PAK1,PDE10A,PDE4A,PDE4B,PDE4C,PDE4D,PIK3CA,PIK3CD,PIK3R1,PIK3R3,PLD1,POMC,PPP1R1B,RAC1,RAPGEF3,RAPGEF4,RYR2,SLC9A1,SOX9,SST,SSTR1,TIAM1,TNNI3,TSHR,VAV2,VAV3,VIP,VIPR2	1.3420906291161591e-09	4.294690013171709e-08
