library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
GO_CC	combined	Neuron Projection (GO:0043005)	524	10667	33010	320	ABL1,ADCY8,ADCYAP1,ADCYAP1R1,ADGRB1,ADGRL1,ADGRL2,ADGRL3,ADORA1,ALCAM,ALDH1A1,ANK1,ANK2,ANK3,ANKS1A,ARHGAP44,ARHGEF7,ATCAY,ATP1A4,ATXN10,AVIL,AZIN2,BIN1,BNIP3,BOC,BRINP2,BRINP3,BSN,CADM1,CALB1,CALCR,CAMK2A,CAMK2B,CAMK2G,CAPN2,CCK,CCSAP,CD200,CDC42,CDH13,CDH2,CDK5R1,CDK5R2,CHAT,CHRM2,CHRM3,CHRM5,CHRNA2,CHRNA3,CHRNA4,CHRNA6,CHRNA7,CHRNB1,CHRNB2,CHRND,CLDN11,CNIH3,CNIH4,CNTN2,CNTN4,CNTN5,CNTN6,CNTNAP2,COBL,COMT,CPEB1,CPEB3,CPEB4,CPT1C,CRHBP,CRHR2,CTNNA2,CYFIP1,CYFIP2,DAB2IP,DCTN1,DHX8,DIP2B,DLG2,DLG4,DNER,DRD2,DRD4,DSCAM,ELAVL4,ELFN1,EMB,EPHA10,EPHA3,EPHA4,EPHA5,EPHB1,EPHB2,EPHB3,EPHB6,FAM107A,FARP1,FBXW11,FEZ1,FXR1,FYN,GABRA1,GABRA2,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRG2,GABRG3,GABRR3,GARS1,GHRL,GHSR,GIT1,GLRA1,GNA12,GPER1,GPM6A,GPR149,GRIA1,GRIN1,GRIN2B,GRIN3A,GRM3,GRM7,GRP,HCN1,HCN4,HEPACAM,HOMER1,HRH2,HRH3,HTR1A,HTR1B,HTR2A,HTR2B,HTR3A,HTR3E,HTR4,HTR5A,HTR6,HTR7,HTT,IGF1R,IGSF9B,INPP5A,INSR,INSRR,KCNA1,KCNA2,KCNA3,KCNA4,KCNB1,KCNB2,KCNC1,KCNC2,KCNC3,KCNC4,KCNE3,KCNN1,KCNN3,KCNN4,KIF13B,KIF1A,KIF1B,KIF3B,KIRREL3,KISS1,KLHL1,KLHL14,KNDC1,LIMK1,LLGL1,LRP4,LRRTM1,MAGI2,MAP1A,MAP1B,MAP2,MAP4,MAP6,MAP7,MAPK8IP3,MAPT,MARK1,MARK2,MARK4,MAST1,MLPH,MME,MYO1D,MYPN,NEFH,NEFL,NEFM,NELL1,NELL2,NEXN,NF1,NFASC,NLGN1,NPBWR1,NPBWR2,NPTX1,NPY1R,NR1D1,NRCAM,NRSN1,NSG1,NSG2,NSMF,NTRK1,NTRK3,OPA1,OPRM1,P2RY1,PACRG,PAK1,PALLD,PCSK1,PDYN,PENK,PLPPR1,PPP1R9B,PRKCG,PRKN,PRLHR,PTGDR2,PTGS2,PTK7,PTPRO,PTPRS,RAB17,RAPGEF2,RASGRF1,RELN,RET,RGS12,RGS6,RGS7,RGS7BP,RGS9,RIC3,RIN3,RIT2,ROBO1,ROBO3,ROBO4,RPH3A,RTN1,RTN4,RTN4R,RTN4RL2,RUFY3,SACS,SAMD14,SARM1,SCGN,SCN10A,SCN11A,SCN2A,SCN8A,SEMA3A,SEMA6A,SEPTIN4,SHANK1,SHANK2,SHANK3,SHTN1,SKOR1,SLC12A5,SLC17A6,SLC18A2,SLC1A3,SLC30A3,SLC32A1,SLC4A10,SLC5A7,SLC6A1,SLC6A2,SLC6A3,SLC6A4,SLC6A6,SLC8A1,SLC8A2,SLC8A3,SLC9A5,SNAP25,SNCA,SORBS2,SPTBN4,SRCIN1,SSTR1,SSTR4,STMN2,STMND1,SYT1,SYT11,SYT4,SYT5,TENM2,TENM3,TENM4,TGFB2,TH,TMEM108,TMEM266,TRAK1,TRAK2,TRAPPC4,TRIM9,UNC13A,UNC80,VIM,VIP,ZACN,ZNF385A	3.632123414353545e-42	1.7216264984035802e-39
GO_CC	combined	Dendrite (GO:0030425)	253	10667	33010	157	ABL1,ADCY8,ADGRB1,ADORA1,ANK3,ARHGAP44,ATCAY,ATXN10,AZIN2,BIN1,BNIP3,BRINP2,BRINP3,BSN,CALB1,CAPN2,CDK5R1,CHRM2,CHRM3,CHRM5,CHRNA3,CHRNA4,CLU,CNIH3,CNIH4,CNTNAP2,COBL,COMT,CPEB3,CPEB4,CPT1C,CRHBP,CRHR2,DHX8,DIP2B,DLG4,DNER,DRD2,DRD4,DSCAM,ELAVL4,ELFN1,EPHA10,EPHA3,EPHA4,EPHA5,EPHB1,EPHB2,EPHB3,EPHB6,FARP1,FXR1,FYN,GABRA1,GABRA2,GABRA4,GABRA5,GABRA6,GABRG2,GABRG3,GPER1,GRIA1,GRIN1,GRM7,HCN1,HCN4,HOMER1,HRH2,HRH3,HTR1A,HTR1B,HTR2A,HTR2B,HTR4,HTR5A,HTR6,HTR7,HTT,INPP5A,INSR,KCNA1,KCNA2,KCNB1,KCNB2,KCNC1,KCNC2,KCNC3,KCNC4,KCNE3,KIF1A,KIF1B,KIF3B,KIRREL3,KLHL1,KNDC1,LAMP5,LRP4,MAGI2,MAP1A,MAP1B,MAP2,MAP6,MAPK8IP3,MAPT,MARK1,MARK2,MARK4,MLPH,MME,MYO1D,NEURL1,NF1,NLGN1,NR1D1,NSG1,NSG2,NSMF,OPA1,OPRM1,P2RY1,PAK1,PDYN,PENK,PPP1R9B,PRKCG,RAB17,RELN,RGS12,RIN3,RUFY3,SACS,SAMD14,SARM1,SCGN,SEPTIN4,SHANK1,SKOR1,SLC18A2,SLC32A1,SLC4A10,SLC5A7,SLC6A6,SLC8A1,SLC8A2,SLC8A3,SORBS2,SRCIN1,SYT11,TENM2,THY1,TMEM266,TRAK1,TRAK2,TRAPPC4,TRIM9,ZNF385A,ZNF804A	2.1256141087266663e-22	5.037705437682199e-20
GO_CC	combined	Axon (GO:0030424)	197	10667	33010	125	ADCY8,ADGRL1,ADGRL3,ALCAM,ALDH1A1,ATCAY,AZIN2,BIN1,BOC,BSN,CALB1,CALCR,CCK,CCSAP,CD200,CDK5R1,CLDN11,CNTN2,CNTN4,CNTN5,CNTN6,CNTNAP2,COBL,COMT,CPT1C,CTNNA2,DAB2IP,DCTN1,DIP2B,DRD2,DSCAM,ELAVL4,EMB,EPHA4,EPHA5,EPHB2,FEZ1,FXR1,GARS1,GHRL,GPER1,GRM3,GRM7,HCN1,HCN4,HEPACAM,HTT,IGF1R,INSR,INSRR,KCNA2,KCNA3,KCNA4,KCNB1,KCNC1,KCNC2,KCNC3,KCNC4,KIF13B,KIF1A,KIF1B,KIRREL3,LLGL1,LRRTM1,MAP1A,MAP1B,MAP4,MAP6,MAP7,MAPK8IP3,MAPT,MME,MYO1D,MYPN,NEFH,NEFL,NEFM,NELL1,NELL2,NEXN,NF1,NFASC,NFIB,NRCAM,NTRK1,NTRK3,OPRM1,PAK1,PALLD,PTK7,PTPRO,PTPRS,RET,RIN3,ROBO3,ROBO4,RTN4RL2,RUFY3,SACS,SCN10A,SCN11A,SCN2A,SCN8A,SEMA3A,SEMA6A,SEPTIN4,SHTN1,SLC18A2,SLC5A7,SLC6A1,SLC6A3,SLC8A1,SLC8A2,SLC8A3,SNCA,SRCIN1,SYT1,SYT11,SYT4,SYT5,TGFB2,TH,TMEM108,UNC80,VIM	2.707511744274307e-19	4.2778685559534046e-17
GO_CC	combined	Collagen-Containing Extracellular Matrix (GO:0062023)	351	10667	33010	189	ACAN,ACHE,ADAM11,ADAM19,ADAMTS1,ADAMTS10,ADAMTS20,ADAMTS3,ADAMTS8,ADAMTS9,AEBP1,AHSG,ANG,ANGPT1,ANGPT2,ANGPT4,ANGPTL1,ANGPTL2,ANGPTL5,ANGPTL6,ANXA1,ANXA2,ANXA4,APCS,APLP1,APOA1,APOH,C1QB,CBLN1,CBLN4,CCDC80,CDH13,CDH2,CLEC14A,CLEC3B,CLU,COCH,COL11A1,COL11A2,COL12A1,COL14A1,COL16A1,COL18A1,COL1A1,COL1A2,COL20A1,COL21A1,COL23A1,COL24A1,COL25A1,COL26A1,COL28A1,COL3A1,COL4A1,COL4A2,COL5A1,COL5A2,COL5A3,COL6A1,COL6A2,COL6A5,COL6A6,COL8A1,COL8A2,COL9A1,COL9A2,COL9A3,CSPG4,CTSG,CTSS,DAG1,DST,EDIL3,EFEMP1,ELANE,ELN,EMILIN1,EMILIN2,F13A1,F2,F7,FBLN2,FBLN5,FBN1,FBN2,FGFR1,FGFR2,FGG,FGL2,FIBCD1,FN1,FRAS1,FREM2,FREM3,GDF10,GREM1,HMCN1,HRNR,HSPG2,HTRA1,IGFBP7,IL7,ITIH2,ITIH5,KRT1,LAMA1,LAMA2,LAMA4,LAMA5,LAMB1,LAMB3,LEFTY2,LGALS3,LGALS3BP,LMAN1L,LOX,LOXL1,LOXL2,LRRC15,LTBP1,LTBP2,LTBP4,MATN2,MATN4,MFAP4,MFGE8,MMP2,MMP23B,MMP28,MMP9,MMRN2,MUC2,MXRA7,NCAM1,NID1,NID2,NRG1,P3H1,P3H2,PCOLCE,PCSK6,PLAT,PODN,POSTN,PRG2,PRG3,PRG4,PXDN,RARRES2,S100A4,S100A8,S100A9,SBSPON,SDC3,SEMA7A,SERPINB12,SERPINB6,SERPING1,SERPINH1,SFRP1,SFRP2,SHH,SMOC2,SOD3,SPARC,SPON1,SPP2,SSC5D,SULF1,TGFB1I1,TGFB2,TGFBI,THBS1,THBS2,THBS4,THSD4,TIMP2,TIMP3,TINAG,TNR,TNXB,USH2A,VCAN,VTN,VWA2,VWF,WNT2,WNT5B,ZP4	5.1006175139062965e-17	6.044231753978961e-15
GO_CC	combined	Cytoskeleton (GO:0005856)	569	10667	33010	268	ABL1,ABLIM1,ABLIM2,ABLIM3,ACACA,ACTA1,ACTN2,ADAM17,ADCY10,ADCY8,ADD2,ADD3,AFAP1,AHNAK,AKAP13,AKAP9,ALDOA,ALDOC,AMBRA1,AMPH,ANAPC7,ANG,ANK1,ANK3,ANKRD23,APC2,ARHGAP21,ARHGAP32,ARHGDIB,ARHGEF2,ARL3,ARPC1B,ARPC5,ARSJ,ATXN7,AURKB,AUTS2,AVIL,BAIAP2,BAIAP2L1,BASP1,BCAS3,BICD1,BIN1,BIRC5,BMERB1,BPIFB4,CALD1,CAPG,CAPZB,CARMIL2,CCDC146,CCNA1,CDC42BPA,CDC42BPB,CDC42EP3,CDH26,CDK5RAP2,CFL1,CFL2,CLIC4,CLIC5,CLIP1,CLU,CMAHP,CNN1,CNR1,CORIN,CORO2B,DAPK1,DCTN1,DDR2,DENND2A,DES,DGKH,DGKQ,DISC1,DLG4,DNAI1,DST,DSTN,DTNA,DYRK2,DYRK4,EFR3B,EHD2,EML1,EML4,EPB41,EPB41L1,EPB41L3,EPB41L4A,EPB41L4B,EPHA3,EPPK1,EZR,FAM107A,FER,FES,FGR,FHOD1,FILIP1,FLII,FLNB,FLT1,FMN2,FRMD5,FSCN1,FSCN2,FSCN3,GABRG3,GSN,GTF2F2,GYPC,HOXA13,HOXC8,IGF2BP2,IQGAP2,ITGB1BP1,ITPKA,ITPKB,KALRN,KANK1,KANK3,KANK4,KIF2B,KIF3B,KIFC3,KLHL14,KLHL2,KRT1,KRT4,KRT77,KRT8,KRT80,LCP1,LDB3,LIMA1,LIMD2,LLGL1,LRRC25,LRRC27,LRRFIP1,LSP1,LYST,MACF1,MAEA,MAP7,MAP7D1,MAPK3,MAPT,MARCKS,MARK1,MARK4,MFHAS1,MMP14,MPRIP,MTCL1,MTRR,MTSS1,MTSS2,MTUS1,MTUS2,MYH9,MYLK,MYLK3,MYO15A,MYO19,MYO1B,MYO1D,MYO1E,MYO5C,MYO7B,MYO9B,MYOZ2,NAV1,NDRG1,NEFH,NEFM,NES,NEURL1B,NEXN,NISCH,NOD2,NOL9,NOS1,NOTCH3,NPFFR2,NR1I2,NSMF,NTN1,NUAK1,ONECUT2,PALLD,PARVA,PAWR,PDLIM1,PDLIM4,PDLIM7,PEAK1,PHLDB2,PKP4,PLEC,PLEKHN1,PPP1R9B,PRC1,PRKCE,PTK2,RAC1,RASSF1,RELL1,RGS22,RIPK2,RIPOR2,RUSC1,S100A12,S100A8,S100A9,SAMD14,SELE,SEPTIN12,SEPTIN4,SEPTIN9,SHROOM3,SHTN1,SIPA1L1,SLC1A6,SLC4A1,SLC9A3R1,SNAP25,SNCA,SNTG1,SORBS2,SOX9,SPAG6,SPATA7,SPRY2,SPTA1,SPTBN1,SRCIN1,SVIL,SYNE2,SYNM,SYNPO,SYNPO2,SYNPO2L,TBCA,TCHH,TEC,TEKT5,TLN2,TPM1,TPM3,TTLL8,TUBA1A,TUBA1C,TUBA3C,TUBA4A,TUBB2B,TUBB6,USP10,VCL,VIM,WASF2,WIPF1,ZC3H12A,ZNF131,ZYX	1.006454055466903e-13	9.541184445826241e-12
GO_CC	combined	Actin Cytoskeleton (GO:0015629)	313	10667	33010	163	ABLIM1,ABLIM2,ABLIM3,ACACA,ACKR2,ACTA1,ACTC1,ACTN1,ACTN2,ACTN3,ADAM17,ADCY8,AFAP1,AHNAK,AKAP13,ALDOA,AMPH,ANG,ANKRD23,ANXA1,APC2,ARHGAP21,ARHGAP32,ARPC1B,ARPC5,ARSJ,ASAP1,AUTS2,AVIL,BAIAP2,BAIAP2L1,BIN1,BPIFB4,CALD1,CAPG,CAPN2,CAPZB,CARMIL2,CDC42EP3,CDH2,CFL1,CFL2,CLDN5,CLIC4,CLIC5,CNN1,CNR1,COBL,CORIN,CORO2B,COTL1,DAPK1,DBNL,DDR2,DENND2A,DGKH,DIAPH1,DSTN,EFR3B,EPHA3,EZR,FAM107A,FER,FGR,FHDC1,FILIP1,FLII,FLNB,FLOT1,FLT1,FMN2,FSCN1,FSCN2,FSCN3,GAS2,GAS2L1,GAS7,GJB6,GSN,HCK,INF2,IQGAP2,KALRN,KLHL14,KLHL2,KPTN,LCP1,LIMA1,LIMD2,LLGL1,LMOD1,LSP1,MACF1,MARCKS,MARK2,MICAL2,MLPH,MPRIP,MTSS1,MTSS2,MYH9,MYLK,MYLK3,MYO15A,MYO19,MYO1B,MYO1D,MYO1E,MYO5C,MYO7B,MYO9B,MYOZ2,MYRIP,NEURL1B,NEXN,NOTCH3,NPFFR2,NTN1,ONECUT2,PAK1,PALLD,PARVA,PAWR,PDLIM7,PEAK1,PLEKHH2,PPP1R9B,PSTPIP1,RAC1,RCSD1,RDX,RGS22,RHOQ,SAMD14,SEPTIN9,SH3PXD2A,SH3PXD2B,SHROOM1,SHROOM3,SIPA1L1,SLC2A1,SLC9A3R1,SNCA,SORBS2,SPRY2,SPTA1,SPTBN1,SPTBN2,SPTBN4,SRCIN1,SVIL,SYNPO,SYNPO2,SYNPO2L,TLN2,TMOD1,TPM1,TPM3,VCAM1,WASF2,WDR1,WIPF1,ZYX	3.1263434731692325e-13	2.4698113438036937e-11
GO_CC	combined	Postsynaptic Density (GO:0014069)	144	10667	33010	87	ADCY8,ADD2,ADD3,ADGRA1,ADGRB1,ADGRL1,ARHGAP32,ARHGAP44,ATP2B2,CACNA1C,CACNG2,CACNG3,CACNG5,CACNG7,CACNG8,CDH2,CDK5R1,CHRNA3,CNIH4,CPEB4,CTNND2,DISC1,DLG2,DLG4,DLG5,DNAJC6,DNM3,FABP5,FXR1,FYN,GAP43,GPER1,GRIA1,GRIA4,GRID1,GRID2,GRIK1,GRIK2,GRIK4,GRIK5,GRIN1,GRIN2A,GRIN2B,GRIN2C,GRIN3A,GRM1,GRM5,HOMER1,INSYN2B,IQSEC3,KALRN,LRP4,LRRC7,MAGI2,NETO1,NEURL1,NLGN1,NOS1,NSMF,P2RY1,PPP1R9B,PTPRS,RPL30,RPS18,RTN1,RTN4,SAMD14,SHANK1,SHANK2,SHANK3,SHISA6,SHISA7,SHISA8,SHISA9,SIPA1L1,SLC8A1,SLC8A2,SLC8A3,SPOCK1,SRCIN1,SRGAP3,SYNDIG1,SYT11,TMEM108,TSC2,USP50,ZDHHC2	3.7813626980156716e-12	2.560522741227755e-10
GO_CC	combined	Cell-Cell Junction (GO:0005911)	281	10667	33010	144	ACTN1,ADAM17,ADGRB1,ADGRL3,AHNAK,AJAP1,AJM1,ANXA1,ANXA2,APC,ARVCF,BAIAP2,BAIAP2L1,BAIAP2L2,CADM1,CADM3,CCDC85C,CDC42BPA,CDC42BPB,CDCA3,CDH10,CDH11,CDH12,CDH13,CDH17,CDH18,CDH2,CDH22,CDH26,CDH4,CDH5,CDH6,CDH7,CDH8,CDH9,CDHR3,CLDN1,CLDN11,CLDN4,CLDN5,CLIC4,CRB1,CTNNA1,CTNNA2,CTNNA3,CTNND2,DCHS1,DES,DLG2,DLG4,DLG5,DSP,EPB41L3,EPHA2,EZR,F11R,FAT1,FERMT2,FLOT1,FLRT2,FRMD4A,FRMD4B,FRMD5,FRS2,FSCN1,GJA4,GJA5,GJB2,GJB3,GJB6,GJC2,GRHL2,HEG1,HEPACAM,HMCN1,IGSF11,IGSF21,ILDR2,ITGA5,ITGB3,JAM2,JAM3,JCAD,KAZN,KIRREL1,KIRREL2,KIRREL3,KLHL24,KRT18,LDB3,LIMS1,LIMS2,LIN7A,LIN7B,LLGL1,LRRC7,MAGI1,MYO1E,NDRG1,NECTIN1,NECTIN3,NECTIN4,NOTCH1,NPHS1,NPHS2,PAK1,PAK2,PARD3,PARD3B,PARD6B,PCDHGB4,PDLIM1,PDLIM2,PDLIM3,PDLIM4,PDLIM7,PECAM1,PKP1,PKP4,PRKCZ,PTK7,PTPRJ,PTPRM,PTPRU,PXN,RAPGEF2,RASIP1,RDX,SDCCAG8,SHROOM1,SHROOM3,SMAD7,SORBS1,SPTBN4,STARD10,STXBP6,TJP1,TJP2,VANGL2,VCL,VEGFA,VSIG10,WDR1,ZYX	3.392159865307857e-11	2.0098547201949052e-09
GO_CC	combined	Potassium Channel Complex (GO:0034705)	79	10667	33010	54	ABCC9,AKAP9,CNTNAP2,DPP10,DPP6,GRIK1,GRIK2,GRIK4,GRIK5,KCNA1,KCNA2,KCNA3,KCNA4,KCNA5,KCNA6,KCNA7,KCNAB1,KCNAB2,KCNAB3,KCNB1,KCNB2,KCNC1,KCNC2,KCNC3,KCNC4,KCNG1,KCNH4,KCNIP1,KCNIP2,KCNIP4,KCNJ16,KCNJ2,KCNJ5,KCNJ6,KCNJ8,KCNK1,KCNK4,KCNMA1,KCNMB1,KCNMB2,KCNN1,KCNN4,KCNQ1,KCNQ2,KCNQ3,KCNQ4,KCNQ5,KCNS1,KCNS2,KCNS3,KCNV1,LRRC38,LRRC52,LRRC55	5.5954478054695726e-11	2.946935844213975e-09
GO_CC	combined	Adherens Junction (GO:0005912)	142	10667	33010	83	AJAP1,ANXA1,ANXA2,APC,ARVCF,BAIAP2,BAIAP2L1,CCDC85C,CDCA3,CDH10,CDH11,CDH12,CDH13,CDH17,CDH18,CDH2,CDH22,CDH26,CDH4,CDH5,CDH6,CDH7,CDH8,CDH9,CDHR3,CRB1,CTNNA1,CTNNA2,CTNNA3,CTNND2,DCHS1,DLG2,DLG4,DLG5,DSP,EZR,FERMT2,FLOT1,FRMD4A,FRMD4B,FRMD5,FRS2,HMCN1,IGSF21,JCAD,KIFC3,KLHL24,KRT18,LDB3,LIN7A,LIN7B,LLGL1,LRRC7,MAGI1,MYO1E,NDRG1,NECTIN1,NECTIN3,NECTIN4,NOTCH1,PARD3,PARD3B,PCDHGB4,PDLIM1,PDLIM2,PDLIM3,PDLIM4,PDLIM7,PKP1,PKP4,PLEKHA7,PTPRM,RDX,SHROOM1,SHROOM3,SMAD7,SORBS1,SPTBN4,STXBP6,TJP1,VCL,VEGFA,ZYX	1.2725931987064578e-10	6.03209176186861e-09
