library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
KEGG	combined	Neuroactive ligand-receptor interaction	313	10667	33010	183	ADCYAP1,ADCYAP1R1,ADORA1,ADORA2A,ADORA2B,ADRA1A,ADRA1B,ADRA1D,ADRB1,ADRB3,AGTR1,APLNR,AVP,AVPR1A,BDKRB1,CALCA,CALCB,CALCR,CALCRL,CCK,CHRM2,CHRM3,CHRM5,CHRNA2,CHRNA3,CHRNA4,CHRNA6,CHRNA7,CHRNB1,CHRNB2,CHRND,CNR1,CNR2,CORT,CRH,CRHR2,CTSG,DRD2,DRD3,DRD4,DRD5,EDN2,EDN3,EDNRB,F2,F2R,F2RL1,F2RL2,F2RL3,FPR1,FPR2,FSHB,GABBR1,GABBR2,GABRA1,GABRA2,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRG2,GABRG3,GABRR3,GALR1,GALR2,GALR3,GHR,GHRHR,GHRL,GHSR,GIP,GIPR,GLP1R,GLRA1,GPR83,GRIA1,GRIA4,GRID1,GRID2,GRIK1,GRIK2,GRIK4,GRIK5,GRIN1,GRIN2A,GRIN2B,GRIN2C,GRIN3A,GRM1,GRM3,GRM5,GRM6,GRM7,GRM8,GRP,HCRTR1,HCRTR2,HRH1,HRH2,HRH3,HTR1A,HTR1B,HTR2A,HTR2B,HTR4,HTR5A,HTR6,HTR7,IAPP,KISS1,LEP,LEPR,LHCGR,LPAR1,LPAR3,LPAR6,MAS1,MC2R,MC3R,MC5R,MCHR2,MLNR,MTNR1B,NMBR,NPB,NPBWR1,NPBWR2,NPFFR1,NPFFR2,NPY,NPY1R,NPY2R,NR3C1,NTSR1,OPRM1,OXT,P2RX5,P2RX6,P2RX7,P2RY1,P2RY13,P2RY6,PARD3,PDYN,PENK,POMC,PRLHR,PRLR,PTGDR,PTGER2,PTGER4,PTH1R,PTH2,PTH2R,PYY,RXFP3,RXFP4,S1PR1,SCT,SCTR,SST,SSTR1,SSTR4,TAAR6,TAC1,TAC3,TAC4,TACR1,TACR2,TACR3,THRA,THRB,TRH,TRHR,TSHR,UCN,UTS2B,UTS2R,VIP,VIPR2	1.2089288840827884e-21	3.868572429064923e-19
KEGG	combined	Olfactory transduction	318	10667	33010	179	ADCY3,ANO2,ARRB1,CALML3,CAMK2A,CAMK2B,CAMK2G,CNGA3,CNGB1,GNAL,GNG7,GUCY2D,NCALD,OR10A3,OR10A4,OR10AG1,OR10C1,OR10D3,OR10G4,OR10J1,OR10J3,OR10J5,OR10K2,OR10P1,OR10S1,OR10T2,OR10W1,OR10X1,OR10Z1,OR11A1,OR11G2,OR12D2,OR12D3,OR13C3,OR13D1,OR13F1,OR14C36,OR14I1,OR14J1,OR1A1,OR1A2,OR1B1,OR1G1,OR1J4,OR1L3,OR1M1,OR2AG1,OR2AG2,OR2AT4,OR2B11,OR2B3,OR2C3,OR2D2,OR2D3,OR2G2,OR2G6,OR2H1,OR2H2,OR2J2,OR2L8,OR2M3,OR2M4,OR2M5,OR2S2,OR2T1,OR2T11,OR2T33,OR2T34,OR2T6,OR2W1,OR2Y1,OR2Z1,OR3A2,OR4A16,OR4B1,OR4C15,OR4C16,OR4C6,OR4D1,OR4D11,OR4D2,OR4D5,OR4D6,OR4F15,OR4F6,OR4K1,OR4K13,OR4K17,OR4N5,OR51A7,OR51B2,OR51B5,OR51B6,OR51D1,OR51E1,OR51E2,OR51F1,OR51F2,OR51G1,OR51I1,OR51I2,OR51L1,OR51M1,OR51Q1,OR51S1,OR51T1,OR52A1,OR52B2,OR52B4,OR52B6,OR52E2,OR52E8,OR52I2,OR52J3,OR52K2,OR52M1,OR52N1,OR52R1,OR56A1,OR56A3,OR56A4,OR56B4,OR5A1,OR5AN1,OR5AP2,OR5AS1,OR5B12,OR5D13,OR5D14,OR5H1,OR5H15,OR5H2,OR5H6,OR5I1,OR5L1,OR5M11,OR5M3,OR5P2,OR5P3,OR5V1,OR5W2,OR6A2,OR6C2,OR6C74,OR6K2,OR6K3,OR6K6,OR6M1,OR6N1,OR6N2,OR6P1,OR6T1,OR6Y1,OR7A5,OR7C1,OR7C2,OR7G1,OR7G2,OR8A1,OR8B12,OR8B4,OR8B8,OR8D1,OR8K1,OR8S1,OR9A4,OR9G1,OR9G4,OR9Q1,PDE1B,PDE1C,PDE2A,PRKG1,PRKG2,RGS2,SLC24A4,SLC8A1,SLC8A2,SLC8A3	8.478762727396604e-19	1.3566020363834567e-16
KEGG	combined	Calcium signaling pathway	228	10667	33010	135	ADCY3,ADCY4,ADCY8,ADCY9,ADORA2A,ADORA2B,ADRA1A,ADRA1B,ADRA1D,ADRB1,ADRB3,AGTR1,ASPH,ATP2A1,ATP2A3,ATP2B2,ATP2B4,AVPR1A,BDKRB1,CACNA1A,CACNA1B,CACNA1C,CACNA1D,CACNA1E,CACNA1G,CACNA1H,CACNA1I,CALML3,CAMK1D,CAMK2A,CAMK2B,CAMK2G,CAMK4,CASQ2,CD38,CHRM2,CHRM3,CHRM5,CHRNA7,DRD5,EDNRB,EGF,EGFR,ERBB2,ERBB3,ERBB4,F2R,FGF1,FGF18,FGF19,FGF2,FGF22,FGF23,FGF3,FGF5,FGF6,FGF8,FGF9,FGFR1,FGFR2,FLT1,FLT4,GNA11,GNA14,GNAL,GNAS,GRIN1,GRIN2A,GRIN2C,GRM1,GRM5,HRH1,HRH2,HTR2A,HTR2B,HTR4,HTR5A,HTR6,HTR7,ITPKA,ITPKB,ITPR1,ITPR2,LHCGR,MCOLN2,MCU,MST1R,MYLK,MYLK3,MYLK4,NGF,NOS1,NTRK1,NTRK3,NTSR1,ORAI3,P2RX5,P2RX6,P2RX7,PDE1B,PDE1C,PDGFA,PDGFC,PDGFD,PDGFRA,PDGFRB,PLCB2,PLCD1,PLCE1,PLCG1,PPP3CA,PPP3R2,PRKCA,PRKCB,PRKCG,RET,RYR1,RYR2,RYR3,SLC8A1,SLC8A2,SLC8A3,SPHK1,SPHK2,STIM1,STIM2,TACR1,TACR2,TACR3,TNNC2,TPCN1,TPCN2,TRHR,VEGFA,VEGFC	5.4462231675618186e-17	5.809304712065939e-15
KEGG	combined	Axon guidance	176	10667	33010	108	ABL1,ABLIM1,ABLIM2,ABLIM3,ARHGEF12,BMP7,BMPR1B,BOC,CAMK2A,CAMK2B,CAMK2G,CDC42,CFL1,CFL2,DCC,DPYSL2,DPYSL5,EFNA2,EFNA3,EFNA5,EFNB3,EPHA1,EPHA2,EPHA3,EPHA4,EPHA5,EPHB1,EPHB2,EPHB3,EPHB6,FES,FYN,GDF7,ITGB1,LIMK1,LRIG2,LRRC4,MAPK3,MYL9,NCK1,NCK2,NFATC2,NFATC3,NFATC4,NGEF,NRP1,NTN1,NTN4,NTNG1,NTNG2,PAK1,PAK2,PAK5,PARD3,PARD6B,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PLCG1,PLXNA1,PLXNA2,PLXNA4,PLXNB2,PLXNC1,PPP3CA,PPP3R2,PRKCA,PRKCZ,PTCH1,PTK2,RAC1,RGMA,RGS3,RHOD,ROBO1,ROBO2,ROBO3,RYK,SEMA3A,SEMA3C,SEMA3D,SEMA3E,SEMA3F,SEMA4A,SEMA4B,SEMA4D,SEMA5A,SEMA5B,SEMA6A,SEMA6B,SEMA6C,SEMA6D,SEMA7A,SHH,SLIT2,SLIT3,SRC,SRGAP1,SRGAP3,SSH1,SSH2,TRPC6,UNC5A,UNC5B,UNC5D,WNT5B	2.1956942520971426e-15	1.756555401677714e-13
KEGG	combined	Rap1 signaling pathway	207	10667	33010	121	ADCY3,ADCY4,ADCY5,ADCY8,ADCY9,ADORA2A,ADORA2B,AKT2,AKT3,ANGPT1,ANGPT2,ANGPT4,APBB1IP,ARAP3,BCAR1,BRAF,CALML3,CDC42,CNR1,CRKL,CSF1,CSF1R,DRD2,EFNA2,EFNA3,EFNA5,EGF,EGFR,EPHA2,EVL,F2R,F2RL3,FGF1,FGF18,FGF19,FGF2,FGF22,FGF23,FGF3,FGF5,FGF6,FGF8,FGF9,FGFR1,FGFR2,FLT1,FLT4,FPR1,GNAO1,GNAS,GRIN1,GRIN2A,GRIN2B,ID1,IGF1,IGF1R,INSR,ITGA2B,ITGAM,ITGB1,ITGB2,ITGB3,KIT,LCP2,LPAR1,LPAR3,LPAR5,MAGI1,MAGI2,MAGI3,MAP2K6,MAPK13,MAPK3,NGF,NGFR,P2RY1,PARD3,PARD6B,PDGFA,PDGFC,PDGFD,PDGFRA,PDGFRB,PFN3,PFN4,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PLCB2,PLCE1,PLCG1,PRKCA,PRKCB,PRKCG,PRKCZ,PRKD1,RAC1,RALB,RALGDS,RAP1GAP,RAPGEF1,RAPGEF2,RAPGEF4,RAPGEF5,RAPGEF6,RASGRP2,RASGRP3,RASSF5,SIPA1,SIPA1L1,SIPA1L2,SIPA1L3,SKAP1,SRC,THBS1,TLN2,VAV2,VAV3,VEGFA,VEGFC	8.299174543204639e-15	4.528746088952454e-13
KEGG	combined	Pathways in cancer	497	10667	33010	243	ABL1,ADCY3,ADCY4,ADCY5,ADCY8,ADCY9,AGTR1,AKT2,AKT3,ALK,APC,APC2,ARHGEF1,ARHGEF12,ARNT2,BAK1,BCL2,BDKRB1,BIRC2,BIRC5,BMP2,BMP4,BRAF,BRCA2,CALML3,CAMK2A,CAMK2B,CAMK2G,CCNA1,CCND1,CCND2,CCND3,CDC42,CDK6,CDKN1A,CDKN2A,CEBPA,COL4A1,COL4A2,CREBBP,CRKL,CSF1R,CSF2RB,CTBP1,CTBP2,CTNNA1,CTNNA2,CTNNA3,CUL1,DAPK1,DAPK2,DCC,DLL3,DLL4,EDNRB,EGF,EGFR,EGLN1,EGLN3,ELOC,EML4,EPO,ERBB2,ESR1,ESR2,ETS1,F2,F2R,F2RL3,FAS,FGF1,FGF18,FGF19,FGF2,FGF22,FGF23,FGF3,FGF5,FGF6,FGF8,FGF9,FGFR1,FGFR2,FLT4,FN1,FZD10,FZD5,FZD7,GLI1,GLI2,GLI3,GNA11,GNA12,GNA13,GNAS,GNB4,GNG11,GNG12,GNG2,GNG4,GNG7,GNGT1,GRB2,GSTA4,GSTM2,GSTM4,GSTM5,GSTO2,GSTP1,HDAC1,HES5,HEY2,HHIP,HSP90AB1,IFNA8,IFNGR1,IFNGR2,IGF1,IGF1R,IGF2,IL12A,IL12B,IL12RB2,IL13,IL15,IL15RA,IL23A,IL23R,IL4R,IL5RA,IL6,IL7,ITGA2B,ITGA6,ITGB1,JAG2,JAK1,JAK3,KEAP1,KIT,KLK3,LAMA1,LAMA2,LAMA4,LAMA5,LAMB1,LAMB3,LAMB4,LAMC3,LEF1,LPAR1,LPAR3,LPAR5,LPAR6,LRP5,MAPK10,MAPK3,MECOM,MGST2,MITF,MLH1,MMP2,MMP9,MSH2,NCOA4,NFE2L2,NOTCH1,NOTCH3,NOTCH4,NQO1,NTRK1,PAX8,PDGFA,PDGFRA,PDGFRB,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PLCB2,PLCG1,PML,POLK,PRKCA,PRKCB,PRKCG,PTCH1,PTGER2,PTGER4,PTGS2,PTK2,RAC1,RALB,RALGDS,RARB,RASGRP2,RASGRP3,RASSF1,RASSF5,RB1,RET,RUNX1,RUNX1T1,RXRA,RXRB,RXRG,SHH,SLC2A1,SMAD2,SMAD3,SMAD4,SOS2,SPI1,STAT4,STAT5A,STAT5B,SUFU,TCF7L1,TCF7L2,TERT,TGFB2,TGFBR1,TGFBR2,TPM3,TRAF1,TRAF3,TRAF5,TXNRD1,TXNRD2,VEGFA,VEGFC,WNT1,WNT10A,WNT11,WNT16,WNT2,WNT3,WNT3A,WNT5B,WNT7A,WNT7B,WNT9B,ZBTB16	8.491398916785852e-15	4.528746088952454e-13
KEGG	combined	Focal adhesion	194	10667	33010	109	ACTN1,AKT2,AKT3,BCAR1,BCL2,BIRC2,BRAF,CAPN2,CAV2,CCND1,CCND2,CCND3,CDC42,COL1A1,COL1A2,COL4A1,COL4A2,COL6A1,COL6A2,COL6A5,COL6A6,COL9A1,COL9A2,COL9A3,CRKL,DIAPH1,EGF,EGFR,ERBB2,FLNB,FLNC,FLT1,FLT4,FN1,FYN,GRB2,IGF1,IGF1R,ITGA1,ITGA11,ITGA2B,ITGA4,ITGA5,ITGA6,ITGA7,ITGA8,ITGA9,ITGB1,ITGB3,ITGB5,ITGB6,LAMA1,LAMA2,LAMA4,LAMA5,LAMB1,LAMB3,LAMB4,LAMC3,MAPK10,MAPK3,MYL9,MYLK,MYLK3,MYLK4,PAK1,PAK2,PAK5,PARVA,PDGFA,PDGFC,PDGFD,PDGFRA,PDGFRB,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIP5K1C,PPP1CC,PPP1R12C,PRKCA,PRKCB,PRKCG,PTK2,PXN,RAC1,RAPGEF1,RASGRF1,RELN,SHC3,SHC4,SOS2,SRC,THBS1,THBS2,THBS4,TLN2,TNR,TNXB,VAV2,VAV3,VCL,VEGFA,VEGFC,VTN,VWF,ZYX	5.792887512179063e-12	2.6481771484247144e-10
KEGG	combined	PI3K-Akt signaling pathway	326	10667	33010	162	AKT2,AKT3,ANGPT1,ANGPT2,ANGPT4,BCL2,BDNF,C8orf44-SGK3,CCND1,CCND2,CCND3,CDK6,CDKN1A,CHRM2,COL1A1,COL1A2,COL4A1,COL4A2,COL6A1,COL6A2,COL6A5,COL6A6,COL9A1,COL9A2,COL9A3,CREB3L1,CREB3L2,CREB5,CRTC2,CSF1,CSF1R,EFNA2,EFNA3,EFNA5,EGF,EGFR,EIF4E,EIF4E1B,EIF4EBP1,EPHA2,EPO,ERBB2,ERBB3,ERBB4,F2R,FGF1,FGF18,FGF19,FGF2,FGF22,FGF23,FGF3,FGF5,FGF6,FGF8,FGF9,FGFR1,FGFR2,FLT1,FLT4,FN1,FOXO3,GHR,GNB4,GNG11,GNG12,GNG2,GNG4,GNG7,GNGT1,GRB2,GYS1,HSP90AB1,IFNA8,IGF1,IGF1R,IGF2,IL4R,IL6,IL7,INSR,ITGA1,ITGA11,ITGA2B,ITGA4,ITGA5,ITGA6,ITGA7,ITGA8,ITGA9,ITGB1,ITGB3,ITGB5,ITGB6,JAK1,JAK3,KIT,LAMA1,LAMA2,LAMA4,LAMA5,LAMB1,LAMB3,LAMB4,LAMC3,LPAR1,LPAR3,LPAR5,LPAR6,MAGI1,MAGI2,MAPK3,MCL1,MYB,NGF,NGFR,NTF3,NTRK1,OSMR,PDGFA,PDGFC,PDGFD,PDGFRA,PDGFRB,PDPK1,PIK3AP1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R5,PIK3R6,PPP2CB,PPP2R2A,PPP2R2B,PPP2R2C,PPP2R3A,PPP2R5A,PPP2R5C,PRKCA,PRLR,PTK2,RAC1,RELN,RPTOR,RXRA,SGK1,SOS2,STK11,TCL1A,THBS1,THBS2,THBS4,TNR,TNXB,TSC2,VEGFA,VEGFC,VTN,VWF,YWHAG,YWHAZ	4.828711212996674e-11	1.93148448519867e-09
KEGG	combined	cAMP signaling pathway	209	10667	33010	112	ACOX1,ACOX3,ADCY10,ADCY3,ADCY4,ADCY5,ADCY8,ADCY9,ADCYAP1,ADCYAP1R1,ADORA1,ADORA2A,ADRB1,AKT2,AKT3,AMH,ARAP3,ATP1A4,ATP1B1,ATP1B2,ATP2A1,ATP2A3,ATP2B2,ATP2B4,BDNF,BRAF,CACNA1C,CACNA1D,CALML3,CAMK2A,CAMK2B,CAMK2G,CAMK4,CFTR,CHRM2,CNGA3,CNGB1,CREB3L1,CREB3L2,CREB5,CREBBP,DRD2,DRD5,EDN2,EDN3,F2R,FFAR2,FSHB,FXYD1,GABBR1,GABBR2,GHRL,GHSR,GIP,GIPR,GLI1,GLI3,GLP1R,GNAS,GRIA1,GRIA4,GRIN1,GRIN2A,GRIN2B,GRIN2C,GRIN3A,HCAR1,HCN4,HHIP,HTR1A,HTR1B,HTR4,HTR6,LHCGR,MAPK10,MAPK3,MC2R,MYL9,NFATC1,NPR1,NPY,NPY1R,OXT,PAK1,PDE10A,PDE3A,PDE4B,PDE4C,PDE4D,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PLCE1,POMC,PPP1CC,PPP1R1B,PTCH1,PTGER2,RAC1,RAPGEF4,RYR2,SLC9A1,SOX9,SST,SSTR1,TNNI3,TSHR,VAV2,VAV3,VIP,VIPR2	1.583873550247676e-10	5.631550400880627e-09
KEGG	combined	Regulation of actin cytoskeleton	208	10667	33010	111	ACTN1,ACTR3C,APC,APC2,ARHGEF1,ARHGEF12,ARHGEF4,ARHGEF7,ARPC1B,ARPC5,BAIAP2,BCAR1,BDKRB1,BRAF,CDC42,CFL1,CFL2,CHRM2,CHRM3,CHRM5,CRKL,CYFIP1,CYFIP2,DIAPH1,EGF,EGFR,EZR,F2,F2R,FGF1,FGF18,FGF19,FGF2,FGF22,FGF23,FGF3,FGF5,FGF6,FGF8,FGF9,FGFR1,FGFR2,FN1,GIT1,GNA12,GNA13,GNG12,GSN,INSRR,IQGAP2,ITGA1,ITGA11,ITGA2B,ITGA4,ITGA5,ITGA6,ITGA7,ITGA8,ITGA9,ITGAM,ITGB1,ITGB2,ITGB3,ITGB5,ITGB6,LIMK1,LPAR1,LPAR5,MAPK3,MOS,MYH10,MYH11,MYH14,MYH9,MYL9,MYLK,MYLK3,MYLK4,PAK1,PAK2,PAK5,PDGFA,PDGFC,PDGFD,PDGFRA,PDGFRB,PFN3,PFN4,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIP4K2A,PIP4K2B,PIP5K1C,PPP1CC,PPP1R12C,PTK2,PXN,RAC1,RDX,SLC9A1,SOS2,SPATA13,SRC,SSH1,SSH2,VAV2,VAV3,VCL,WASF2	2.653199404523617e-10	8.490238094475575e-09
