library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
GO_MF	combined	RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	1135	2608	33010	229	ALX1,ALX3,ARNT,ASCL4,BACH2,BARHL2,BATF,CDX2,CEBPG,CREM,CUX1,CUX2,DHX9,DLX2,DMRT1,DMRTA2,DNMT3A,DRGX,EBF1,EHF,EN1,EN2,ENO1,EOMES,ERG,ETS1,EVX1,EVX2,FERD3L,FEZF1,FOXA1,FOXA2,FOXB1,FOXC1,FOXE3,FOXK1,FOXP1,GATA3,GATA4,GCM2,GFI1,GLI2,GLIS1,GRHL2,GRHL3,GSX1,HDAC4,HIF3A,HMGA1,HNF1B,HNF4G,HOXA10,HOXA3,HOXA5,HOXA9,HOXB13,HOXB3,HOXB6,HOXB7,HOXB9,HOXC13,HOXC4,HOXC6,HOXC9,HOXD10,HOXD13,HOXD3,HOXD8,HOXD9,HSF1,KLF16,LEF1,LHX1,LHX2,LHX4,LHX8,LHX9,MACROH2A1,MAF,MECOM,MEF2D,MEIS1,MLXIP,MUC1,NFATC1,NFE2L1,NFE2L3,NFIA,NFIC,NFIX,NKX1-1,NKX2-1,NKX2-2,NKX2-3,NKX2-6,NKX6-1,NKX6-2,NPAS3,NPAS4,NR1D1,NR1H2,NR1I2,NR2C1,NR2E1,NR2F6,NR3C1,NR5A2,NTN1,ONECUT1,ONECUT2,ONECUT3,OTP,OTX1,OTX2,PAX3,PAX5,PAX6,PAX7,PAX8,PAX9,PBX1,PBX2P1,PDX1,PGR,PHOX2A,PHOX2B,PITX1,PITX2,PITX3,POU2F2,POU4F1,POU4F2,PPARD,PRDM14,PRDM16,PROX1,PRRX1,RARG,RB1,RBPJL,RFX1,RFX2,RUNX1,RUNX3,SALL1,SALL2,SALL3,SATB2,SCRT2,SIM1,SIM2,SIX1,SIX3,SIX6,SKI,SKOR1,SKOR2,SMAD2,SMAD3,SOX1,SOX11,SOX14,SOX17,SOX6,ST18,TAL1,TBR1,TBX15,TBX20,TBX4,TBX5,TBXT,TCF12,TCF21,TCF23,TFAP2B,TFAP2D,THRA,TLX1,TLX2,TRPS1,TWIST1,VAX1,VAX2,VENTX,VSX2,WT1,ZBTB16,ZFHX3,ZFHX4,ZFP42,ZIC1,ZIC4,ZIC5,ZKSCAN1,ZNF132,ZNF154,ZNF184,ZNF208,ZNF212,ZNF217,ZNF232,ZNF257,ZNF267,ZNF274,ZNF334,ZNF394,ZNF423,ZNF473,ZNF486,ZNF502,ZNF534,ZNF536,ZNF551,ZNF573,ZNF578,ZNF625,ZNF671,ZNF709,ZNF728,ZNF729,ZNF789,ZNF835,ZNF876P,ZNF98,ZSCAN1,ZSCAN18,ZSCAN23,ZSCAN5A	7.01690699925562e-41	8.048392328146196e-38
GO_MF	combined	Sequence-Specific Double-Stranded DNA Binding (GO:1990837)	671	2608	33010	161	ALX1,ALX3,ARID5A,ARNT,ASIC2,BACH2,BARHL2,BATF,BCL6,BCL6B,CDX2,CEBPG,CREB3L2,CREM,CUX1,CUX2,DHX9,DLX2,DMRT1,DMRTA2,DRGX,ELF5,EN1,EN2,EOMES,ERG,ESRRG,ETS1,EVX1,EVX2,FERD3L,FOXA1,FOXA2,FOXB1,FOXC1,FOXG1,FOXK1,FOXP1,FOXR1,GATA3,GATA4,GCM2,GFI1,GLI2,GLIS1,GSX1,HDAC4,HMGA2,HMGB1,HOXA10,HOXA2,HOXA5,HOXA9,HOXB13,HOXB2,HOXB6,HOXB7,HOXB9,HOXC13,HOXC4,HOXC9,HOXD10,HOXD12,HOXD13,HOXD3,HOXD8,HOXD9,HSF1,KLF16,LEF1,LHX1,LHX4,LHX8,LHX9,LIN28B,MACROH2A1,MAF,MEF2D,MNX1,NEUROD1,NFATC1,NFIC,NFIX,NKX2-1,NKX2-3,NKX6-2,NR1D1,NR1I2,NR2C1,NR2E1,NR2F6,NR3C1,NR5A2,ONECUT1,ONECUT2,ONECUT3,OTX1,OTX2,PAX3,PAX6,PAX7,PAX8,PAX9,PBX1,PDX1,PHOX2A,PHOX2B,PITX1,PITX2,PITX3,POU2F2,POU4F1,PPARD,PRDM16,PROX1,RARG,RFX1,RFX2,RUNX1,RUNX3,SCRT2,SHOX2,SIX1,SIX3,SIX6,SKOR1,SKOR2,SMAD3,SOX11,SOX14,SOX17,SOX6,TAF7,TAL1,TBL1XR1,TBX15,TBX20,TBXT,TCF12,TCF21,TFAP2B,THRA,TLX2,VAX1,VAX2,VENTX,VSX1,VSX2,WT1,YBX1,ZBTB46,ZFP42,ZIC1,ZIC4,ZIC5,ZNF177,ZNF217,ZNF274,ZSCAN1,ZSCAN23,ZSCAN5A	2.979450695211552e-38	1.708714973703825e-35
GO_MF	combined	Double-Stranded DNA Binding (GO:0003690)	618	2608	33010	149	AIM2,ALX1,ALX3,ARNT,BACH2,BARHL2,BATF,BCL6,BCL6B,CAMTA1,CDX2,CEBPG,CGAS,CREM,CUX1,CUX2,DHX9,DLX2,DMRT1,DMRTA2,DRGX,ELF5,EN1,EN2,EOMES,ERG,ESRRG,EVX1,EVX2,FERD3L,FOXA1,FOXA2,FOXB1,FOXG1,FOXK1,FOXP1,FOXR1,GATA3,GATA4,GCM2,GFI1,GLI2,GLIS1,GSX1,HMGB1,HOXA10,HOXA2,HOXA5,HOXA9,HOXB13,HOXB2,HOXB6,HOXB7,HOXB9,HOXC13,HOXC4,HOXC9,HOXD10,HOXD12,HOXD13,HOXD3,HOXD8,HOXD9,HSF1,KLF16,LEF1,LHX1,LHX4,LHX8,LHX9,LIN28B,MACROH2A1,MAF,MEF2D,MNDA,MNX1,NEUROD1,NFATC1,NFIC,NFIX,NKX2-3,NKX6-2,NR1D1,NR1I2,NR2C1,NR2E1,NR2F6,NR3C1,NR5A2,ONECUT1,ONECUT2,ONECUT3,OTX1,OTX2,PAX3,PAX6,PAX7,PAX8,PAX9,PBX1,PDX1,PHOX2A,PHOX2B,PITX1,PITX2,PITX3,POU2F2,POU4F1,PPARD,PROX1,PYHIN1,RARG,RBMS1,RFX1,RFX2,RUNX3,SCRT2,SHOX2,SIX1,SIX3,SIX6,SKOR1,SKOR2,SMAD2,SOX14,SPRTN,TBX15,TBX20,TBXT,TCF12,TCF21,TFAP2B,TLX2,VAX1,VAX2,VENTX,VSX1,VSX2,WT1,YBX1,ZFP42,ZIC1,ZIC4,ZIC5,ZNF177,ZNF274,ZSCAN1,ZSCAN23,ZSCAN5A	1.0298516903689261e-35	3.937466296177194e-33
GO_MF	combined	Sequence-Specific DNA Binding (GO:0043565)	673	2608	33010	156	ALX1,ALX3,ARID5A,ARNT,BACH2,BARHL2,BATF,BCL6,BCL6B,CBFB,CDX2,CEBPG,CREM,CUX1,CUX2,CXXC5,DLX2,DMRT1,DMRTA2,DRGX,ELF5,EN1,EN2,EOMES,ERG,ESRRG,EVX1,EVX2,FERD3L,FOXA1,FOXA2,FOXB1,FOXC1,FOXE3,FOXG1,FOXK1,FOXP1,FOXR1,GATA3,GATA4,GCM2,GFI1,GLI2,GLIS1,GRHL2,GRHL3,GSX1,HDAC4,HOXA10,HOXA2,HOXA5,HOXA9,HOXB13,HOXB2,HOXB6,HOXB7,HOXB9,HOXC13,HOXC4,HOXC9,HOXD10,HOXD12,HOXD13,HOXD3,HOXD8,HOXD9,HSF1,KLF16,LEF1,LHX1,LHX4,LHX8,LHX9,LIN28B,MAF,MEF2D,MNX1,NEUROD1,NFATC1,NFIC,NFIX,NKX2-3,NKX6-2,NLRP3,NR1D1,NR1I2,NR2C1,NR2E1,NR2F6,NR3C1,NR5A2,ONECUT1,ONECUT2,ONECUT3,OTX1,OTX2,PAX3,PAX6,PAX7,PAX8,PAX9,PBX1,PDX1,PHOX2A,PHOX2B,PITX1,PITX2,PITX3,POU2F2,POU4F1,PPARD,PRDM16,PROX1,RARG,RFX1,RFX2,RUNX3,SCRT2,SHOX2,SIX1,SIX3,SIX6,SKOR1,SKOR2,SMAD3,SMG6,SOX14,TBX15,TBX20,TBX5,TBXT,TCF12,TCF21,TET3,TFAP2B,TLX2,UPF1,UPF2,VAX1,VAX2,VENTX,VSX1,VSX2,WT1,YBX1,ZCWPW1,ZFP42,ZIC1,ZIC4,ZIC5,ZNF177,ZNF274,ZNF423,ZSCAN1,ZSCAN23,ZSCAN5A	3.390784382821325e-35	9.660586657453436e-33
GO_MF	combined	RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)	1040	2608	33010	205	ARNT,BACH2,BATF,CDX2,CEBPG,CREB3L2,CREM,DHX9,DLX2,DMRT1,DMRTA2,DNMT3A,EBF1,EHF,EN1,EN2,EOMES,ERG,ESRRG,ETS1,EVX1,EVX2,FEZF1,FOXA1,FOXA2,FOXB1,FOXC1,FOXE3,FOXK1,FOXP1,GATA3,GATA4,GCM2,GFI1,GLI2,GLIS1,GRHL2,GRHL3,GSX1,HDAC4,HIF3A,HMGA1,HMGA2,HNF1B,HNF4G,HOXA10,HOXA3,HOXA5,HOXA9,HOXB13,HOXB3,HOXB6,HOXB7,HOXB9,HOXC13,HOXC4,HOXC6,HOXC9,HOXD10,HOXD13,HOXD3,HOXD9,HSF1,KLF16,LEF1,MAF,MECOM,MEF2D,MEIS1,MLXIP,MUC1,NEUROD1,NFATC1,NFE2L1,NFE2L3,NFIA,NFIC,NFIX,NKX1-1,NKX2-1,NKX2-2,NKX2-3,NKX2-6,NKX6-1,NKX6-2,NPAS4,NR1D1,NR1H2,NR1I2,NR2C1,NR2E1,NR2F6,NR3C1,NR5A2,NTN1,ONECUT1,ONECUT2,ONECUT3,OTX1,OTX2,PAX3,PAX5,PAX6,PAX7,PAX8,PAX9,PBX1,PBX2P1,PDX1,PGR,PHOX2B,PITX1,PITX2,PITX3,POU2F2,POU4F1,POU4F2,PPARD,PRDM16,PROX1,PRRX1,RARG,RBPJL,RFX1,RFX2,RUNX1,RUNX3,SALL1,SALL2,SALL3,SATB2,SCRT2,SIX1,SIX3,SIX6,SKI,SKOR1,SKOR2,SMAD2,SMAD3,SOX1,SOX11,SOX14,SOX17,SOX6,ST18,TAL1,TBR1,TBX15,TBX20,TBX4,TBX5,TBXT,TCF12,TCF21,TFAP2B,THRA,TLX1,TLX2,TRIM24,TWIST1,VAX1,VAX2,VENTX,WT1,ZBTB16,ZFHX3,ZFHX4,ZFP42,ZIC1,ZIC4,ZIC5,ZKSCAN1,ZNF132,ZNF154,ZNF184,ZNF208,ZNF212,ZNF217,ZNF232,ZNF257,ZNF267,ZNF274,ZNF334,ZNF394,ZNF423,ZNF473,ZNF486,ZNF502,ZNF534,ZNF536,ZNF551,ZNF573,ZNF578,ZNF671,ZNF728,ZNF729,ZNF789,ZNF835,ZNF876P,ZNF98,ZSCAN1,ZSCAN18,ZSCAN23,ZSCAN5A	4.211240914321463e-35	9.660586657453436e-33
GO_MF	combined	Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)	1016	2608	33010	199	ARNT,BACH2,BATF,CDX2,CEBPG,CREM,DHX9,DLX2,DMRT1,DMRTA2,DNMT3A,EBF1,EHF,ELL,EN1,EN2,EOMES,ERG,ETS1,EVX1,EVX2,FEZF1,FOXA1,FOXA2,FOXB1,FOXC1,FOXE3,FOXK1,FOXP1,GATA3,GATA4,GCM2,GFI1,GLI2,GLIS1,GRHL2,GRHL3,GSX1,HDAC4,HIF3A,HMGA1,HNF1B,HNF4G,HOXA10,HOXA3,HOXA5,HOXA9,HOXB13,HOXB3,HOXB6,HOXB7,HOXB9,HOXC13,HOXC4,HOXC6,HOXC9,HOXD10,HOXD13,HOXD3,HOXD9,HSF1,KLF16,LEF1,MAF,MECOM,MEF2D,MEIS1,MLXIP,MUC1,NFATC1,NFE2L1,NFE2L3,NFIA,NFIC,NFIX,NKX1-1,NKX2-1,NKX2-2,NKX2-3,NKX2-6,NKX6-1,NKX6-2,NPAS4,NR1D1,NR1H2,NR1I2,NR2C1,NR2E1,NR2F6,NR3C1,NR5A2,NTN1,ONECUT1,ONECUT2,ONECUT3,OTX1,OTX2,PAX3,PAX5,PAX6,PAX7,PAX8,PAX9,PBX1,PBX2P1,PDX1,PGR,PHOX2B,PITX1,PITX2,PITX3,POU2F2,POU4F1,POU4F2,PPARD,PRDM16,PROX1,PRRX1,RARG,RBPJL,RFX1,RFX2,RUNX1,RUNX3,SALL1,SALL2,SALL3,SATB2,SCRT2,SIX1,SIX3,SIX6,SKI,SKOR1,SKOR2,SMAD2,SMAD3,SOX1,SOX11,SOX14,SOX17,SOX6,ST18,TAL1,TBR1,TBX15,TBX20,TBX4,TBX5,TBXT,TCF12,TFAP2B,THRA,TLX1,TLX2,VAX1,VAX2,VENTX,WT1,ZBTB16,ZFHX3,ZFHX4,ZFP42,ZIC1,ZIC4,ZIC5,ZKSCAN1,ZNF132,ZNF154,ZNF184,ZNF208,ZNF212,ZNF217,ZNF232,ZNF257,ZNF267,ZNF274,ZNF334,ZNF394,ZNF423,ZNF473,ZNF486,ZNF502,ZNF534,ZNF536,ZNF551,ZNF573,ZNF578,ZNF671,ZNF728,ZNF729,ZNF789,ZNF835,ZNF876P,ZNF98,ZSCAN1,ZSCAN18,ZSCAN23,ZSCAN5A	1.0839169477119918e-33	2.072087898376091e-31
GO_MF	combined	Transcription Cis-Regulatory Region Binding (GO:0000976)	443	2608	33010	98	ALX1,ALX3,ARID5A,ARNT,ASCL4,BARHL2,CDX2,CREB3L2,CREM,CUX1,CUX2,DMRT1,DRGX,ELL,ENO1,ETS1,FERD3L,FOXA1,FOXA2,FOXC1,FOXK1,FOXP1,GATA3,GATA4,GFI1,GRHL2,HDAC4,HIF3A,HMGA1,HMGA2,HMGB1,HOXC13,HOXD3,HOXD8,HOXD9,HSF1,LEF1,LHX1,LHX2,LHX4,LHX8,LHX9,MACROH2A1,MEF2D,MLXIP,NKX2-1,NKX2-2,NPAS3,NPAS4,NR1D1,NR1I2,NR3C1,NR5A2,OTP,PAX6,PAX8,PBX1,PBX2P1,PHOX2A,PHOX2B,PITX2,POU2F2,PRDM14,PRDM16,PROX1,RB1,RUNX1,RUNX3,SALL2,SATB2,SCRT2,SIM1,SIM2,SIX1,SMAD2,SMAD3,SOX11,SOX17,SOX6,TAF7,TAL1,TBL1XR1,TBX20,TCF12,TCF21,TCF23,TFAP2B,TFAP2D,THRA,TRPS1,TWIST1,VSX1,VSX2,WT1,ZBTB46,ZNF217,ZNF625,ZNF709	5.721953328865087e-21	9.375829240297508e-19
GO_MF	combined	DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)	325	2608	33010	73	ALX1,CEBPG,EHF,ERG,ETS1,FOXA1,FOXC1,FOXR1,GATA3,GATA4,GLIS1,GRHL2,GRHL3,HNF4G,HOXA10,HOXA5,HOXB2,HOXB3,HOXB7,HOXC4,HOXD13,HOXD3,HOXD8,HSF1,LEF1,LHX4,MECOM,MEIS1,MLXIP,NEUROD1,NFATC1,NFE2L1,NFIA,NFIC,NKX2-2,NKX2-6,NPAS4,NR1H2,NR1I2,NR3C1,ONECUT1,ONECUT2,OTX1,OTX2,PBX2P1,PGR,PHOX2A,PHOX2B,POU4F1,POU4F2,PRDM16,PRRX1,RUNX1,SALL2,SATB2,SIX1,SIX3,SMAD2,SMAD3,SOX11,SOX17,TBX5,TCF12,TCF21,TFAP2B,TLX2,VENTX,WT1,ZBTB16,ZNF208,ZNF267,ZNF473,ZNF729	2.3880694976331253e-16	3.423894642231493e-14
GO_MF	combined	Transcription Regulatory Region Nucleic Acid Binding (GO:0001067)	205	2608	33010	42	ARID5A,CREB3L2,DHX9,ETS1,FOXA1,FOXA2,FOXC1,FOXK1,GATA3,GATA4,GFI1,HDAC4,HMGA2,HMGB1,HOXC13,HSF1,MACROH2A1,NKX2-1,NR1D1,NR5A2,PAX6,PAX8,PBX1,PITX2,POU2F2,PRDM16,PROX1,RUNX1,SIX1,SMAD3,SOX11,SOX17,SOX6,TAF7,TAL1,TBL1XR1,TCF12,THRA,VSX1,WT1,ZBTB46,ZNF217	9.305649540863582e-09	1.1859533359300589e-06
GO_MF	combined	DNA Binding (GO:0003677)	789	2608	33010	106	AIM2,ARID5A,ARNT,BATF,BCL6,CAMTA1,CBFB,CEBPG,CGAS,CHD6,CREM,CUX1,CUX2,CXXC5,DHX9,DNMT3A,EHF,EOMES,ERG,ETS1,FOXA1,FOXA2,FOXB1,FOXC1,FOXE3,FOXG1,GATA3,GATA4,GCM2,GLI2,GRHL2,GRHL3,GSX1,H2BC17,H2BC3,H4C9,HDAC4,HMGA1,HMGA2,HMGB1,HOXA5,HOXB13,HOXB2,HOXD13,HSF1,JRK,LEF1,LHX4,MACROH2A1,MCM9,MECOM,MEIS1,MNDA,NEUROD1,NKX2-1,NKX6-2,NLRP3,NR1H2,NR2C1,NR2F6,NR5A2,OTP,PARP1,PARP4,PAX3,PAX6,PAX8,PBX1,PCNA,PGR,POU2F2,POU4F1,PPARD,PRDM16,PROX1,PTBP1,PYHIN1,RAD23A,RARG,RBMS1,RFX2,SIM1,SIM2,SIX1,SMAD2,SMAD3,SOX1,SOX14,SOX6,SPRTN,SUB1,SYCP2,TBX4,TBX5,TFAP2B,TLX2,TOX2,TSHZ3,VENTX,WT1,XRN1,YBX1,ZBTB16,ZIC4,ZNF274,ZNF423	5.255192554544133e-08	6.027705860062121e-06
