library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
GO_BP	hypermethylated	Regulation Of Transcription By RNA Polymerase II (GO:0006357)	1855	1459	33010	202	ACTL6B,ACTR3,ALX1,ALX3,ASCL4,BARHL2,BCAS3,BCL6,BCL6B,CDX2,CHD6,CRYM,CUX1,CXXC5,DBX1,DMRT1,DMRTA2,DNAJB1,DNMT3A,DRGX,EBF1,EN2,ENG,EOMES,ESRRG,ETS1,EVX1,EVX2,FERD3L,FEZF1,FOXA1,FOXA2,FOXB1,FOXE3,FOXG1,FOXP1,FOXR1,GALR1,GALR3,GATA3,GATA4,GCM2,GFI1,GLI2,GSX1,HDAC4,HDAC9,HIF3A,HNF1B,HOXA3,HOXA5,HOXA9,HOXB13,HOXB2,HOXB3,HOXB6,HOXB7,HOXB9,HOXC13,HOXC4,HOXD10,HOXD13,HOXD3,HOXD8,HOXD9,HSF1,IGF1,KANSL3,KLF16,LEF1,LHX1,LHX2,LHX4,LHX8,LHX9,MACROH2A1,MAF,MAML3,MECOM,MEF2D,MEIS1,MIR9-1HG,NCOR2,NEUROD1,NFE2L1,NFIA,NFIC,NKX1-1,NKX2-1,NKX2-2,NKX2-3,NKX2-6,NKX6-1,NKX6-2,NPAS3,NPAS4,NR1D1,NR1H2,NR1I2,NR2E1,NR2F6,NR3C1,NR5A2,ONECUT1,ONECUT2,ONECUT3,OTP,OTX1,OTX2,PAX3,PAX5,PAX6,PAX7,PAX8,PAX9,PBX1,PDX1,PGR,PHF21A,PHOX2A,PHOX2B,PITX1,PITX2,PITX3,POU2F2,POU4F1,POU4F2,PRDM14,PRDM16,PRKD1,PROX1,PRRX1,PTPRN,RARG,RB1,RFX1,RUNX3,SALL1,SALL2,SALL3,SATB2,SCRT2,SHOX2,SIM1,SIM2,SIX1,SIX3,SIX6,SKAP1,SKI,SKOR1,SKOR2,SMAD3,SOX1,SOX14,SOX17,SOX6,SSBP3,ST18,TAF7,TAL1,TBR1,TBX15,TBX20,TBX4,TBX5,TBXT,TCF12,TCF20,TCF21,TCF23,TET3,TFAP2B,TFAP2D,THRA,TLX1,TLX2,TRAK1,TWIST1,VENTX,VSX2,WT1,ZBTB46,ZFHX3,ZFHX4,ZFP42,ZIC1,ZIC4,ZIC5,ZMIZ1,ZNF177,ZNF232,ZNF274,ZNF536,ZNF560,ZNF625,ZNF671,ZNF709,ZNF835,ZSCAN1,ZSCAN18,ZSCAN23	2.8384371092643418e-33	1.5347429449792298e-29
GO_BP	hypermethylated	Regulation Of DNA-templated Transcription (GO:0006355)	1780	1459	33010	192	ACTL6B,ALX1,ALX3,ASCL4,BARHL2,BCL6,CDK15,CDK17,CDKN2A,CDX2,CUX1,DBX1,DMRT1,DMRTA2,DNMT3A,DRGX,EBF1,EN2,ENG,EOMES,ERC1,ERN2,ESRRG,ETS1,EVX1,EVX2,FERD3L,FEZF1,FOXA1,FOXA2,FOXB1,FOXE3,FOXG1,FOXP1,FOXR1,GATA3,GATA4,GCM2,GDF6,GDF7,GFI1,GLI2,HDAC4,HDAC9,HIF3A,HNF1B,HOXA3,HOXA5,HOXA9,HOXB13,HOXB3,HOXB6,HOXB7,HOXB9,HOXC13,HOXC4,HOXD10,HOXD13,HOXD3,HOXD8,HOXD9,HSF1,IGF1,KANSL3,KLF16,LEF1,LHX1,LHX2,LHX4,LHX8,LHX9,MAF,MECOM,MLLT1,NCOR2,NDUFA13,NEUROD1,NFE2L1,NFIA,NFIC,NKX1-1,NKX2-1,NKX2-2,NKX2-3,NKX2-6,NKX6-1,NKX6-2,NPAS3,NPAS4,NR1D1,NR1H2,NR1I2,NR3C1,NR5A2,ONECUT1,ONECUT2,ONECUT3,OTX1,OTX2,PAX3,PAX5,PAX6,PAX7,PAX8,PAX9,PBX1,PDCD4,PDX1,PGR,PHOX2A,PHOX2B,PITX1,PITX2,PITX3,POU2F2,POU4F1,POU4F2,PPIE,PRDM14,PRDM16,PRDM8,PRMT2,PROX1,RB1,RBFOX2,RFX1,RUNX3,SALL1,SALL2,SALL3,SATB2,SCRT2,SHOX2,SIM1,SIM2,SIX1,SIX3,SIX6,SKAP1,SKOR1,SKOR2,SMAD3,SOX1,SOX14,SOX17,SOX6,TAF7,TAL1,TBR1,TBX15,TBX20,TBX4,TBX5,TBXT,TCF12,TCF20,TCF21,TCF23,TFAP2B,TFAP2D,THRA,TLX1,TLX2,TRAK1,TWIST1,VENTX,VSX1,VSX2,WT1,ZBTB46,ZFHX3,ZFHX4,ZFP42,ZIC1,ZIC4,ZIC5,ZMIZ1,ZNF232,ZNF257,ZNF274,ZNF486,ZNF502,ZNF536,ZNF625,ZNF671,ZNF709,ZNF835,ZNF876P,ZNF98,ZSCAN1,ZSCAN18,ZSCAN23	4.707534005818018e-31	1.2726818184729011e-27
GO_BP	combined	Regulation Of Transcription By RNA Polymerase II (GO:0006357)	1855	2608	33010	288	ACTL6B,ACTR3,ALX1,ALX3,ARID5A,ARNT,ASCL4,BACH2,BARHL2,BATF,BCAS3,BCL6,BCL6B,BCL9,CAMTA1,CBFB,CDH13,CDX2,CEBPG,CHD6,COPS5,CREB3L2,CREM,CRYM,CUX1,CUX2,CXXC5,DBX1,DHX9,DLX2,DMRT1,DMRTA2,DNAJB1,DNMT3A,DRGX,EBF1,EHF,ELF5,EN1,EN2,ENG,ENO1,EOMES,EPCAM,ERG,ESRRG,ETS1,EVX1,EVX2,EZR,FERD3L,FEZF1,FOXA1,FOXA2,FOXB1,FOXC1,FOXE3,FOXG1,FOXK1,FOXP1,FOXR1,GALR1,GALR3,GATA3,GATA4,GATAD2B,GCM2,GFI1,GLI2,GLIS1,GRHL2,GRHL3,GSX1,HDAC4,HDAC9,HIF3A,HLTF,HMGA1,HMGA2,HMGB1,HNF1B,HNF4G,HOXA10,HOXA3,HOXA5,HOXA9,HOXB13,HOXB2,HOXB3,HOXB6,HOXB7,HOXB9,HOXC13,HOXC4,HOXC6,HOXC9,HOXD10,HOXD13,HOXD3,HOXD8,HOXD9,HSF1,HTATIP2,IER5,IGF1,IL18,KANSL3,KLF16,LEF1,LEFTY1,LHX1,LHX2,LHX4,LHX8,LHX9,LINC-PINT,MACC1,MACROH2A1,MAF,MAML3,MC1R,MECOM,MEF2D,MEIS1,MIR9-1HG,MLXIP,MUC1,MYT1L,NCOA2,NCOR2,NEUROD1,NFATC1,NFE2L1,NFE2L3,NFIA,NFIC,NFIX,NKX1-1,NKX2-1,NKX2-2,NKX2-3,NKX2-6,NKX6-1,NKX6-2,NLRP3,NPAS3,NPAS4,NR1D1,NR1H2,NR1I2,NR2C1,NR2E1,NR2F6,NR3C1,NR5A2,NTN1,ONECUT1,ONECUT2,ONECUT3,OTP,OTX1,OTX2,PARP1,PAX3,PAX5,PAX6,PAX7,PAX8,PAX9,PBX1,PBX2P1,PDX1,PGR,PHF21A,PHOX2A,PHOX2B,PITX1,PITX2,PITX3,POU2F2,POU4F1,POU4F2,PPARD,PRDM14,PRDM16,PRKCB,PRKD1,PRKN,PROX1,PRRX1,PTPRN,RARG,RB1,RFX1,RFX2,RGMA,RIPK2,RUNX1,RUNX3,S100A10,SALL1,SALL2,SALL3,SATB2,SCRT2,SHOX2,SIM1,SIM2,SINHCAF,SIX1,SIX3,SIX6,SKAP1,SKI,SKOR1,SKOR2,SMAD2,SMAD3,SOX1,SOX11,SOX14,SOX17,SOX6,SSBP3,ST18,SUB1,TAF7,TAL1,TARBP1,TBL1XR1,TBR1,TBX15,TBX20,TBX4,TBX5,TBXT,TCF12,TCF20,TCF21,TCF23,TET3,TFAP2B,TFAP2D,TFR2,THRA,TLX1,TLX2,TOX2,TRAK1,TRPS1,TSHZ3,TWIST1,VENTX,VSX2,WT1,WWOX,YBX1,ZBTB16,ZBTB46,ZFHX3,ZFHX4,ZFP42,ZFPM2,ZIC1,ZIC4,ZIC5,ZKSCAN1,ZMIZ1,ZNF169,ZNF177,ZNF212,ZNF217,ZNF232,ZNF274,ZNF394,ZNF536,ZNF560,ZNF572,ZNF608,ZNF625,ZNF671,ZNF709,ZNF835,ZSCAN1,ZSCAN18,ZSCAN23,ZSCAN5A,ZXDC	1.1105154521660117e-29	6.004557049861626e-26
GO_BP	combined	Regulation Of DNA-templated Transcription (GO:0006355)	1780	2608	33010	263	ACTL6B,ALX1,ALX3,ARID5A,ARNT,ASCL4,ASIC2,BACH2,BAMBI,BARHL2,BATF,BCL6,CAMTA1,CBFA2T3,CBFB,CDK15,CDK17,CDKN2A,CDX2,CEBPG,CREB3L2,CREM,CUX1,DBX1,DHX9,DMRT1,DMRTA2,DNMT3A,DRGX,EBF1,EHF,ELF5,EN1,EN2,ENG,ENO1,EOMES,ERC1,ERG,ERN2,ESRRG,ETS1,EVX1,EVX2,FERD3L,FEZF1,FOXA1,FOXA2,FOXB1,FOXC1,FOXE3,FOXG1,FOXK1,FOXP1,FOXR1,GATA3,GATA4,GATAD2B,GCM2,GDF6,GDF7,GFI1,GLI2,GLIS1,GON4L,GRHL2,GRHL3,HDAC4,HDAC9,HIF3A,HMGA1,HMGA2,HMGB1,HNF1B,HNF4G,HOXA10,HOXA3,HOXA5,HOXA9,HOXB13,HOXB3,HOXB6,HOXB7,HOXB9,HOXC13,HOXC4,HOXC6,HOXC9,HOXD10,HOXD13,HOXD3,HOXD8,HOXD9,HSF1,HTATIP2,IGF1,KANSL3,KLF16,LEF1,LHX1,LHX2,LHX4,LHX8,LHX9,MAF,MECOM,MLLT1,MLXIP,MYT1L,NCOA2,NCOR2,NDUFA13,NEUROD1,NFATC1,NFE2L1,NFE2L3,NFIA,NFIC,NFIX,NKX1-1,NKX2-1,NKX2-2,NKX2-3,NKX2-6,NKX6-1,NKX6-2,NMNAT1,NPAS3,NPAS4,NR1D1,NR1H2,NR1I2,NR3C1,NR5A2,NRG1,NTN1,ONECUT1,ONECUT2,ONECUT3,OTX1,OTX2,PARP1,PAX3,PAX5,PAX6,PAX7,PAX8,PAX9,PBX1,PBX2P1,PDCD4,PDX1,PGR,PHOX2A,PHOX2B,PITX1,PITX2,PITX3,POU2F2,POU4F1,POU4F2,PPARD,PPIE,PRAME,PRDM14,PRDM16,PRDM8,PRKCB,PRMT2,PROX1,PYHIN1,RB1,RBFOX2,RFX1,RFX2,RUNX1,RUNX1T1,RUNX3,SALL1,SALL2,SALL3,SATB2,SCRT2,SHOX2,SIM1,SIM2,SIX1,SIX3,SIX6,SKAP1,SKOR1,SKOR2,SMAD2,SMAD3,SOX1,SOX14,SOX17,SOX6,SUB1,TAF7,TAL1,TARBP1,TBL1XR1,TBR1,TBX15,TBX20,TBX4,TBX5,TBXT,TCF12,TCF20,TCF21,TCF23,TFAP2B,TFAP2D,THRA,TLE2,TLX1,TLX2,TOX2,TRAK1,TRPS1,TSHZ3,TWIST1,USP13,VENTX,VSX1,VSX2,WT1,YBX1,ZBTB16,ZBTB46,ZFHX3,ZFHX4,ZFP42,ZFPM2,ZIC1,ZIC4,ZIC5,ZKSCAN1,ZMIZ1,ZNF212,ZNF217,ZNF232,ZNF257,ZNF274,ZNF394,ZNF423,ZNF486,ZNF502,ZNF536,ZNF608,ZNF625,ZNF671,ZNF709,ZNF835,ZNF876P,ZNF98,ZSCAN1,ZSCAN18,ZSCAN23,ZSCAN5A,ZXDC	7.454454709235347e-24	2.015311830641776e-20
GO_BP	combined	Nervous System Development (GO:0007399)	411	2608	33010	89	ACTL6B,ACVR1C,ADGRB1,APBA2,ASIC2,B3GNT5,BDNF,BTBD3,CBLN1,CDH2,CELSR1,CHRM2,CRIM1,CRMP1,DCHS1,DCLK1,DCTN1,DNM3,DSCAM,EPHB1,FARP1,FAT4,FGF12,FGF14,FGF5,GRHL2,GSS,GSX1,HDAC4,HOXB2,HPCAL4,ITM2B,JARID2,KALRN,KCNQ2,LHX1,LSAMP,MAMDC2,MDGA2,MNX1,MYT1L,NAV1,NAV2,NEUROD1,NMUR2,NR2E1,NRG1,NRSN1,NRXN2,NTF3,OLFM1,PAX6,PAX8,PCDHB11,PCDHB13,PCDHB16,PCDHB3,PCDHB4,PCDHB5,PCDHB6,PHOX2B,POU4F1,PRKN,PROX1,RAPGEF5,RBFOX1,RBFOX2,RBFOX3,SDK1,SDK2,SHANK2,SHANK3,SHC3,SHOX2,SLC2A1,SLITRK1,SOX11,SOX14,SOX6,SPTBN1,SRRM4,TRAK1,TRIM71,VAX1,VAX2,ZBTB16,ZIC1,ZIC4,ZIC5	1.5530530808604921e-18	2.7991193360708938e-15
GO_BP	combined	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	888	2608	33010	148	ACTR3,ALX1,ARNT,BCAS3,BCL9,CDH13,CDX2,CEBPG,CHD6,COPS5,DHX9,DMRT1,EHF,ELL,ENG,EOMES,EPCAM,ERG,ESRRG,ETS1,FOXA1,FOXA2,FOXC1,FOXR1,GALR1,GALR3,GATA3,GATA4,GLI2,GLIS1,GRHL2,GRHL3,GSX1,HDAC4,HLTF,HMGA1,HMGA2,HMGB1,HNF1B,HNF4G,HOXA10,HOXA5,HOXB2,HOXB3,HOXB7,HOXC4,HOXD13,HOXD3,HOXD8,HSF1,HTATIP2,IER5,IGF1,IL18,KANSL3,LEF1,LHX4,MACC1,MAML3,MC1R,MDC1,MEF2D,MEIS1,MIR9-1HG,MLXIP,MUC1,NCOA2,NEUROD1,NFATC1,NFE2L1,NFIA,NFIC,NFIX,NKX2-1,NKX2-6,NKX6-1,NLRP3,NPAS4,NR1D1,NR1H2,NR1I2,NR3C1,NR5A2,ONECUT1,ONECUT2,OTX1,OTX2,PARP1,PAX3,PAX6,PAX8,PBX1,PBX2P1,PDX1,PGR,PHOX2A,PHOX2B,PITX2,POU2F2,POU4F1,POU4F2,PPARD,PRKD1,PRKN,PROX1,PRRX1,PTPRN,RARG,RGMA,RIPK2,RUNX1,S100A10,SALL1,SALL2,SATB2,SIX1,SKAP1,SKI,SMAD2,SMAD3,SOX1,SOX11,SOX14,SOX17,SSBP3,ST18,TAF7,TAL1,TBL1XR1,TBX5,TBXT,TCF12,TCF20,TCF21,TET3,TFAP2B,TFR2,THRA,TLX2,TOX2,TWIST1,VENTX,WT1,WWOX,YBX1,ZFHX3,ZFPM2,ZMIZ1	2.4667630591891352e-18	3.3344469652589137e-15
GO_BP	hypermethylated	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	888	1459	33010	101	ACTR3,ALX1,BCAS3,CDX2,CHD6,DMRT1,ELL,ENG,EOMES,ESRRG,ETS1,FOXA1,FOXA2,FOXR1,GALR1,GALR3,GATA3,GATA4,GLI2,GSX1,HDAC4,HNF1B,HOXA5,HOXB2,HOXB3,HOXB7,HOXC4,HOXD13,HOXD3,HOXD8,HSF1,IGF1,KANSL3,LEF1,LHX4,MAML3,MEF2D,MEIS1,MIR9-1HG,NEUROD1,NFE2L1,NFIA,NFIC,NKX2-1,NKX2-6,NKX6-1,NPAS4,NR1D1,NR1H2,NR1I2,NR3C1,NR5A2,ONECUT1,ONECUT2,OTX1,OTX2,PAX3,PAX6,PAX8,PBX1,PDX1,PGR,PHOX2A,PHOX2B,PITX2,POU2F2,POU4F1,POU4F2,PRKD1,PROX1,PRRX1,PTPRN,RARG,SALL1,SALL2,SATB2,SIX1,SKAP1,SKI,SMAD3,SOX1,SOX14,SOX17,SSBP3,ST18,TAF7,TAL1,TBX5,TBXT,TCF12,TCF20,TCF21,TET3,TFAP2B,THRA,TLX2,TWIST1,VENTX,WT1,ZFHX3,ZMIZ1	3.6163449701887855e-18	6.517859084603587e-15
GO_BP	combined	Chemical Synaptic Transmission (GO:0007268)	254	2608	33010	64	APBA2,ASIC2,BRSK1,CACNA1A,CACNA1E,CBLN1,CDH8,CHAT,CHRM2,CHRNA4,CHRND,DLG2,DLGAP1,DLGAP2,DRD4,DRD5,ERC1,GABRA1,GABRA4,GABRB1,GABRG2,GAD1,GALR3,GRIA1,GRIK2,GRIN2A,GRIN3B,HAPLN4,HTR1A,HTR1B,HTR6,KCNA1,KCNQ2,KIF1B,KIF5A,MPZ,NPBWR1,NPTX2,NRXN2,PCDHB11,PCDHB13,PCDHB16,PCDHB3,PCDHB4,PCDHB5,PCDHB6,PDE7B,PENK,PPFIA3,PTPRN2,RIMBP2,RPS6KA2,SCN2B,SEPTIN9,SHISA6,SLC12A5,SLC17A6,SLC18A3,SLC1A6,SLC32A1,SST,SYT1,SYT5,UNC13A	4.3504222413321445e-17	4.7045466117765815e-14
GO_BP	hypermethylated	Chemical Synaptic Transmission (GO:0007268)	254	1459	33010	47	APBA2,BRSK1,CACNA1E,CBLN1,CHAT,CHRND,DLGAP1,DRD4,DRD5,ERC1,GABRA1,GABRA4,GABRB1,GABRG2,GAD1,GALR3,GRIK2,HAPLN4,HTR1A,HTR1B,HTR6,KCNA1,KIF1B,MPZ,NPBWR1,NPTX2,NRXN2,PCDHB11,PCDHB13,PCDHB16,PCDHB3,PCDHB4,PCDHB5,PCDHB6,PDE7B,PENK,PPFIA3,PTPRN2,SCN2B,SEPTIN9,SHISA6,SLC12A5,SLC17A6,SLC18A3,SLC1A6,SLC32A1,SST	6.452988112083181e-17	8.722826680508442e-14
GO_BP	hypermethylated	Nervous System Development (GO:0007399)	411	1459	33010	59	ACTL6B,ACVR1C,APBA2,BDNF,BTBD3,CBLN1,CRIM1,CRMP1,DCHS1,DCTN1,EPHB1,FAT4,FGF14,FGF5,GSX1,HDAC4,HOXB2,HPCAL4,ITM2B,JARID2,KALRN,LHX1,MNX1,NAV2,NEUROD1,NR2E1,NRSN1,NRXN2,PAX6,PAX8,PCDHB11,PCDHB13,PCDHB16,PCDHB3,PCDHB4,PCDHB5,PCDHB6,PHOX2B,POU4F1,PROX1,RAPGEF5,RBFOX1,RBFOX2,SDK2,SHANK2,SHANK3,SHOX2,SLITRK1,SOX14,SOX6,SPTBN1,SRRM4,TRAK1,TRIM71,VAX1,VAX2,ZIC1,ZIC4,ZIC5	1.6509872882100272e-15	1.658703409353004e-12
