library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
Reactome	combined	Neuronal System R-HSA-112316	365	3755	33010	104	ABCC9,ACHE,ACTN2,ADCY4,ADCY8,APBA2,ARHGEF7,ARL6IP5,BEGAIN,CACNA1A,CACNA1B,CACNA1E,CACNA2D1,CACNA2D3,CACNG3,CACNG8,CAMKK2,CHRNA4,CHRNA6,CPLX1,DLGAP2,DLGAP3,ERBB4,GABRA1,GABRA4,GABRA6,GABRB1,GABRB3,GABRG2,GAD1,GAD2,GIT1,GJD2,GLRA1,GNAL,GNG4,GNG7,GRIA1,GRIA4,GRIK4,GRIK5,GRIN2A,GRIN2B,GRIN3A,GRIP2,GRM1,KCNA1,KCNA2,KCNA3,KCNA4,KCNA6,KCNA7,KCNAB1,KCNAB2,KCNAB3,KCNB2,KCNC2,KCNC3,KCNH4,KCNH7,KCNH8,KCNJ1,KCNJ16,KCNJ2,KCNK10,KCNK7,KCNK9,KCNMA1,KCNQ2,KCNS2,KCNS3,LRFN2,LRRTM1,NBEA,NCALD,NRG1,NRXN1,NRXN2,NRXN3,PRKAR1B,PRKCB,PRKCG,PTPRD,PTPRF,RASGRF1,RASGRF2,SHANK1,SHANK2,SIPA1L1,SLC1A3,SLC1A6,SLC22A2,SLC32A1,SLC38A1,SLC5A7,SLC6A3,SLITRK1,SLITRK3,SLITRK5,SNAP25,SRC,SYN2,SYT1,UBD	2.677766925512552e-19	4.868180270581819e-16
Reactome	combined	Signal Transduction R-HSA-162582	2341	3755	33010	405	ABCD3,ABHD17C,ABL1,ABR,ACKR1,ACTA2,ACTN2,ACVRL1,ADCY4,ADCY8,ADCYAP1,ADCYAP1R1,ADM2,ADORA2B,AGTR1,AKAP13,AKR1C3,AKT3,ALDH1A2,ALK,AMHR2,AMOTL1,ANGPT1,ANKFY1,APBB1IP,APH1A,ARHGAP21,ARHGAP23,ARHGAP24,ARHGAP26,ARHGAP28,ARHGEF25,ARHGEF4,ARHGEF7,ARPC5,ATP6V0A1,ATP6V0D2,ATP6V1B1,ATP6V1B2,ATP6V1G2,AVPR1A,BAIAP2L1,BASP1,BCL9,BCL9L,BDKRB1,BMP2,BMPR1B,BRAF,BUB1B,BUB3,C5AR2,CALCB,CALCR,CAMKK2,CAPZB,CASR,CAV2,CAVIN1,CCL11,CCND1,CCND3,CCR5,CDH5,CFTR,CGN,CHD4,CHGA,CHRM2,CHRM3,CKAP4,CLASP2,CLTA,CLTC,COL4A1,COL4A2,COL6A5,COL6A6,COL9A2,COL9A3,CRH,CRHBP,CRHR2,CSK,CSNK1E,CTBP2,CUL1,CYP26A1,CYP26C1,DGKD,DGKG,DGKI,DLK1,DNAJB1,DNER,DNM3,DOCK2,DOCK3,DOCK9,DRD2,DRD3,DRD4,DST,DUSP12,DYNC1I1,EDN3,EEF1AKMT4-ECE2,EEF2K,EGFR,EIF4G1,EPHA2,EPN1,EPSTI1,ERBB3,ERBB4,ESR1,ESR2,ETV4,EVC2,EVL,F2R,FAM135A,FER,FES,FGD4,FGD5,FGF18,FGF19,FGF3,FGF6,FGF8,FILIP1,FLRT2,FLT4,FMNL2,FN1,FYN,FZD7,GABRA1,GABRB1,GABRB3,GABRG2,GALNT3,GALR1,GALR3,GAS1,GFOD1,GHSR,GIT1,GLI2,GLI3,GNA12,GNA13,GNAL,GNG4,GNG7,GPC5,GPNMB,GPR25,GRB10,GREM2,GRIN2B,GRM1,GRM6,GRM7,HDAC4,HDAC9,HEBP1,HECW1,HHAT,HNRNPA1,HOXC13,HTR1A,HTR4,HTR5A,HTR6,ID4,IFT140,IGF1,IGF1R,IGF2,IGF2BP1,IHH,IKZF1,IL17RD,INHBA,INSR,ITGA2B,ITGA5,ITGA8,ITSN2,JAK1,JAK3,KCNH8,KISS1,KSR1,KSR2,KTN1,LAMA1,LAMA4,LAMB1,LAMB3,LATS2,LEF1,LEP,LGR4,LHCGR,LINGO1,LPAR5,LPAR6,LRIG1,MAD1L1,MAG,MAML2,MAML3,MAP3K11,MCF2L,MECOM,MEF2C,MGLL,MKNK1,MMP9,MPZ,MSI2,MTA3,MTNR1B,MYH10,MYL6,NANOS3,NBEA,NCK2,NCOR2,NDEL1,NF1,NFATC1,NGEF,NLRP3,NMBR,NOTCH1,NOTCH4,NPBWR1,NPY,NR1H2,NR2E1,NR3C1,NR5A2,NRG1,NRG3,NRP2,NTF3,NTRK1,OPN3,OXT,P2RY6,PARD3,PBX1,PCDH7,PCDHA4,PCDHA6,PCSK5,PDE10A,PDE1C,PDE4B,PDE4C,PDE4D,PDE6A,PDE6B,PDGFD,PEAK1,PENK,PIK3CA,PIP4K2A,PLA2G4A,PLAT,PLPPR5,PLTP,PMEPA1,PPP1R14A,PPP2R5C,PPP3CA,PRICKLE1,PRKAR1B,PRKCB,PRKCE,PRKCG,PRKCH,PRKCQ,PRLHR,PROKR2,PRR5,PTGDR,PTK2,PTN,PTPRJ,PXDN,PYY,QRFPR,RACGAP1,RALB,RANBP9,RAPGEF1,RAPGEF2,RARB,RARG,RASA3,RASGEF1A,RASGRF1,RASGRF2,RASGRP3,RBBP4,RBBP6,RGS1,RGS12,RGS17,RGS20,RGS22,RGS6,RGS7,RHOBTB3,RHOH,RNASE3,RNF111,RNF2,RORA,RPTOR,RRAGD,RSPO2,RTN4,RUNX1,RUVBL1,RXRB,RXRG,S1PR1,SALL4,SCT,SFRP2,SH3GL3,SH3PXD2A,SHH,SKI,SLITRK3,SLITRK5,SMAD7,SMPD3,SMURF1,SOX17,SOX2,SOX6,SPARC,SPINT2,SPRED2,SPRY2,SPTA1,SPTBN4,SRC,SRGAP1,SST,SSTR1,SSTR4,STAM,STAP2,STARD13,STAT5A,STEAP3,STMN2,STRADA,TAB1,TAC1,TAGAP,TAOK3,TBL1XR1,TCF12,TCF7L1,TF,TFF1,TFF3,TGFB2,TJP1,TLE1,TMPO,TNFAIP3,TNS3,TPM3,TRAK1,TRH,TRIP10,TRPC7,TSHR,UBD,UBXN11,UTS2R,VANGL2,VEGFA,VIM,VIPR2,WIF1,WIPF1,WNT2,WNT3A,WNT5B,WWOX,WWP2,WWTR1,YWHAZ,ZNF217	6.393263996020268e-19	5.811476972382424e-16
Reactome	combined	Transmission Across Chemical Synapses R-HSA-112315	233	3755	33010	61	ACHE,ACTN2,ADCY4,ADCY8,ARHGEF7,ARL6IP5,CACNA1A,CACNA1B,CACNA1E,CACNA2D1,CACNA2D3,CACNG3,CACNG8,CAMKK2,CHRNA4,CHRNA6,CPLX1,ERBB4,GABRA1,GABRA4,GABRA6,GABRB1,GABRB3,GABRG2,GAD1,GAD2,GIT1,GLRA1,GNAL,GNG4,GNG7,GRIA1,GRIA4,GRIK4,GRIK5,GRIN2A,GRIN2B,GRIN3A,GRIP2,KCNJ16,KCNJ2,NBEA,NCALD,NRG1,PRKAR1B,PRKCB,PRKCG,RASGRF1,RASGRF2,SLC1A3,SLC1A6,SLC22A2,SLC32A1,SLC38A1,SLC5A7,SLC6A3,SNAP25,SRC,SYN2,SYT1,UBD	2.8544862709737234e-10	1.7298186802100764e-07
Reactome	combined	Signaling By GPCR R-HSA-372790	648	3755	33010	124	ABR,ACKR1,ADCY4,ADCY8,ADCYAP1,ADCYAP1R1,ADM2,ADORA2B,AGTR1,AKAP13,AKT3,ARHGEF25,ARHGEF4,ARHGEF7,AVPR1A,BDKRB1,C5AR2,CALCB,CALCR,CAMKK2,CASR,CCL11,CCR5,CHGA,CHRM2,CHRM3,CRH,CRHBP,CRHR2,DGKD,DGKG,DGKI,DRD2,DRD3,DRD4,EDN3,EEF1AKMT4-ECE2,EGFR,F2R,FGD4,FZD7,GALR1,GALR3,GHSR,GNA12,GNA13,GNAL,GNG4,GNG7,GPNMB,GPR25,GRM1,GRM6,GRM7,HEBP1,HTR1A,HTR4,HTR5A,HTR6,IHH,ITGA5,KISS1,LHCGR,LPAR5,LPAR6,MCF2L,MGLL,MTNR1B,NBEA,NGEF,NLRP3,NMBR,NPBWR1,NPY,OPN3,OXT,P2RY6,PCDHA4,PCDHA6,PDE10A,PDE1C,PDE4B,PDE4C,PDE4D,PENK,PIK3CA,PLA2G4A,PLPPR5,PPP3CA,PRKAR1B,PRKCB,PRKCE,PRKCG,PRKCH,PRKCQ,PRLHR,PROKR2,PTGDR,PYY,QRFPR,RASGRF2,RGS1,RGS12,RGS17,RGS20,RGS22,RGS6,RGS7,S1PR1,SCT,SHH,SRC,SST,SSTR1,SSTR4,TAC1,TRH,TRPC7,TSHR,UBD,UTS2R,VIPR2,WNT2,WNT3A	4.0299663071074604e-09	1.4769468400359698e-06
Reactome	combined	Developmental Biology R-HSA-1266738	1008	3755	33010	176	ABL1,ABLIM1,ABLIM2,AKT3,ANK1,ANK2,ANK3,APH1A,ARHGEF7,ARPC5,CACNA1C,CACNG3,CACNG8,CCND3,CD36,CDH2,CDH4,CDX2,CERS1,CLASP2,CLTA,CLTC,COL4A1,COL4A2,COL6A5,COL6A6,COL9A2,COL9A3,CRMP1,CSTA,CTNNA2,DCC,DMRT1,DNAAF3,DNM3,DPYSL2,DSC3,DSCAM,EBF1,EGFR,EIF4G1,EOMES,EPHA1,EPHA10,EPHA2,EPHB1,EVL,EZR,FES,FLG,FLI1,FOXA2,FOXD3,FOXL2,FOXP1,FYN,GATA4,GATA6,GFI1,GIT1,GRB10,GRIN2B,GSPT1,HIF3A,HJV,HNF1B,HOXA1,HOXA3,HOXA4,HOXB3,HOXC4,HOXD3,INSM1,ISL1,ITGA2B,ITGA5,ITGA9,IVL,KAZN,KCNQ2,KRT3,KRT4,KRT77,KRTAP10-4,KRTAP11-1,LAMA1,LAMB1,LDB2,LEF1,LEFTY1,LELP1,LEP,LGI4,LHX2,LHX4,LHX9,LIN28A,MAG,MAML2,MAML3,MEF2C,MEIS1,MMP9,MPZ,MYF6,MYH10,MYL6,MYOD1,NCK2,NCOR2,NEUROD1,NGEF,NKX2-2,NKX6-1,NOTCH1,NR5A2,NRP2,ONECUT1,ONECUT3,PAX4,PAX6,PBX1,PDLIM7,PIK3CA,PLXNA4,PLXNC1,PRDM14,PRKCQ,PTF1A,PTGDS,PTK2,PTPRC,RANBP9,RARB,RARG,RBBP4,RGMA,ROBO3,RPL4,RPS2,RPSA,RUNX1,SALL1,SALL4,SCN10A,SCN11A,SCN4A,SCN4B,SCN7A,SEMA4A,SEMA5A,SHTN1,SIAH2,SLIT2,SOX2,SPRR2A,SPRR2D,SPTA1,SPTBN4,SRC,SRGAP1,ST8SIA2,STX1B,TAL1,TBL1XR1,TBPL2,TBXT,TCF12,TCF7L1,TCHH,TEAD1,TRPC7,UNC5D,WT1,WWTR1,ZFPM2	4.062010011100027e-09	1.4769468400359698e-06
Reactome	combined	Signaling By Receptor Tyrosine Kinases R-HSA-9006934	480	3755	33010	98	ADCYAP1,ADCYAP1R1,AKT3,ALK,APH1A,ARHGEF7,ATP6V0A1,ATP6V0D2,ATP6V1B1,ATP6V1B2,ATP6V1G2,BRAF,CDH5,CHD4,CLTA,CLTC,COL4A1,COL4A2,COL6A5,COL6A6,COL9A2,COL9A3,CSK,DNM3,DOCK3,EGFR,EPN1,ERBB3,ERBB4,ESR1,FER,FES,FGF18,FGF19,FGF3,FGF6,FGF8,FLRT2,FLT4,FYN,GABRA1,GABRB1,GABRB3,GABRG2,GALNT3,GRB10,GRIN2B,HNRNPA1,HOXC13,ID4,IGF1,IGF1R,IGF2,INSR,JAK3,KCNH8,LAMA1,LAMA4,LAMB1,LAMB3,LRIG1,MEF2C,MKNK1,MMP9,NANOS3,NCK2,NRG1,NRG3,NRP2,NTF3,NTRK1,PCSK5,PDGFD,PIK3CA,PLAT,PRKCB,PRKCE,PRR5,PTK2,PTN,PTPRJ,PXDN,RALB,RANBP9,RAPGEF1,SH3GL3,SPARC,SPINT2,SPRED2,SPRY2,SRC,STAM,STAT5A,TCF12,TF,TNS3,VEGFA,WWOX	6.013314315771157e-09	1.6604560469858348e-06
Reactome	combined	Cell-Cell Communication R-HSA-1500931	114	3755	33010	36	ACTN2,ACTN3,CADM3,CDH13,CDH17,CDH2,CDH4,CDH5,CDH8,CDH9,CLDN10,CLDN11,CLDN12,CLDN4,CLDN5,CLDN6,CLDN9,DST,FYN,KIRREL3,LAMA4,LAMB3,MAGI2,NCK2,NECTIN3,NPHS1,PARD3,PIK3CA,PTK2,PXDN,SDK1,SDK2,SIRPA,SIRPB1,SIRPG,SRC	6.393395120407505e-09	1.6604560469858348e-06
Reactome	combined	GPCR Downstream Signaling R-HSA-388396	580	3755	33010	109	ABR,ADCY4,ADCY8,ADCYAP1,ADCYAP1R1,ADM2,ADORA2B,AGTR1,AKAP13,AKT3,ARHGEF25,ARHGEF4,ARHGEF7,AVPR1A,BDKRB1,CALCB,CALCR,CAMKK2,CASR,CCR5,CHGA,CHRM2,CHRM3,CRH,CRHR2,DGKD,DGKG,DGKI,DRD3,DRD4,EDN3,EGFR,F2R,FGD4,GALR1,GALR3,GHSR,GNA12,GNA13,GNAL,GNG4,GNG7,GPNMB,GPR25,GRM1,GRM6,GRM7,HEBP1,HTR4,HTR5A,HTR6,ITGA5,KISS1,LHCGR,LPAR5,LPAR6,MCF2L,MGLL,MTNR1B,NBEA,NGEF,NLRP3,NMBR,NPBWR1,NPY,OPN3,OXT,P2RY6,PCDHA4,PCDHA6,PDE10A,PDE1C,PDE4B,PDE4C,PDE4D,PENK,PIK3CA,PLA2G4A,PPP3CA,PRKAR1B,PRKCB,PRKCE,PRKCG,PRKCH,PRKCQ,PROKR2,PTGDR,PYY,QRFPR,RASGRF2,RGS1,RGS12,RGS17,RGS20,RGS22,RGS6,RGS7,SCT,SRC,SST,SSTR1,SSTR4,TAC1,TRH,TRPC7,TSHR,UBD,UTS2R,VIPR2	9.057929161449513e-08	2.0584144019394017e-05
Reactome	combined	Voltage Gated Potassium Channels R-HSA-1296072	42	3755	33010	18	KCNA1,KCNA2,KCNA3,KCNA4,KCNA6,KCNA7,KCNAB1,KCNAB2,KCNAB3,KCNB2,KCNC2,KCNC3,KCNH4,KCNH7,KCNH8,KCNQ2,KCNS2,KCNS3	2.301071519520568e-07	4.6481644694315474e-05
Reactome	combined	Collagen Formation R-HSA-1474290	88	3755	33010	27	ADAMTS2,COL11A1,COL11A2,COL14A1,COL16A1,COL20A1,COL23A1,COL26A1,COL4A1,COL4A2,COL5A2,COL6A5,COL6A6,COL8A1,COL9A2,COL9A3,DST,LAMA4,LAMB3,LOX,LOXL1,LOXL2,MMP9,P3H2,P4HA2,P4HA3,PXDN	9.094151071780024e-07	0.00016533166648496081
