library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
GO_BP	combined	Regulation Of Transcription By RNA Polymerase II (GO:0006357)	1855	688	33010	89	ALX1,BCL9,CDX2,COPS5,CREM,CUX1,DRGX,EOMES,EVX1,EVX2,EZR,FERD3L,FOXA1,FOXA2,FOXC1,FOXE3,GALR1,GATA3,GATAD2B,GFI1,GRHL2,HOXB13,HOXB7,HOXC4,HOXD10,HOXD13,HSF1,LHX1,LHX8,LHX9,LINC-PINT,MAML3,MYT1L,NEUROD1,NFE2L3,NKX2-1,NKX2-6,NR2E1,ONECUT2,OTP,OTX1,OTX2,PARP1,PAX3,PAX5,PAX6,PDX1,PHOX2B,POU4F2,PRDM16,PRRX1,RARG,RB1,RFX1,S100A10,SATB2,SCRT2,SIM1,SIM2,SIX3,SIX6,SKI,SKOR1,SOX1,ST18,SUB1,TAL1,TBL1XR1,TBX20,TBXT,TCF20,TCF23,TFAP2B,TFAP2D,THRA,TLX1,WT1,WWOX,ZBTB16,ZFP42,ZIC1,ZIC4,ZNF217,ZNF274,ZNF536,ZNF560,ZNF671,ZNF709,ZSCAN18	2.0663524260102265e-13	1.1172767567437294e-09
GO_BP	combined	Regulation Of DNA-templated Transcription (GO:0006355)	1780	688	33010	81	ALX1,ASIC2,CDK15,CDKN2A,CDX2,CREM,CUX1,DRGX,EOMES,EVX1,EVX2,FERD3L,FOXA1,FOXA2,FOXC1,FOXE3,GATA3,GATAD2B,GFI1,GON4L,GRHL2,HOXB13,HOXB7,HOXC4,HOXD10,HOXD13,HSF1,LHX1,LHX8,LHX9,MLLT1,MYT1L,NEUROD1,NFE2L3,NKX2-1,NKX2-6,ONECUT2,OTX1,OTX2,PARP1,PAX3,PAX5,PAX6,PDX1,PHOX2B,POU4F2,PRDM16,PRMT2,RB1,RFX1,SATB2,SCRT2,SIM1,SIM2,SIX3,SIX6,SKOR1,SOX1,SUB1,TAL1,TBL1XR1,TBX20,TBXT,TCF20,TCF23,TFAP2B,TFAP2D,THRA,TLX1,WT1,ZBTB16,ZFP42,ZIC1,ZIC4,ZNF217,ZNF274,ZNF536,ZNF671,ZNF709,ZNF876P,ZSCAN18	3.9198991495522446e-11	1.0597447350814493e-07
GO_BP	combined	Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)	686	688	33010	39	ALX1,CDX2,CREM,CUX1,EOMES,EZR,FOXC1,GATA3,GATAD2B,GFI1,HOXB13,HSF1,LINC-PINT,MYT1L,NKX2-1,NR2E1,OTP,PARP1,PAX6,POU4F2,PRDM16,RARG,RB1,SCRT2,SKI,SKOR1,SOX1,TBL1XR1,TBX20,TBXT,TCF23,TFAP2B,THRA,WT1,ZBTB16,ZNF217,ZNF274,ZNF536,ZNF560	2.1411781760165493e-08	3.8591167992404943e-05
GO_BP	combined	Chemical Synaptic Transmission (GO:0007268)	254	688	33010	21	ASIC2,DLGAP1,DLGAP2,GABRA1,GRIA1,HTR1A,HTR1B,NPBWR1,NPTX2,NRXN2,PCDHB4,PCDHB5,PCDHB6,PENK,PPFIA3,PTPRN2,RIMBP2,SHISA6,SLC12A5,SST,SYT1	1.0538336625999137e-07	0.00014245196534194333
GO_BP	combined	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	888	688	33010	44	ALX1,BCL9,CDX2,COPS5,EOMES,FOXA1,FOXA2,FOXC1,GALR1,GATA3,GRHL2,HOXB7,HOXC4,HOXD13,HSF1,MAML3,MDC1,NEUROD1,NKX2-1,NKX2-6,ONECUT2,OTX1,OTX2,PARP1,PAX3,PAX6,PDX1,PHOX2B,POU4F2,PRRX1,RARG,S100A10,SATB2,SKI,SOX1,ST18,TAL1,TBL1XR1,TBXT,TCF20,TFAP2B,THRA,WT1,WWOX	1.4154675626596163e-07	0.0001530686622260109
GO_BP	combined	Nervous System Development (GO:0007399)	411	688	33010	27	ASIC2,BTBD3,FGF5,GRHL2,HPCAL4,JARID2,LHX1,MDGA2,MYT1L,NAV1,NEUROD1,NR2E1,NRSN1,NRXN2,PAX6,PCDHB4,PCDHB5,PCDHB6,PHOX2B,RBFOX1,RBFOX3,SLITRK1,VAX1,VAX2,ZBTB16,ZIC1,ZIC4	1.9755564356914913e-07	0.00015819859604312937
GO_BP	combined	Negative Regulation Of DNA-templated Transcription (GO:0045892)	931	688	33010	45	ALX1,CDKN2A,CDX2,CREM,CUX1,EOMES,EZR,FERD3L,FOXC1,GATA3,GATAD2B,GFI1,HOXB13,HSF1,LHX1,LHX9,LINC-PINT,MYT1L,NKX2-1,NR2E1,OTP,PARP1,PAX6,POU4F2,PRDM16,PRMT2,RARG,RB1,SCRT2,SIX3,SKI,SKOR1,SOX1,TBL1XR1,TBX20,TBXT,TCF23,TFAP2B,THRA,WT1,ZBTB16,ZNF217,ZNF274,ZNF536,ZNF560	2.048067638805078e-07	0.00015819859604312937
GO_BP	combined	Positive Regulation Of DNA-templated Transcription (GO:0045893)	1182	688	33010	51	ALX1,ASIC2,BCL9,CDX2,COPS5,EOMES,FOXA1,FOXA2,FOXC1,GALR1,GATA3,GATAD2B,GRHL2,HOXB7,HOXC4,HOXD13,HSF1,LHX1,MAML3,MLLT1,NEUROD1,NKX2-1,NKX2-6,ONECUT2,OTX1,OTX2,PARP1,PAX3,PAX6,PDX1,PHOX2B,POU4F2,PRDM16,PRMT2,PRRX1,RARG,S100A10,SATB2,SKI,SOX1,ST18,TAL1,TBL1XR1,TBXT,TCF20,TFAP2B,THRA,WT1,WWOX,ZBTB16,ZIC1	9.745182894026654e-07	0.0006586525488500264
GO_BP	combined	Neuron Differentiation (GO:0030182)	164	688	33010	15	FOXA1,FOXA2,LHX1,LHX8,LHX9,MYT1L,NEUROD1,OTP,OTX2,PAX6,PHOX2B,POU4F2,TENM3,VAX1,VAX2	1.9689615417590943e-06	0.0011829083395879358
GO_BP	combined	Positive Regulation Of Transcription Regulatory Region DNA Binding (GO:2000679)	21	688	33010	6	FOXC1,GATA3,NEUROD1,PAX6,POU4F2,RB1	3.332315916706665e-06	0.0018017832161632938
