library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
GO_CC	combined	Neuron Projection (GO:0043005)	524	688	33010	25	CXADR,ELFN1,EPHA10,GABRA1,GHSR,GRIA1,HTR1A,HTR1B,INSRR,KCNC2,KLHL1,NEFM,NPBWR1,NRSN1,NTRK1,PENK,RAB27A,RPH3A,SKOR1,SLC12A5,SLC4A10,SLC6A3,SSTR4,SYT1,TENM3	0.00012779481088188513	0.06057474035801355
GO_CC	combined	AMPA Glutamate Receptor Complex (GO:0032281)	18	688	33010	4	CACNG7,CACNG8,GRIA1,SHISA6	0.00045351354418985795	0.10748270997299633
GO_CC	combined	Postsynaptic Specialization Membrane (GO:0099634)	36	688	33010	5	CACNG7,CACNG8,GRIA1,GRM1,LRRTM2	0.0008558653543010361	0.1352267259795637
GO_CC	combined	Actin-Based Cell Projection (GO:0098858)	80	688	33010	7	ATP6V1B1,CD44,CXADR,DNALI1,EZR,MYO3A,WWOX	0.0014124727420041	0.1671548548970707
GO_CC	combined	Dendrite Membrane (GO:0032590)	26	688	33010	4	GABRA1,GRIA1,KCNC2,SHISA6	0.0019415270658857864	0.1671548548970707
GO_CC	combined	Polymeric Cytoskeletal Fiber (GO:0099513)	249	688	33010	13	CCT5,CCT6A,COTL1,DCDC2C,DST,EZR,FSD1,HCK,KIF28P,MACF1,NEFM,RADIL,TUBB2B	0.002353841867523884	0.1671548548970707
GO_CC	combined	GABA-ergic Synapse (GO:0098982)	14	688	33010	3	CBLN4,LRRTM2,SLITRK1	0.0027639164916760483	0.1671548548970707
GO_CC	combined	Voltage-Gated Calcium Channel Complex (GO:0005891)	48	688	33010	5	CACNA2D2,CACNG7,CACNG8,CATSPERG,SCN1A	0.0031673600864015067	0.1671548548970707
GO_CC	combined	Synaptic Membrane (GO:0097060)	30	688	33010	4	GRIA1,LRRTM2,SHISA6,TMEM240	0.003332552239475551	0.1671548548970707
GO_CC	combined	Nuclear Stress Granule (GO:0097165)	5	688	33010	2	HSF1,RBFOX1	0.0041602658152276005	0.1671548548970707
GO_CC	combined	Ionotropic Glutamate Receptor Complex (GO:0008328)	32	688	33010	4	CACNG7,CACNG8,GRIA1,SHISA6	0.004231768478406853	0.1671548548970707
GO_CC	combined	Postsynaptic Density Membrane (GO:0098839)	32	688	33010	4	CACNG7,CACNG8,GRIA1,GRM1	0.004231768478406853	0.1671548548970707
GO_CC	combined	Microvillus (GO:0005902)	57	688	33010	5	ATP6V1B1,CD44,EZR,SLC38A4,WWOX	0.00664832381559426	0.24240811450705227
GO_CC	combined	Dendrite (GO:0030425)	253	688	33010	12	ELFN1,EPHA10,GABRA1,GRIA1,HTR1A,HTR1B,KCNC2,KLHL1,PENK,RAB27A,SKOR1,SLC4A10	0.007208094081768772	0.2440454710541713
GO_CC	combined	Dendritic Spine Membrane (GO:0032591)	7	688	33010	2	GRIA1,SHISA6	0.008497595448778828	0.268524016181411
GO_CC	combined	Microtubule (GO:0005874)	175	688	33010	9	CCT5,CCT6A,DCDC2C,FSD1,KIF28P,MACF1,PARP4,RADIL,TUBB2B	0.011471849453255007	0.3297411932496488
GO_CC	combined	Nucleus (GO:0005634)	4109	688	33010	106	ALX1,ASIC2,BTBD3,CDK15,CDKN2A,CDX2,CELF4,CFTR,CIDEA,CIRBP,COPS5,CREM,CRYGD,CUX1,DST,DZIP1,EVX1,EVX2,FERD3L,FEZF2,FMN2,FOXA1,FOXA2,FOXC1,FOXE3,GATA3,GATAD2B,GFI1,GON4L,GRHL2,HENMT1,HOXB7,HOXC4,HOXD10,HSF1,JARID2,LHX1,LHX8,LHX9,LINC-PINT,MAML3,MDC1,MEIG1,MYT1L,NEUROD1,NFE2L3,NKAPL,NKX2-1,NKX2-6,NSMCE2,ONECUT2,OTX1,OTX2,PARP1,PARP4,PAX6,PDE4C,PDX1,PHACTR1,POU4F2,PRDM13,PRDM16,PRMT2,RARG,RB1,RBFOX1,RBFOX3,RERE,RPS2,SIX3,SIX6,SKI,SKOR1,SMC4,SOX1,SPAG6,SPHK2,SPRY2,SRSF7,ST18,SUB1,TAL1,TBL1XR1,TBX20,TBXT,TCERG1L,TCF20,TFAP2B,TFAP2D,THRA,TLX1,TMPO,TRH,TRIM15,TUBB2B,VSTM2A,WT1,WWOX,ZBTB16,ZCCHC8,ZCWPW1,ZIC1,ZIC4,ZNF217,ZNF536,ZNF709	0.011826160939333395	0.3297411932496488
GO_CC	combined	Glutamatergic Synapse (GO:0098978)	67	688	33010	5	DLGAP1,DLGAP2,NPTX2,SHISA6,SLITRK1	0.01295385916927233	0.3411182914575047
GO_CC	combined	Catenin Complex (GO:0016342)	28	688	33010	3	CDH9,CTNNA1,PCDHGB4	0.020052798077341588	0.4510160571444493
GO_CC	combined	Microtubule Cytoskeleton (GO:0015630)	326	688	33010	13	CCT5,CCT6A,CSPP1,DCDC2C,DST,FSD1,KIF28P,MACF1,NAV1,RADIL,SPAG6,SPRY2,TUBB2B	0.0201887350630601	0.4510160571444493
GO_CC	combined	Exocytic Vesicle Membrane (GO:0099501)	50	688	33010	4	PTPRN2,RPH3A,SYNGR2,SYT1	0.020220823814165744	0.4510160571444493
GO_CC	combined	Synaptic Vesicle Membrane (GO:0030672)	51	688	33010	4	PTPRN2,RPH3A,SYNGR2,SYT1	0.021590323774968553	0.4510160571444493
GO_CC	combined	Intracellular Membrane-Bounded Organelle (GO:0043231)	4741	688	33010	118	ALX1,ASIC2,ATP11A,BCL9,BTBD3,CDK15,CDKN2A,CDX2,CELF4,CFTR,CIDEA,CIRBP,COPS5,CREM,CRYGD,CTNNA1,CUX1,CYP27C1,DST,DZIP1,EVX1,EVX2,FERD3L,FEZF2,FMN2,FOXA1,FOXA2,FOXC1,FOXE3,GATA3,GATAD2B,GFI1,GON4L,GRHL2,HCK,HENMT1,HLA-DPA1,HOXA2,HOXB7,HOXC4,HOXD10,HSF1,JARID2,L1TD1,LHX1,LHX8,LHX9,LINC-PINT,MAML3,MDC1,MEIG1,MYT1L,NEUROD1,NFE2L3,NKAPL,NKX2-1,NKX2-6,NSMCE2,ONECUT2,OSBPL5,OTX1,OTX2,PARP1,PARP4,PAX6,PDE4C,PDX1,PHACTR1,PMEPA1,POU4F2,PRDM13,PRDM16,PRMT2,RARG,RB1,RBFOX1,RBFOX3,RERE,RFX1,RPS2,SIX3,SIX6,SKI,SKOR1,SMC4,SOX1,SPAG6,SPHK2,SPRY2,SRSF7,ST18,SUB1,TAL1,TBL1XR1,TBX20,TBXT,TCERG1L,TCF20,TFAP2B,TFAP2D,THRA,TLX1,TMPO,TRH,TRIM15,TUBB2B,VSTM2A,WT1,WWOX,ZBTB16,ZCCHC8,ZCWPW1,ZIC1,ZIC4,ZNF217,ZNF536,ZNF709,ZNRF2	0.021884745388865683	0.4510160571444493
GO_CC	combined	Filopodium (GO:0030175)	55	688	33010	4	CXADR,DNALI1,EZR,MYO3A	0.027626650679716733	0.5456263509244055
GO_CC	combined	Platelet Dense Granule Lumen (GO:0031089)	13	688	33010	2	RARRES2,SELENOP	0.02906003418511519	0.5509782481497839
GO_CC	combined	Calcium Channel Complex (GO:0034704)	57	688	33010	4	CACNA2D2,CACNG7,CACNG8,SCN1A	0.030985108565328035	0.5648823638448265
GO_CC	combined	Cortical Cytoskeleton (GO:0030863)	61	688	33010	4	AKAP13,COTL1,EZR,RIMS3	0.038392744320418906	0.6740059558473541
GO_CC	combined	Asymmetric, Glutamatergic, Excitatory Synapse (GO:0098985)	2	688	33010	1	SHISA6	0.041250560317842314	0.6983130568091876
GO_CC	combined	Dense Core Granule (GO:0031045)	16	688	33010	2	NPY,SYT1	0.04291326617797359	0.7014099368399822
GO_CC	combined	Cytoplasmic Vesicle Membrane (GO:0030659)	367	688	33010	13	ANTXR2,CACNG8,CD44,CD58,CFTR,FMN2,GRIA1,HLA-DPA1,NTRK1,PMEPA1,PTPRN2,SYCN,ZNRF2	0.045596035601315234	0.7204173625007807
GO_CC	combined	Connexin Complex (GO:0005922)	17	688	33010	2	GJA3,GJB2	0.047977843029760665	0.7335966966485985
GO_CC	combined	Basolateral Plasma Membrane (GO:0016323)	163	688	33010	7	AJAP1,ATP6V1B1,CD44,CXADR,EZR,KCNC2,SLC4A10	0.05524776512062	0.8183575208491837
GO_CC	combined	Excitatory Synapse (GO:0060076)	19	688	33010	2	ELFN1,SHISA6	0.05871024459371923	0.8184898805124387
GO_CC	combined	Platelet Dense Granule (GO:0042827)	19	688	33010	2	RARRES2,SELENOP	0.05871024459371923	0.8184898805124387
GO_CC	combined	Gap Junction (GO:0005921)	20	688	33010	2	GJA3,GJB2	0.06435701876229387	0.8715779112379227
GO_CC	combined	Clathrin-Coated Endocytic Vesicle (GO:0045334)	76	688	33010	4	CFTR,HLA-DPA1,SFTA3,SYT1	0.0743658963534253	0.9791509686534332
GO_CC	combined	Adherens Junction (GO:0005912)	142	688	33010	6	AJAP1,CDH9,CTNNA1,CXADR,EZR,PCDHGB4	0.077356006625517	0.9843518733521343
GO_CC	combined	Intracellular Cyclic Nucleotide Activated Cation Channel Complex (GO:0017071)	4	688	33010	1	CNGA3	0.08080188303309475	0.9843518733521343
GO_CC	combined	Postsynaptic Density (GO:0014069)	144	688	33010	6	CACNG7,CACNG8,GRIA1,GRM1,SHISA6,SRGAP3	0.08147667502391456	0.9843518733521343
GO_CC	combined	Potassium Channel Complex (GO:0034705)	79	688	33010	4	ABCC9,DPP6,KCNC2,KCNQ4	0.08306766863731091	0.9843518733521343
GO_CC	combined	ER To Golgi Transport Vesicle Membrane (GO:0012507)	52	688	33010	3	GRIA1,HLA-DPA1,SAR1A	0.0942599382338796	1.0
GO_CC	combined	Hrd1p Ubiquitin Ligase ERAD-L Complex (GO:0000839)	5	688	33010	1	SEL1L	0.09996228733756156	1.0
GO_CC	combined	Apicolateral Plasma Membrane (GO:0016327)	5	688	33010	1	CXADR	0.09996228733756156	1.0
GO_CC	combined	Neuronal Dense Core Vesicle (GO:0098992)	5	688	33010	1	NPY	0.09996228733756156	1.0
GO_CC	combined	Condensed Nuclear Chromosome (GO:0000794)	26	688	33010	2	IHO1,SMC4	0.10155618294432663	1.0
GO_CC	combined	Sperm Flagellum (GO:0036126)	55	688	33010	3	CCDC181,DCDC2C,DNALI1	0.1070368151732066	1.0
GO_CC	combined	Acrosomal Vesicle (GO:0001669)	56	688	33010	3	CXADR,PPFIA3,SPAG6	0.11143829920066245	1.0
GO_CC	combined	Transport Vesicle Membrane (GO:0030658)	56	688	33010	3	GRIA1,HLA-DPA1,SYT1	0.11143829920066245	1.0
GO_CC	combined	G Protein-Coupled Receptor Dimeric Complex (GO:0038037)	6	688	33010	1	GRM1	0.11872386728944027	1.0
GO_CC	combined	Chloride Channel Complex (GO:0034707)	6	688	33010	1	OSTM1	0.11872386728944027	1.0
GO_CC	combined	Flotillin Complex (GO:0016600)	6	688	33010	1	SLC6A3	0.11872386728944027	1.0
GO_CC	combined	Hemidesmosome (GO:0030056)	6	688	33010	1	DST	0.11872386728944027	1.0
GO_CC	combined	Condensed Chromosome (GO:0000793)	58	688	33010	3	IHO1,NSMCE2,SMC4	0.12044378488824674	1.0
GO_CC	combined	Membrane Raft (GO:0045121)	162	688	33010	6	CXADR,EZR,GHSR,S100A10,SLC6A3,TNFRSF10A	0.12384407029539882	1.0
GO_CC	combined	Clathrin-Coated Endocytic Vesicle Membrane (GO:0030669)	60	688	33010	3	CFTR,HLA-DPA1,SYT1	0.12970661078162057	1.0
GO_CC	combined	Cell-Cell Junction (GO:0005911)	281	688	33010	9	AJAP1,CDH9,CLDN4,CTNNA1,CXADR,EZR,GJB2,GRHL2,PCDHGB4	0.1351855647914472	1.0
GO_CC	combined	Hrd1p Ubiquitin Ligase Complex (GO:0000836)	7	688	33010	1	SEL1L	0.13709491259621714	1.0
GO_CC	combined	Clathrin-Sculpted Gamma-Aminobutyric Acid Transport Vesicle (GO:0061200)	7	688	33010	1	SYT1	0.13709491259621714	1.0
