library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
KEGG	combined	Neuroactive ligand-receptor interaction	313	688	33010	18	CALCB,GABRA1,GALR1,GHSR,GRIA1,GRM1,HTR1A,HTR1B,LPAR6,NPBWR1,NPY,PENK,SCT,SST,SSTR4,TAC1,THRA,TRH	0.00011690793476792895	0.028370377931974788
KEGG	combined	Maturity onset diabetes of the young	26	688	33010	5	FOXA2,NEUROD1,PAX6,PDX1,PKLR	0.00017731486207484242	0.028370377931974788
KEGG	combined	Transcriptional misregulation in cancer	176	688	33010	9	AFF1,MLLT1,MMP9,NTRK1,PAX3,PAX5,TLX1,WT1,ZBTB16	0.011874340587281353	1.0
KEGG	combined	cAMP signaling pathway	209	688	33010	10	CFTR,CNGA3,GHSR,GRIA1,HTR1A,HTR1B,NPY,PDE10A,PDE4C,SST	0.012753046630384816	1.0
KEGG	combined	Phototransduction	27	688	33010	3	GRK7,GUCA1A,PDE6B	0.018179961310396626	1.0
KEGG	combined	Cardiac muscle contraction	78	688	33010	5	CACNA2D2,CACNG7,CACNG8,COX4I2,COX7A1	0.023548651974952126	1.0
KEGG	combined	Taste transduction	79	688	33010	5	ASIC2,GABRA1,GRM1,HTR1A,HTR1B	0.024723508627240442	1.0
KEGG	combined	Bladder cancer	39	688	33010	3	CDKN2A,MMP9,RB1	0.047342084289988685	1.0
KEGG	combined	Type I diabetes mellitus	40	688	33010	3	HLA-DPA1,HLA-DPB1,PTPRN2	0.05041545491137553	1.0
KEGG	combined	Cell adhesion molecules	135	688	33010	6	CD58,CLDN4,HLA-DPA1,HLA-DPB1,NRXN2,NRXN3	0.06388805477367736	1.0
KEGG	combined	Arrhythmogenic right ventricular cardiomyopathy	74	688	33010	4	CACNA2D2,CACNG7,CACNG8,CTNNA1	0.06883575093228941	1.0
KEGG	combined	Synaptic vesicle cycle	78	688	33010	4	ATP6V1B1,SLC6A3,SLC6A5,SYT1	0.08011353395325682	1.0
KEGG	combined	MicroRNAs in cancer	288	688	33010	10	CD44,CDKN2A,EZR,HOXD10,MIR124-2,MIR15B,MIR16-2,MMP9,SPRY2,TNR	0.08102208974399232	1.0
KEGG	combined	Asthma	26	688	33010	2	HLA-DPA1,HLA-DPB1	0.10155618294432663	1.0
KEGG	combined	Viral myocarditis	54	688	33010	3	CXADR,HLA-DPA1,HLA-DPB1	0.10270535165537999	1.0
KEGG	combined	Pyrimidine metabolism	55	688	33010	3	CTPS1,DPYS,NT5E	0.1070368151732066	1.0
KEGG	combined	Th1 and Th2 cell differentiation	87	688	33010	4	GATA3,HLA-DPA1,HLA-DPB1,MAML3	0.10855217147972875	1.0
KEGG	combined	Morphine addiction	88	688	33010	4	GABRA1,GRK5,PDE10A,PDE4C	0.1119595275272097	1.0
KEGG	combined	Hematopoietic cell lineage	90	688	33010	4	CD1D,CD44,HLA-DPA1,HLA-DPB1	0.11891440223058526	1.0
KEGG	combined	Retinol metabolism	58	688	33010	3	ALDH1A3,CYP26A1,CYP27C1	0.12044378488824674	1.0
KEGG	combined	Purine metabolism	125	688	33010	5	NT5E,PDE10A,PDE4C,PDE6B,PKLR	0.12084716570352656	1.0
KEGG	combined	Inflammatory bowel disease	60	688	33010	3	GATA3,HLA-DPA1,HLA-DPB1	0.12970661078162057	1.0
KEGG	combined	Base excision repair	32	688	33010	2	PARP1,PARP4	0.14311650660347122	1.0
KEGG	combined	Allograft rejection	33	688	33010	2	HLA-DPA1,HLA-DPB1	0.15035314387154897	1.0
KEGG	combined	Graft-versus-host disease	35	688	33010	2	HLA-DPA1,HLA-DPB1	0.16503303616164144	1.0
KEGG	combined	Nicotine addiction	36	688	33010	2	GABRA1,GRIA1	0.17246434109233932	1.0
KEGG	combined	Amyotrophic lateral sclerosis	339	688	33010	10	COX4I2,COX7A1,DNALI1,GRIA1,KLC1,NEFM,PFN3,POM121L2,SRSF7,TUBB2B	0.17304519082334616	1.0
KEGG	combined	Melanoma	70	688	33010	3	CDKN2A,FGF5,RB1	0.17934433099107144	1.0
KEGG	combined	Autoimmune thyroid disease	37	688	33010	2	HLA-DPA1,HLA-DPB1	0.17994894892161192	1.0
KEGG	combined	Leukocyte transendothelial migration	107	688	33010	4	CLDN4,CTNNA1,EZR,MMP9	0.18471568594893728	1.0
KEGG	combined	Gastric acid secretion	75	688	33010	3	CFTR,EZR,SST	0.20583735698206695	1.0
KEGG	combined	Ubiquinone and other terpenoid-quinone biosynthesis	11	688	33010	1	COQ3	0.206833593844163	1.0
KEGG	combined	ABC transporters	42	688	33010	2	ABCC9,CFTR	0.21798813979722	1.0
KEGG	combined	Intestinal immune network for IgA production	42	688	33010	2	HLA-DPA1,HLA-DPB1	0.21798813979722	1.0
KEGG	combined	Type II diabetes mellitus	45	688	33010	2	PDX1,PKLR	0.24113314674787972	1.0
KEGG	combined	Rheumatoid arthritis	85	688	33010	3	ATP6V1B1,HLA-DPA1,HLA-DPB1	0.26103901082986825	1.0
KEGG	combined	Sphingolipid metabolism	48	688	33010	2	DEGS1,SPHK2	0.2643796107943148	1.0
KEGG	combined	Vibrio cholerae infection	49	688	33010	2	ATP6V1B1,CFTR	0.27213350882169945	1.0
KEGG	combined	Hypertrophic cardiomyopathy	87	688	33010	3	CACNA2D2,CACNG7,CACNG8	0.27231915418224023	1.0
KEGG	combined	Dilated cardiomyopathy	92	688	33010	3	CACNA2D2,CACNG7,CACNG8	0.3007146041833434	1.0
KEGG	combined	Prostate cancer	94	688	33010	3	INSRR,MMP9,RB1	0.31212057945945343	1.0
KEGG	combined	Diabetic cardiomyopathy	179	688	33010	5	COX4I2,COX7A1,CPT2,MMP9,PARP1	0.3180100954205147	1.0
KEGG	combined	Apoptosis	138	688	33010	4	NTRK1,PARP1,PARP4,TNFRSF10A	0.32468991808510606	1.0
KEGG	combined	Legionellosis	56	688	33010	2	HSF1,SAR1A	0.3261495434666827	1.0
KEGG	combined	Phagosome	140	688	33010	4	ATP6V1B1,HLA-DPA1,HLA-DPB1,TUBB2B	0.33412922023127856	1.0
KEGG	combined	Epstein-Barr virus infection	183	688	33010	5	CD44,CD58,HLA-DPA1,HLA-DPB1,RB1	0.33439729002392193	1.0
KEGG	combined	Long-term depression	58	688	33010	2	GRIA1,GRM1	0.3414143686813118	1.0
KEGG	combined	Th17 cell differentiation	101	688	33010	3	GATA3,HLA-DPA1,HLA-DPB1	0.35206030301356256	1.0
KEGG	combined	Adrenergic signaling in cardiomyocytes	144	688	33010	4	CACNA2D2,CACNG7,CACNG8,CREM	0.3530378663019949	1.0
KEGG	combined	Pantothenate and CoA biosynthesis	21	688	33010	1	DPYS	0.3575373283682966	1.0
KEGG	combined	Herpes simplex virus 1 infection	458	688	33010	11	HLA-DPA1,HLA-DPB1,SRSF7,ZNF154,ZNF184,ZNF551,ZNF560,ZNF578,ZNF671,ZNF709,ZNF729	0.3593053537931641	1.0
KEGG	combined	Gastric cancer	147	688	33010	4	CDX2,CTNNA1,FGF5,RB1	0.3672230021532228	1.0
KEGG	combined	Parathyroid hormone synthesis, secretion and action	105	688	33010	3	AKAP13,GATA3,PDE4C	0.37478021144610596	1.0
KEGG	combined	Toxoplasmosis	105	688	33010	3	ALOX5,HLA-DPA1,HLA-DPB1	0.37478021144610596	1.0
KEGG	combined	Oxytocin signaling pathway	151	688	33010	4	CACNA2D2,CACNG7,CACNG8,PPP1R12C	0.38610612390242016	1.0
KEGG	combined	Antigen processing and presentation	64	688	33010	2	HLA-DPA1,HLA-DPB1	0.38647819239508757	1.0
KEGG	combined	Long-term potentiation	64	688	33010	2	GRIA1,GRM1	0.38647819239508757	1.0
KEGG	combined	Serotonergic synapse	108	688	33010	3	ALOX5,HTR1A,HTR1B	0.39171666251484055	1.0
KEGG	combined	Proteoglycans in cancer	199	688	33010	5	CD44,EZR,HOXD10,MMP9,PPP1R12C	0.400344418777187	1.0
KEGG	combined	Amphetamine addiction	66	688	33010	2	GRIA1,SLC6A3	0.4012049859361015	1.0
KEGG	combined	Leishmaniasis	67	688	33010	2	HLA-DPA1,HLA-DPB1	0.40850570455647767	1.0
KEGG	combined	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	25	688	33010	1	PIGB	0.40948153221916095	1.0
KEGG	combined	Glutamatergic synapse	113	688	33010	3	DLGAP1,GRIA1,GRM1	0.4196679557522347	1.0
KEGG	combined	Tight junction	161	688	33010	4	CD1D,CFTR,CLDN4,EZR	0.4329105916097974	1.0
KEGG	combined	Collecting duct acid secretion	27	688	33010	1	ATP6V1B1	0.43385901794073595	1.0
KEGG	combined	Oxidative phosphorylation	116	688	33010	3	ATP6V1B1,COX4I2,COX7A1	0.43623373721167996	1.0
KEGG	combined	Regulation of actin cytoskeleton	208	688	33010	5	EZR,FGF5,INSRR,PFN3,PPP1R12C	0.43722197802770735	1.0
KEGG	combined	Non-small cell lung cancer	71	688	33010	2	CDKN2A,RB1	0.4372582978118799	1.0
KEGG	combined	Human T-cell leukemia virus 1 infection	210	688	33010	5	ANAPC1,CDKN2A,HLA-DPA1,HLA-DPB1,RB1	0.44535423032632526	1.0
KEGG	combined	Pancreatic cancer	73	688	33010	2	CDKN2A,RB1	0.4513473198465777	1.0
KEGG	combined	p53 signaling pathway	73	688	33010	2	CDKN2A,TNFRSF10A	0.4513473198465777	1.0
KEGG	combined	Chronic myeloid leukemia	74	688	33010	2	CDKN2A,RB1	0.4583162232097236	1.0
KEGG	combined	Glioma	74	688	33010	2	CDKN2A,RB1	0.4583162232097236	1.0
KEGG	combined	Cell cycle	121	688	33010	3	ANAPC1,CDKN2A,RB1	0.4634326538310597	1.0
KEGG	combined	beta-Alanine metabolism	30	688	33010	1	DPYS	0.4685539852561052	1.0
KEGG	combined	Staphylococcus aureus infection	79	688	33010	2	HLA-DPA1,HLA-DPB1	0.4923689953576165	1.0
KEGG	combined	Dopaminergic synapse	128	688	33010	3	GRIA1,SCN1A,SLC6A3	0.5005054007237024	1.0
KEGG	combined	Glycine, serine and threonine metabolism	34	688	33010	1	PSPH	0.5115336609506507	1.0
KEGG	combined	Parkinson disease	228	688	33010	5	COX4I2,COX7A1,KLC1,SLC6A3,TUBB2B	0.5168956474108265	1.0
KEGG	combined	Bile secretion	83	688	33010	2	CFTR,SCT	0.5186178432499553	1.0
KEGG	combined	Mucin type O-glycan biosynthesis	35	688	33010	1	GALNTL6	0.5217248557973867	1.0
KEGG	combined	Nicotinate and nicotinamide metabolism	35	688	33010	1	NT5E	0.5217248557973867	1.0
KEGG	combined	GABAergic synapse	84	688	33010	2	GABRA1,SLC12A5	0.5250372619068745	1.0
KEGG	combined	Retrograde endocannabinoid signaling	134	688	33010	3	GABRA1,GRIA1,GRM1	0.5312148905520102	1.0
