library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
Reactome	combined	Protein-protein Interactions At Synapses R-HSA-6794362	79	688	33010	10	DLGAP1,DLGAP2,GRIA1,GRM1,LRRTM2,NRXN2,NRXN3,PPFIA3,SLITRK1,SYT1	5.725273379778211e-06	0.010408547004436787
Reactome	combined	Neurexins And Neuroligins R-HSA-6794361	53	688	33010	7	DLGAP1,DLGAP2,GRM1,LRRTM2,NRXN2,NRXN3,SYT1	0.00011112688579959278	0.10101433919182984
Reactome	combined	Regulation Of Gene Expression In Beta Cells R-HSA-210745	20	688	33010	4	FOXA2,NEUROD1,PAX6,PKLR	0.0006946872366303971	0.29830208695835214
Reactome	combined	Neuronal System R-HSA-112316	365	688	33010	18	ABCC9,CACNA2D2,CACNG8,DLGAP1,DLGAP2,GABRA1,GRIA1,GRM1,KCNC2,KCNQ4,LRRTM2,NRXN2,NRXN3,PPFIA3,PRKAR1B,SLC6A3,SLITRK1,SYT1	0.0007391579321326489	0.29830208695835214
Reactome	combined	Negative Regulation Of Activity Of TFAP2 (AP-2) Family Transcription Factors R-HSA-8866904	10	688	33010	3	TFAP2B,TFAP2D,WWOX	0.000969644530067596	0.29830208695835214
Reactome	combined	Regulation Of Beta-Cell Development R-HSA-186712	39	688	33010	5	FOXA2,MAML3,NEUROD1,PAX6,PKLR	0.001241702541907124	0.29830208695835214
Reactome	combined	GPCR Downstream Signaling R-HSA-388396	580	688	33010	24	AKAP13,CALCB,CPAMD8,GALR1,GHSR,GPR37L1,GRK5,GRM1,HTR1B,LPAR6,MCF2L,NPBWR1,NPY,PCDHA4,PCDHA6,PDE10A,PDE4C,PENK,PRKAR1B,SCT,SST,SSTR4,TAC1,TRH	0.0012871362345551246	0.29830208695835214
Reactome	combined	Activation Of TFAP2 (AP-2) Family Of Transcription Factors R-HSA-8866907	11	688	33010	3	TFAP2B,TFAP2D,WWOX	0.0013126604486616157	0.29830208695835214
Reactome	combined	GPCR Ligand Binding R-HSA-500792	429	688	33010	19	CALCB,CPAMD8,GALR1,GHSR,GPR37L1,GRM1,HTR1A,HTR1B,LPAR6,NPBWR1,NPY,PCDHA4,PCDHA6,PENK,SCT,SST,SSTR4,TAC1,TRH	0.0018687383860097329	0.3572856513663242
Reactome	combined	Class A/1 (Rhodopsin-like Receptors) R-HSA-373076	304	688	33010	15	GALR1,GHSR,GPR37L1,HTR1A,HTR1B,LPAR6,NPBWR1,NPY,PCDHA4,PCDHA6,PENK,SST,SSTR4,TAC1,TRH	0.0019652676092757103	0.3572856513663242
Reactome	combined	Signaling By GPCR R-HSA-372790	648	688	33010	25	AKAP13,CALCB,CPAMD8,GALR1,GHSR,GPR37L1,GRK5,GRM1,HTR1A,HTR1B,LPAR6,MCF2L,NPBWR1,NPY,PCDHA4,PCDHA6,PDE10A,PDE4C,PENK,PRKAR1B,SCT,SST,SSTR4,TAC1,TRH	0.0026409766985174055	0.4187333484889213
Reactome	combined	Phase 2 - Plateau Phase R-HSA-5576893	14	688	33010	3	CACNA2D2,CACNG7,CACNG8	0.0027639164916760483	0.4187333484889213
Reactome	combined	Phase 0 - Rapid Depolarisation R-HSA-5576892	31	688	33010	4	CACNA2D2,CACNG7,CACNG8,SCN1A	0.0037640006536425697	0.5263810144863225
Reactome	combined	Peptide Ligand-Binding Receptors R-HSA-375276	183	688	33010	10	GALR1,GHSR,GPR37L1,NPBWR1,NPY,PENK,SST,SSTR4,TAC1,TRH	0.005255506549125734	0.6824650647364703
Reactome	combined	Sensory Processing Of Sound By Inner Hair Cells Of Cochlea R-HSA-9662360	62	688	33010	5	CACNA2D2,CAPZB,EZR,KCNQ4,MYO3A	0.009442321621085742	1.0
