library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
GO_CC	combined	Intracellular Membrane-Bounded Organelle (GO:0043231)	4741	717	33010	155	ACTL6B,ADCYAP1R1,AKR1B1,ALX1,APCS,ASIC2,BABAM2,BARHL2,BATF,BCL9,BTBD3,CD1B,CD1C,CDK14,CELF2,CFTR,CHD6,CHML,CPQ,CRYAB,CRYGD,CUL1,CUX1,DCLK3,DGKI,DMRTA2,DNAJB1,DYNC1I1,EIF4A1,EPHX3,ERBB4,ESRRG,EVX1,EYA1,FERD3L,FEV,FEZF2,FMN2,FOXA2,FOXE3,FOXG1,GCM2,GPRC5B,GRHL2,H1-1,HCK,HDAC4,HMGA2,HOOK2,HOXA9,HOXC4,HOXD8,HOXD9,HSPB2,HSPB6,IGF1R,IRF1,ITPKA,JAK1,L1TD1,LHX1,LHX4,LHX8,LHX9,MACROH2A1,MAF,MAML3,MATR3,MGST2,MSI2,MYT1,MYT1L,N4BP1,NANOS3,NCOR2,NEUROD1,NFATC1,NKAPL,NKX2-1,NKX3-2,NR1H2,NR5A2,NSMCE2,OLIG3,ONECUT2,OTX1,OTX2,OVOL1,PACRG,PAX6,PCBP3,PDE4C,PDX1,PITX2,POU3F3,POU4F2,PRDM13,PRDM16,PRKCB,PRKCE,PROX1,PTPRN,RABGAP1L,RBFOX1,RBFOX3,RBM47,RBMS1,RFX1,RNF220,RUNX1,SALL2,SENP3,SIX1,SIX3,SIX6,SKI,SLC7A14,SMG6,SMYD3,SOX1,SPRY2,SYNPO,SYNPO2L,TAL1,TBR1,TBX20,TBXT,TCF20,TECR,TENM2,TET3,TLX1,TMPO,TNK2,TRAK1,TRH,TRIM66,TTBK1,USP44,VGLL4,WT1,WWP2,ZCWPW1,ZFHX3,ZFPM2,ZIC1,ZIC4,ZIC5,ZNF217,ZNF462,ZNF502,ZNF709,ZNF750,ZNRF2,ZPBP	7.670690393268643e-08	2.4763023126984695e-05
GO_CC	combined	Nucleus (GO:0005634)	4109	717	33010	138	ACTL6B,AKR1B1,ALX1,APCS,ASIC2,BABAM2,BARHL2,BATF,BTBD3,CDK14,CELF2,CFTR,CHD6,CHML,CRYAB,CRYGD,CUL1,CUX1,DCLK3,DGKI,DMRTA2,DNAJB1,DYNC1I1,EIF4A1,ERBB4,ESRRG,EVX1,EYA1,FERD3L,FEV,FEZF2,FMN2,FOXA2,FOXE3,FOXG1,GCM2,GRHL2,H1-1,HDAC4,HMGA2,HOXA9,HOXC4,HOXD8,HOXD9,HSPB2,HSPB6,IRF1,ITPKA,JAK1,LHX1,LHX4,LHX8,LHX9,MACROH2A1,MAF,MAML3,MATR3,MYT1,MYT1L,N4BP1,NANOS3,NCOR2,NEUROD1,NFATC1,NKAPL,NKX2-1,NKX3-2,NR1H2,NR5A2,NSMCE2,OLIG3,ONECUT2,OTX1,OTX2,OVOL1,PACRG,PAX6,PCBP3,PDE4C,PDX1,PITX2,POU3F3,POU4F2,PRDM13,PRDM16,PRKCB,PROX1,PTPRN,RABGAP1L,RBFOX1,RBFOX3,RBM47,RBMS1,RNF220,RUNX1,SALL2,SENP3,SIX1,SIX3,SIX6,SKI,SMG6,SMYD3,SOX1,SPRY2,SYNPO,SYNPO2L,TAL1,TBR1,TBX20,TBXT,TCF20,TECR,TENM2,TET3,TLX1,TMPO,TNK2,TRAK1,TRH,TRIM66,TTBK1,USP44,VGLL4,WT1,WWP2,ZCWPW1,ZFHX3,ZFPM2,ZIC1,ZIC4,ZIC5,ZNF217,ZNF462,ZNF502,ZNF709,ZNF750,ZPBP	1.0448532964972446e-07	2.4763023126984695e-05
GO_CC	combined	Collagen-Containing Extracellular Matrix (GO:0062023)	351	717	33010	21	ADAMTS20,APCS,CBLN4,CLEC14A,COL11A1,COL11A2,FBN2,HMCN1,ITIH5,LOXL1,LTBP2,MATN2,MMP9,MXRA7,NID2,RARRES2,SFRP2,TGFB2,TIMP2,TNR,TNXB	3.330446629373245e-05	0.005262105674409728
GO_CC	combined	GABA-ergic Synapse (GO:0098982)	14	717	33010	4	CBLN4,MDGA1,SLITRK1,SLITRK3	0.00018573919023267706	0.02201009404257223
GO_CC	combined	Neuron Projection (GO:0043005)	524	717	33010	25	ADCYAP1R1,ANK2,ARHGEF7,CHRNA4,EPHA10,GABRA1,GABRG2,HTR6,IGF1R,KCNA1,KCNC3,KLHL1,MAST1,NEFM,NRSN1,PACRG,RGS6,RGS7,SLC4A10,SLC6A3,SPTBN4,SSTR1,TENM2,TGFB2,TRAK1	0.00023917096450783607	0.02267340743534286
GO_CC	combined	AMPA Glutamate Receptor Complex (GO:0032281)	18	717	33010	3	CACNG7,CACNG8,VWC2	0.006528265152532345	0.3945843898665871
GO_CC	combined	Intermediate Filament Cytoskeleton (GO:0045111)	79	717	33010	6	DTNA,MACF1,NEFM,NES,NR1I2,PRKCE	0.00748236824878231	0.3945843898665871
GO_CC	combined	Potassium Channel Complex (GO:0034705)	79	717	33010	6	ABCC9,DPP6,KCNA1,KCNAB1,KCNC3,KCNQ2	0.00748236824878231	0.3945843898665871
GO_CC	combined	Postsynaptic Specialization Membrane (GO:0099634)	36	717	33010	4	CACNG7,CACNG8,GRM1,SLITRK3	0.00749210866835292	0.3945843898665871
GO_CC	combined	Glutamatergic Synapse (GO:0098978)	67	717	33010	5	DLGAP2,NPTX2,SH3GL3,SLITRK1,WNT3A	0.015238280957237267	0.7222945173730465
GO_CC	combined	Dendrite Membrane (GO:0032590)	26	717	33010	3	GABRA1,GABRG2,KCNC3	0.018299107124461717	0.7566452355007297
GO_CC	combined	Voltage-Gated Potassium Channel Complex (GO:0008076)	71	717	33010	5	DPP6,KCNA1,KCNAB1,KCNC3,KCNQ2	0.019155575582296955	0.7566452355007297
GO_CC	combined	Polymeric Cytoskeletal Fiber (GO:0099513)	249	717	33010	11	ACTA1,DCDC2C,DNM3,FSD1,HCK,KIF5C,MACF1,NEFM,NES,SPTBN4,TBCD	0.020980621258482844	0.7649857289631437
GO_CC	combined	Dendrite (GO:0030425)	253	717	33010	11	CHRNA4,EPHA10,GABRA1,GABRG2,HTR6,KCNA1,KCNC3,KLHL1,SLC4A10,TENM2,TRAK1	0.023256048473803952	0.7873833554702195
GO_CC	combined	Clathrin Vesicle Coat (GO:0030125)	12	717	33010	2	CLTA,NCALD	0.026918252841781325	0.8506167898002899
GO_CC	combined	Ionotropic Glutamate Receptor Complex (GO:0008328)	32	717	33010	3	CACNG7,CACNG8,VWC2	0.031735820612724855	0.8848693512018577
GO_CC	combined	Postsynaptic Density Membrane (GO:0098839)	32	717	33010	3	CACNG7,CACNG8,GRM1	0.031735820612724855	0.8848693512018577
GO_CC	combined	Calcium Channel Complex (GO:0034704)	57	717	33010	4	CACNA1C,CACNG7,CACNG8,RYR2	0.0352571316312114	0.8946957195866243
GO_CC	combined	Adherens Junction (GO:0005912)	142	717	33010	7	AJAP1,CDH4,HMCN1,MAGI1,PCDHGB4,PDLIM2,SPTBN4	0.03586333053195329	0.8946957195866243
GO_CC	combined	Platelet Alpha Granule Membrane (GO:0031092)	15	717	33010	2	CD9,PHACTR2	0.04103228426925858	0.9724651371814284
GO_CC	combined	Cell-Cell Contact Zone (GO:0044291)	45	717	33010	3	AJAP1,ANK2,PIK3CA	0.074034884482226	1.0
GO_CC	combined	Extrinsic Component Of Cytoplasmic Side Of Plasma Membrane (GO:0031234)	75	717	33010	4	ERRFI1,HCK,JAK1,KCNAB1	0.080507975020175	1.0
GO_CC	combined	Clathrin-Coated Endocytic Vesicle (GO:0045334)	76	717	33010	4	CD9,CFTR,CLTA,SFTA3	0.08359663443472631	1.0
GO_CC	combined	Intracellular Cyclic Nucleotide Activated Cation Channel Complex (GO:0017071)	4	717	33010	1	CNGA3	0.08409649663115519	1.0
GO_CC	combined	Voltage-Gated Calcium Channel Complex (GO:0005891)	48	717	33010	3	CACNA1C,CACNG7,CACNG8	0.08613141094861246	1.0
GO_CC	combined	Platelet Alpha Granule (GO:0031091)	78	717	33010	4	CD9,ISLR,PHACTR2,TGFB2	0.0899452526132567	1.0
GO_CC	combined	Postsynaptic Density (GO:0014069)	144	717	33010	6	CACNA1C,CACNG7,CACNG8,DNM3,GRM1,SRGAP3	0.09464101611747214	1.0
GO_CC	combined	Cation Channel Complex (GO:0034703)	51	717	33010	3	CNGA3,KCNAB1,RYR2	0.09900192232377693	1.0
GO_CC	combined	Nuclear Stress Granule (GO:0097165)	5	717	33010	1	RBFOX1	0.10399296430113827	1.0
GO_CC	combined	Sex Chromosome (GO:0000803)	5	717	33010	1	MACROH2A1	0.10399296430113827	1.0
GO_CC	combined	Cytoplasmic Side Of Plasma Membrane (GO:0009898)	118	717	33010	5	AJAP1,ERRFI1,HCK,JAK1,KCNAB1	0.11484174599398211	1.0
