library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
GO_MF	combined	Sequence-Specific Double-Stranded DNA Binding (GO:1990837)	671	717	33010	68	AKR1B1,ALX1,ASIC2,BARHL2,BATF,CUX1,DMRTA2,DRGX,ERBB4,ESRRG,EVX1,FERD3L,FEV,FOXA2,FOXD3,FOXG1,FOXQ1,GCM2,HDAC4,HMGA2,HOXA9,HOXC4,HOXD8,HOXD9,IRF1,LHX1,LHX4,LHX8,LHX9,LIN28B,MACROH2A1,MAF,NEUROD1,NFATC1,NKX2-1,NKX3-2,NR1I2,NR5A2,OLIG3,ONECUT2,OTX1,OTX2,OVOL1,PAX3,PAX6,PDX1,PITX2,PRDM16,PROX1,RFX1,RUNX1,SCRT2,SIX1,SIX3,SIX6,TAL1,TBX15,TBX20,TBXT,VAX1,WT1,ZFP42,ZIC1,ZIC4,ZIC5,ZNF177,ZNF217,ZNF454	4.3056856830418367e-26	4.9386214784489865e-23
GO_MF	combined	Sequence-Specific DNA Binding (GO:0043565)	673	717	33010	64	ALX1,BARHL2,BATF,CUX1,DMRTA2,DRGX,ESRRG,EVX1,FERD3L,FEV,FOXA2,FOXD3,FOXE3,FOXG1,FOXQ1,GCM2,GRHL2,HDAC4,HOXA9,HOXC4,HOXD8,HOXD9,LHX1,LHX4,LHX8,LHX9,LIN28B,MAF,NEUROD1,NFATC1,NKX3-2,NR1I2,NR5A2,OLIG3,ONECUT2,OTX1,OTX2,OVOL1,PAX3,PAX6,PDX1,PITX2,POU3F3,PRDM16,PROX1,RFX1,SCRT2,SIX1,SIX3,SIX6,SMG6,TBX15,TBX20,TBXT,TET3,VAX1,WT1,ZCWPW1,ZFP42,ZIC1,ZIC4,ZIC5,ZNF177,ZNF454	4.179934555765249e-23	2.3971924677313703e-20
GO_MF	combined	Double-Stranded DNA Binding (GO:0003690)	618	717	33010	60	ALX1,BARHL2,BATF,CUX1,DMRTA2,DRGX,ESRRG,EVX1,FERD3L,FEV,FOXA2,FOXD3,FOXG1,FOXQ1,GCM2,H1-1,HOXA9,HOXC4,HOXD8,HOXD9,LHX1,LHX4,LHX8,LHX9,LIN28B,MACROH2A1,MAF,NEUROD1,NFATC1,NKX3-2,NR1I2,NR5A2,OLIG3,ONECUT2,OTX1,OTX2,OVOL1,PAX3,PAX6,PDX1,PITX2,PROX1,RBMS1,RFX1,SCRT2,SIX1,SIX3,SIX6,SYCP1,TBX15,TBX20,TBXT,VAX1,WT1,ZFP42,ZIC1,ZIC4,ZIC5,ZNF177,ZNF454	3.578611783038078e-22	1.118968319978449e-19
GO_MF	combined	RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	1135	717	33010	83	AKR1B1,ALX1,BARHL2,BATF,CUX1,DMRTA2,DRGX,EVX1,FERD3L,FEZF1,FOXA2,FOXD3,FOXE3,FOXQ1,GCM2,GRHL2,HDAC4,HOXA9,HOXC4,HOXD8,HOXD9,IRF1,LHX1,LHX4,LHX8,LHX9,MACROH2A1,MAF,NFATC1,NKX2-1,NKX3-2,NPAS4,NR1H2,NR1I2,NR5A2,ONECUT2,OTP,OTX1,OTX2,OVOL1,PAX3,PAX6,PDX1,PITX2,POU3F3,POU4F2,PRDM16,PROX1,PRRX1,RFX1,RUNX1,SALL2,SATB2,SCRT2,SIM1,SIX1,SIX3,SIX6,SKI,SOX1,TAL1,TBR1,TBX15,TBX20,TBXT,TLX1,VAX1,WT1,ZFHX3,ZFP42,ZIC1,ZIC4,ZIC5,ZNF154,ZNF217,ZNF267,ZNF454,ZNF502,ZNF551,ZNF709,ZNF750,ZNF876P,ZSCAN18	3.9022434872831704e-22	1.118968319978449e-19
GO_MF	combined	RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)	1040	717	33010	73	AKR1B1,BATF,DMRTA2,ESRRG,EVX1,FEZF1,FOXA2,FOXD3,FOXE3,FOXQ1,GCM2,GRHL2,HDAC4,HMGA2,HOXA9,HOXC4,HOXD9,IRF1,MAF,NEUROD1,NFATC1,NKX2-1,NKX3-2,NPAS4,NR1H2,NR1I2,NR5A2,OLIG3,ONECUT2,OTX1,OTX2,OVOL1,PAX3,PAX6,PDX1,PITX2,POU3F3,POU4F2,PRDM16,PROX1,PRRX1,RFX1,RUNX1,SALL2,SATB2,SCRT2,SIX1,SIX3,SIX6,SKI,SOX1,TAL1,TBR1,TBX15,TBX20,TBXT,TLX1,VAX1,WT1,ZFHX3,ZFP42,ZIC1,ZIC4,ZIC5,ZNF154,ZNF217,ZNF267,ZNF454,ZNF502,ZNF551,ZNF750,ZNF876P,ZSCAN18	1.4598001762567585e-18	3.348781604333004e-16
GO_MF	combined	Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)	1016	717	33010	69	AKR1B1,BATF,DMRTA2,EVX1,FEZF1,FOXA2,FOXD3,FOXE3,FOXQ1,GCM2,GRHL2,HDAC4,HOXA9,HOXC4,HOXD9,IRF1,MAF,NFATC1,NKX2-1,NKX3-2,NPAS4,NR1H2,NR1I2,NR5A2,ONECUT2,OTX1,OTX2,OVOL1,PAX3,PAX6,PDX1,PITX2,POU3F3,POU4F2,PRDM16,PROX1,PRRX1,RFX1,RUNX1,SALL2,SATB2,SCRT2,SIX1,SIX3,SIX6,SKI,SOX1,TAL1,TBR1,TBX15,TBX20,TBXT,TLX1,VAX1,WT1,ZFHX3,ZFP42,ZIC1,ZIC4,ZIC5,ZNF154,ZNF217,ZNF267,ZNF454,ZNF502,ZNF551,ZNF750,ZNF876P,ZSCAN18	7.452775132155585e-17	1.424722179430409e-14
GO_MF	combined	Transcription Cis-Regulatory Region Binding (GO:0000976)	443	717	33010	40	AKR1B1,ALX1,BARHL2,CUX1,DRGX,ERBB4,FERD3L,FOXA2,FOXD3,GRHL2,HDAC4,HMGA2,HOXD8,HOXD9,IRF1,LHX1,LHX4,LHX8,LHX9,MACROH2A1,NKX2-1,NPAS4,NR1I2,NR5A2,OTP,PAX6,PITX2,PRDM16,PROX1,RUNX1,SALL2,SATB2,SCRT2,SIM1,SIX1,TAL1,TBX20,WT1,ZNF217,ZNF709	4.0446958713482083e-14	6.627523092051993e-12
GO_MF	combined	DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)	325	717	33010	25	ALX1,GRHL2,HOXC4,HOXD8,IRF1,LHX4,NEUROD1,NFATC1,NPAS4,NR1H2,NR1I2,ONECUT2,OTX1,OTX2,POU4F2,PRDM16,PRRX1,RUNX1,SALL2,SATB2,SIX1,SIX3,WT1,ZNF267,ZNF750	6.090982470839313e-08	8.732946117565864e-06
GO_MF	combined	Transcription Regulatory Region Nucleic Acid Binding (GO:0001067)	205	717	33010	18	AKR1B1,ERBB4,FOXA2,HDAC4,HMGA2,IRF1,MACROH2A1,NKX2-1,NR5A2,PAX6,PITX2,PRDM16,PROX1,RUNX1,SIX1,TAL1,WT1,ZNF217	6.348206052490664e-07	8.090435935785323e-05
GO_MF	combined	RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629)	214	717	33010	15	AKR1B1,HDAC4,HMGA2,NEUROD1,NFATC1,NKX2-1,NR1I2,PITX2,PROX1,PRRX1,TAL1,TBX20,TBXT,WWP2,ZFPM2	7.623281361696346e-05	0.008743903721865709
GO_MF	combined	Actin Binding (GO:0003779)	175	717	33010	13	FMN2,KLHL1,MACF1,NCALD,PACRG,PDLIM2,PFN3,PHACTR2,PRKCE,SPTBN4,SSH1,SYNPO,SYNPO2L	0.0001265614663165144	0.013196909260458366
GO_MF	combined	DNA Binding (GO:0003677)	789	717	33010	33	BATF,CHD6,CUX1,FOXA2,FOXE3,FOXG1,GCM2,GRHL2,H1-1,HDAC4,HMGA2,IRF1,JCHAIN,LHX4,MACROH2A1,NEUROD1,NKX2-1,NR1H2,NR5A2,OTP,PAX3,PAX6,POU3F3,PRDM16,PROX1,RBMS1,SIM1,SIX1,SOX1,SYCP1,WT1,ZIC4,ZMYM4	0.0003036103833388786	0.029020092474141144
GO_MF	combined	DNA-binding Transcription Factor Binding (GO:0140297)	258	717	33010	15	AKR1B1,HDAC4,HMGA2,NEUROD1,NFATC1,NKX2-1,PITX2,PRDM16,PRRX1,SKI,TAL1,TBX20,TBXT,WWP2,ZFPM2	0.0005750008061035567	0.05073276343082919
GO_MF	combined	DNA-binding Transcription Repressor Activity, RNA Polymerase II-specific (GO:0001227)	233	717	33010	14	FOXD3,HOXD9,MYT1L,OTP,POU4F2,PRDM16,PROX1,SCRT2,SKI,ZFHX3,ZNF177,ZNF217,ZNF560,ZNF750	0.000628236276512739	0.05147050065429369
GO_MF	combined	GTPase Regulator Activity (GO:0030695)	390	717	33010	18	ARHGAP23,ARHGAP24,ARHGEF7,DOCK2,ERRFI1,FGD4,MCF2L,MCF2L2,RABGAP1L,RAPGEFL1,RASGEF1A,RGS6,RGS7,SIRPA,SRGAP3,STXBP5L,TBCD,TNK2	0.0024252951709796125	0.18526648016359457
GO_MF	combined	Double-Stranded Methylated DNA Binding (GO:0010385)	4	717	33010	2	MACROH2A1,WT1	0.0027458850590942525	0.18526648016359457
GO_MF	combined	rDNA Binding (GO:0000182)	4	717	33010	2	ASIC2,MACROH2A1	0.0027458850590942525	0.18526648016359457
GO_MF	combined	Transmembrane Receptor Protein Serine/Threonine Kinase Activity (GO:0004675)	15	717	33010	3	HJV,SOSTDC1,TGFBR3	0.003820523343808355	0.2434522375193435
GO_MF	combined	BMP Receptor Activity (GO:0098821)	5	717	33010	2	HJV,SOSTDC1	0.004510625951222823	0.2586843983026289
GO_MF	combined	[Heparan Sulfate]-Glucosamine 3-Sulfotransferase 1 Activity (GO:0008467)	5	717	33010	2	HS3ST2,HS3ST4	0.004510625951222823	0.2586843983026289
GO_MF	combined	Protein Serine/Threonine Kinase Inhibitor Activity (GO:0030291)	32	717	33010	4	MACROH2A1,PRKAR1B,RPTOR,SPRY2	0.0048964420793562845	0.26743900309626945
GO_MF	combined	Protein Tyrosine Kinase Activity (GO:0004713)	97	717	33010	7	DDR2,ERBB4,HCK,IGF1R,JAK1,TNK2,TTBK1	0.005272239876897896	0.2722226885123422
GO_MF	combined	Voltage-Gated Monoatomic Cation Channel Activity (GO:0022843)	74	717	33010	6	CACNA1C,CACNG7,CACNG8,KCNA1,KCNC3,KCNQ2	0.005458693841136766	0.2722226885123422
GO_MF	combined	Lipid Kinase Activity (GO:0001727)	20	717	33010	3	CERKL,DGKI,PIK3CA	0.008831824699492332	0.422087622096571
GO_MF	combined	methyl-CpG Binding (GO:0008327)	22	717	33010	3	LHX4,TET3,ZCWPW1	0.011554122328969131	0.5137847969595662
GO_MF	combined	Adenylate Cyclase Inhibiting G Protein-Coupled Glutamate Receptor Activity (GO:0001640)	8	717	33010	2	GRM1,GRM6	0.012094323904017688	0.5137847969595662
GO_MF	combined	Type II Transforming Growth Factor Beta Receptor Binding (GO:0005114)	8	717	33010	2	TGFB2,TGFBR3	0.012094323904017688	0.5137847969595662
GO_MF	combined	C2H2 Zinc Finger Domain Binding (GO:0070742)	9	717	33010	2	HMGA2,WT1	0.015327746196713577	0.6278901745582312
GO_MF	combined	Transcription Coregulator Binding (GO:0001221)	95	717	33010	6	AKR1B1,CHD6,NR5A2,PAX6,SIX3,VGLL4	0.017543257430536627	0.6938660783732935
