library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
KEGG	combined	Maturity onset diabetes of the young	26	717	33010	6	FOXA2,GCK,NEUROD1,NR5A2,PAX6,PDX1	1.633751547759429e-05	0.005228004952830173
KEGG	combined	MicroRNAs in cancer	288	717	33010	18	HDAC4,HMGA2,MIR124-2,MIR129-2,MIR181C,MIR181D,MMP9,PIK3CA,PRKCB,PRKCE,RPTOR,SPRY2,TGFB2,TNR,TNXB,TRIM71,WNT3A,ZFPM2	6.838003964297315e-05	0.010940806342875704
KEGG	combined	Transcriptional misregulation in cancer	176	717	33010	13	CDK14,EYA1,FEV,HMGA2,HOXA9,IGF1R,MAF,MMP9,PAX3,RUNX1,SIX1,TLX1,WT1	0.0001339918287050582	0.01429246172853954
KEGG	combined	Type II diabetes mellitus	45	717	33010	6	CACNA1C,GCK,HK1,PDX1,PIK3CA,PRKCE	0.0004072552840733776	0.03258042272587021
KEGG	combined	cAMP signaling pathway	209	717	33010	12	ADCY4,ADCYAP1R1,CACNA1C,CFTR,CNGA3,HTR6,NFATC1,PDE4C,PIK3CA,RYR2,SST,SSTR1	0.002188612818520214	0.1177303249800075
KEGG	combined	Insulin secretion	83	717	33010	7	ADCY4,ADCYAP1R1,CACNA1C,GCK,PDX1,PRKCB,RYR2	0.0022074435933751406	0.1177303249800075
KEGG	combined	Neomycin, kanamycin and gentamicin biosynthesis	5	717	33010	2	GCK,HK1	0.004510625951222823	0.2062000434844719
KEGG	combined	Tight junction	161	717	33010	9	CD1B,CD1C,CD1D,CFTR,CLDN10,MAGI1,PRKCE,RUNX1,SYNPO	0.00883881502155785	0.30531953572126763
KEGG	combined	GABAergic synapse	84	717	33010	6	ADCY4,CACNA1C,GABRA1,GABRG2,GNG4,PRKCB	0.009998050251068907	0.30531953572126763
KEGG	combined	Cholinergic synapse	111	717	33010	7	ADCY4,CACNA1C,CHRNA4,GNG4,KCNQ2,PIK3CA,PRKCB	0.01077559844361144	0.30531953572126763
