set_name	term	source_db	source_identifier	source_url	enrichr_library	retrieval_date	n_genes	curation_mode
reactome_telomere_maintenance	Telomere Maintenance R-HSA-157579	Reactome	R-HSA-157579	https://reactome.org/content/detail/R-HSA-157579	Reactome_2022	2026-07-06	92	public_gene_set_from_enrichr_gmt
reactome_telomere_extension_by_telomerase	Telomere Extension By Telomerase R-HSA-171319	Reactome	R-HSA-171319	https://reactome.org/content/detail/R-HSA-171319	Reactome_2022	2026-07-06	23	public_gene_set_from_enrichr_gmt
reactome_mitochondrial_biogenesis	Mitochondrial Biogenesis R-HSA-1592230	Reactome	R-HSA-1592230	https://reactome.org/content/detail/R-HSA-1592230	Reactome_2022	2026-07-06	89	public_gene_set_from_enrichr_gmt
reactome_transcriptional_activation_mitochondrial_biogenesis	Transcriptional Activation Of Mitochondrial Biogenesis R-HSA-2151201	Reactome	R-HSA-2151201	https://reactome.org/content/detail/R-HSA-2151201	Reactome_2022	2026-07-06	52	public_gene_set_from_enrichr_gmt
kegg_pluripotency_stem_cell_signaling	Signaling pathways regulating pluripotency of stem cells	KEGG via Enrichr	KEGG_2021_Human:Signaling pathways regulating pluripotency of stem cells	https://maayanlab.cloud/Enrichr/#libraries/KEGG_2021_Human	KEGG_2021_Human	2026-07-06	143	public_gene_set_from_enrichr_gmt
reactome_pluripotent_stem_cell_transcription	Transcriptional Regulation Of Pluripotent Stem Cells R-HSA-452723	Reactome	R-HSA-452723	https://reactome.org/content/detail/R-HSA-452723	Reactome_2022	2026-07-06	30	public_gene_set_from_enrichr_gmt
go_positive_regulation_stem_cell_differentiation	Positive Regulation Of Stem Cell Differentiation (GO:2000738)	Gene Ontology Biological Process via Enrichr	GO:2000738	https://amigo.geneontology.org/amigo/term/GO:2000738	GO_Biological_Process_2023	2026-07-06	17	public_gene_set_from_enrichr_gmt
go_negative_regulation_stem_cell_differentiation	Negative Regulation Of Stem Cell Differentiation (GO:2000737)	Gene Ontology Biological Process via Enrichr	GO:2000737	https://amigo.geneontology.org/amigo/term/GO:2000737	GO_Biological_Process_2023	2026-07-06	12	public_gene_set_from_enrichr_gmt
kegg_ampk_signaling	AMPK signaling pathway	KEGG via Enrichr	KEGG_2021_Human:AMPK signaling pathway	https://maayanlab.cloud/Enrichr/#libraries/KEGG_2021_Human	KEGG_2021_Human	2026-07-06	120	public_gene_set_from_enrichr_gmt
kegg_foxo_signaling	FoxO signaling pathway	KEGG via Enrichr	KEGG_2021_Human:FoxO signaling pathway	https://maayanlab.cloud/Enrichr/#libraries/KEGG_2021_Human	KEGG_2021_Human	2026-07-06	131	public_gene_set_from_enrichr_gmt
kegg_mtor_signaling	mTOR signaling pathway	KEGG via Enrichr	KEGG_2021_Human:mTOR signaling pathway	https://maayanlab.cloud/Enrichr/#libraries/KEGG_2021_Human	KEGG_2021_Human	2026-07-06	154	public_gene_set_from_enrichr_gmt
reactome_mtor_signaling	MTOR Signaling R-HSA-165159	Reactome	R-HSA-165159	https://reactome.org/content/detail/R-HSA-165159	Reactome_2022	2026-07-06	41	public_gene_set_from_enrichr_gmt
reactome_lkb1_ampk_mtor_energy_regulation	Energy Dependent Regulation Of mTOR By LKB1-AMPK R-HSA-380972	Reactome	R-HSA-380972	https://reactome.org/content/detail/R-HSA-380972	Reactome_2022	2026-07-06	29	public_gene_set_from_enrichr_gmt
reactome_foxo_mediated_transcription	FOXO-mediated Transcription R-HSA-9614085	Reactome	R-HSA-9614085	https://reactome.org/content/detail/R-HSA-9614085	Reactome_2022	2026-07-06	65	public_gene_set_from_enrichr_gmt
