library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
Longevity	hypermethylated	kegg_pluripotency_stem_cell_signaling	139	6368	33010	55	ACVR1,ACVR2A,AKT2,AKT3,APC,APC2,BMP4,BMPR1A,DLX5,ESRRB,FGF2,FGFR1,FZD10,FZD5,FZD7,HAND1,HOXA1,HOXD1,ID1,ID4,IGF1,INHBA,ISL1,JAK1,JAK3,JARID2,LEFTY2,LHX5,LIFR,MAPK3,MEIS1,MYF5,NANOG,NODAL,ONECUT1,OTX1,PAX6,PIK3CA,PIK3CD,PIK3R1,RIF1,SMAD3,SMAD4,SOX2,WNT1,WNT10A,WNT11,WNT16,WNT2,WNT3,WNT3A,WNT5B,WNT7B,WNT9B,ZFHX3	2.4586354752339736e-08	3.442089665327563e-07
Longevity	hypermethylated	reactome_pluripotent_stem_cell_transcription	28	6368	33010	18	CDX2,DKK1,EOMES,EPHA1,FOXD3,GATA6,GSC,HIF3A,LIN28A,NANOG,NR5A1,PBX1,PRDM14,SALL1,SALL4,SMAD4,SOX2,ZSCAN10	2.3685882555525558e-07	1.658011778886789e-06
Longevity	hypermethylated	go_positive_regulation_stem_cell_differentiation	17	6368	33010	10	FOXC1,HOXB4,LTBP2,NKX2-5,SOX5,SOX6,SOX9,TBX5,TCF15,TGFB2	0.0003615200761655206	0.0016870936887724295
Longevity	hypermethylated	kegg_ampk_signaling	116	6368	33010	35	AKT2,AKT3,CAMKK2,CCNA1,CFTR,CPT1A,CPT1B,CPT1C,CREB3L1,CREB3L2,CREB5,CRTC2,EEF2K,GYS1,IGF1,LEP,LEPR,PFKFB2,PFKFB4,PFKP,PIK3CA,PIK3CD,PIK3R1,PPP2R2A,PPP2R2B,PPP2R2C,PPP2R3A,PPP2R5C,RAB8A,RPTOR,SCD5,STK11,STRADA,TBC1D1,TSC2	0.0032443477868360753	0.011355217253926263
Longevity	hypermethylated	kegg_mtor_signaling	150	6368	33010	39	AKT2,AKT3,ATP6V1B1,ATP6V1B2,ATP6V1E2,ATP6V1G2,BRAF,CLIP1,EIF4E1B,FNIP2,FZD10,FZD5,FZD7,IGF1,LRP5,MAPK3,PIK3CA,PIK3CD,PIK3R1,PRKCB,PRKCG,PRR5,RPTOR,SESN2,SGK1,SLC3A2,STK11,STRADA,TSC2,WNT1,WNT10A,WNT11,WNT16,WNT2,WNT3,WNT3A,WNT5B,WNT7B,WNT9B	0.02673952601554311	0.07487067284352071
Longevity	hypermethylated	kegg_foxo_signaling	126	6368	33010	29	AKT2,AKT3,BNIP3,BRAF,CCND2,CDKN1A,CREBBP,CSNK1E,EGFR,FOXG1,GRM1,HOMER1,IGF1,MAPK10,MAPK3,PIK3CA,PIK3CD,PIK3R1,S1PR1,SGK1,SMAD3,SMAD4,SOD2,STK11,TGFB2,TGFBR1,TGFBR2,TPTEP2-CSNK1E,USP7	0.1706948974759695	0.3982880941105955
Longevity	hypermethylated	reactome_telomere_extension_by_telomerase	22	6368	33010	6	CCNA1,PIF1,RUVBL1,RUVBL2,TERF2,TERT	0.23925774159410398	0.4688472569076852
Longevity	hypermethylated	reactome_telomere_maintenance	85	6368	33010	19	CCNA1,CTC1,DAXX,DSCC1,H2AC14,H2BC14,H2BC15,H2BC3,PIF1,POLA2,POLD2,POLR2F,POLR2L,RUVBL1,RUVBL2,SLC19A1,TERF2,TERT,WRN	0.2752191132991313	0.4688472569076852
Longevity	hypermethylated	reactome_foxo_mediated_transcription	62	6368	33010	14	AKT2,AKT3,CDKN1A,CREBBP,FOXG1,NFYC,NPY,NR3C1,PLXNA4,POMC,SMAD3,SMAD4,STK11,YWHAG	0.3014018080120833	0.4688472569076852
Longevity	hypermethylated	go_negative_regulation_stem_cell_differentiation	12	6368	33010	3	HES5,NOTCH1,TCF15	0.41644502534959515	0.5830230354894332
Longevity	hypermethylated	reactome_mtor_signaling	40	6368	33010	8	AKT2,EEF2K,EIF4G1,FKBP1A,RPTOR,STK11,STRADA,TSC2	0.5179699654738167	0.6592345015121303
Longevity	hypermethylated	reactome_transcriptional_activation_mitochondrial_biogenesis	49	6368	33010	8	CHD9,CREBBP,CRTC1,CRTC2,MEF2C,MEF2D,NR1D1,RXRA	0.7542519654628065	0.8481319963191952
Longevity	hypermethylated	reactome_lkb1_ampk_mtor_energy_regulation	28	6368	33010	4	RPTOR,STK11,STRADA,TSC2	0.8168129154989524	0.8481319963191952
Longevity	hypermethylated	reactome_mitochondrial_biogenesis	84	6368	33010	13	ATP5MC2,ATP5PB,CHCHD6,CHD9,CREBBP,CRTC1,CRTC2,MEF2C,MEF2D,MICOS10,NR1D1,RXRA,TMEM11	0.8481319963191951	0.8481319963191952
