gene	direction	n_probes	max_abs_delta_beta	min_fdr
7SK	hypermethylated	3	0.3767439862496552	5.796363334099322e-94
A1BG	hypermethylated	2	0.2403331941392841	1.2597939387534663e-24
A1BG-AS1	hypermethylated	2	0.2403331941392841	1.2597939387534663e-24
A3GALT2	hypermethylated	1	0.2076094928160602	2.859586049227731e-53
AAAS	hypermethylated	1	0.2189015897810292	2.6343619287912563e-106
AADACL2-AS1	hypermethylated	2	0.3519701122381531	3.2463533862369176e-119
AADACP1	hypermethylated	1	0.272760610758321	3.2463533862369176e-119
ABAT	hypermethylated	2	0.2612828521646979	2.9635898629751025e-63
ABCA1	hypermethylated	1	0.2681307119422481	4.108975371200629e-58
ABCB1	hypermethylated	1	0.2024597939727078	3.610164071741656e-88
ABCC1	hypermethylated	2	0.2645829340066319	1.5695341615318948e-80
ABCC9	hypermethylated	14	0.4927232770906324	7.674335219235818e-230
ABCD1P4	hypermethylated	1	0.218303367896505	7.87691034345434e-32
ABCG1	hypermethylated	2	0.2214223675824359	2.432978360722519e-80
ABCG5	hypermethylated	2	0.2397486567327294	1.0101302880770488e-93
ABCG8	hypermethylated	2	0.2397486567327294	1.0101302880770488e-93
ABHD14A	hypermethylated	2	0.2698197443174803	1.1191504214489566e-84
ABHD14A-ACY1	hypermethylated	2	0.2698197443174803	1.1191504214489566e-84
ABHD14B	hypermethylated	2	0.2698197443174803	1.1191504214489566e-84
ABHD15-AS1	hypermethylated	6	0.3376869632738298	1.633143992735203e-97
ABHD2	hypermethylated	1	0.2033241469153431	1.597007566049213e-19
ABL1	hypermethylated	5	0.3140657343563586	2.8928434971866415e-113
ABLIM1	hypermethylated	6	0.3107737094322759	8.265434322584971e-114
ABLIM2	hypermethylated	2	0.3744842245315092	9.061210563797182e-87
ABO	hypermethylated	2	0.2821057520488576	4.7369780789835824e-123
ABR	hypermethylated	8	0.4384996349650218	4.498434070393197e-99
ABT1	hypermethylated	1	0.2576982486968281	2.7854314661877736e-36
ABTB2	hypermethylated	1	0.2241030149116977	9.992298978042156e-67
AC000035.1	hypermethylated	2	0.2698411011929846	1.3152935488049184e-102
AC000050.2	hypermethylated	1	0.2422478649106541	7.077053792684699e-94
AC000120.2	hypermethylated	2	0.2611529491367435	3.544121319277673e-107
AC000120.3	hypermethylated	2	0.2611529491367435	3.544121319277673e-107
AC000403.1	hypermethylated	2	0.3345570956959444	8.222270530487562e-111
AC002064.1	hypermethylated	3	0.2491572438347603	9.147401927517902e-130
AC002066.1	hypermethylated	5	0.339790106984963	9.977960068800013e-131
AC002070.1	hypermethylated	1	0.2086437504778626	2.95477816494138e-76
AC002074.1	hypermethylated	4	0.2654771399485245	5.450725703955015e-123
AC002091.2	hypermethylated	1	0.2106620134735495	3.261343371733995e-69
AC002094.1	hypermethylated	2	0.2239474959208597	6.392239738526767e-82
AC002094.4	hypermethylated	2	0.2239474959208597	6.392239738526767e-82
AC002116.2	hypermethylated	3	0.2511169951313332	1.3067179897230274e-55
AC002378.1	hypermethylated	2	0.2813078487371609	8.542793932249609e-62
AC002451.1	hypermethylated	2	0.2244262979062655	4.9290118639261976e-127
AC002456.1	hypermethylated	2	0.2399600893715713	5.418930741966509e-42
AC002464.1	hypermethylated	1	0.3929248903531596	7.924267678946855e-63
