library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
Reactome	combined	Protein-protein Interactions At Synapses R-HSA-6794362	79	674	33010	9	DLGAP1,DLGAP2,GRIA1,GRM1,NRXN2,NRXN3,PPFIA3,SLITRK1,SYT1	3.370604216979217e-05	0.06127758466468217
Reactome	combined	Regulation Of Gene Expression In Beta Cells R-HSA-210745	20	674	33010	4	FOXA2,NEUROD1,PAX6,PKLR	0.0006432323318302112	0.29323329144796983
Reactome	combined	Neurexins And Neuroligins R-HSA-6794361	53	674	33010	6	DLGAP1,DLGAP2,GRM1,NRXN2,NRXN3,SYT1	0.0007199175098432571	0.29323329144796983
Reactome	combined	Negative Regulation Of Activity Of TFAP2 (AP-2) Family Transcription Factors R-HSA-8866904	10	674	33010	3	TFAP2B,TFAP2D,WWOX	0.000913615559629937	0.29323329144796983
Reactome	combined	GPCR Downstream Signaling R-HSA-388396	580	674	33010	24	AKAP13,CALCB,CPAMD8,GALR1,GHSR,GPR37L1,GRK5,GRM1,HTR1B,LPAR6,MCF2L,NPBWR1,NPY,PCDHA4,PCDHA6,PDE10A,PDE4C,PENK,PRKAR1B,SCT,SST,SSTR4,TAC1,TRH	0.0009769425625783643	0.29323329144796983
Reactome	combined	Regulation Of Beta-Cell Development R-HSA-186712	39	674	33010	5	FOXA2,MAML3,NEUROD1,PAX6,PKLR	0.0011336056880333954	0.29323329144796983
Reactome	combined	Activation Of TFAP2 (AP-2) Family Of Transcription Factors R-HSA-8866907	11	674	33010	3	TFAP2B,TFAP2D,WWOX	0.0012372047033542282	0.29323329144796983
Reactome	combined	GPCR Ligand Binding R-HSA-500792	429	674	33010	19	CALCB,CPAMD8,GALR1,GHSR,GPR37L1,GRM1,HTR1A,HTR1B,LPAR6,NPBWR1,NPY,PCDHA4,PCDHA6,PENK,SCT,SST,SSTR4,TAC1,TRH	0.0014824660900163427	0.29323329144796983
Reactome	combined	Neuronal System R-HSA-112316	365	674	33010	17	ABCC9,CACNA2D2,CACNG8,DLGAP1,DLGAP2,GABRA1,GRIA1,GRM1,KCNC2,KCNQ4,NRXN2,NRXN3,PPFIA3,PRKAR1B,SLC6A3,SLITRK1,SYT1	0.0015194625780495235	0.29323329144796983
Reactome	combined	Class A/1 (Rhodopsin-like Receptors) R-HSA-373076	304	674	33010	15	GALR1,GHSR,GPR37L1,HTR1A,HTR1B,LPAR6,NPBWR1,NPY,PCDHA4,PCDHA6,PENK,SST,SSTR4,TAC1,TRH	0.0016129443974035745	0.29323329144796983
Reactome	combined	Signaling By GPCR R-HSA-372790	648	674	33010	25	AKAP13,CALCB,CPAMD8,GALR1,GHSR,GPR37L1,GRK5,GRM1,HTR1A,HTR1B,LPAR6,MCF2L,NPBWR1,NPY,PCDHA4,PCDHA6,PDE10A,PDE4C,PENK,PRKAR1B,SCT,SST,SSTR4,TAC1,TRH	0.002016457097028004	0.33326536385426464
Reactome	combined	Phase 2 - Plateau Phase R-HSA-5576893	14	674	33010	3	CACNA2D2,CACNG7,CACNG8	0.0026075156615349036	0.3950386227225379
Reactome	combined	Phase 0 - Rapid Depolarisation R-HSA-5576892	31	674	33010	4	CACNA2D2,CACNG7,CACNG8,SCN1A	0.003498046243408417	0.489188313116654
Reactome	combined	Peptide Ligand-Binding Receptors R-HSA-375276	183	674	33010	10	GALR1,GHSR,GPR37L1,NPBWR1,NPY,PENK,SST,SSTR4,TAC1,TRH	0.004563414771914974	0.5925920039529587
Reactome	combined	Sensory Processing Of Sound By Inner Hair Cells Of Cochlea R-HSA-9662360	62	674	33010	5	CACNA2D2,CAPZB,EZR,KCNQ4,MYO3A	0.008688321951558985	1.0
Reactome	combined	Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125	89	674	33010	6	MDGA2,NRN1,NTM,OPCML,PIGB,RTN4RL1	0.009859392162844729	1.0
Reactome	combined	Folding Of Actin By CCT/TriC R-HSA-390450	9	674	33010	2	CCT5,CCT6A	0.013626046205941385	1.0
Reactome	combined	POU5F1 (OCT4), SOX2, NANOG Repress Genes Related To Differentiation R-HSA-2892245	9	674	33010	2	CDX2,EOMES	0.013626046205941385	1.0
Reactome	combined	Sensory Processing Of Sound R-HSA-9659379	70	674	33010	5	CACNA2D2,CAPZB,EZR,KCNQ4,MYO3A	0.014241224150873914	1.0
Reactome	combined	Formation Of Tubulin Folding Intermediates By CCT/TriC R-HSA-389960	26	674	33010	3	CCT5,CCT6A,TUBB2B	0.015538504419744487	1.0
Reactome	combined	Prefoldin Mediated Transfer Of Substrate To CCT/TriC R-HSA-389957	26	674	33010	3	CCT5,CCT6A,TUBB2B	0.015538504419744487	1.0
Reactome	combined	Serotonin Receptors R-HSA-390666	10	674	33010	2	HTR1A,HTR1B	0.016804153867519246	1.0
Reactome	combined	SUMOylation Of DNA Damage Response And Repair Proteins R-HSA-3108214	73	674	33010	5	CDKN2A,MDC1,NSMCE2,PARP1,PMEPA1	0.016823396769245533	1.0
Reactome	combined	SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232	161	674	33010	8	CDKN2A,MDC1,NSMCE2,PARP1,PMEPA1,SATB2,TFAP2B,THRA	0.01795431481382735	1.0
Reactome	combined	G Alpha (I) Signaling Events R-HSA-418594	295	674	33010	12	GALR1,GPR37L1,HTR1B,NPBWR1,NPY,PCDHA4,PCDHA6,PDE4C,PENK,PRKAR1B,SST,SSTR4	0.018968194569337363	1.0
Reactome	combined	SUMOylation R-HSA-2990846	167	674	33010	8	CDKN2A,MDC1,NSMCE2,PARP1,PMEPA1,SATB2,TFAP2B,THRA	0.0218215146486759	1.0
Reactome	combined	Pyrimidine Catabolism R-HSA-73621	12	674	33010	2	DPYS,NT5E	0.023991238982295385	1.0
Reactome	combined	Cooperation Of Prefoldin And TriC/CCT In Actin And Tubulin Folding R-HSA-389958	31	674	33010	3	CCT5,CCT6A,TUBB2B	0.024927957209889717	1.0
Reactome	combined	Signal Transduction R-HSA-162582	2341	674	33010	61	AKAP13,ALDH1A3,APBB1IP,ATP6V1B1,BCL9,CALCB,CAPZB,CCT6A,CENPN,CFTR,CPAMD8,CYP26A1,DLK1,DST,DZIP1,FGF5,FOXA1,GABRA1,GALR1,GATA3,GATAD2B,GHSR,GPR37L1,GRK5,GRM1,HTR1A,HTR1B,KLC1,LPAR6,MAML3,MCF2L,MMP9,NPBWR1,NPY,NR2E1,NTRK1,PARP1,PCDHA4,PCDHA6,PDE10A,PDE4C,PDE6B,PENK,PMEPA1,PRKAR1B,RARG,RASGEF1A,SCT,SEL1L,SKI,SPRY2,SST,SSTR4,TAC1,TAOK3,TBL1XR1,TMPO,TNFRSF10A,TRH,WWOX,ZNF217	0.03032155448042262	1.0
Reactome	combined	Transcriptional Regulation By AP-2 (TFAP2) Family Of Transcription Factors R-HSA-8864260	34	674	33010	3	TFAP2B,TFAP2D,WWOX	0.03173586250306351	1.0
Reactome	combined	G Alpha (S) Signaling Events R-HSA-418555	150	674	33010	7	CALCB,CPAMD8,GRK5,PDE10A,PDE4C,PRKAR1B,SCT	0.03480432442485096	1.0
Reactome	combined	Gap Junction Assembly R-HSA-190861	15	674	33010	2	GJA3,GJB2	0.036663420313068185	1.0
Reactome	combined	Factors Involved In Megakaryocyte Development And Platelet Production R-HSA-983231	120	674	33010	6	CAPZB,GATA3,HBE1,HBG2,KLC1,PRKAR1B	0.03682328684940259	1.0
Reactome	combined	Receptor-type Tyrosine-Protein Phosphatases R-HSA-388844	16	674	33010	2	PPFIA3,SLITRK1	0.04134511012950087	1.0
Reactome	combined	Signaling By Retinoic Acid R-HSA-5362517	39	674	33010	3	ALDH1A3,CYP26A1,RARG	0.04500672990064058	1.0
Reactome	combined	Generic Transcription Pathway R-HSA-212436	1141	674	33010	32	ANAPC1,CDKN2A,GATA3,GATAD2B,MAML3,MDC1,NPY,NR2E1,PARP1,PAX5,POU4F2,RARG,RB1,RBFOX1,SATB2,SKI,SST,TAL1,TBL1XR1,TFAP2B,TFAP2D,THRA,TNFRSF10A,WWOX,ZNF154,ZNF184,ZNF274,ZNF551,ZNF560,ZNF671,ZNF709,ZNF729	0.0452406003524776	1.0
Reactome	combined	Acetylcholine Neurotransmitter Release Cycle R-HSA-264642	17	674	33010	2	PPFIA3,SYT1	0.0462372021299611	1.0
Reactome	combined	Gastrulation R-HSA-9758941	17	674	33010	2	EOMES,TBXT	0.0462372021299611	1.0
Reactome	combined	Norepinephrine Neurotransmitter Release Cycle R-HSA-181430	17	674	33010	2	PPFIA3,SYT1	0.0462372021299611	1.0
Reactome	combined	Serotonin Neurotransmitter Release Cycle R-HSA-181429	17	674	33010	2	PPFIA3,SYT1	0.0462372021299611	1.0
Reactome	combined	Na+/Cl- Dependent Neurotransmitter Transporters R-HSA-442660	18	674	33010	2	SLC6A3,SLC6A5	0.051329180341810755	1.0
Reactome	combined	SUMOylation Of Transcription Factors R-HSA-3232118	19	674	33010	2	CDKN2A,TFAP2B	0.05661086938679428	1.0
