library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
GO_BP	hypermethylated	Regulation Of Transcription By RNA Polymerase II (GO:0006357)	1855	483	33010	70	ALX1,CDX2,CUX1,DRGX,EOMES,EVX1,EVX2,FERD3L,FOXA1,FOXA2,FOXE3,GALR1,GATA3,GFI1,HOXB13,HOXB7,HOXC4,HOXD10,HOXD13,HSF1,LHX1,LHX8,LHX9,MAML3,NEUROD1,NKX2-1,NKX2-6,NR2E1,ONECUT2,OTP,OTX1,OTX2,PAX3,PAX5,PAX6,PDX1,POU4F2,PRRX1,RARG,RB1,RFX1,SATB2,SCRT2,SIM1,SIM2,SIX3,SIX6,SKI,SKOR1,SOX1,ST18,TAL1,TBX20,TBXT,TCF20,TCF23,TFAP2B,TFAP2D,THRA,TLX1,WT1,ZFP42,ZIC1,ZIC4,ZNF274,ZNF536,ZNF560,ZNF671,ZNF709,ZSCAN18	3.7288912486706963e-13	2.016211498156245e-09
GO_BP	combined	Regulation Of Transcription By RNA Polymerase II (GO:0006357)	1855	674	33010	87	ALX1,BCL9,CDX2,COPS5,CREM,CUX1,DRGX,EOMES,EVX1,EVX2,EZR,FERD3L,FOXA1,FOXA2,FOXE3,GALR1,GATA3,GATAD2B,GFI1,GRHL2,HOXB13,HOXB7,HOXC4,HOXD10,HOXD13,HSF1,LHX1,LHX8,LHX9,LINC-PINT,MAML3,MYT1L,NEUROD1,NFE2L3,NKX2-1,NKX2-6,NR2E1,ONECUT2,OTP,OTX1,OTX2,PARP1,PAX3,PAX5,PAX6,PDX1,POU4F2,PRDM16,PRRX1,RARG,RB1,RFX1,S100A10,SATB2,SCRT2,SIM1,SIM2,SIX3,SIX6,SKI,SKOR1,SOX1,ST18,SUB1,TAL1,TBL1XR1,TBX20,TBXT,TCF20,TCF23,TFAP2B,TFAP2D,THRA,TLX1,WT1,WWOX,ZBTB16,ZFP42,ZIC1,ZIC4,ZNF217,ZNF274,ZNF536,ZNF560,ZNF671,ZNF709,ZSCAN18	4.36282231950555e-13	2.358978028156651e-09
GO_BP	hypermethylated	Regulation Of DNA-templated Transcription (GO:0006355)	1780	483	33010	66	ALX1,CDK15,CDKN2A,CDX2,CUX1,DRGX,EOMES,EVX1,EVX2,FERD3L,FOXA1,FOXA2,FOXE3,GATA3,GFI1,HOXB13,HOXB7,HOXC4,HOXD10,HOXD13,HSF1,LHX1,LHX8,LHX9,MLLT1,NEUROD1,NKX2-1,NKX2-6,ONECUT2,OTX1,OTX2,PAX3,PAX5,PAX6,PDX1,POU4F2,PRMT2,RB1,RFX1,SATB2,SCRT2,SIM1,SIM2,SIX3,SIX6,SKOR1,SOX1,TAL1,TBX20,TBXT,TCF20,TCF23,TFAP2B,TFAP2D,THRA,TLX1,WT1,ZFP42,ZIC1,ZIC4,ZNF274,ZNF536,ZNF671,ZNF709,ZNF876P,ZSCAN18	4.1759595958116066e-12	1.1289706767276682e-08
GO_BP	combined	Regulation Of DNA-templated Transcription (GO:0006355)	1780	674	33010	79	ALX1,ASIC2,CDK15,CDKN2A,CDX2,CREM,CUX1,DRGX,EOMES,EVX1,EVX2,FERD3L,FOXA1,FOXA2,FOXE3,GATA3,GATAD2B,GFI1,GON4L,GRHL2,HOXB13,HOXB7,HOXC4,HOXD10,HOXD13,HSF1,LHX1,LHX8,LHX9,MLLT1,MYT1L,NEUROD1,NFE2L3,NKX2-1,NKX2-6,ONECUT2,OTX1,OTX2,PARP1,PAX3,PAX5,PAX6,PDX1,POU4F2,PRDM16,PRMT2,RB1,RFX1,SATB2,SCRT2,SIM1,SIM2,SIX3,SIX6,SKOR1,SOX1,SUB1,TAL1,TBL1XR1,TBX20,TBXT,TCF20,TCF23,TFAP2B,TFAP2D,THRA,TLX1,WT1,ZBTB16,ZFP42,ZIC1,ZIC4,ZNF217,ZNF274,ZNF536,ZNF671,ZNF709,ZNF876P,ZSCAN18	8.477908840065303e-11	2.292002654911655e-07
GO_BP	combined	Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)	686	674	33010	38	ALX1,CDX2,CREM,CUX1,EOMES,EZR,GATA3,GATAD2B,GFI1,HOXB13,HSF1,LINC-PINT,MYT1L,NKX2-1,NR2E1,OTP,PARP1,PAX6,POU4F2,PRDM16,RARG,RB1,SCRT2,SKI,SKOR1,SOX1,TBL1XR1,TBX20,TBXT,TCF23,TFAP2B,THRA,WT1,ZBTB16,ZNF217,ZNF274,ZNF536,ZNF560	3.744809675877498e-08	6.74939530582321e-05
GO_BP	combined	Negative Regulation Of DNA-templated Transcription (GO:0045892)	931	674	33010	44	ALX1,CDKN2A,CDX2,CREM,CUX1,EOMES,EZR,FERD3L,GATA3,GATAD2B,GFI1,HOXB13,HSF1,LHX1,LHX9,LINC-PINT,MYT1L,NKX2-1,NR2E1,OTP,PARP1,PAX6,POU4F2,PRDM16,PRMT2,RARG,RB1,SCRT2,SIX3,SKI,SKOR1,SOX1,TBL1XR1,TBX20,TBXT,TCF23,TFAP2B,THRA,WT1,ZBTB16,ZNF217,ZNF274,ZNF536,ZNF560	2.944699416862639e-07	0.0003614478606889
GO_BP	combined	Chemical Synaptic Transmission (GO:0007268)	254	674	33010	20	ASIC2,DLGAP1,DLGAP2,GABRA1,GRIA1,HTR1A,HTR1B,NPBWR1,NPTX2,NRXN2,PCDHB4,PCDHB6,PENK,PPFIA3,PTPRN2,RIMBP2,SHISA6,SLC12A5,SST,SYT1	3.342406701395961e-07	0.0003614478606889
GO_BP	combined	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	888	674	33010	42	ALX1,BCL9,CDX2,COPS5,EOMES,FOXA1,FOXA2,GALR1,GATA3,GRHL2,HOXB7,HOXC4,HOXD13,HSF1,MAML3,MDC1,NEUROD1,NKX2-1,NKX2-6,ONECUT2,OTX1,OTX2,PARP1,PAX3,PAX6,PDX1,POU4F2,PRRX1,RARG,S100A10,SATB2,SKI,SOX1,ST18,TAL1,TBL1XR1,TBXT,TCF20,TFAP2B,THRA,WT1,WWOX	5.390953626928528e-07	0.0004858147710133
GO_BP	hypermethylated	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	888	483	33010	34	ALX1,CDX2,EOMES,FOXA1,FOXA2,GALR1,GATA3,HOXB7,HOXC4,HOXD13,HSF1,MAML3,NEUROD1,NKX2-1,NKX2-6,ONECUT2,OTX1,OTX2,PAX3,PAX6,PDX1,POU4F2,PRRX1,RARG,SATB2,SKI,SOX1,ST18,TAL1,TBXT,TCF20,TFAP2B,THRA,WT1	4.343916496461977e-07	0.0007829185498789
GO_BP	combined	Nervous System Development (GO:0007399)	411	674	33010	25	ASIC2,BTBD3,FGF5,GRHL2,HPCAL4,JARID2,LHX1,MDGA2,MYT1L,NAV1,NEUROD1,NR2E1,NRSN1,NRXN2,PAX6,PCDHB4,PCDHB6,RBFOX1,RBFOX3,SLITRK1,VAX1,VAX2,ZBTB16,ZIC1,ZIC4	1.5569165130697417e-06	0.001202606798024
