library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
GO_MF	combined	Sequence-Specific Double-Stranded DNA Binding (GO:1990837)	671	848	33010	81	AKR1B1,ALX1,ASIC2,ATF7,BARHL2,BATF,CUX1,DMRTA2,DRGX,ERBB4,ESRRG,EVX1,EVX2,FERD3L,FEV,FOXA2,FOXD3,FOXE1,FOXG1,FOXQ1,GCM2,HDAC4,HMGA2,HOXA10,HOXA4,HOXA9,HOXC4,HOXD10,HOXD3,HOXD8,HOXD9,IRF1,IRF4,LHX1,LHX4,LHX6,LHX8,LHX9,LIN28B,MACROH2A1,MAF,NEUROD1,NFATC1,NKX2-1,NKX3-2,NKX6-2,NR1I2,NR5A2,OLIG3,ONECUT2,OTX1,OTX2,OVOL1,PAX3,PAX6,PDX1,PHOX2A,PITX2,PRDM16,PROX1,RFX1,RUNX1,SCRT2,SIX1,SIX3,SIX6,SKOR1,TAL1,TBX15,TBX20,TBXT,TLX2,VAX1,WT1,ZFP42,ZIC1,ZIC4,ZIC5,ZNF177,ZNF217,ZNF454	3.3252672309042857e-31	3.814081513847216e-28
GO_MF	combined	Sequence-Specific DNA Binding (GO:0043565)	673	848	33010	77	ALX1,ATF7,BARHL2,BATF,CUX1,DMRTA2,DRGX,ESRRG,EVX1,EVX2,FERD3L,FEV,FOXA2,FOXD3,FOXE1,FOXE3,FOXG1,FOXQ1,GCM2,GRHL2,HDAC4,HOXA10,HOXA4,HOXA9,HOXC4,HOXD10,HOXD3,HOXD8,HOXD9,IRF4,LHX1,LHX4,LHX6,LHX8,LHX9,LIN28B,MAF,NEUROD1,NFATC1,NKX3-2,NKX6-2,NR1I2,NR5A2,OLIG3,ONECUT2,OTX1,OTX2,OVOL1,PAX3,PAX6,PDX1,PHOX2A,PITX2,POU3F3,PRDM16,PROX1,RFX1,SCRT2,SIX1,SIX3,SIX6,SKOR1,SMG6,TBX15,TBX20,TBXT,TET3,TLX2,VAX1,WT1,ZCWPW1,ZFP42,ZIC1,ZIC4,ZIC5,ZNF177,ZNF454	3.763043201468489e-28	2.1581052760421786e-25
GO_MF	combined	RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	1135	848	33010	101	AKR1B1,ALX1,BARHL2,BATF,CUX1,DMRTA2,DRGX,EVX1,EVX2,FERD3L,FEZF1,FOXA2,FOXD3,FOXE1,FOXE3,FOXI3,FOXQ1,GCM2,GRHL2,HDAC4,HOXA10,HOXA3,HOXA4,HOXA9,HOXC4,HOXD10,HOXD3,HOXD8,HOXD9,IRF1,IRF4,LHX1,LHX4,LHX6,LHX8,LHX9,MACROH2A1,MAF,NFATC1,NKX2-1,NKX2-6,NKX3-2,NKX6-2,NPAS4,NR1H2,NR1I2,NR5A2,ONECUT2,OTP,OTX1,OTX2,OVOL1,PAX3,PAX6,PDX1,PHOX2A,PITX2,POU3F3,POU4F2,PRDM14,PRDM16,PROX1,PRRX1,RFX1,RUNX1,SALL1,SALL2,SATB2,SCRT2,SIM1,SIX1,SIX3,SIX6,SKI,SKOR1,SOX1,TAL1,TBR1,TBX15,TBX20,TBX4,TBXT,TLX1,TLX2,VAX1,WT1,ZFHX3,ZFP42,ZIC1,ZIC4,ZIC5,ZNF154,ZNF217,ZNF267,ZNF454,ZNF502,ZNF551,ZNF709,ZNF750,ZNF876P,ZSCAN18	9.707945774205595e-28	3.7116712676712726e-25
GO_MF	combined	Double-Stranded DNA Binding (GO:0003690)	618	848	33010	73	ALX1,ATF7,BARHL2,BATF,CUX1,DMRTA2,DRGX,ESRRG,EVX1,EVX2,FERD3L,FEV,FOXA2,FOXD3,FOXE1,FOXG1,FOXQ1,GCM2,H1-1,HOXA10,HOXA4,HOXA9,HOXC4,HOXD10,HOXD3,HOXD8,HOXD9,IRF4,LHX1,LHX4,LHX6,LHX8,LHX9,LIN28B,MACROH2A1,MAF,NEUROD1,NFATC1,NKX3-2,NKX6-2,NR1I2,NR5A2,OLIG3,ONECUT2,OTX1,OTX2,OVOL1,PAX3,PAX6,PDX1,PHOX2A,PITX2,PROX1,RBMS1,RFX1,SCRT2,SIX1,SIX3,SIX6,SKOR1,SYCP1,TBX15,TBX20,TBXT,TLX2,VAX1,WT1,ZFP42,ZIC1,ZIC4,ZIC5,ZNF177,ZNF454	1.3529785111768134e-27	3.8796658807995125e-25
GO_MF	combined	RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)	1040	848	33010	89	AKR1B1,ATF7,BATF,DMRTA2,ESRRG,EVX1,EVX2,FEZF1,FOXA2,FOXD3,FOXE1,FOXE3,FOXI3,FOXQ1,GCM2,GRHL2,HDAC4,HMGA2,HOXA10,HOXA3,HOXA4,HOXA9,HOXC4,HOXD10,HOXD3,HOXD9,IRF1,IRF4,MAF,NEUROD1,NFATC1,NKX2-1,NKX2-6,NKX3-2,NKX6-2,NPAS4,NR1H2,NR1I2,NR5A2,OLIG3,ONECUT2,OTX1,OTX2,OVOL1,PAX3,PAX6,PDX1,PITX2,POU3F3,POU4F2,PRDM16,PROX1,PRRX1,RFX1,RUNX1,SALL1,SALL2,SATB2,SCRT2,SIX1,SIX3,SIX6,SKI,SKOR1,SOX1,TAL1,TBR1,TBX15,TBX20,TBX4,TBXT,TLX1,TLX2,VAX1,WT1,ZFHX3,ZFP42,ZIC1,ZIC4,ZIC5,ZNF154,ZNF217,ZNF267,ZNF454,ZNF502,ZNF551,ZNF750,ZNF876P,ZSCAN18	2.5465112176204992e-23	5.841696733221425e-21
GO_MF	combined	Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)	1016	848	33010	84	AKR1B1,BATF,DMRTA2,EVX1,EVX2,FEZF1,FOXA2,FOXD3,FOXE1,FOXE3,FOXI3,FOXQ1,GCM2,GRHL2,HDAC4,HOXA10,HOXA3,HOXA4,HOXA9,HOXC4,HOXD10,HOXD3,HOXD9,IRF1,IRF4,MAF,NFATC1,NKX2-1,NKX2-6,NKX3-2,NKX6-2,NPAS4,NR1H2,NR1I2,NR5A2,ONECUT2,OTX1,OTX2,OVOL1,PAX3,PAX6,PDX1,PITX2,POU3F3,POU4F2,PRDM16,PROX1,PRRX1,RFX1,RUNX1,SALL1,SALL2,SATB2,SCRT2,SIX1,SIX3,SIX6,SKI,SKOR1,SOX1,TAL1,TBR1,TBX15,TBX20,TBX4,TBXT,TLX1,TLX2,VAX1,WT1,ZFHX3,ZFP42,ZIC1,ZIC4,ZIC5,ZNF154,ZNF217,ZNF267,ZNF454,ZNF502,ZNF551,ZNF750,ZNF876P,ZSCAN18	4.340828622867558e-21	8.298217384048483e-19
GO_MF	combined	Transcription Cis-Regulatory Region Binding (GO:0000976)	443	848	33010	45	AKR1B1,ALX1,ATF7,BARHL2,CUX1,DRGX,ERBB4,FERD3L,FOXA2,FOXD3,GRHL2,HDAC4,HMGA2,HOXD3,HOXD8,HOXD9,IRF1,LHX1,LHX4,LHX6,LHX8,LHX9,MACROH2A1,NKX2-1,NPAS4,NR1I2,NR5A2,OTP,PAX6,PHOX2A,PITX2,PRDM14,PRDM16,PROX1,RUNX1,SALL2,SATB2,SCRT2,SIM1,SIX1,TAL1,TBX20,WT1,ZNF217,ZNF709	5.738774687643412e-15	9.403392238181418e-13
GO_MF	combined	DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)	325	848	33010	31	ALX1,GRHL2,HOXA10,HOXC4,HOXD3,HOXD8,IRF1,IRF4,LHX4,NEUROD1,NFATC1,NKX2-6,NPAS4,NR1H2,NR1I2,ONECUT2,OTX1,OTX2,PHOX2A,POU4F2,PRDM16,PRRX1,RUNX1,SALL2,SATB2,SIX1,SIX3,TLX2,WT1,ZNF267,ZNF750	4.75027848198404e-10	6.810711773544618e-08
GO_MF	combined	Transcription Regulatory Region Nucleic Acid Binding (GO:0001067)	205	848	33010	19	AKR1B1,ATF7,ERBB4,FOXA2,HDAC4,HMGA2,IRF1,MACROH2A1,NKX2-1,NR5A2,PAX6,PITX2,PRDM16,PROX1,RUNX1,SIX1,TAL1,WT1,ZNF217	1.6589417326099e-06	0.0002114229074781728
GO_MF	combined	DNA Binding (GO:0003677)	789	848	33010	39	BATF,CHD6,CUX1,FOXA2,FOXE1,FOXE3,FOXG1,GCM2,GRHL2,H1-1,HDAC4,HMGA2,IRF1,IRF4,JCHAIN,LHX4,MACROH2A1,MEIOB,NEUROD1,NKX2-1,NKX6-2,NR1H2,NR5A2,OTP,PAX3,PAX6,POU3F3,PRDM16,PROX1,RBMS1,SIM1,SIX1,SOX1,SYCP1,TBX4,TLX2,WT1,ZIC4,ZMYM4	9.068118901229882e-05	0.010401132379710675
