library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
KEGG	combined	Maturity onset diabetes of the young	26	848	33010	6	FOXA2,GCK,NEUROD1,NR5A2,PAX6,PDX1	4.187446016878347e-05	0.006842791295389867
KEGG	combined	Transcriptional misregulation in cancer	176	848	33010	15	CDK14,EYA1,FEV,HMGA2,HOXA10,HOXA9,IGF1,IGF1R,MAF,MMP9,PAX3,RUNX1,SIX1,TLX1,WT1	5.364351963030548e-05	0.006842791295389867
KEGG	combined	MicroRNAs in cancer	288	848	33010	20	HDAC4,HMGA2,HOXD10,MIR124-2,MIR125B1,MIR129-2,MIR181C,MIR181D,MMP9,PIK3CA,PRKCB,PRKCE,RPTOR,SPRY2,TGFB2,TNR,TNXB,TRIM71,WNT3A,ZFPM2	6.415116839428001e-05	0.006842791295389867
KEGG	combined	Type II diabetes mellitus	45	848	33010	7	CACNA1C,CACNA1E,GCK,HK1,PDX1,PIK3CA,PRKCE	0.00013961346967412858	0.011169077573930286
KEGG	combined	Tight junction	161	848	33010	13	CD1B,CD1C,CD1D,CFTR,CLDN10,JAM2,MAGI1,MYH10,MYL6,PRKCE,RUNX1,SLC9A3R1,SYNPO	0.00028233422772306086	0.018069390574275895
KEGG	combined	Long-term depression	58	848	33010	6	GNA12,GRM1,IGF1,IGF1R,PPP1R17,PRKCB	0.0036726038965701003	0.195872207817072
KEGG	combined	Insulin secretion	83	848	33010	7	ADCY4,ADCYAP1R1,CACNA1C,GCK,PDX1,PRKCB,RYR2	0.005524236886924087	0.21350654877432856
KEGG	combined	Proteoglycans in cancer	199	848	33010	12	ANK2,ERBB4,HOXD10,HSPB2,IGF1,IGF1R,MMP9,PIK3CA,PPP1R12C,PRKCB,TGFB2,WNT3A	0.005593203431635459	0.21350654877432856
KEGG	combined	Neomycin, kanamycin and gentamicin biosynthesis	5	848	33010	2	GCK,HK1	0.006260307684268674	0.21350654877432856
KEGG	combined	MAPK signaling pathway	282	848	33010	15	CACNA1C,CACNA1E,CACNG7,CACNG8,ERBB4,FGF19,GNA12,IGF1,IGF1R,IL1R1,MAP3K8,MKNK1,NFATC1,PRKCB,TGFB2	0.006672079649197768	0.21350654877432856
KEGG	combined	cAMP signaling pathway	209	848	33010	12	ADCY4,ADCYAP1R1,CACNA1C,CFTR,CNGA3,HTR6,NFATC1,PDE4C,PIK3CA,RYR2,SST,SSTR1	0.0081454825852192	0.23695949338819491
KEGG	combined	Dilated cardiomyopathy	92	848	33010	7	ADCY4,CACNA1C,CACNG7,CACNG8,IGF1,RYR2,TGFB2	0.009577782747065045	0.24433831839481088
KEGG	combined	Signaling pathways regulating pluripotency of stem cells	139	848	33010	9	IGF1,IGF1R,JAK1,LIFR,OTX1,PAX6,PIK3CA,WNT3A,ZFHX3	0.009926244184789192	0.24433831839481088
KEGG	combined	Amoebiasis	95	848	33010	7	CD1B,CD1C,CD1D,IL1R1,PIK3CA,PRKCB,TGFB2	0.011317588379013668	0.2586877343774553
KEGG	combined	Inflammatory mediator regulation of TRP channels	97	848	33010	7	ADCY4,ASIC2,IGF1,IL1R1,PIK3CA,PRKCB,PRKCE	0.012597711141414213	0.26875117101683654
KEGG	combined	Longevity regulating pathway	101	848	33010	7	ADCY4,CRYAB,FOXA2,IGF1,IGF1R,PIK3CA,RPTOR	0.015464906660643372	0.29080036126390296
KEGG	combined	Neuroactive ligand-receptor interaction	313	848	33010	15	ADCYAP1R1,CHRNA4,GABRA1,GABRG2,GALR1,GRIK4,GRM1,GRM6,HTR6,LEP,SST,SSTR1,SSTR4,TAC1,TRH	0.016163163912192243	0.29080036126390296
KEGG	combined	Oxytocin signaling pathway	151	848	33010	9	ADCY4,CACNA1C,CACNG7,CACNG8,MYL6,NFATC1,PPP1R12C,PRKCB,RYR2	0.01635752032109454	0.29080036126390296
KEGG	combined	Vascular smooth muscle contraction	131	848	33010	8	ADCY4,CACNA1C,GNA12,MYH10,MYL6,PPP1R12C,PRKCB,PRKCE	0.02009587429687779	0.3384568302632049
KEGG	combined	GABAergic synapse	84	848	33010	6	ADCY4,CACNA1C,GABRA1,GABRG2,GNG4,PRKCB	0.021156647554665172	0.33850636087464275
KEGG	combined	Cholinergic synapse	111	848	33010	7	ADCY4,CACNA1C,CHRNA4,GNG4,KCNQ2,PIK3CA,PRKCB	0.02460220458660658	0.34298298824634577
KEGG	combined	Hypertrophic cardiomyopathy	87	848	33010	6	CACNA1C,CACNG7,CACNG8,IGF1,RYR2,TGFB2	0.024665042220705646	0.34298298824634577
KEGG	combined	Morphine addiction	88	848	33010	6	ADCY4,GABRA1,GABRG2,GNG4,PDE4C,PRKCB	0.025915698047058497	0.34298298824634577
KEGG	combined	Glutamatergic synapse	113	848	33010	7	ADCY4,CACNA1C,GNG4,GRIK4,GRM1,GRM6,PRKCB	0.026795545956745766	0.34298298824634577
KEGG	combined	Growth hormone synthesis, secretion and action	113	848	33010	7	ADCY4,CACNA1C,IGF1,PIK3CA,PRKCB,SST,SSTR1	0.026795545956745766	0.34298298824634577
KEGG	combined	Phospholipase D signaling pathway	143	848	33010	8	ADCY4,DGKI,DNM3,FCER1A,GNA12,GRM1,GRM6,PIK3CA	0.03175498694491397	0.38934717417797604
KEGG	combined	Osteoclast differentiation	118	848	33010	7	IL1R1,JAK1,LILRA4,NFATC1,PIK3CA,SIRPA,TGFB2	0.03285116782126673	0.38934717417797604
KEGG	combined	Galactose metabolism	28	848	33010	3	AKR1B1,GCK,HK1	0.03435438060377499	0.39262149261457135
KEGG	combined	Circadian entrainment	96	848	33010	6	ADCY4,ADCYAP1R1,CACNA1C,GNG4,PRKCB,RYR2	0.03744896392341964	0.41322994674118224
KEGG	combined	Arrhythmogenic right ventricular cardiomyopathy	74	848	33010	5	CACNA1C,CACNG7,CACNG8,CTNNA2,RYR2	0.041758855175171514	0.44542778853516285
KEGG	combined	Th17 cell differentiation	101	848	33010	6	CD247,IL1R1,IRF4,JAK1,NFATC1,RUNX1	0.046092797284935386	0.47579661713481686
KEGG	combined	Taste transduction	79	848	33010	5	ADCY4,ASIC2,CACNA1C,GABRA1,GRM1	0.05274987269140019	0.5066373231799229
KEGG	combined	HIF-1 signaling pathway	105	848	33010	6	HK1,IGF1,IGF1R,MKNK1,PIK3CA,PRKCB	0.05383021558786681	0.5066373231799229
KEGG	combined	Parathyroid hormone synthesis, secretion and action	105	848	33010	6	ADCY4,GCM2,GNA12,PDE4C,PRKCB,SLC9A3R1	0.05383021558786681	0.5066373231799229
KEGG	combined	Leukocyte transendothelial migration	107	848	33010	6	CLDN10,CTNNA2,JAM2,MMP9,PIK3CA,PRKCB	0.05797650226934936	0.5164289270670561
