library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
Reactome	combined	Neuronal System R-HSA-112316	365	848	33010	28	ABCC9,ADCY4,ARHGEF7,ARL6IP5,CACNA1E,CACNG8,CHRNA4,DLGAP2,ERBB4,GABRA1,GABRG2,GNG4,GRIK4,GRM1,KCNA1,KCNAB1,KCNC3,KCNK9,KCNQ2,NCALD,NRG1,NRXN2,NRXN3,PRKAR1B,PRKCB,SLC6A3,SLITRK1,SLITRK3	3.378414929230904e-07	0.0006141958341341783
Reactome	combined	Developmental Biology R-HSA-1266738	1008	848	33010	47	ANK2,ARHGEF7,CACNA1C,CACNG8,CDH4,CLTA,CTNNA2,DNAAF3,DNM3,DSC3,EPHA10,FLG,FOXA2,FOXD3,GSPT1,HJV,HOXA3,HOXA4,HOXC4,HOXD3,KCNQ2,KRT3,LEP,LHX4,LHX9,MAML3,MMP9,MPZ,MYH10,MYL6,NCOR2,NEUROD1,NR5A2,PAX6,PIK3CA,PRDM14,RANBP9,RUNX1,SALL1,SEMA4A,SPTBN4,TAL1,TBXT,TRPC7,UNC5D,WT1,ZFPM2	7.37217330356983e-05	0.06701305532944975
Reactome	combined	GPCR Downstream Signaling R-HSA-388396	580	848	33010	30	ABR,ADCY4,ADCYAP1R1,ARHGEF7,DGKI,FGD4,GALR1,GNA12,GNG4,GRM1,GRM6,HTR6,MCF2L,OPN3,PDE4C,PIK3CA,PRKAR1B,PRKCB,PRKCE,RGS17,RGS20,RGS22,RGS6,RGS7,SST,SSTR1,SSTR4,TAC1,TRH,TRPC7	0.00026783622532181717	0.1623087525450212
Reactome	combined	Transmission Across Chemical Synapses R-HSA-112315	233	848	33010	16	ADCY4,ARHGEF7,ARL6IP5,CACNA1E,CACNG8,CHRNA4,ERBB4,GABRA1,GABRG2,GNG4,GRIK4,NCALD,NRG1,PRKAR1B,PRKCB,SLC6A3	0.0003791184919529467	0.1723093545926143
Reactome	combined	Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314	171	848	33010	13	ADCY4,ARHGEF7,CACNG8,CHRNA4,ERBB4,GABRA1,GABRG2,GNG4,GRIK4,NCALD,NRG1,PRKAR1B,PRKCB	0.0005043267300725974	0.1833731990543964
Reactome	combined	Signaling By GPCR R-HSA-372790	648	848	33010	31	ABR,ADCY4,ADCYAP1R1,ARHGEF7,DGKI,FGD4,GALR1,GNA12,GNG4,GRM1,GRM6,HTR6,MCF2L,OPN3,PDE4C,PIK3CA,PRKAR1B,PRKCB,PRKCE,RGS17,RGS20,RGS22,RGS6,RGS7,SST,SSTR1,SSTR4,TAC1,TRH,TRPC7,WNT3A	0.0007881210835359377	0.22307300876716035
Reactome	combined	Nef And Signal Transduction R-HSA-164944	8	848	33010	3	CD247,DOCK2,HCK	0.0008589169754511124	0.22307300876716035
Reactome	combined	G Alpha (Z) Signaling Events R-HSA-418597	47	848	33010	6	ADCY4,GNG4,PRKCB,PRKCE,RGS17,RGS20	0.0012357285828695753	0.25156322052403557
Reactome	combined	Signal Transduction R-HSA-162582	2341	848	33010	84	ABR,ADCY4,ADCYAP1R1,ARHGAP23,ARHGAP24,ARHGEF7,BCL9,CFTR,CLTA,CUL1,CYP26A1,DGKI,DLK1,DNAJB1,DNM3,DOCK2,DYNC1I1,ERBB4,FGD4,FGF19,GABRA1,GABRG2,GALR1,GNA12,GNG4,GRM1,GRM6,HDAC4,HTR6,IGF1,IGF1R,JAK1,LEP,MAML3,MCF2L,MKNK1,MMP9,MPZ,MSI2,MYH10,MYL6,NANOS3,NCOR2,NDEL1,NFATC1,NR1H2,NR5A2,NRG1,OPN3,PDE4C,PIK3CA,PIP4K2A,PRKAR1B,PRKCB,PRKCE,RANBP9,RASGEF1A,RGS17,RGS20,RGS22,RGS6,RGS7,RPTOR,RUNX1,SFRP2,SH3GL3,SKI,SLITRK3,SPRY2,SPTBN4,SST,SSTR1,SSTR4,STAP2,TAC1,TGFB2,TMPO,TRAK1,TRH,TRPC7,VANGL2,WNT3A,WWP2,ZNF217	0.0012453624778417602	0.25156322052403557
Reactome	combined	PI3K Events In ERBB4 Signaling R-HSA-1250342	10	848	33010	3	ERBB4,NRG1,PIK3CA	0.0017710300108290489	0.32197325596872106
Reactome	combined	Regulation Of Beta-Cell Development R-HSA-186712	39	848	33010	5	FOXA2,MAML3,NEUROD1,NR5A2,PAX6	0.0030876305044419024	0.5103011142795798
Reactome	combined	Phase 2 - Plateau Phase R-HSA-5576893	14	848	33010	3	CACNA1C,CACNG7,CACNG8	0.004975579672187615	0.7117820111041838
Reactome	combined	SUMOylation Of Intracellular Receptors R-HSA-4090294	28	848	33010	4	HDAC4,NR1H2,NR1I2,NR5A2	0.005419778379404507	0.7117820111041838
Reactome	combined	Acrosome Reaction And Sperm:Oocyte Membrane Binding R-HSA-1300645	5	848	33010	2	CD9,IZUMO2	0.006260307684268674	0.7117820111041838
Reactome	combined	RUNX1 Regulates Transcription Of Genes Involved In Interleukin Signaling R-HSA-8939247	5	848	33010	2	LIFR,RUNX1	0.006260307684268674	0.7117820111041838
Reactome	combined	Extracellular Matrix Organization R-HSA-1474244	280	848	33010	15	ADAMTS16,BMP7,CAPN8,COL11A1,COL11A2,DDR2,FBN2,JAM2,LOXL1,MMP9,NID2,TGFB2,TIMP2,TNR,TNXB	0.006264308128529671	0.7117820111041838
Reactome	combined	PI3K Events In ERBB2 Signaling R-HSA-1963642	16	848	33010	3	ERBB4,NRG1,PIK3CA	0.007367959346022233	0.7879382406510835
Reactome	combined	Platelet Activation, Signaling And Aggregation R-HSA-76002	240	848	33010	13	CD9,DGKI,GNA12,GNG4,IGF1,ISLR,PHACTR2,PIK3CA,PRKCB,PRKCE,RARRES2,TGFB2,TRPC7	0.009611029597869275	0.8543844285372363
Reactome	combined	FCGR3A-mediated IL10 Synthesis R-HSA-9664323	33	848	33010	4	ADCY4,CD247,HCK,PRKAR1B	0.009791904499901347	0.8543844285372363
Reactome	combined	Nuclear Receptor Transcription Pathway R-HSA-383280	51	848	33010	5	ESRRG,NCOR2,NR1H2,NR1I2,NR5A2	0.009796566864641185	0.8543844285372363
Reactome	combined	G Alpha (I) Signaling Events R-HSA-418594	295	848	33010	15	ADCY4,GALR1,GNG4,GRM6,OPN3,PDE4C,PRKAR1B,RGS17,RGS20,RGS22,RGS6,RGS7,SST,SSTR1,SSTR4	0.00986912706231131	0.8543844285372363
Reactome	combined	G Alpha (12/13) Signaling Events R-HSA-416482	72	848	33010	6	ABR,ARHGEF7,FGD4,GNA12,GNG4,MCF2L	0.010498430278154652	0.867552102076598
Reactome	combined	RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of Myeloid Cells R-HSA-8939246	7	848	33010	2	PRKCB,RUNX1	0.012704556028163803	0.8904511801513437
Reactome	combined	Defective B3GALTL Causes PpS R-HSA-5083635	36	848	33010	4	ADAMTS12,ADAMTS16,ADAMTS20,THSD1	0.013270650227327816	0.8904511801513437
Reactome	combined	RHO GTPases Activate PAKs R-HSA-5627123	20	848	33010	3	ARHGEF7,MYH10,MYL6	0.013900676662139079	0.8904511801513437
Reactome	combined	Regulation Of Gene Expression In Beta Cells R-HSA-210745	20	848	33010	3	FOXA2,NEUROD1,PAX6	0.013900676662139079	0.8904511801513437
Reactome	combined	Signaling By ERBB4 R-HSA-1236394	56	848	33010	5	ERBB4,GABRA1,GABRG2,NRG1,PIK3CA	0.014355208236795479	0.8904511801513437
Reactome	combined	O-glycosylation Of TSR Domain-Containing Proteins R-HSA-5173214	37	848	33010	4	ADAMTS12,ADAMTS16,ADAMTS20,THSD1	0.01458367819889319	0.8904511801513437
Reactome	combined	Potassium Channels R-HSA-1296071	101	848	33010	7	ABCC9,GNG4,KCNA1,KCNAB1,KCNC3,KCNK9,KCNQ2	0.015464906660643372	0.8904511801513437
Reactome	combined	SHC1 Events In ERBB2 Signaling R-HSA-1250196	21	848	33010	3	ERBB4,NRG1,PRKCE	0.01591309892589084	0.8904511801513437
Reactome	combined	Signaling By FGFR4 R-HSA-5654743	38	848	33010	4	FGF19,MKNK1,PIK3CA,SPRY2	0.01597598688000809	0.8904511801513437
