library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
GO_BP	hypermethylated	Regulation Of Transcription By RNA Polymerase II (GO:0006357)	1855	646	33010	109	ACTL6B,AKR1B1,ALX1,BARHL2,CHD6,CRYM,CUX1,CYTL1,DBX1,DMRTA2,DNAJB1,DRGX,ESRRG,EVX1,EVX2,FERD3L,FEV,FEZF1,FOXA2,FOXD3,FOXE1,FOXE3,FOXG1,FOXI3,FOXQ1,GALR1,GCM2,HJV,HMGA2,HOXA10,HOXA3,HOXA4,HOXA9,HOXC4,HOXD10,HOXD3,HOXD8,HOXD9,IRF4,LHX1,LHX4,LHX8,LHX9,MACROH2A1,MAF,MAML3,MIDEAS,NCOR2,NEUROD1,NKX2-1,NKX2-6,NKX3-2,NKX6-2,NPAS4,NR1H2,NR1I2,NR5A2,OLIG3,ONECUT2,OTP,OTX1,OTX2,PAX3,PAX6,PDX1,PHOX2A,PITX2,POU3F3,POU4F2,PRDM14,PRKCB,PRRX1,PTPRN,RFX1,SALL1,SALL2,SATB2,SCRT2,SFRP2,SIM1,SIX1,SIX3,SIX6,SKI,SKOR1,SOX1,TAL1,TBR1,TBX15,TBX20,TBX4,TBXT,TCF20,TET3,TLX1,TLX2,TRAK1,WNT3A,WT1,WWP2,ZFP42,ZIC1,ZIC4,ZIC5,ZNF177,ZNF560,ZNF709,ZNF750,ZSCAN18	4.590442104037145e-25	2.4820520456528844e-21
GO_BP	combined	Regulation Of Transcription By RNA Polymerase II (GO:0006357)	1855	848	33010	127	ACTL6B,AKR1B1,ALX1,ATF7,BARHL2,BATF,BCL9,CHD6,CRYM,CUX1,CYTL1,DBX1,DMRTA2,DNAJB1,DRGX,ESRRG,EVX1,EVX2,FERD3L,FEV,FEZF1,FOXA2,FOXD3,FOXE1,FOXE3,FOXG1,FOXI3,FOXQ1,GALR1,GCM2,GRHL2,HDAC4,HJV,HMGA2,HOXA10,HOXA3,HOXA4,HOXA9,HOXC4,HOXD10,HOXD3,HOXD8,HOXD9,IGF1,IRF1,IRF4,LHX1,LHX4,LHX6,LHX8,LHX9,MACROH2A1,MAF,MAML3,MIDEAS,MYT1L,NCOR2,NEUROD1,NFATC1,NKX2-1,NKX2-6,NKX3-2,NKX6-2,NPAS4,NR1H2,NR1I2,NR5A2,OLIG3,ONECUT2,OTP,OTX1,OTX2,OVOL1,PAX3,PAX6,PDX1,PHOX2A,PITX2,POU3F3,POU4F2,PRDM14,PRDM16,PRKCB,PROX1,PRRX1,PTPRN,RFX1,RUNX1,SALL1,SALL2,SATB2,SCRT2,SFRP2,SIM1,SIX1,SIX3,SIX6,SKI,SKOR1,SOX1,TAL1,TBR1,TBX15,TBX20,TBX4,TBXT,TCF20,TENM2,TET3,TLX1,TLX2,TRAK1,WNT3A,WT1,WWP2,ZFHX3,ZFP42,ZFPM2,ZIC1,ZIC4,ZIC5,ZNF177,ZNF217,ZNF560,ZNF709,ZNF750,ZSCAN18	3.7979869888036365e-24	2.0535715648461264e-20
GO_BP	combined	Regulation Of DNA-templated Transcription (GO:0006355)	1780	848	33010	119	ACTL6B,AKR1B1,ALX1,ASIC2,ATF7,BARHL2,BATF,BMP7,CDK14,CRYAB,CUX1,DBX1,DMRTA2,DRGX,ERBB4,ERC1,ESRRG,EVX1,EVX2,FERD3L,FEV,FEZF1,FOXA2,FOXD3,FOXE1,FOXE3,FOXG1,FOXI3,FOXQ1,GCM2,GRHL2,HDAC4,HMGA2,HOXA10,HOXA3,HOXA4,HOXA9,HOXC4,HOXD10,HOXD3,HOXD8,HOXD9,IGF1,IRF1,IRF4,LHX1,LHX4,LHX6,LHX8,LHX9,MAF,MIDEAS,MYT1,MYT1L,NCOR2,NEUROD1,NFATC1,NKX2-1,NKX2-6,NKX3-2,NKX6-2,NPAS4,NR1H2,NR1I2,NR5A2,NRG1,ONECUT2,OTX1,OTX2,OVOL1,PAX3,PAX6,PDX1,PHOX2A,PITX2,POU3F3,POU4F2,PRDM14,PRDM16,PRKCB,PROX1,RFX1,RUNX1,SALL1,SALL2,SATB2,SCRT2,SFRP2,SIM1,SIX1,SIX3,SIX6,SKOR1,SOX1,TAL1,TBR1,TBX15,TBX20,TBX4,TBXT,TCF20,TLX1,TLX2,TRAK1,VGLL4,WNT3A,WT1,WWP2,ZFHX3,ZFP42,ZFPM2,ZIC1,ZIC4,ZIC5,ZNF217,ZNF502,ZNF709,ZNF876P,ZSCAN18	9.039176530671782e-22	2.4437413750671167e-18
GO_BP	hypermethylated	Regulation Of DNA-templated Transcription (GO:0006355)	1780	646	33010	100	ACTL6B,AKR1B1,ALX1,ASIC2,BARHL2,BMP7,CRYAB,CUX1,DBX1,DMRTA2,DRGX,ERBB4,ERC1,ESRRG,EVX1,EVX2,FERD3L,FEV,FEZF1,FOXA2,FOXD3,FOXE1,FOXE3,FOXG1,FOXI3,FOXQ1,GCM2,HMGA2,HOXA10,HOXA3,HOXA4,HOXA9,HOXC4,HOXD10,HOXD3,HOXD8,HOXD9,IRF4,LHX1,LHX4,LHX8,LHX9,MAF,MIDEAS,NCOR2,NEUROD1,NKX2-1,NKX2-6,NKX3-2,NKX6-2,NPAS4,NR1H2,NR1I2,NR5A2,ONECUT2,OTX1,OTX2,PAX3,PAX6,PDX1,PHOX2A,PITX2,POU3F3,POU4F2,PRDM14,PRKCB,RFX1,SALL1,SALL2,SATB2,SCRT2,SFRP2,SIM1,SIX1,SIX3,SIX6,SKOR1,SOX1,TAL1,TBR1,TBX15,TBX20,TBX4,TBXT,TCF20,TLX1,TLX2,TRAK1,VGLL4,WNT3A,WT1,WWP2,ZFP42,ZIC1,ZIC4,ZIC5,ZNF502,ZNF709,ZNF876P,ZSCAN18	1.4851611899647522e-21	4.015133277069707e-18
GO_BP	combined	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	888	848	33010	62	AKR1B1,ALX1,ATF7,BCL9,CHD6,CYTL1,ESRRG,FOXA2,FOXD3,GALR1,GRHL2,HDAC4,HJV,HMGA2,HOXA10,HOXC4,HOXD3,HOXD8,IGF1,IRF1,IRF4,LHX4,MAML3,NEUROD1,NFATC1,NKX2-1,NKX2-6,NPAS4,NR1H2,NR1I2,NR5A2,OLIG3,ONECUT2,OTX1,OTX2,PAX3,PAX6,PDX1,PHOX2A,PITX2,POU4F2,PROX1,PRRX1,PTPRN,RUNX1,SALL1,SALL2,SATB2,SFRP2,SIX1,SKI,SOX1,TAL1,TBXT,TCF20,TET3,TLX2,WNT3A,WT1,ZFHX3,ZFPM2,ZNF750	1.5548579558779482e-12	2.802372322477355e-09
GO_BP	hypermethylated	Embryonic Organ Morphogenesis (GO:0048562)	44	646	33010	13	ALX1,FBN2,FOXE1,HOXA3,HOXA4,HOXA9,HOXC4,HOXD3,HOXD9,NEUROD1,RYR2,SIX1,TBX20	1.6309289770614856e-12	2.93947765965715e-09
GO_BP	hypermethylated	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	888	646	33010	51	AKR1B1,ALX1,CHD6,CYTL1,ESRRG,FOXA2,FOXD3,GALR1,HJV,HMGA2,HOXA10,HOXC4,HOXD3,HOXD8,IRF4,LHX4,MAML3,NEUROD1,NKX2-1,NKX2-6,NPAS4,NR1H2,NR1I2,NR5A2,OLIG3,ONECUT2,OTX1,OTX2,PAX3,PAX6,PDX1,PHOX2A,PITX2,POU4F2,PRRX1,PTPRN,SALL1,SALL2,SATB2,SFRP2,SIX1,SKI,SOX1,TAL1,TBXT,TCF20,TET3,TLX2,WNT3A,WT1,ZNF750	9.933004055185019e-12	1.3426938231596352e-08
GO_BP	combined	Positive Regulation Of DNA-templated Transcription (GO:0045893)	1182	848	33010	72	AKR1B1,ALX1,ASIC2,ATF7,BCL9,BMP7,CHD6,CYTL1,ERBB4,ESRRG,FOXA2,FOXD3,FOXE1,GALR1,GRHL2,HDAC4,HJV,HMGA2,HOXA10,HOXC4,HOXD3,HOXD8,IGF1,IRF1,IRF4,LHX1,LHX4,MAML3,NEUROD1,NFATC1,NKX2-1,NKX2-6,NPAS4,NR1H2,NR1I2,NR5A2,OLIG3,ONECUT2,OTX1,OTX2,PAX3,PAX6,PDX1,PHOX2A,PITX2,POU3F3,POU4F2,PRDM16,PROX1,PRRX1,PTPRN,RPTOR,RUNX1,SALL1,SALL2,SATB2,SFRP2,SIX1,SKI,SOX1,TAL1,TBXT,TCF20,TET3,TGFB2,TLX2,WNT3A,WT1,ZFHX3,ZFPM2,ZIC1,ZNF750	1.5228475055771248e-11	2.0585091156638783e-08
GO_BP	hypermethylated	Positive Regulation Of DNA-templated Transcription (GO:0045893)	1182	646	33010	60	AKR1B1,ALX1,ASIC2,BMP7,CHD6,CYTL1,ERBB4,ESRRG,FOXA2,FOXD3,FOXE1,GALR1,HJV,HMGA2,HOXA10,HOXC4,HOXD3,HOXD8,IRF4,LHX1,LHX4,MAML3,NEUROD1,NKX2-1,NKX2-6,NPAS4,NR1H2,NR1I2,NR5A2,OLIG3,ONECUT2,OTX1,OTX2,PAX3,PAX6,PDX1,PHOX2A,PITX2,POU3F3,POU4F2,PRRX1,PTPRN,RPTOR,SALL1,SALL2,SATB2,SFRP2,SIX1,SKI,SOX1,TAL1,TBXT,TCF20,TET3,TGFB2,TLX2,WNT3A,WT1,ZIC1,ZNF750	2.2366284139937236e-11	2.4186899668928125e-08
GO_BP	combined	Embryonic Organ Morphogenesis (GO:0048562)	44	848	33010	13	ALX1,FBN2,FOXE1,HOXA3,HOXA4,HOXA9,HOXC4,HOXD3,HOXD9,NEUROD1,RYR2,SIX1,TBX20	4.822618945571407e-11	5.2151801277409195e-08
