library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
GO_BP	combined	Regulation Of Transcription By RNA Polymerase II (GO:0006357)	1855	1180	33010	156	ALX1,ALX3,ARNT,BATF,BCL9,CDH13,CDX2,CHD6,COPS5,CREM,CUX1,CXXC5,DBX1,DHX9,DLX2,DMRTA2,DNAJB1,DRGX,EHF,ELF5,EN2,ENG,ENO1,EOMES,ERG,EVX1,EVX2,EZR,FERD3L,FOXA1,FOXA2,FOXC1,FOXE3,FOXG1,FOXP1,GALR1,GALR3,GATA3,GATA4,GATAD2B,GCM2,GFI1,GRHL2,HLTF,HOXA9,HOXB13,HOXB7,HOXB9,HOXC4,HOXD10,HOXD13,HSF1,HTATIP2,IL18,LHX1,LHX8,LHX9,LINC-PINT,MAF,MAML3,MC1R,MEF2D,MEIS1,MIR9-1HG,MYT1L,NCOR2,NEUROD1,NFATC1,NFE2L3,NFIA,NKX2-1,NKX2-6,NKX6-1,NKX6-2,NR2E1,ONECUT1,ONECUT2,OTP,OTX1,OTX2,PARP1,PAX3,PAX5,PAX6,PBX1,PDX1,PHOX2B,PITX2,PITX3,POU4F2,PPARD,PRDM14,PRDM16,PRRX1,PTPRN,RARG,RB1,RFX1,RFX2,RUNX1,S100A10,SALL1,SATB2,SCRT2,SHOX2,SIM1,SIM2,SIX3,SIX6,SKI,SKOR1,SOX1,SOX17,SOX6,SSBP3,ST18,SUB1,TAL1,TBL1XR1,TBR1,TBX15,TBX20,TBX4,TBXT,TCF20,TCF21,TCF23,TFAP2B,TFAP2D,THRA,TLX1,TWIST1,WT1,WWOX,ZBTB16,ZBTB46,ZFHX3,ZFP42,ZIC1,ZIC4,ZNF169,ZNF212,ZNF217,ZNF232,ZNF274,ZNF536,ZNF560,ZNF572,ZNF608,ZNF625,ZNF671,ZNF709,ZNF835,ZSCAN1,ZSCAN18,ZSCAN5A	1.1979300853690335e-23	6.477207971590365e-20
GO_BP	combined	Regulation Of DNA-templated Transcription (GO:0006355)	1780	1180	33010	139	ALX1,ALX3,ARNT,ASIC2,BATF,CDK15,CDK17,CDKN2A,CDX2,CREM,CUX1,DBX1,DHX9,DMRTA2,DRGX,EHF,ELF5,EN2,ENG,ENO1,EOMES,ERG,EVX1,EVX2,FERD3L,FOXA1,FOXA2,FOXC1,FOXE3,FOXG1,FOXP1,GATA3,GATA4,GATAD2B,GCM2,GDF7,GFI1,GON4L,GRHL2,HOXA9,HOXB13,HOXB7,HOXB9,HOXC4,HOXD10,HOXD13,HSF1,HTATIP2,LHX1,LHX8,LHX9,MAF,MLLT1,MYT1L,NCOR2,NDUFA13,NEUROD1,NFATC1,NFE2L3,NFIA,NKX2-1,NKX2-6,NKX6-1,NKX6-2,ONECUT1,ONECUT2,OTX1,OTX2,PARP1,PAX3,PAX5,PAX6,PBX1,PDX1,PHOX2B,PITX2,PITX3,POU4F2,PPARD,PRDM14,PRDM16,PRMT2,RB1,RFX1,RFX2,RUNX1,RUNX1T1,SALL1,SATB2,SCRT2,SHOX2,SIM1,SIM2,SIX3,SIX6,SKOR1,SOX1,SOX17,SOX6,SUB1,TAL1,TBL1XR1,TBR1,TBX15,TBX20,TBX4,TBXT,TCF20,TCF21,TCF23,TFAP2B,TFAP2D,THRA,TLX1,TWIST1,VSX1,WT1,ZBTB16,ZBTB46,ZFHX3,ZFP42,ZIC1,ZIC4,ZNF212,ZNF217,ZNF232,ZNF274,ZNF423,ZNF502,ZNF536,ZNF608,ZNF625,ZNF671,ZNF709,ZNF835,ZNF876P,ZSCAN1,ZSCAN18,ZSCAN5A	2.869928659226646e-18	7.758852130219237e-15
GO_BP	combined	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	888	1180	33010	75	ALX1,ARNT,BCL9,CDH13,CDX2,CHD6,COPS5,DHX9,EHF,ENG,EOMES,ERG,FOXA1,FOXA2,FOXC1,GALR1,GALR3,GATA3,GATA4,GRHL2,HLTF,HOXB7,HOXC4,HOXD13,HSF1,HTATIP2,IL18,MAML3,MC1R,MDC1,MEF2D,MEIS1,MIR9-1HG,NEUROD1,NFATC1,NFIA,NKX2-1,NKX2-6,NKX6-1,ONECUT1,ONECUT2,OTX1,OTX2,PARP1,PAX3,PAX6,PBX1,PDX1,PHOX2B,PITX2,POU4F2,PPARD,PRRX1,PTPRN,RARG,RUNX1,S100A10,SALL1,SATB2,SKI,SOX1,SOX17,SSBP3,ST18,TAL1,TBL1XR1,TBXT,TCF20,TCF21,TFAP2B,THRA,TWIST1,WT1,WWOX,ZFHX3	6.731659986310476e-12	1.2132695181993582e-08
GO_BP	combined	Neuron Differentiation (GO:0030182)	164	1180	33010	27	BRSK1,EN2,FOXA1,FOXA2,FUT9,LHX1,LHX8,LHX9,MYT1L,NEUROD1,OTP,OTX2,PAX6,PBX1,PHOX2B,PITX2,PITX3,POU4F2,RTN4,RUNX1,SALL1,TENM3,VAX1,VAX2,VSX1,WNT16,WNT5B	3.583487756778858e-11	4.843979575225821e-08
GO_BP	combined	Chemical Synaptic Transmission (GO:0007268)	254	1180	33010	33	APBA2,ASIC2,BRSK1,CACNA1A,CBLN1,DLGAP1,DLGAP2,GABRA1,GABRG2,GALR3,GRIA1,GRIN2A,HTR1A,HTR1B,KCNA1,KIF5A,MPZ,NPBWR1,NPTX2,NRXN2,PCDHB4,PCDHB5,PCDHB6,PENK,PPFIA3,PTPRN2,RIMBP2,SHISA6,SLC12A5,SLC1A6,SST,SYT1,SYT5	1.780791052543638e-10	1.92574744422069e-07
GO_BP	combined	Positive Regulation Of DNA-templated Transcription (GO:0045893)	1182	1180	33010	85	ALX1,ARNT,ASIC2,BCL9,CDH13,CDX2,CHD6,COPS5,DHX9,EHF,ENG,EOMES,ERG,FOXA1,FOXA2,FOXC1,GALR1,GALR3,GATA3,GATA4,GATAD2B,GDF7,GRHL2,HLTF,HOXB7,HOXC4,HOXD13,HSF1,HTATIP2,IL18,LHX1,MAML3,MC1R,MEF2D,MEIS1,MIR9-1HG,MLLT1,NEUROD1,NFATC1,NFIA,NKX2-1,NKX2-6,NKX6-1,ONECUT1,ONECUT2,OTX1,OTX2,PARP1,PAX3,PAX6,PBX1,PDX1,PHOX2B,PITX2,PITX3,POU4F2,PPARD,PRDM16,PRMT2,PRRX1,PTPRN,RARG,RUNX1,S100A10,SALL1,SATB2,SKI,SOX1,SOX17,SSBP3,ST18,TAL1,TBL1XR1,TBXT,TCF20,TCF21,TFAP2B,THRA,TWIST1,WT1,WWOX,ZBTB16,ZFHX3,ZIC1,ZNF423	9.343232765176216e-10	8.419809926884634e-07
GO_BP	combined	Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)	686	1180	33010	58	ALX1,CDX2,CREM,CUX1,CXXC5,DLX2,DNAJB1,ENO1,EOMES,EZR,FOXC1,GATA3,GATA4,GATAD2B,GFI1,HOXB13,HSF1,LINC-PINT,MAF,MYT1L,NCOR2,NKX2-1,NKX6-1,NR2E1,OTP,PARP1,PAX6,POU4F2,PPARD,PRDM16,RARG,RB1,RUNX1,SALL1,SCRT2,SHOX2,SKI,SKOR1,SOX1,TBL1XR1,TBX20,TBXT,TCF21,TCF23,TFAP2B,THRA,TWIST1,WT1,ZBTB16,ZBTB46,ZFHX3,ZNF169,ZNF217,ZNF274,ZNF536,ZNF560,ZNF572,ZNF608	1.6408991850249703e-09	1.2674774133471449e-06
GO_BP	combined	Negative Regulation Of DNA-templated Transcription (GO:0045892)	931	1180	33010	71	ALX1,CDKN2A,CDX2,CREM,CUX1,CXXC5,DLX2,DNAJB1,ENO1,EOMES,EZR,FERD3L,FOXC1,FOXG1,FOXP1,GATA3,GATA4,GATAD2B,GFI1,HOXB13,HSF1,LHX1,LHX9,LINC-PINT,MAF,MYT1L,NCOR2,NDUFA13,NKX2-1,NKX6-1,NKX6-2,NR2E1,OTP,PARP1,PAX6,POU4F2,PPARD,PRDM16,PRMT2,RARG,RB1,RUNX1,RUNX1T1,SALL1,SCRT2,SHOX2,SIX3,SKI,SKOR1,SOX1,TBL1XR1,TBR1,TBX20,TBXT,TCF21,TCF23,TFAP2B,THRA,TWIST1,WT1,ZBTB16,ZBTB46,ZFHX3,ZNF169,ZNF217,ZNF274,ZNF423,ZNF536,ZNF560,ZNF572,ZNF608	2.1372778098708852e-09	1.4445326397464847e-06
GO_BP	combined	Anterograde Trans-Synaptic Signaling (GO:0098916)	188	1180	33010	25	APBA2,ASIC2,CACNA1A,CBLN1,DLGAP1,GALR3,GRIA1,GRIN2A,HTR1A,HTR1B,KCNA1,KIF5A,MPZ,NPBWR1,NPTX2,NRXN2,PCDHB4,PCDHB5,PCDHB6,PENK,SLC12A5,SLC1A6,SST,SYT1,SYT5	1.7512036524847412e-08	1.0520842387761106e-05
GO_BP	combined	Brain Development (GO:0007420)	154	1180	33010	22	AIM2,B3GNT5,CA10,CTNNA2,DLX2,EOMES,FOXG1,GRHL2,GRIN2A,MEIS1,NKX2-1,PBX1,RTN4,SHANK3,SIX3,SMG9,SOX6,TBR1,VAX1,VAX2,ZFHX3,ZIC1	3.367886720409354e-08	1.8210163497253378e-05
