library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
GO_CC	combined	Nucleus (GO:0005634)	4109	1180	33010	202	ADAM19,AHNAK,ALX1,APCS,ARNT,ASF1A,ASIC2,BATF,BRSK1,BTBD3,CACNA1A,CAMK1D,CDK15,CDK17,CDKL2,CDKN2A,CDX2,CELF4,CFTR,CGAS,CHD6,CIDEA,CIRBP,COPS5,CREM,CRYGD,CUX1,CXXC5,DAPK1,DHX9,DIDO1,DMRTA2,DNAJB1,DNAJB6,DSP,DST,DZIP1,EHD2,EHF,ELF5,EN2,ENDOG,ENO1,ERG,EVX1,EVX2,EYA1,FERD3L,FEZF2,FMN2,FOXA1,FOXA2,FOXC1,FOXE3,FOXG1,FOXP1,GATA3,GATA4,GATAD2B,GCM2,GFI1,GON4L,GRHL2,H4C9,HENMT1,HLTF,HOXA9,HOXB7,HOXB9,HOXC4,HOXD10,HSF1,HSPB8,HTATIP2,JARID2,LHX1,LHX8,LHX9,LINC-PINT,LUC7L3,MAEA,MAF,MAGI2,MAML3,MAPK10,MCM9,MDC1,MEF2D,MEIG1,MIR9-1HG,MYT1L,NCOR2,NEK7,NEUROD1,NFATC1,NFE2L3,NFIA,NKAPL,NKX2-1,NKX2-6,NKX6-1,NKX6-2,NPLOC4,NSMCE2,ODF1,ONECUT1,ONECUT2,OTX1,OTX2,PARP1,PARP4,PAX6,PBX1,PDE4C,PDX1,PHACTR1,PITX2,PITX3,POU4F2,PPARD,PRDM13,PRDM14,PRDM16,PRDX1,PRMT2,PTPN22,PTPRN,RAD23A,RALYL,RARG,RB1,RBFOX1,RBFOX3,RBM47,RERE,RFX2,RGS10,RPS2,RPS3A,RUNX1,RUNX1T1,SALL1,SHOX2,SIX3,SIX6,SKI,SKOR1,SLC2A14,SMC4,SMYD3,SOX1,SOX17,SOX6,SPAG6,SPHK2,SPRY2,SRRM2,SRSF7,SSBP3,ST18,STK3,STRIP1,SUB1,SYNPO2L,TAL1,TBL1XR1,TBR1,TBX20,TBXT,TCERG1L,TCF20,TCF21,TECR,TFAP2B,TFAP2D,THRA,TLX1,TMPO,TRH,TRIM15,TRIM8,TSSK6,TUBB2B,TWIST1,VSTM2A,VSX1,WT1,WWOX,ZBTB16,ZCCHC8,ZCWPW1,ZFHX3,ZIC1,ZIC4,ZNF217,ZNF423,ZNF502,ZNF536,ZNF572,ZNF608,ZNF625,ZNF709	1.3152411866617562e-06	0.0006234243224776724
GO_CC	combined	Neuron Projection (GO:0043005)	524	1180	33010	41	ADCY8,ANKS1A,CAPN2,CDH13,CTNNA2,CXADR,ELAVL4,ELFN1,EPHA10,EPHA3,EPHB1,GABRA1,GABRG2,GHSR,GRIA1,HTR1A,HTR1B,INSRR,KCNA1,KCNC2,KLHL1,MAGI2,NEFM,NPBWR1,NRSN1,NTRK1,PENK,RAB27A,RGS6,RPH3A,RTN4,SHANK3,SKOR1,SLC12A5,SLC4A10,SLC6A3,SSTR4,STMN2,SYT1,SYT5,TENM3	2.8687706065269145e-06	0.0006798986337468787
GO_CC	combined	Intracellular Membrane-Bounded Organelle (GO:0043231)	4741	1180	33010	222	ADAM19,AHNAK,ALX1,APCS,ARNT,ASF1A,ASIC2,ATP11A,BATF,BCL9,BRSK1,BTBD3,CACNA1A,CAMK1D,CDK15,CDK17,CDKL2,CDKN2A,CDX2,CELF4,CFTR,CGAS,CHD6,CIDEA,CIRBP,COPS5,CREM,CRYGD,CTNNA1,CUX1,CXXC5,CYP27C1,DAPK1,DHX9,DIDO1,DMRTA2,DNAJB1,DNAJB6,DSP,DST,DZIP1,EHD2,EHF,ELF5,EN2,ENDOG,ENO1,EPHX3,ERG,EVX1,EVX2,EYA1,FERD3L,FEZF2,FMN2,FOXA1,FOXA2,FOXC1,FOXE3,FOXG1,FOXP1,GATA3,GATA4,GATAD2B,GCM2,GFI1,GON4L,GORASP2,GRHL2,H4C9,HCK,HENMT1,HLA-DPA1,HLTF,HOOK2,HOXA2,HOXA9,HOXB7,HOXB9,HOXC4,HOXD10,HSF1,HSPB8,HTATIP2,JARID2,L1TD1,LHX1,LHX8,LHX9,LINC-PINT,LUC7L3,MAEA,MAF,MAGI2,MAML3,MAPK10,MCM9,MDC1,MEF2D,MEIG1,MIR9-1HG,MSRA,MYT1L,NCOR2,NEK7,NEUROD1,NFATC1,NFE2L3,NFIA,NKAPL,NKX2-1,NKX2-6,NKX6-1,NKX6-2,NPLOC4,NSMCE2,ODF1,ONECUT1,ONECUT2,OSBPL5,OTX1,OTX2,PARP1,PARP4,PAX6,PBX1,PDE4C,PDX1,PHACTR1,PITX2,PITX3,PMEPA1,POU4F2,PPARD,PPT2,PRDM13,PRDM14,PRDM16,PRDX1,PRMT2,PTPN22,PTPRN,RAB30,RAD23A,RALYL,RARG,RB1,RBFOX1,RBFOX3,RBM47,RERE,RFX1,RFX2,RGS10,RPS2,RPS3A,RUNX1,RUNX1T1,SALL1,SHOX2,SIX3,SIX6,SKI,SKOR1,SLC2A14,SLC7A14,SMC4,SMYD3,SOX1,SOX17,SOX6,SPAG6,SPHK2,SPRY2,SRRM2,SRSF7,SSBP3,ST18,STK3,STRIP1,SUB1,SYNPO2L,TAL1,TBL1XR1,TBR1,TBX20,TBXT,TCERG1L,TCF20,TCF21,TECR,TFAP2B,TFAP2D,THRA,TLX1,TMPO,TRH,TRIM15,TRIM8,TSSK6,TUBB2B,TWIST1,VSTM2A,VSX1,WT1,WWOX,ZBTB16,ZCCHC8,ZCWPW1,ZFHX3,ZIC1,ZIC4,ZNF217,ZNF232,ZNF423,ZNF502,ZNF536,ZNF572,ZNF608,ZNF625,ZNF709,ZNRF2	1.0807987973805226e-05	0.0017076620998612256
GO_CC	combined	Postsynaptic Specialization Membrane (GO:0099634)	36	1180	33010	8	CACNG7,CACNG8,GRIA1,GRIN2A,GRM1,LRRTM2,NETO1,SLITRK3	3.227694898124634e-05	0.0038248184542776916
GO_CC	combined	Dendrite Membrane (GO:0032590)	26	1180	33010	6	GABRA1,GABRG2,GRIA1,KCNC2,SHISA6,THY1	0.00025644242670666274	0.02431074205179163
GO_CC	combined	Dendrite (GO:0030425)	253	1180	33010	21	ADCY8,CAPN2,ELAVL4,ELFN1,EPHA10,EPHA3,EPHB1,GABRA1,GABRG2,GRIA1,HTR1A,HTR1B,KCNA1,KCNC2,KLHL1,MAGI2,PENK,RAB27A,SKOR1,SLC4A10,THY1	0.0003297366577597387	0.024679544714596095
GO_CC	combined	Catenin Complex (GO:0016342)	28	1180	33010	6	CDH13,CDH4,CDH9,CTNNA1,CTNNA2,PCDHGB4	0.0003947739134533805	0.024679544714596095
GO_CC	combined	Actin Cytoskeleton (GO:0015629)	313	1180	33010	24	ACTA1,ADCY8,AHNAK,AKAP13,BIN2,CALD1,CAPN2,CAPZB,COTL1,DAPK1,DHX9,EPHA3,EZR,FGR,FMN2,HCK,LIMA1,MACF1,MSRA,MYO1G,NOTCH3,ONECUT2,SPRY2,SYNPO2L	0.0004165324002463476	0.024679544714596095
GO_CC	combined	Synaptic Membrane (GO:0097060)	30	1180	33010	6	GRIA1,GRIN2A,LRRTM2,SHISA6,SLITRK3,TMEM240	0.0005853915041079324	0.030830619216351107
GO_CC	combined	Postsynaptic Density Membrane (GO:0098839)	32	1180	33010	6	CACNG7,CACNG8,GRIA1,GRIN2A,GRM1,NETO1	0.0008406244990974132	0.03984560125721739
GO_CC	combined	GABA-ergic Synapse (GO:0098982)	14	1180	33010	4	CBLN4,LRRTM2,SLITRK1,SLITRK3	0.0012199935801425871	0.052570632453416935
GO_CC	combined	Polymeric Cytoskeletal Fiber (GO:0099513)	249	1180	33010	19	ACTA1,CCT5,CCT6A,CLASP2,COTL1,DCDC2C,DSP,DST,EZR,FSD1,HCK,KIF13A,KIF28P,KIF5A,MACF1,NEFM,ODF1,RADIL,TUBB2B	0.0016754954797877965	0.06618207145161796
GO_CC	combined	Postsynaptic Density (GO:0014069)	144	1180	33010	13	ADCY8,ADGRA1,CACNG7,CACNG8,GRIA1,GRIN2A,GRM1,MAGI2,NETO1,RTN4,SHANK3,SHISA6,SRGAP3	0.0020391594900740855	0.07435089217654743
GO_CC	combined	AMPA Glutamate Receptor Complex (GO:0032281)	18	1180	33010	4	CACNG7,CACNG8,GRIA1,SHISA6	0.003327631745882489	0.11266410339630714
GO_CC	combined	Ionotropic Glutamate Receptor Complex (GO:0008328)	32	1180	33010	5	CACNG7,CACNG8,GRIA1,GRIN2A,SHISA6	0.0052199003193047835	0.1567387621382453
GO_CC	combined	Asymmetric Synapse (GO:0032279)	125	1180	33010	11	ADCY8,ADGRA1,CACNG8,GRIA1,GRIN2A,MAGI2,NETO1,RTN4,SHANK3,SHISA6,SRGAP3	0.005290759903400686	0.1567387621382453
GO_CC	combined	Voltage-Gated Calcium Channel Complex (GO:0005891)	48	1180	33010	6	CACNA1A,CACNA2D2,CACNG7,CACNG8,CATSPERG,SCN1A	0.007018100476250479	0.19568115445545453
