library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
GO_MF	combined	RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	1135	1180	33010	129	ALX1,ALX3,ARNT,BATF,CDX2,CREM,CUX1,DHX9,DLX2,DMRTA2,DRGX,EHF,EN2,ENO1,EOMES,ERG,EVX1,EVX2,FERD3L,FOXA1,FOXA2,FOXC1,FOXE3,FOXP1,GATA3,GATA4,GCM2,GFI1,GRHL2,HOXA9,HOXB13,HOXB7,HOXB9,HOXC4,HOXD10,HOXD13,HSF1,LHX1,LHX8,LHX9,MAF,MEF2D,MEIS1,NFATC1,NFE2L3,NFIA,NKX2-1,NKX2-6,NKX6-1,NKX6-2,NR2E1,ONECUT1,ONECUT2,OTP,OTX1,OTX2,PAX3,PAX5,PAX6,PBX1,PDX1,PHOX2B,PITX2,PITX3,POU4F2,PPARD,PRDM14,PRDM16,PRRX1,RARG,RB1,RFX1,RFX2,RUNX1,SALL1,SATB2,SCRT2,SIM1,SIM2,SIX3,SIX6,SKI,SKOR1,SOX1,SOX17,SOX6,ST18,TAL1,TBR1,TBX15,TBX20,TBX4,TBXT,TCF21,TCF23,TFAP2B,TFAP2D,THRA,TLX1,TWIST1,VAX1,VAX2,WT1,ZBTB16,ZFHX3,ZFP42,ZIC1,ZIC4,ZNF154,ZNF184,ZNF212,ZNF217,ZNF232,ZNF267,ZNF274,ZNF423,ZNF502,ZNF536,ZNF551,ZNF578,ZNF625,ZNF671,ZNF709,ZNF729,ZNF835,ZNF876P,ZSCAN1,ZSCAN18,ZSCAN5A	1.4043483822630744e-31	1.6107875944557464e-28
GO_MF	combined	Sequence-Specific Double-Stranded DNA Binding (GO:1990837)	671	1180	33010	93	ALX1,ALX3,ARNT,ASIC2,BATF,CDX2,CREM,CUX1,DHX9,DLX2,DMRTA2,DRGX,ELF5,EN2,EOMES,ERG,EVX1,EVX2,FERD3L,FOXA1,FOXA2,FOXC1,FOXG1,FOXP1,GATA3,GATA4,GCM2,GFI1,HOXA2,HOXA9,HOXB13,HOXB7,HOXB9,HOXC4,HOXD10,HOXD12,HOXD13,HSF1,LHX1,LHX8,LHX9,LIN28B,MAF,MEF2D,NEUROD1,NFATC1,NKX2-1,NKX6-2,NR2E1,ONECUT1,ONECUT2,OTX1,OTX2,PAX3,PAX6,PBX1,PDX1,PHOX2B,PITX2,PITX3,PPARD,PRDM16,RARG,RFX1,RFX2,RUNX1,SCRT2,SHOX2,SIX3,SIX6,SKOR1,SOX17,SOX6,TAL1,TBL1XR1,TBX15,TBX20,TBXT,TCF21,TFAP2B,THRA,VAX1,VAX2,VSX1,WT1,ZBTB46,ZFP42,ZIC1,ZIC4,ZNF217,ZNF274,ZSCAN1,ZSCAN5A	2.5409010666443656e-29	1.4572067617205437e-26
GO_MF	combined	RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)	1040	1180	33010	112	ARNT,BATF,CDX2,CREM,DHX9,DLX2,DMRTA2,EHF,EN2,EOMES,ERG,EVX1,EVX2,FOXA1,FOXA2,FOXC1,FOXE3,FOXP1,GATA3,GATA4,GCM2,GFI1,GRHL2,HOXA9,HOXB13,HOXB7,HOXB9,HOXC4,HOXD10,HOXD13,HSF1,MAF,MEF2D,MEIS1,NEUROD1,NFATC1,NFE2L3,NFIA,NKX2-1,NKX2-6,NKX6-1,NKX6-2,NR2E1,ONECUT1,ONECUT2,OTX1,OTX2,PAX3,PAX5,PAX6,PBX1,PDX1,PHOX2B,PITX2,PITX3,POU4F2,PPARD,PRDM16,PRRX1,RARG,RFX1,RFX2,RUNX1,SALL1,SATB2,SCRT2,SIX3,SIX6,SKI,SKOR1,SOX1,SOX17,SOX6,ST18,TAL1,TBR1,TBX15,TBX20,TBX4,TBXT,TCF21,TFAP2B,THRA,TLX1,TWIST1,VAX1,VAX2,WT1,ZBTB16,ZFHX3,ZFP42,ZIC1,ZIC4,ZNF154,ZNF184,ZNF212,ZNF217,ZNF232,ZNF267,ZNF274,ZNF423,ZNF502,ZNF536,ZNF551,ZNF578,ZNF671,ZNF729,ZNF835,ZNF876P,ZSCAN1,ZSCAN18,ZSCAN5A	1.7720742926855683e-25	5.786612442873717e-23
GO_MF	combined	Sequence-Specific DNA Binding (GO:0043565)	673	1180	33010	87	ALX1,ALX3,ARNT,BATF,CDX2,CREM,CUX1,CXXC5,DLX2,DMRTA2,DRGX,ELF5,EN2,EOMES,ERG,EVX1,EVX2,FERD3L,FOXA1,FOXA2,FOXC1,FOXE3,FOXG1,FOXP1,GATA3,GATA4,GCM2,GFI1,GRHL2,HOXA2,HOXA9,HOXB13,HOXB7,HOXB9,HOXC4,HOXD10,HOXD12,HOXD13,HSF1,LHX1,LHX8,LHX9,LIN28B,MAF,MEF2D,NEUROD1,NFATC1,NKX6-2,NR2E1,ONECUT1,ONECUT2,OTX1,OTX2,PAX3,PAX6,PBX1,PDX1,PHOX2B,PITX2,PITX3,PPARD,PRDM16,RARG,RFX1,RFX2,SCRT2,SHOX2,SIX3,SIX6,SKOR1,TBX15,TBX20,TBXT,TCF21,TFAP2B,VAX1,VAX2,VSX1,WT1,ZCWPW1,ZFP42,ZIC1,ZIC4,ZNF274,ZNF423,ZSCAN1,ZSCAN5A	2.520259682336163e-25	5.786612442873717e-23
GO_MF	combined	Double-Stranded DNA Binding (GO:0003690)	618	1180	33010	83	AIM2,ALX1,ALX3,ARNT,BATF,CDX2,CGAS,CREM,CUX1,DHX9,DLX2,DMRTA2,DRGX,ELF5,EN2,EOMES,ERG,EVX1,EVX2,FERD3L,FOXA1,FOXA2,FOXG1,FOXP1,GATA3,GATA4,GCM2,GFI1,HOXA2,HOXA9,HOXB13,HOXB7,HOXB9,HOXC4,HOXD10,HOXD12,HOXD13,HSF1,LHX1,LHX8,LHX9,LIN28B,MAF,MEF2D,NEUROD1,NFATC1,NKX6-2,NR2E1,ONECUT1,ONECUT2,OTX1,OTX2,PAX3,PAX6,PBX1,PDX1,PHOX2B,PITX2,PITX3,PPARD,RARG,RFX1,RFX2,SCRT2,SHOX2,SIX3,SIX6,SKOR1,TBX15,TBX20,TBXT,TCF21,TFAP2B,VAX1,VAX2,VSX1,WT1,ZFP42,ZIC1,ZIC4,ZNF274,ZSCAN1,ZSCAN5A	2.522498885298046e-25	5.786612442873717e-23
GO_MF	combined	Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)	1016	1180	33010	109	ARNT,BATF,CDX2,CREM,DHX9,DLX2,DMRTA2,EHF,EN2,EOMES,ERG,EVX1,EVX2,FOXA1,FOXA2,FOXC1,FOXE3,FOXP1,GATA3,GATA4,GCM2,GFI1,GRHL2,HOXA9,HOXB13,HOXB7,HOXB9,HOXC4,HOXD10,HOXD13,HSF1,MAF,MEF2D,MEIS1,NFATC1,NFE2L3,NFIA,NKX2-1,NKX2-6,NKX6-1,NKX6-2,NR2E1,ONECUT1,ONECUT2,OTX1,OTX2,PAX3,PAX5,PAX6,PBX1,PDX1,PHOX2B,PITX2,PITX3,POU4F2,PPARD,PRDM16,PRRX1,RARG,RFX1,RFX2,RUNX1,SALL1,SATB2,SCRT2,SIX3,SIX6,SKI,SKOR1,SOX1,SOX17,SOX6,ST18,TAL1,TBR1,TBX15,TBX20,TBX4,TBXT,TFAP2B,THRA,TLX1,VAX1,VAX2,WT1,ZBTB16,ZFHX3,ZFP42,ZIC1,ZIC4,ZNF154,ZNF184,ZNF212,ZNF217,ZNF232,ZNF267,ZNF274,ZNF423,ZNF502,ZNF536,ZNF551,ZNF578,ZNF671,ZNF729,ZNF835,ZNF876P,ZSCAN1,ZSCAN18,ZSCAN5A	1.1195960789830407e-24	2.1402945043225796e-22
GO_MF	combined	Transcription Cis-Regulatory Region Binding (GO:0000976)	443	1180	33010	53	ALX1,ALX3,ARNT,CDX2,CREM,CUX1,DRGX,ENO1,FERD3L,FOXA1,FOXA2,FOXC1,FOXP1,GATA3,GATA4,GFI1,GRHL2,HSF1,LHX1,LHX8,LHX9,MEF2D,NKX2-1,OTP,PAX6,PBX1,PHOX2B,PITX2,PRDM14,PRDM16,RB1,RUNX1,SATB2,SCRT2,SIM1,SIM2,SOX17,SOX6,TAL1,TBL1XR1,TBX20,TCF21,TCF23,TFAP2B,TFAP2D,THRA,TWIST1,VSX1,WT1,ZBTB46,ZNF217,ZNF625,ZNF709	1.7604115665455376e-14	2.884560095468188e-12
GO_MF	combined	DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)	325	1180	33010	35	ALX1,EHF,ERG,FOXA1,FOXC1,GATA3,GATA4,GRHL2,HOXB7,HOXC4,HOXD13,HSF1,MEIS1,NEUROD1,NFATC1,NFIA,NKX2-6,ONECUT1,ONECUT2,OTX1,OTX2,PHOX2B,POU4F2,PRDM16,PRRX1,RUNX1,SATB2,SIX3,SOX17,TCF21,TFAP2B,WT1,ZBTB16,ZNF267,ZNF729	8.015233381183612e-09	1.1491840860272004e-06
GO_MF	combined	DNA-binding Transcription Factor Binding (GO:0140297)	258	1180	33010	28	ARNT,CREM,CXXC5,DHX9,EOMES,FOXC1,GATA3,GATA4,MEF2D,NEUROD1,NFATC1,NFIA,NKX2-1,PARP1,PITX2,PPARD,PRDM16,PRRX1,RB1,RUNX1T1,SKI,SOX17,TAL1,TBX20,TBXT,TCF21,TCF23,TWIST1	2.0803629176576884e-07	2.6513069628370762e-05
GO_MF	combined	Transcription Regulatory Region Nucleic Acid Binding (GO:0001067)	205	1180	33010	23	DHX9,FOXA1,FOXA2,FOXC1,GATA3,GATA4,GFI1,HSF1,NKX2-1,PAX6,PBX1,PITX2,PRDM16,RUNX1,SOX17,SOX6,TAL1,TBL1XR1,THRA,VSX1,WT1,ZBTB46,ZNF217	1.391159611657191e-06	0.0001595660074570798
