library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
KEGG	combined	Maturity onset diabetes of the young	26	1180	33010	8	FOXA2,GCK,NEUROD1,NKX6-1,ONECUT1,PAX6,PDX1,PKLR	2.2897668013554644e-06	0.0007327253764337486
KEGG	combined	Transcriptional misregulation in cancer	176	1180	33010	18	AFF1,ERG,EYA1,HOXA9,MAF,MEIS1,MLLT1,MMP9,NTRK1,PAX3,PAX5,PBX1,RUNX1,RUNX1T1,TLX1,WNT16,WT1,ZBTB16	6.505306869683894e-05	0.01040849099149423
KEGG	combined	Neuroactive ligand-receptor interaction	313	1180	33010	24	CALCB,GABRA1,GABRG2,GALR1,GALR3,GHSR,GRIA1,GRIN2A,GRM1,HTR1A,HTR1B,LPAR6,MC1R,NMBR,NPBWR1,NPY,PENK,SCT,SST,SSTR4,TAC1,THRA,TRH,VIPR2	0.0004165324002463476	0.044232217462116266
KEGG	combined	cAMP signaling pathway	209	1180	33010	18	ACOX3,ADCY8,CFTR,CNGA3,GHSR,GRIA1,GRIN2A,HTR1A,HTR1B,MAPK10,NFATC1,NPY,PDE10A,PDE4C,SST,TIAM1,VAV3,VIPR2	0.0005529027182764534	0.044232217462116266
KEGG	combined	MicroRNAs in cancer	288	1180	33010	20	CD44,CDKN2A,EZR,FOXP1,HOXD10,MIR124-2,MIR125B1,MIR15B,MIR16-2,MIR17,MIR18A,MIR19A,MIR19B1,MIR20A,MIR9-1,MIR92A1,MMP9,NOTCH3,SPRY2,TNR	0.0038285944472896617	0.24503004462653838
KEGG	combined	Arrhythmogenic right ventricular cardiomyopathy	74	1180	33010	8	CACNA2D2,CACNG7,CACNG8,CTNNA1,CTNNA2,DSP,ITGA8,ITGA9	0.004872572730825725	0.24838866384905264
KEGG	combined	Inflammatory bowel disease	60	1180	33010	7	GATA3,HLA-DPA1,HLA-DPB1,IL18,MAF,NFATC1,TLR5	0.005433502021698027	0.24838866384905264
KEGG	combined	Taste transduction	79	1180	33010	8	ADCY8,ASIC2,CACNA1A,GABRA1,GRM1,HTR1A,HTR1B,KCNK5	0.007221546557936067	0.28886186231744265
KEGG	combined	Nicotine addiction	36	1180	33010	5	CACNA1A,GABRA1,GABRG2,GRIA1,GRIN2A	0.008691005517044485	0.2970515653165504
KEGG	combined	Cell adhesion molecules	135	1180	33010	11	CD58,CDH4,CLDN10,CLDN4,HLA-DPA1,HLA-DPB1,ITGA8,ITGA9,MPZ,NRXN2,NRXN3	0.0092828614161422	0.2970515653165504
KEGG	combined	Th1 and Th2 cell differentiation	87	1180	33010	8	GATA3,HLA-DPA1,HLA-DPB1,MAF,MAML3,MAPK10,NFATC1,NOTCH3	0.0126291655529347	0.36739390699446395
KEGG	combined	Type II diabetes mellitus	45	1180	33010	5	CACNA1A,GCK,MAPK10,PDX1,PKLR	0.02167515175683873	0.5780040468490328
KEGG	combined	Tight junction	161	1180	33010	11	CD1D,CFTR,CLDN10,CLDN4,EZR,GATA4,MAPK10,PRKAG2,RAPGEF6,RUNX1,TIAM1	0.030326950491785177	0.7465095505670197
KEGG	combined	Leukocyte transendothelial migration	107	1180	33010	8	CLDN10,CLDN4,CTNNA1,CTNNA2,EZR,MMP9,THY1,VAV3	0.038158775501478316	0.7664845009429883
KEGG	combined	Morphine addiction	88	1180	33010	7	ADCY8,CACNA1A,GABRA1,GABRG2,GRK5,PDE10A,PDE4C	0.03819962336437302	0.7664845009429883
KEGG	combined	Pathogenic Escherichia coli infection	188	1180	33010	12	CASP8,CLDN10,CLDN4,EZR,IL18,LPAR5,MAPK10,MYO1G,NLRP4,TLR5,TNFRSF10A,TUBB2B	0.03832422504714941	0.7664845009429883
KEGG	combined	Legionellosis	56	1180	33010	5	CASP8,HSF1,IL18,SAR1A,TLR5	0.04938067540871331	0.8181921632535536
KEGG	combined	Bladder cancer	39	1180	33010	4	CDKN2A,DAPK1,MMP9,RB1	0.049674274453866546	0.8181921632535536
KEGG	combined	Glutamatergic synapse	113	1180	33010	8	ADCY8,CACNA1A,DLGAP1,GRIA1,GRIN2A,GRM1,SHANK3,SLC1A6	0.049923344430085156	0.8181921632535536
KEGG	combined	Retrograde endocannabinoid signaling	134	1180	33010	9	ADCY8,CACNA1A,GABRA1,GABRG2,GRIA1,GRM1,MAPK10,NDUFA10,NDUFA13	0.05156383170822584	0.8181921632535536
KEGG	combined	Type I diabetes mellitus	40	1180	33010	4	HLA-DPA1,HLA-DPB1,PTPRN,PTPRN2	0.05369386071351445	0.8181921632535536
KEGG	combined	Synaptic vesicle cycle	78	1180	33010	6	ATP6V1B1,CACNA1A,SLC1A6,SLC6A3,SLC6A5,SYT1	0.06038795141889113	0.8579647691469118
KEGG	combined	Signaling pathways regulating pluripotency of stem cells	139	1180	33010	9	IL6ST,JARID2,MEIS1,ONECUT1,OTX1,PAX6,WNT16,WNT5B,ZFHX3	0.062149222770167545	0.8579647691469118
KEGG	combined	Asthma	26	1180	33010	3	FCER1A,HLA-DPA1,HLA-DPB1	0.06434735768601837	0.8579647691469118
KEGG	combined	Th17 cell differentiation	101	1180	33010	7	GATA3,HLA-DPA1,HLA-DPB1,IL6ST,MAPK10,NFATC1,RUNX1	0.07021523761623454	0.8681935778060855
KEGG	combined	Phototransduction	27	1180	33010	3	GRK7,GUCA1A,PDE6B	0.07054072819674445	0.8681935778060855
KEGG	combined	beta-Alanine metabolism	30	1180	33010	3	ACOX3,CNDP2,DPYS	0.09062715457187646	1.0
KEGG	combined	Hypertrophic cardiomyopathy	87	1180	33010	6	CACNA2D2,CACNG7,CACNG8,ITGA8,ITGA9,PRKAG2	0.09139730807206377	1.0
KEGG	combined	Cytosolic DNA-sensing pathway	48	1180	33010	4	AIM2,CGAS,IL18,POLR1D	0.0918538135219828	1.0
KEGG	combined	Amyotrophic lateral sclerosis	339	1180	33010	17	COX4I2,COX7A1,DCTN2,DNAH1,DNALI1,GRIA1,GRIN2A,KIF5A,KLC1,NDUFA10,NDUFA13,NEFM,NUP43,PFN3,POM121L2,SRSF7,TUBB2B	0.10271369832642109	1.0
KEGG	combined	Dilated cardiomyopathy	92	1180	33010	6	ADCY8,CACNA2D2,CACNG7,CACNG8,ITGA8,ITGA9	0.11172473521615534	1.0
KEGG	combined	Apoptosis	138	1180	33010	8	CAPN2,CASP8,ENDOG,MAPK10,NTRK1,PARP1,PARP4,TNFRSF10A	0.12218016157028819	1.0
KEGG	combined	Wnt signaling pathway	161	1180	33010	9	CCN4,MAPK10,NFATC1,PPARD,RSPO2,SOX17,TBL1XR1,WNT16,WNT5B	0.12413592637802871	1.0
KEGG	combined	Pathways in cancer	497	1180	33010	23	ADCY8,ARNT,CASP8,CDKN2A,CTNNA1,CTNNA2,DAPK1,FGF5,GSTM2,IL6ST,LPAR5,LPAR6,MAPK10,MMP9,NOTCH3,NTRK1,PPARD,RB1,RUNX1,RUNX1T1,WNT16,WNT5B,ZBTB16	0.12635715988562837	1.0
KEGG	combined	Viral myocarditis	54	1180	33010	4	CASP8,CXADR,HLA-DPA1,HLA-DPB1	0.1269363060659848	1.0
