library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
GO_BP	combined	Regulation Of Transcription By RNA Polymerase II (GO:0006357)	1855	1462	33010	200	ACTL6B,ACVRL1,AKR1B1,ALX1,ARID4B,ARNT2,ASCL4,ATF6,ATF7,BARHL2,BATF,BBX,BCAS3,BCL9,BCL9L,BMPR1B,BRD4,CD40,CHD4,CHD6,CREB3L2,CRYM,CUX1,CYP1A1,CYTL1,DAB2,DBX1,DLX6,DMRTA2,DNAJB1,DPF1,DRGX,EBF1,EPCAM,ESRRG,EVX1,EVX2,EZR,FERD3L,FEV,FEZF1,FLI1,FOXA2,FOXB1,FOXC2,FOXD3,FOXE1,FOXE3,FOXG1,FOXI3,FOXQ1,GALR1,GCM2,GLI2,GRHL2,GRIN1,HAND2,HDAC4,HDAC9,HIF3A,HJV,HMGA2,HNF1B,HOPX,HOXA10,HOXA3,HOXA4,HOXA9,HOXB7,HOXC4,HOXD10,HOXD3,HOXD8,HOXD9,IGF1,IRF1,IRF4,IRX1,ISL2,LDB2,LHX1,LHX4,LHX6,LHX8,LHX9,MACROH2A1,MAF,MAML3,MCIDAS,MEIS1,MEIS2,MIDEAS,MITF,MYF6,MYT1L,NCOR2,NEUROD1,NFATC1,NFATC2,NFIL3,NKX2-1,NKX2-4,NKX2-6,NKX3-2,NKX6-2,NPAS4,NR1H2,NR1I2,NR5A2,OLIG3,ONECUT2,ONECUT3,OTP,OTX1,OTX2,OVOL1,PARP15,PAX3,PAX5,PAX6,PAX9,PDX1,PHOX2A,PHOX2B,PITX1,PITX2,POU3F3,POU4F1,POU4F2,POU4F3,PRDM14,PRDM15,PRDM16,PRKCB,PROX1,PRRX1,PTPRN,RARB,RB1,RBBP4,RFX1,RGMA,RREB1,RUNX1,SALL1,SALL2,SALL3,SATB2,SCRT2,SFRP2,SIM1,SIX1,SIX3,SIX6,SKI,SKOR1,SOX1,SOX17,SP8,ST18,TAL1,TBL1XR1,TBR1,TBX15,TBX18,TBX20,TBX4,TBXT,TCF20,TCF23,TENM2,TET3,TLX1,TLX2,TLX3,TRAK1,TWIST1,UTF1,WNT3A,WT1,WWP2,ZBTB20,ZBTB46,ZFHX3,ZFP42,ZFPM2,ZIC1,ZIC4,ZIC5,ZMIZ1,ZNF177,ZNF217,ZNF232,ZNF274,ZNF536,ZNF560,ZNF625,ZNF709,ZNF750,ZSCAN18	3.1688889095588864e-32	1.7134182333984898e-28
GO_BP	combined	Regulation Of DNA-templated Transcription (GO:0006355)	1780	1462	33010	180	ACTL6B,ACVRL1,AKR1B1,ALX1,ARID4B,ARNT2,ASCL4,ASIC2,ATF6,ATF7,BARHL2,BATF,BBX,BMP7,BRD4,CD38,CDK14,CDK15,CDKN2A,CHD4,CREB3L2,CRYAB,CUX1,CYP1A1,DBX1,DLX6,DMRTA2,DPF1,DRGX,EBF1,ERBB4,ERC1,ESRRG,EVX1,EVX2,FERD3L,FEV,FEZF1,FLI1,FOXA2,FOXB1,FOXC2,FOXD3,FOXE1,FOXE3,FOXG1,FOXI3,FOXQ1,GCM2,GDF6,GLI2,GRHL2,HAND2,HDAC4,HDAC9,HIF3A,HMGA2,HNF1B,HOPX,HOXA10,HOXA3,HOXA4,HOXA9,HOXB7,HOXC4,HOXD10,HOXD3,HOXD8,HOXD9,IGF1,IRF1,IRF4,IRX1,LHX1,LHX4,LHX6,LHX8,LHX9,MAF,MIDEAS,MITF,MYF6,MYT1,MYT1L,NCOR2,NEUROD1,NFATC1,NFATC2,NFIL3,NKX2-1,NKX2-4,NKX2-6,NKX3-2,NKX6-2,NPAS4,NR1H2,NR1I2,NR5A2,NRG1,ONECUT2,ONECUT3,OTX1,OTX2,OVOL1,PAX3,PAX5,PAX6,PAX9,PDX1,PHOX2A,PHOX2B,PITX1,PITX2,POU3F3,POU4F1,POU4F2,POU4F3,PRDM14,PRDM15,PRDM16,PRKCB,PROX1,RB1,RBBP4,RFX1,RREB1,RUNX1,RUNX1T1,SALL1,SALL2,SALL3,SATB2,SCRT2,SFRP2,SIM1,SIX1,SIX3,SIX6,SKOR1,SOX1,SOX17,SP8,TAL1,TBL1XR1,TBR1,TBX15,TBX18,TBX20,TBX4,TBXT,TCF20,TCF23,TLX1,TLX2,TLX3,TNFSF4,TRAK1,TWIST1,UTF1,VGLL4,WNT3A,WT1,WWP2,ZBTB46,ZFHX3,ZFP42,ZFPM2,ZIC1,ZIC4,ZIC5,ZMIZ1,ZNF217,ZNF232,ZNF274,ZNF502,ZNF536,ZNF625,ZNF709,ZNF876P,ZSCAN18	1.1766896840801902e-25	3.181180560910794e-22
GO_BP	combined	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	888	1462	33010	98	ACVRL1,AKR1B1,ALX1,ARNT2,ATF6,ATF7,BCAS3,BCL9,BCL9L,BMPR1B,BRD4,CD40,CHD6,CYTL1,DAB2,EPCAM,ESRRG,FOXA2,FOXC2,FOXD3,GALR1,GLI2,GRHL2,GRIN1,HAND2,HDAC4,HJV,HMGA2,HNF1B,HOXA10,HOXB7,HOXC4,HOXD3,HOXD8,IGF1,IRF1,IRF4,ISL2,LDB2,LHX4,MAML3,MCIDAS,MEIS1,MEIS2,MITF,MYF6,NEUROD1,NFATC1,NKX2-1,NKX2-6,NPAS4,NR1H2,NR1I2,NR5A2,OLIG3,ONECUT2,OTX1,OTX2,PAX3,PAX6,PDX1,PHOX2A,PHOX2B,PITX2,POU4F1,POU4F2,POU4F3,PRDM15,PROX1,PRRX1,PTPRN,RARB,RGMA,RREB1,RUNX1,SALL1,SALL2,SATB2,SFRP2,SIX1,SKI,SOX1,SOX17,ST18,TAL1,TBL1XR1,TBXT,TCF20,TET3,TLX2,TWIST1,UTF1,WNT3A,WT1,ZFHX3,ZFPM2,ZMIZ1,ZNF750	9.920462122424104e-17	1.7879979565315709e-13
GO_BP	combined	Positive Regulation Of DNA-templated Transcription (GO:0045893)	1182	1462	33010	117	ACVRL1,AKR1B1,ALX1,ARNT2,ASIC2,ATF6,ATF7,BCAS3,BCL9,BCL9L,BMP7,BMPR1B,BRD4,CD38,CD40,CHD4,CHD6,CREB3L2,CYTL1,DAB2,EPCAM,ERBB4,ESRRG,FLI1,FOXA2,FOXC2,FOXD3,FOXE1,GALR1,GDF6,GLI2,GNL3,GRHL2,GRIN1,HAND2,HDAC4,HJV,HMGA2,HNF1B,HOXA10,HOXB7,HOXC4,HOXD3,HOXD8,IGF1,IRF1,IRF4,ISL2,LDB2,LHX1,LHX4,MAML3,MCIDAS,MEIS1,MEIS2,MITF,MYF6,NEUROD1,NFATC1,NFATC2,NFIL3,NKX2-1,NKX2-6,NPAS4,NR1H2,NR1I2,NR5A2,OLIG3,ONECUT2,OTX1,OTX2,PAX3,PAX6,PDX1,PHOX2A,PHOX2B,PITX2,POU3F3,POU4F1,POU4F2,POU4F3,PRDM15,PRDM16,PROX1,PRRX1,PTPRN,RARB,RBBP4,RGMA,RPTOR,RREB1,RUNX1,SALL1,SALL2,SATB2,SFRP2,SIX1,SKI,SOX1,SOX17,ST18,TAL1,TBL1XR1,TBXT,TCF20,TET3,TGFB2,TLX2,TWIST1,UTF1,WNT3A,WT1,ZFHX3,ZFPM2,ZIC1,ZMIZ1,ZNF750	3.430640626382786e-16	4.637368466712931e-13
GO_BP	combined	Nervous System Development (GO:0007399)	411	1462	33010	56	ACTL6B,ADGRB1,ARNT2,ASIC2,BTBD3,CHRM2,DLX6,DNM3,DPF1,EPHB1,ERBB4,FAT4,FGF19,GRHL2,HDAC4,HPCAL4,JARID2,KCNQ2,KIRREL3,LDB2,LHX1,LSAMP,MDGA1,MOG,MSI2,MYT1L,NAV1,NES,NEUROD1,NF1,NRG1,NRSN1,NRXN1,NRXN2,PAX6,PHOX2B,POU3F3,POU4F1,PPP1R17,PROX1,RAPGEFL1,RBFOX1,RBFOX3,SDK1,SH3GL3,SHANK2,SLITRK1,SPOCK2,SRRM4,TRAK1,TRIM71,VAX1,VAX2,ZIC1,ZIC4,ZIC5	8.899703832552412e-14	9.62413972452218e-11
GO_BP	combined	Neuron Differentiation (GO:0030182)	164	1462	33010	30	ERBB4,FGF8,FOXA2,FUT9,GLI2,HAND2,IRX1,ISL2,LHX1,LHX4,LHX6,LHX8,LHX9,MYT1L,NEUROD1,OTP,OTX2,PAX6,PHOX2A,PHOX2B,PITX2,POU4F2,RTN1,RUNX1,SALL1,TENM2,TGFB2,VAX1,VAX2,WNT3A	3.664139668929502e-11	3.302000531650303e-08
GO_BP	combined	Negative Regulation Of DNA-templated Transcription (GO:0045892)	931	1462	33010	85	AKR1B1,ALX1,ARID4B,BMP7,CD38,CDKN2A,CHD4,CRYAB,CRYM,CUX1,DAB2,DNAJB1,EZR,FERD3L,FOXC2,FOXD3,FOXE1,FOXG1,GLI2,HDAC4,HDAC9,HJV,HMGA2,HOXD9,IRF1,IRX1,LDB2,LHX1,LHX9,MACROH2A1,MAF,MEIS2,MIDEAS,MITF,MYT1L,NCOR2,NFIL3,NKX2-1,NKX6-2,NR1H2,NR1I2,NRG1,OTP,PARP15,PAX6,PAX9,POU3F3,POU4F1,POU4F2,PRDM16,PROX1,RARB,RB1,RBBP4,RREB1,RUNX1,RUNX1T1,SALL1,SCRT2,SFRP2,SIX3,SKI,SKOR1,SOX1,TBL1XR1,TBR1,TBX20,TBXT,TCF23,TENM2,TNFSF4,TWIST1,VGLL4,WT1,WWP2,ZBTB20,ZBTB46,ZFHX3,ZFPM2,ZNF177,ZNF217,ZNF274,ZNF536,ZNF560,ZNF750	2.735981889946125e-10	1.9611209586422004e-07
GO_BP	combined	Endocrine System Development (GO:0035270)	21	1462	33010	11	FOXE1,GCM2,GLI2,HOXD3,NF1,NKX2-1,SALL1,SIX1,SIX3,TG,WT1	2.9016030458919184e-10	1.9611209586422004e-07
GO_BP	combined	Generation Of Neurons (GO:0048699)	159	1462	33010	27	CDK6,CIT,DISC1,FGF8,FUT9,IRX1,LHX1,LHX4,LHX6,LHX8,LHX9,MDGA1,MYT1L,NAV1,OTP,PHOX2B,POU4F2,RTN1,RUNX1,SIX1,SIX3,TGFB2,TRIM46,TUBB2B,VAX1,VAX2,WNT3A	1.9162685200553314e-09	1.1512515431043532e-06
GO_BP	combined	Embryonic Organ Morphogenesis (GO:0048562)	44	1462	33010	14	ALX1,FBN2,FOXE1,HOXA3,HOXA4,HOXA9,HOXC4,HOXD3,HOXD9,NEUROD1,RYR2,SIX1,SOX17,TBX20	3.4621205711922666e-09	1.8719685928436586e-06
GO_BP	combined	Central Nervous System Development (GO:0007417)	260	1462	33010	35	AIM2,AMIGO3,ARNT2,ASIC2,FOXG1,GRHL2,GRIN1,HPCAL4,JARID2,MAST1,MDGA1,MEIS1,MEIS2,MOG,MSI2,NES,NF1,NKX2-1,PAX6,POU3F3,PPP1R17,PROX1,RBBP4,RTN1,SH3GL3,SIX3,SLC23A2,TBC1D23,TBR1,VAX1,VAX2,ZFHX3,ZIC1,ZIC4,ZIC5	5.302931713436625e-09	2.606631979504712e-06
GO_BP	combined	Eye Development (GO:0001654)	53	1462	33010	15	ATF6,BMPR1B,CACNA1C,FBN2,FOXE3,MEIS1,MEIS2,PAX6,PITX2,SALL2,SIX3,SIX6,SKI,TGFB2,WT1	5.8832521738090835e-09	2.6508953753154763e-06
GO_BP	combined	Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)	686	1462	33010	65	AKR1B1,ALX1,ARID4B,CHD4,CRYM,CUX1,DAB2,DNAJB1,EZR,FOXC2,FOXD3,FOXE1,GLI2,HDAC4,HDAC9,HJV,HMGA2,HOXD9,IRX1,LDB2,MACROH2A1,MAF,MEIS2,MITF,MYT1L,NCOR2,NFIL3,NKX2-1,NR1H2,NR1I2,OTP,PARP15,PAX6,POU4F1,POU4F2,PRDM16,PROX1,RARB,RB1,RBBP4,RREB1,RUNX1,SALL1,SCRT2,SKI,SKOR1,SOX1,TBL1XR1,TBX20,TBXT,TCF23,TENM2,TWIST1,WT1,WWP2,ZBTB20,ZBTB46,ZFHX3,ZFPM2,ZNF177,ZNF217,ZNF274,ZNF536,ZNF560,ZNF750	8.537216690486252e-09	3.5508254342660896e-06
GO_BP	combined	Gland Development (GO:0048732)	71	1462	33010	17	EZR,FOXE1,GCM2,GLI2,HAND2,HOXD3,NF1,NKX2-1,NRG1,PROX1,SALL1,SIX1,SIX3,SLC9A3R1,TG,TGFBR3,WT1	9.463282701675829e-09	3.6548549691400865e-06
GO_BP	combined	Brain Development (GO:0007420)	154	1462	33010	25	AIM2,AMIGO3,ARNT2,CTNNA2,FOXG1,GRHL2,GRIN1,MAST1,MDGA1,MEIS1,MEIS2,NES,NF1,NKX2-1,PROX1,RBBP4,RTN1,SIX3,SLC23A2,TBC1D23,TBR1,VAX1,VAX2,ZFHX3,ZIC1	1.923758251276565e-08	6.934507243101592e-06
GO_BP	combined	Synapse Assembly (GO:0007416)	66	1462	33010	16	CBLN4,DNM3,GABRA1,GABRG2,HAPLN4,KIRREL3,NPAS4,NRXN1,NRXN2,POU4F1,SDK1,SHANK2,SLITRK1,SPOCK2,SRGAP3,WNT3A	2.1239709702592363e-08	7.177694397619807e-06
GO_BP	combined	Embryonic Organ Development (GO:0048568)	75	1462	33010	17	FGF8,FOXE1,GLI2,HOXB7,NES,NEUROD1,NKX2-6,PCSK5,RARB,RARRES2,SALL1,SOX17,TAL1,TBC1D23,TBX4,TGFB2,UTP25	2.2922318155280625e-08	7.290645545035432e-06
GO_BP	combined	Heart Development (GO:0007507)	165	1462	33010	25	ACVRL1,AKAP13,BMP7,CACNA1C,ERBB4,FGF8,FOXC2,GLI2,HAND2,HDAC9,NF1,NKX2-6,PCSK5,PDLIM2,PDLIM7,POU4F1,POU4F2,SALL1,SOX17,SYNPO2L,TBXT,TGFB2,TGFBR3,WT1,ZFPM2	7.82002872076898e-08	2.349049738510993e-05
GO_BP	combined	Kidney Development (GO:0001822)	67	1462	33010	15	BMP7,FGF8,GDF6,GLI2,HNF1B,LHX1,NF1,PCSK5,PROX1,SALL1,SIX1,SOX17,TGFB2,VANGL2,WT1	1.815872441252691e-07	5.167590678870158e-05
GO_BP	combined	Negative Regulation Of Cell Differentiation (GO:0045596)	202	1462	33010	27	ACTL6B,ADAMTS12,BMP7,CDK6,CRP,FOXA2,HDAC9,HOPX,HOXA9,LDLRAD4,MEIS1,MEIS2,NKX2-1,NKX3-2,NR1H2,POU4F2,RB1,RUNX1T1,SFRP2,SIX3,SKI,SOSTDC1,SPRED2,SPRY2,TCF23,TWIST1,ZNF750	3.31968574031173e-07	8.974770398932763e-05
GO_BP	combined	Chemical Synaptic Transmission (GO:0007268)	254	1462	33010	31	ASIC2,CACNA1A,CACNA1B,CACNA1E,CHRM2,CHRNA4,DHX8,DLGAP2,DTNA,ERC1,GABRA1,GABRG2,GAD1,GRIA1,GRIK4,GRIN1,HAPLN4,HTR6,KCNA1,KCNQ2,MPZ,NPTX2,NRXN1,NRXN2,PENK,PTPRN2,RIMBP2,SEPTIN9,SLC5A7,SNAP25,SST	3.6347110560995673e-07	9.358515562062078e-05
