library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
GO_CC	combined	Nucleus (GO:0005634)	4109	1462	33010	256	ACTL6B,ADAM19,AKR1B1,AKR1C3,ALX1,APCS,ARID4B,ARNT2,ASIC2,ATF6,ATF7,BABAM2,BARHL2,BATF,BBX,BCAS3,BCL9L,BRD4,BTBD3,CACNA1A,CCND2,CCND3,CDIP1,CDK14,CDK15,CDK6,CDKN2A,CELF2,CFTR,CHD4,CHD6,CHML,CIDEA,CRADD,CREB3L2,CRYAB,CRYGD,CTNND2,CUL1,CUX1,CYP1A1,DCLK3,DGKI,DHX8,DMRTA2,DNAJB1,DYNC1I1,EHD2,EIF4A1,ERBB4,ESRRG,EVX1,EVX2,EYA1,FERD3L,FEV,FEZF2,FLI1,FMN2,FOXA2,FOXB1,FOXC2,FOXE1,FOXE3,FOXG1,GCM2,GLI2,GNL3,GRHL2,H1-1,HDAC4,HDAC9,HMGA2,HNF1B,HOPX,HOXA10,HOXA3,HOXA4,HOXA9,HOXB7,HOXC4,HOXD10,HOXD3,HOXD8,HOXD9,HSPB2,HSPB6,IRF1,IRF4,IRX1,ISL2,ITPKA,JAK1,JARID2,LDB2,LHX1,LHX4,LHX6,LHX8,LHX9,LMCD1,LYZL4,MACROH2A1,MAF,MAGI2,MAML3,MATR3,MCC,MCIDAS,MGMT,MITF,MKNK1,MOB3C,MYF6,MYH10,MYT1,MYT1L,N4BP1,NANOS3,NCOR2,NEUROD1,NF1,NFATC1,NFATC2,NFIL3,NKAPL,NKX2-1,NKX2-4,NKX2-6,NKX3-2,NKX6-2,NPLOC4,NR1H2,NR5A2,NSMCE2,OLIG3,ONECUT2,ONECUT3,OTX1,OTX2,OVOL1,PACRG,PARP15,PAX6,PCBP3,PDE4B,PDE4C,PDE4D,PDX1,PHACTR1,PITX1,PITX2,PLTP,POU3F3,POU4F1,POU4F2,POU4F3,PPM1H,PPP1R7,PRDM13,PRDM14,PRDM15,PRDM16,PRKCB,PROX1,PTPN14,PTPRN,RABGAP1L,RAD54B,RALYL,RANBP9,RARB,RB1,RBBP4,RBFOX1,RBFOX3,RBM47,RBMS1,RERE,RGS2,RGS22,RNF220,RRAGD,RREB1,RUNX1,RUNX1T1,SALL1,SALL2,SALL3,SENP3,SIX1,SIX3,SIX6,SKI,SKOR1,SLC9A3R1,SMG6,SMYD3,SOX1,SOX17,SPAG6,SPRY2,SRRM4,ST18,STAG3,SYNPO,SYNPO2L,TAL1,TBL1XR1,TBR1,TBX18,TBX20,TBXT,TCERG1L,TCF20,TECR,TENM2,TET3,TLX1,TLX2,TLX3,TMPO,TNK2,TOP2B,TRAK1,TRH,TRIM66,TTBK1,TUBB2B,TWIST1,USP10,USP29,USP44,UTF1,VGLL4,VSTM2A,WT1,WWP2,YTHDC1,ZBTB20,ZCWPW1,ZFHX3,ZFPM2,ZIC1,ZIC4,ZIC5,ZMIZ1,ZNF217,ZNF462,ZNF502,ZNF536,ZNF625,ZNF709,ZNF750,ZNF804A,ZPBP	6.49620111857052e-09	3.0791993302024265e-06
GO_CC	combined	Intracellular Membrane-Bounded Organelle (GO:0043231)	4741	1462	33010	285	ACTL6B,ADAM19,ADCYAP1R1,AKR1B1,AKR1C3,ALX1,APCS,ARID4B,ARNT2,ASIC2,ATF6,ATF7,ATP11A,ATP8A1,BABAM2,BARHL2,BATF,BBX,BCAS3,BCL9,BCL9L,BRD4,BTBD3,CACNA1A,CCND2,CCND3,CD1B,CD1C,CDIP1,CDK14,CDK15,CDK6,CDKN2A,CELF2,CFTR,CHD4,CHD6,CHML,CIDEA,CPQ,CRADD,CREB3L2,CRYAB,CRYGD,CTNND2,CUL1,CUX1,CYP1A1,DAB2,DCLK3,DGKI,DHX8,DMRTA2,DNAJB1,DYNC1I1,EHD2,EIF4A1,EPHX3,ERBB4,ESRRG,EVA1A,EVX1,EVX2,EYA1,FERD3L,FEV,FEZF2,FLI1,FMN2,FOXA2,FOXB1,FOXC2,FOXE1,FOXE3,FOXG1,GCM2,GLI2,GNL3,GPRC5B,GRHL2,H1-1,HCK,HDAC4,HDAC9,HMGA2,HNF1B,HOOK2,HOPX,HOXA10,HOXA3,HOXA4,HOXA9,HOXB7,HOXC4,HOXD10,HOXD3,HOXD8,HOXD9,HSPB2,HSPB6,IGF1R,IRF1,IRF4,IRX1,ISL2,ITPKA,JAK1,JARID2,L1TD1,LDB2,LDLRAD4,LHX1,LHX4,LHX6,LHX8,LHX9,LMCD1,LYZL4,MACROH2A1,MAF,MAGI2,MAML3,MATR3,MCC,MCIDAS,MGMT,MGST2,MITF,MKNK1,MOB3C,MSI2,MYF6,MYH10,MYT1,MYT1L,N4BP1,NANOS3,NCOR2,NEUROD1,NF1,NFATC1,NFATC2,NFIL3,NKAPL,NKX2-1,NKX2-4,NKX2-6,NKX3-2,NKX6-2,NPLOC4,NR1H2,NR5A2,NSMCE2,OLIG3,ONECUT2,ONECUT3,OTX1,OTX2,OVOL1,PACRG,PARP15,PAX6,PCBP3,PDE4B,PDE4C,PDE4D,PDX1,PHACTR1,PIK3C2B,PITX1,PITX2,PLTP,PMEPA1,POU3F3,POU4F1,POU4F2,POU4F3,PPM1H,PPP1R7,PPT2,PRDM13,PRDM14,PRDM15,PRDM16,PRKCB,PRKCE,PROX1,PTPN14,PTPRN,RABGAP1L,RAD54B,RALYL,RANBP9,RARB,RB1,RBBP4,RBFOX1,RBFOX3,RBM47,RBMS1,RERE,RFX1,RGS2,RGS22,RNF220,RRAGD,RREB1,RUNX1,RUNX1T1,S1PR1,SALL1,SALL2,SALL3,SENP3,SIAH2,SIX1,SIX3,SIX6,SKI,SKOR1,SLC7A14,SLC9A3R1,SMG6,SMYD3,SOX1,SOX17,SPAG6,SPRY2,SRRM4,ST18,STAG3,SYNPO,SYNPO2L,TAL1,TBL1XR1,TBR1,TBX18,TBX20,TBXT,TCERG1L,TCF20,TECR,TENM2,TET3,TLX1,TLX2,TLX3,TMPO,TNK2,TOP2B,TRAK1,TRH,TRIM66,TRIP10,TTBK1,TUBB2B,TWIST1,USP10,USP29,USP44,UTF1,VGLL4,VSTM2A,WT1,WWP2,YTHDC1,ZBTB20,ZCWPW1,ZFHX3,ZFPM2,ZIC1,ZIC4,ZIC5,ZMIZ1,ZNF217,ZNF232,ZNF462,ZNF502,ZNF536,ZNF625,ZNF709,ZNF750,ZNF804A,ZNRF2,ZPBP	2.362195565211697e-08	5.5984034895517224e-06
GO_CC	combined	Neuron Projection (GO:0043005)	524	1462	33010	52	ADCYAP1R1,ADGRB1,ADGRL1,ANK2,ANK3,ARHGEF7,CAPN2,CHRM2,CHRNA4,CLDN11,CTNNA2,DHX8,ELFN1,EPHA10,EPHB1,GABRA1,GABRG2,GHSR,GNA12,GRIA1,GRIN1,HTR6,IGF1R,KCNA1,KCNC2,KCNC3,KCNE3,KIRREL3,KLHL1,KNDC1,MAGI2,MAST1,NEFM,NF1,NRSN1,PACRG,PENK,RGS6,RGS7,RTN1,SHANK2,SKOR1,SLC4A10,SLC5A7,SLC6A3,SNAP25,SPTBN4,SSTR1,SSTR4,TENM2,TGFB2,TRAK1	6.027673195564143e-08	9.523723648991345e-06
GO_CC	combined	Calcium Channel Complex (GO:0034704)	57	1462	33010	13	CACNA1A,CACNA1B,CACNA1C,CACNA1E,CACNA2D1,CACNG3,CACNG7,CACNG8,MICU3,PDE4B,PDE4D,RYR2,SCN4A	9.476592577895091e-07	9.761665530185286e-05
GO_CC	combined	Dendrite (GO:0030425)	253	1462	33010	30	ADGRB1,ANK3,CAPN2,CHRM2,CHRNA4,DHX8,ELFN1,EPHA10,EPHB1,GABRA1,GABRG2,GRIA1,GRIN1,HTR6,KCNA1,KCNC2,KCNC3,KCNE3,KIRREL3,KLHL1,KNDC1,MAGI2,NF1,PENK,SKOR1,SLC4A10,SLC5A7,TENM2,TRAK1,ZNF804A	1.0297115538170132e-06	9.761665530185286e-05
GO_CC	combined	Voltage-Gated Calcium Channel Complex (GO:0005891)	48	1462	33010	11	CACNA1A,CACNA1B,CACNA1C,CACNA1E,CACNA2D1,CACNG3,CACNG7,CACNG8,PDE4B,PDE4D,SCN4A	6.1667741625477864e-06	0.0004871751588412751
GO_CC	combined	Postsynaptic Density (GO:0014069)	144	1462	33010	18	ADGRB1,ADGRL1,CACNA1C,CACNG3,CACNG7,CACNG8,CTNND2,DISC1,DNM3,GRIA1,GRIK4,GRIN1,GRM1,MAGI2,NETO1,RTN1,SHANK2,SRGAP3	7.117460625197522e-05	0.004819537623348037
GO_CC	combined	Postsynaptic Specialization Membrane (GO:0099634)	36	1462	33010	8	CACNG3,CACNG7,CACNG8,GRIA1,GRIK4,GRM1,NETO1,SLITRK3	0.00014486148061704349	0.008583042726559827
GO_CC	combined	GABA-ergic Synapse (GO:0098982)	14	1462	33010	5	CBLN4,DISC1,MDGA1,SLITRK1,SLITRK3	0.0002422583670007635	0.01275894066204021
GO_CC	combined	Tight Junction (GO:0070160)	84	1462	33010	12	ANK3,CLDN10,CLDN11,CLDN4,CLDN6,EPCAM,ILDR2,JAM2,MAGI2,PARD3,TBCD,WNK4	0.00032154188477515505	0.01524108533834235
