sample_barcode	sample_class	sample_type	PC1	PC2
TCGA-A7-A0CE-11A	normal	Solid Tissue Normal	4.797409620309442	1.2175453935264167
TCGA-A7-A0CH-11A	normal	Solid Tissue Normal	4.568968436265352	0.7162604756845012
TCGA-A7-A0D9-11A	normal	Solid Tissue Normal	6.681025451713574	-0.6540065355158613
TCGA-A7-A0DB-11A	normal	Solid Tissue Normal	6.349970866706185	-0.9082861093577586
TCGA-A7-A0DC-11A	normal	Solid Tissue Normal	3.617510069689012	0.0031084498397359675
TCGA-A7-A13E-11A	normal	Solid Tissue Normal	5.782919859089667	-0.2572872550528595
TCGA-A7-A13F-11A	normal	Solid Tissue Normal	5.63339155450448	-0.3078657533806802
TCGA-A7-A13G-11A	normal	Solid Tissue Normal	6.331955941387028	-1.9135165536384393
TCGA-AC-A23H-11A	normal	Solid Tissue Normal	5.217997469534096	-0.0044267539082889044
TCGA-AC-A2FB-11A	normal	Solid Tissue Normal	5.634915303643189	0.2455169551370608
TCGA-AC-A2FF-11A	normal	Solid Tissue Normal	5.1698841776801165	0.5085113737626307
TCGA-AC-A2FG-11A	normal	Solid Tissue Normal	5.126082415471084	0.17205215146788566
TCGA-AC-A2FM-11B	normal	Solid Tissue Normal	4.988309202675258	0.29157628343588937
TCGA-BH-A0AU-11A	normal	Solid Tissue Normal	4.6612977899959755	-0.010184465355839691
TCGA-BH-A0AY-11A	normal	Solid Tissue Normal	5.438234291786446	0.6044009778437699
TCGA-BH-A0AZ-11A	normal	Solid Tissue Normal	4.35489949860986	-0.052438610160766085
TCGA-BH-A0B3-11B	normal	Solid Tissue Normal	4.456835066539279	0.6706477162248864
TCGA-BH-A0B8-11A	normal	Solid Tissue Normal	6.33700459665031	-0.9572646365523506
TCGA-BH-A0BA-11A	normal	Solid Tissue Normal	4.8451082037098825	0.8480081550541705
TCGA-BH-A0BC-11A	normal	Solid Tissue Normal	5.2365305221744345	0.43490025248940434
TCGA-BH-A0BF-11A	normal	Solid Tissue Normal	5.159498912707432	0.3191002522624364
TCGA-BH-A0BJ-11A	normal	Solid Tissue Normal	5.303944700479111	0.5473827875861372
TCGA-BH-A0BM-11A	normal	Solid Tissue Normal	5.411276884641123	0.2352702588611135
TCGA-BH-A0BS-11A	normal	Solid Tissue Normal	4.833347285478189	0.24423083753252872
TCGA-BH-A0BT-11A	normal	Solid Tissue Normal	4.851630533125	0.7061746213397737
TCGA-BH-A0BV-11A	normal	Solid Tissue Normal	4.6607552915793455	0.42165780037598716
TCGA-BH-A0BZ-11A	normal	Solid Tissue Normal	5.179956164102038	0.08677783965123896
TCGA-BH-A0C0-11A	normal	Solid Tissue Normal	4.8435807282301075	1.2115945017760308
TCGA-BH-A0C3-11A	normal	Solid Tissue Normal	5.0116127536757284	0.3473294692868848
TCGA-BH-A0DG-11A	normal	Solid Tissue Normal	5.067880372315345	0.1472954547204508
TCGA-BH-A0DH-11A	normal	Solid Tissue Normal	4.679951313030223	0.9333410218211335
TCGA-BH-A0DI-11A	normal	Solid Tissue Normal	4.335395725063011	0.15488378304657827
TCGA-BH-A0DK-11A	normal	Solid Tissue Normal	3.6325006185949076	1.9421898598754745
TCGA-BH-A0DP-11A	normal	Solid Tissue Normal	3.3096594202840204	2.383158751449064
TCGA-BH-A0DQ-11A	normal	Solid Tissue Normal	4.263211781757435	0.47503551842538666
TCGA-BH-A0DV-11A	normal	Solid Tissue Normal	4.975458682314417	0.5186958112577681
TCGA-BH-A0DZ-11A	normal	Solid Tissue Normal	4.7202622812790995	0.9267119960609442
TCGA-BH-A0E0-11A	normal	Solid Tissue Normal	4.778072272829149	0.8421026721600504
TCGA-BH-A0E1-11A	normal	Solid Tissue Normal	4.524967398987107	0.6896250879111775
TCGA-BH-A0H7-11A	normal	Solid Tissue Normal	3.333915581220705	0.8504315205144894
TCGA-BH-A0H9-11A	normal	Solid Tissue Normal	6.1478173238489	-1.103080849072598
TCGA-BH-A0HA-11A	normal	Solid Tissue Normal	5.559143804444835	0.10396835421092399
TCGA-BH-A0HK-11A	normal	Solid Tissue Normal	5.075140166679901	0.9890710837956989
TCGA-BH-A1EN-11A	normal	Solid Tissue Normal	5.425145908918343	-0.48011335587742954
TCGA-BH-A1EO-11A	normal	Solid Tissue Normal	6.247389059667957	-0.9414895950484058
TCGA-BH-A1ES-11A	normal	Solid Tissue Normal	5.27759002049268	-0.39268241027555073
TCGA-BH-A1ET-11B	normal	Solid Tissue Normal	4.972891582259191	-0.19459945810807483
TCGA-BH-A1EU-11A	normal	Solid Tissue Normal	5.4770882373736685	0.31185406940655164
TCGA-BH-A1EV-11A	normal	Solid Tissue Normal	5.316875600824983	0.09951453168386731
TCGA-BH-A1EW-11B	normal	Solid Tissue Normal	3.357733245195438	0.843232895667404
TCGA-BH-A1EY-11B	normal	Solid Tissue Normal	4.9113113028130995	0.5861752851979672
TCGA-BH-A1F0-11B	normal	Solid Tissue Normal	5.428753284640205	0.14490762526991663
TCGA-BH-A1F2-11A	normal	Solid Tissue Normal	5.84603055371239	-0.6479828781825626
TCGA-BH-A1F5-11A	normal	Solid Tissue Normal	3.311019879914029	0.1845116616199751
TCGA-BH-A1F6-11B	normal	Solid Tissue Normal	5.698450432518822	-0.7404899205883274
TCGA-BH-A1F8-11B	normal	Solid Tissue Normal	5.3623414222454375	-0.2490817121927006
TCGA-BH-A1FB-11A	normal	Solid Tissue Normal	5.120531291278257	0.19849496733397393
TCGA-BH-A1FC-11A	normal	Solid Tissue Normal	4.73210168633955	-0.05045074101406512
TCGA-BH-A1FD-11B	normal	Solid Tissue Normal	5.216628773131418	-0.5873590665868212
TCGA-BH-A1FE-11B	normal	Solid Tissue Normal	5.56921049809113	-1.0751146523701525
TCGA-BH-A1FG-11B	normal	Solid Tissue Normal	5.601097502041377	-0.6237142415663217
TCGA-BH-A1FH-11B	normal	Solid Tissue Normal	5.732531030566687	-0.4329142142241938
TCGA-BH-A1FJ-11B	normal	Solid Tissue Normal	5.375259408707764	-0.27246554404972545
TCGA-BH-A1FM-11B	normal	Solid Tissue Normal	5.18754401806963	-0.4365880513298127
TCGA-BH-A1FN-11A	normal	Solid Tissue Normal	5.858055139214104	-1.0743601864424326
TCGA-BH-A1FR-11B	normal	Solid Tissue Normal	5.448444049775752	-0.20959731204111823
TCGA-BH-A203-11A	normal	Solid Tissue Normal	5.72423786853424	0.5910766546906011
TCGA-BH-A204-11A	normal	Solid Tissue Normal	5.110761303793425	-1.390594928185941
TCGA-BH-A208-11A	normal	Solid Tissue Normal	4.289137906194659	-0.617858149902139
TCGA-BH-A209-11A	normal	Solid Tissue Normal	4.779076446158089	0.041300385444123656
TCGA-E2-A15I-11A	normal	Solid Tissue Normal	5.865487820902553	-1.574793443718134
TCGA-E2-A15K-11A	normal	Solid Tissue Normal	5.452078954680907	-0.020199468761926114
TCGA-E2-A1B5-11A	normal	Solid Tissue Normal	5.532653544421742	0.07230259882697691
TCGA-E2-A1BC-11A	normal	Solid Tissue Normal	6.208046439488521	-1.4560305762678711
TCGA-E2-A1IF-11A	normal	Solid Tissue Normal	5.338754754717609	-0.49983326120662885
TCGA-E2-A1II-11A	normal	Solid Tissue Normal	5.490360347621238	-0.6380838210752982
TCGA-E2-A1IO-11A	normal	Solid Tissue Normal	5.417234064488591	-1.7420585925727152
TCGA-E2-A1L7-11A	normal	Solid Tissue Normal	4.451976228395597	-0.3956166945560115
TCGA-E2-A1LB-11A	normal	Solid Tissue Normal	5.144753955136193	-0.6976703497612112
TCGA-E2-A1LI-11A	normal	Solid Tissue Normal	4.751722082801395	-0.03445874513444885
TCGA-E2-A1LS-11A	normal	Solid Tissue Normal	5.659079074474395	-1.4426017339022188
TCGA-E9-A1N4-11A	normal	Solid Tissue Normal	4.300596237527204	-0.24492902957661858
TCGA-E9-A1N5-11A	normal	Solid Tissue Normal	4.829460808293008	-0.2056753057718555
TCGA-E9-A1N6-11A	normal	Solid Tissue Normal	5.22011382475253	-0.5823481938040534
TCGA-E9-A1N8-11A	normal	Solid Tissue Normal	5.802414399169754	-1.4639947258790826
TCGA-E9-A1NA-11A	normal	Solid Tissue Normal	5.356431517837018	0.005047782432236648
TCGA-E9-A1ND-11A	normal	Solid Tissue Normal	5.741885987243706	-0.5682080825541597
TCGA-E9-A1NE-11A	normal	Solid Tissue Normal	5.586611841309886	-0.31391158327963475
TCGA-E9-A1NF-11A	normal	Solid Tissue Normal	6.251242898646967	-0.7532871759579988
TCGA-E9-A1NG-11A	normal	Solid Tissue Normal	5.999582120850611	-0.8655467878338818
TCGA-E9-A1R7-11A	normal	Solid Tissue Normal	5.944915489654796	-0.7706424701200013
TCGA-E9-A1RB-11A	normal	Solid Tissue Normal	4.746143648057931	-1.189846615972293
TCGA-E9-A1RC-11A	normal	Solid Tissue Normal	5.664523914656393	-1.5521775895091006
TCGA-E9-A1RD-11A	normal	Solid Tissue Normal	5.35786569474954	-1.3235185942057348
TCGA-E9-A1RF-11A	normal	Solid Tissue Normal	5.418524352578871	-1.239022966409587
TCGA-E9-A1RH-11A	normal	Solid Tissue Normal	5.803329860782836	-0.9766099147215587
TCGA-E9-A1RI-11A	normal	Solid Tissue Normal	5.972964590751448	-1.0636555197843023
TCGA-3C-AAAU-01A	tumor	Primary Tumor	-3.326884376845567	-2.5647730977286516
TCGA-3C-AALI-01A	tumor	Primary Tumor	-2.458857506435808	-1.2045587669621394
TCGA-3C-AALJ-01A	tumor	Primary Tumor	-2.717545377807188	1.5263155378978004
TCGA-3C-AALK-01A	tumor	Primary Tumor	-1.2671831052289164	2.540350184025653
TCGA-4H-AAAK-01A	tumor	Primary Tumor	-0.7684562564607849	-0.05458416267416807
TCGA-5L-AAT0-01A	tumor	Primary Tumor	-0.3144135257698167	-0.7878995397907644
TCGA-5L-AAT1-01A	tumor	Primary Tumor	-0.17013089938048798	0.45931431586468563
TCGA-5T-A9QA-01A	tumor	Primary Tumor	-2.9364813958021383	7.813862661933535
TCGA-A1-A0SB-01A	tumor	Primary Tumor	4.981179191708869	-2.5058757567513377
TCGA-A1-A0SE-01A	tumor	Primary Tumor	-0.9335661469275007	0.017025735141166592
TCGA-A1-A0SF-01A	tumor	Primary Tumor	-1.400100736238145	-1.2708157615849323
TCGA-A1-A0SG-01A	tumor	Primary Tumor	-2.5699640043661054	-3.7857520993181324
TCGA-A1-A0SH-01A	tumor	Primary Tumor	0.64541315639863	0.21430134491038302
TCGA-A1-A0SI-01A	tumor	Primary Tumor	-1.6885798512729515	-2.7502403987389052
TCGA-A1-A0SJ-01A	tumor	Primary Tumor	-1.2986329014818483	2.502347573926819
TCGA-A1-A0SK-01A	tumor	Primary Tumor	3.4258953271981296	-1.6677978727484755
TCGA-A1-A0SM-01A	tumor	Primary Tumor	0.04026925962668344	4.090166806621937
TCGA-A1-A0SN-01A	tumor	Primary Tumor	-1.6043607170516037	3.784252811627595
TCGA-A1-A0SO-01A	tumor	Primary Tumor	2.1543933759157308	1.8539713617071172
TCGA-A1-A0SP-01A	tumor	Primary Tumor	2.173078874682004	-0.29615682089694556
TCGA-A1-A0SQ-01A	tumor	Primary Tumor	-5.248857603269013	-4.362978983875704
TCGA-A2-A04R-01A	tumor	Primary Tumor	-7.077684714267549	-2.408612991253892
TCGA-A2-A0CK-01A	tumor	Primary Tumor	-1.4403058366397827	1.3751773625594643
TCGA-A2-A0CO-01A	tumor	Primary Tumor	-2.089745839621646	-0.8108396918607008
TCGA-A2-A0CR-01A	tumor	Primary Tumor	1.8172895524867674	1.000998222669291
TCGA-A2-A0CT-01A	tumor	Primary Tumor	-4.664074835715961	5.673680563908011
TCGA-A2-A0EN-01A	tumor	Primary Tumor	0.8798396672453548	0.9206044535478219
TCGA-A2-A0EP-01A	tumor	Primary Tumor	4.533680473900955	0.8658944667399371
TCGA-A2-A0EU-01A	tumor	Primary Tumor	-3.2899309304181386	-2.2049375093232
TCGA-A2-A0ST-01A	tumor	Primary Tumor	4.246302583211512	-0.3687677302085017
TCGA-A2-A0SU-01A	tumor	Primary Tumor	1.7914899466365022	-0.6093289253289589
TCGA-A2-A0SV-01A	tumor	Primary Tumor	-2.0583256201183286	0.07831027755541271
TCGA-A2-A0SW-01A	tumor	Primary Tumor	-3.279889638397718	-3.745937540035647
TCGA-A2-A0SX-01A	tumor	Primary Tumor	4.046723863676163	-0.8851298987325115
TCGA-A2-A0SY-01A	tumor	Primary Tumor	-1.6595914597368182	3.9744015649610898
TCGA-A2-A0T0-01A	tumor	Primary Tumor	2.715196297577057	-3.2959034351529897
