category	n_genes	n_with_entrez
19. Other Longevity-Related	312	309
17. Inflammation / Immunosenescence	263	257
08. Mitochondrial Function	262	262
05. DNA Damage & Repair	147	147
06. Cell Cycle Regulators	128	128
07. Apoptosis	119	119
15. ECM / Skin Aging	91	91
18. Oncogenes / Tumor Suppressors	71	71
08. Antioxidant / Oxidative Stress	60	60
17. TNF Superfamily	55	45
04. Heat Shock / Chaperones	49	49
04. Proteasome / Proteostasis	46	46
14. FGF Family	35	35
18. Progeroid / Premature Aging	33	33
14. EGF / EGFR Signaling	31	30
13. TGF-beta Signaling	28	28
16. Wnt Signaling	22	22
13. BMP / GDF Signaling	20	19
09. IGF / Insulin Signaling	20	20
04. Autophagy	15	15
01. Telomere Maintenance	14	14
05. Epigenetic Regulators	13	13
12. Stem Cell Regulation	12	11
03. mTOR Pathway	11	11
14. VEGF / Angiogenesis	11	11
14. Neurotrophins	11	11
14. PDGF Signaling	9	8
16. Notch Signaling	8	8
09. Growth Hormone Axis	8	8
14. HGF Signaling	7	7
02. Sirtuins	6	6
10. FGF21-FGF23-Klotho Axis	6	6
06. Cellular Senescence / SASP	6	6
11. Metabolic Hormones	5	5
03. AMPK Pathway	5	5
11. NAD+ Metabolism	4	4
16. Hedgehog Signaling	3	3
10. GDF Aging Biomarkers	3	3
18. Circadian Clock	2	2
03. FOXO Pathway	2	2
