library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
SupervisorArrays	hypermethylated	15. ECM / Skin Aging	86	6368	33010	38	ADAMTS2,ADAMTS3,COL11A1,COL11A2,COL12A1,COL14A1,COL1A1,COL1A2,COL23A1,COL25A1,COL26A1,COL3A1,COL4A1,COL4A2,COL5A2,COL6A2,COL8A2,COL9A3,COLGALT2,ELN,EMILIN1,EMILIN2,FLRT2,HAS1,ITGA5,ITGB1,LAMA1,LAMA2,LAMA4,LAMB1,LGALS3,LRFN1,LRFN5,MMRN2,P4HA2,TIMP2,TIMP3,TRIM46	1.19331143652464e-07	4.77324574609857e-06
SupervisorArrays	hypermethylated	18. Oncogenes / Tumor Suppressors	70	6368	33010	30	ABL1,BCL11B,BRAF,CSF1R,DCC,EXTL3,FER,FES,FGR,FLI1,FYN,HEXB,KLF6,LYPD1,LZTS2,MAEA,MAF,MAFF,MAFG,MAP3K8,MERTK,MN1,RET,RUNX1,RUNX2,RUNX3,SRC,SSPN,TCL1A,TRIM13	5.31149665078554e-06	0.000106229933015711
SupervisorArrays	hypermethylated	13. TGF-beta Signaling	25	6368	33010	13	EIF3I,GFRA2,KLF11,LEFTY2,LTBP1,LTBP2,LTBP4,TGFB1I1,TGFB2,TGFBI,TGFBR1,TGFBR2,TGFBR3	0.000252315321613698	0.00336420428818264
SupervisorArrays	hypermethylated	09. IGF / Insulin Signaling	20	6368	33010	11	CCN1,IGF1,IGF2,IGF2BP1,IGF2BP2,IGF2BP3,IGF2R,IGFBP3,IGFBP4,IGFBP6,PAPPA	0.000404510234660974	0.00404510234660974
SupervisorArrays	hypermethylated	14. PDGF Signaling	8	6368	33010	6	PDGFA,PDGFD,PDGFRA,PDGFRB,PDGFRL,TCF20	0.00100453823091858	0.00773139413372739
SupervisorArrays	hypermethylated	16. Wnt Signaling	22	6368	33010	11	CCN4,WIF1,WNT1,WNT10A,WNT11,WNT16,WNT2,WNT3A,WNT5B,WNT7B,WNT9B	0.00115970912005911	0.00773139413372739
SupervisorArrays	hypermethylated	14. EGF / EGFR Signaling	30	6368	33010	13	CELSR3,CLEC14A,DNER,EGFR,EPS8,EPS8L2,ERBB4,ERRFI1,LRP4,MEGF10,NRG1,NRG2,PEAR1	0.00221277940496983	0.0125991905581877
SupervisorArrays	hypermethylated	14. Neurotrophins	9	6368	33010	6	BDNF,EGR1,NGF,NGFR,NTF3,NTRK1	0.00251983811163754	0.0125991905581877
SupervisorArrays	hypermethylated	14. FGF Family	33	6368	33010	13	FGF1,FGF11,FGF12,FGF18,FGF19,FGF2,FGF22,FGF3,FGF5,FGF8,FGF9,FGFR1,TNFRSF12A	0.00595891419958152	0.0264840631092512
SupervisorArrays	hypermethylated	13. BMP / GDF Signaling	18	6368	33010	8	BMP2,BMP4,BMP6,BMP7,BMPER,BMPR1A,GDF5,GDF6	0.0131095580950541	0.0524382323802165
SupervisorArrays	hypermethylated	17. TNF Superfamily	39	6368	33010	13	C1QL3,C1QL4,C1QTNF1,C1QTNF4,C1QTNF5,CD40,ERAP1,PTX3,TNFAIP3,TNFRSF19,TNFRSF1B,TNFSF11,TNFSF13B	0.0270243223325327	0.0980824475178436
SupervisorArrays	hypermethylated	16. Notch Signaling	7	6368	33010	4	NOTCH1,NOTCH3,NOTCH4,NRARP	0.0294247342553531	0.0980824475178436
SupervisorArrays	hypermethylated	06. Cell Cycle Regulators	121	6368	33010	30	ARPC5,ARPP21,BAIAP2,CCNA1,CCND2,CCND3,CDK15,CDK5R1,CDK5R2,CDK6,CDKN1A,CDKN1C,CDKN2A,GAK,HERC5,IGFBP7,LITAF,LYN,NCOR2,PAK1,PAK5,PRDM2,PTGIS,RAC1,RB1,RBBP4,TP73,UBE2D2,WARS1,ZBTB7A	0.0805968751838699	0.222586446159789
SupervisorArrays	hypermethylated	19. Other Longevity-Related	291	6368	33010	66	ACVR1,ACVRL1,AGTR1,AKR1C3,ALOXE3,ARHGAP26,ARHGEF2,BCAR1,BNIP3,CAPN1,CD81,CERS6,DTX1,EDIL3,EOGT,ESR2,ESRRB,ESRRG,EXOSC7,GPER1,GREM1,IKZF1,KYNU,LNX1,MAP1A,MFGE8,MIB2,NLRP6,NNMT,NOX4,PAMR1,PELI2,PTGS2,PTP4A2,PTP4A3,RING1,RNF144A,RNF4,RXFP3,SIPA1,SIPA1L1,SUMO3,TAL1,TMEFF1,TMEFF2,TRAF3,TRAF7,TRIM17,TRIM2,TRIM36,TRIM38,TRIM62,TRIM7,TRIM71,TRIM9,UBA7,UBE2I,UBE2J2,UBE2Q1,UCHL1,USP13,USP14,USP32,USP42,USP44,YOD1	0.083125436613971	0.222586446159789
SupervisorArrays	hypermethylated	08. Antioxidant / Oxidative Stress	54	6368	33010	15	ABCC1,GPX3,GPX7,GSS,GSTM2,GSTM5,GSTP1,KEAP1,LTC4S,MGST2,PTGDS,SOD2,SOD3,TXNRD1,TXNRD2	0.0834699173099208	0.222586446159789
SupervisorArrays	hypermethylated	10. FGF21-FGF23-Klotho Axis	6	6368	33010	3	KL,KLB,LCTL	0.0903449808627316	0.225862452156829
SupervisorArrays	hypermethylated	16. Hedgehog Signaling	3	6368	33010	2	IHH,SHH	0.0972772616551549	0.228887674482717
SupervisorArrays	hypermethylated	01. Telomere Maintenance	14	6368	33010	5	ICAM2,ICAM4,ICAM5,PINX1,TERF2	0.115032926115456	0.255628724701012
SupervisorArrays	hypermethylated	12. Stem Cell Regulation	11	6368	33010	4	CD34,CLEC11A,CXCL2,IL1A	0.145759958505459	0.306863070537809
SupervisorArrays	hypermethylated	17. Inflammation / Immunosenescence	227	6368	33010	50	ACKR3,ADAR,CCL28,CCL5,CCR7,CMTM1,CMTM2,CSF2RB,CX3CL1,CXCL1,CXCL6,CYTL1,DOCK2,EIF2AK2,FAM3B,IFITM3,IFNGR1,IFNGR2,IFNL4,IL11RA,IL13,IL15RA,IL17B,IL17RA,IL17RD,IL1B,IL1R1,IL1R2,IL1RAP,IL21R,IL23A,IL31RA,IL4I1,IL7,IRAK2,IRAK3,IRF4,IRF8,MX1,NDUFA13,NFIL3,NFKBIL1,PRDM1,SCGB3A1,SOCS2,TAFA1,TAFA3,TAFA4,TAFA5,TICAM2	0.167217921942341	0.334435843884682
